|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
1101|Skellige Old Woman 04|Greeti-- *Sneezes* Greetings!|Skellige Old Woman 04|Aye?|Skellige Old Woman 04|Hahaha…|Ha ha ha...|Hahaha...
1102|Troll_1|||||Your boy now in the army, lost to you he serve us all.|Syn ci wyrósł na potęgę, możesz wszystkim chwalić się.|Twój chłopak teraz w armii, straciłaś go dla nas wszystkich.
1103|Scoiatael Man 01|Please. N'te dice'en.|Scoiatael Man 01|Perhaps. Perhaps not.|Scoiatael Man 01|Are we to leave at last, or shall I just dig my grave here?|Ruszymy się w końcu, czy tutaj mam sobie grób kopać?|Czy mamy wreszcie stąd odejść, czy mam po prostu wykopać sobie tutaj grób?
1104|Ermion|||||I've lived ever so long… but never seen swordwork quite like that.|Długo żyję... Ale takich cięć jeszcze nie widziałem...|Nigdy nie widziałam takiej pracy mieczem.
1105|Geralt|Bran's son will not haggle for a crown that is his by right.|Lady Bran|That is the tradition. But not all traditions are good. The Isles' care should be entrusted to a single family.|Lady Bran|Far as I know, crown goes to the claimant who gains the most votes.|Z tego, co słyszałem, o tym, kto zostanie królem, zadecyduje głosowanie.|Jak mi wiadomo, korona przypada temu, kto zdobędzie najwięcej głosów.
1106|Geralt|You… so, ye still alive? Y-ye sure there's naught wrong with ye?|Verden Peasant 02|Ye'd best not come 'round here no more. Whole place ought to sink into the earth.|Verden Peasant 02|So long, ealdorman.|Bywaj, człowieku.|Do widzenia, starosto.
1107|Novigrad Refugee Woman 01|You a deserter?|Novigrad Refugee Woman 01|Don't rightly know… Maybe it's true, and maybe it ain't?|Novigrad Refugee Woman 01|Blast it all, it's pourin'.|W dupę jeża, ale chlupa.|Cholera, ale leje.
1108|Geralt|Witch hunters nabbed him. But there's good news, too.|Geralt|What could I do?|Dudu Biberveldt|We think we can free Dandelion. Just need your help.|Z twoją pomocą możemy uwolnić Jaskra.|Myślimy, że możemy uwolnić Dandeliona. Potrzebujemy twojej pomocy.
1109|Skellige Fisherman 01|||||This be a fuckin' holy site!|I bądź tu pobożny, kurwa!|To jest cholerna święta ziemia!
1110|Cirilla|It's a shame, I know, but I've got to interrupt your courtship. Come, we're off to the sauna.|Skellige Woman 04|Why's your mouth agape like you're noodlin' for an eel? The sauna!|Skellige Woman 04|Where?|Gdzie?|Gdzie?
1111|Redanian Officer 01|Twas like I said. He was workin' with the Black Ones. Tpff!|Temerian Peasant 01|And how!|Temerian Peasant 01|Slandering servants of the Eternal Fire and his majesty, was he?|Sługi Wiecznego Ognia oczerniał, majestat królewski obrażał?|Czy on oczerniał sługi Wiecznego Ognia i jego królewskiej mości?
1112|Verden Old Man 02|This is no longer no man's land, it's no longer the Ladies' land. It's all yours.|Geralt|Come, Geralt. It's time.|Cirilla|But… what're we to do?|Znaczy się, co mamy robić?|Ale... co mamy robić?
1113|Verden Bandit 04|Ooh, you're fucked.|Verden Bandit 04|I've got young'uns!|Verden Bandit 04|Gods!|Na bogów!|Och!
1114|Novigrad Rich Man 02|Greetings.|Geralt|Hard to say. Seen a lot of the world and plan to see more.|Geralt|Salutations. Wither do you come from, and where will you go?|Kłaniam się. Skąd droga wiedzie?|Salutacje. Skąd przybywasz i dokąd zmierzasz?
1115|Verden Old Woman 02|Humbert…|Verden Old Woman 02|Ehh, the truth is oft painful, but I thank you for revealing it. For this, and for driving off the beasts, I owe you a reward, but…|Verden Old Woman 02|My brother, I thought he resented my choice, I thought he'd abandoned me… Yet it seems my husband killed him.|Myślałam, że brat się na mnie obraził, a to... Mój mąż go zabił...|Mój brat, myślałam, że mnie żałuje za mój wybór, myślałam, że mnie porzucił... Jednak wydaje się, że to mój mąż go zabił.
1116|Verden Old Man 02|Well, sounds right for Jenny o'the Woods, but we're just short. Will ye drop it a bit?|Verden Old Man 02|Is that what ye want? To benefit off 'uman misery? Ye'll take what's offered, or I'll find me another witchman!|Verden Old Man 02|Oh, have it your way!|A, niech będzie!|Oh, rób jak chcesz!
1117|Skellige Blacksmith Helper 01|Looking for someone who can make me a master-quality breastplate.|Geralt|Fergus, perhaps? Say he's holed up somewhere in Velen.|Skellige Blacksmith Helper 01|Hm. Never known a master who wasn't a dwarf.|Nie znam żadnego mistrza, który nie byłby krasnoludem.|Hm. Nigdy nie słyszałem o mistrzu, który nie byłby krasnoludem.
1118|Dijkstra|Sigi?|King Beggar|Leave you to it, then.|King Beggar|It's worth a try. Geralt's got a knack for finding people. And he's discreet - a value in itself.|Warto mu powiedzieć. Geralt ma talent do znajdowania ludzi i jest dyskretny.|Warto spróbować. Geralt ma talent do odnajdywania ludzi. A do tego jest dyskretny - co samo w sobie jest cenne.
1119|Geralt|Wonder of wonders… A witcher defendin' a mage hunter? Next we'll have mice stickin' up for cats!|Novigrad Thug Weak 01|Ain't you? Fine, we'll talk serious, then.|Novigrad Thug Weak 03|I'm not joking.|Nie żartuję.|Nie żartuję.
1120|Udalryk|Things'll calm down, you'll talk, figure it out. She had the best intentions. Important you know that.|Geralt|Cause I decided to solve this the witchers' way.|Geralt|Yet she did not win your trust.|A jednak jej nie zaufałeś.|Jednak nie zdobyła twojego zaufania.
1121|Redanian Soldier 01|Who knows, who knows.|Redanian Soldier 01|Sod off, before I lose me patience.|Redanian Soldier 01|Redania!|Redania!|Redania!
1122|Geralt|||True and blue, bred and born.|Skellige Merchant 01|You of Clan Brokvar?|Jesteś z klanu Brokvar, prawda?|Jesteś z Klanu Brokvar?
1123|Skellige Blacksmith Helper 02|Singa's dead. Argh, told her and mum so many times - come over, live with me! No, they had to stay on Faroe.|Skellige Blacksmith Helper 02|I'm sorry.|Geralt|I gotta send someone to fetch her body.|Muszę wysłać kogoś po jej ciało.|Muszę wysłać kogoś po jej ciało.
1124|Udalryk|||||Finally, a chance to frolic a bit… My mind clear, my conscience clear…|Wreszcie mogę się bawić... Z czystym umysłem i sumieniem.|Wreszcie szansa, żeby trochę poszaleć... Umysł czysty, sumienie czyste...
1125|Baron Bandit Strong 01|Uhh…|Baron Bandit Strong 01|||We'll flay you alive, you wretch!|Żywcem skórę ci zdejmiemy, przybłędo...|Wydrzemy cię żywcem, ty potworze!
1126|Dandelion|Come inside, I shall bandage you up.|Novigrad Rich Woman 01|||Hahahah! Turned yellow, have you?! Fine, away with you! And never come back!|Ha! Tchórzysz, co?! Dobrze! A teraz znikaj stąd! I żebym cię więcej nie widział!|Hahaha! Zrobiłaś się żółta, co?! W porządku, idź już sobie! I nie wracaj!
1127|Geralt|"""Tame the fiend?"" Or was it ""Free the prince?"""|Dandelion|All right, all right. Sorry, don't often see you like this, couldn't resist…|Dandelion|Dandelionnnn…|Jaskierrr...|Dandelionnn...
1128|Novigrad Boy 01|So, who would like to ask the first question?|Marabella|Children! What's the meaning of this?! Next question.|Marabella|Me! What's it mean that witchers are lech'rous?|Ja, ja! A co to znaczy, że wiedźmini są chutliwi?|Me! Co to znaczy, że czarodzieje są chutliwi?
1129|Redanian Armorer 01|Let me have a look.|Geralt|Sure doesn't look like you're short on work.|Geralt|Greetings! My, my - a witcher! Somethin' tells me I'll finally get somethin' interestin' to do!|Witaj! No proszę: wiedźmin! Coś mi się widzi, że wreszcie będę miał coś ciekawego do roboty!|Witaj! Och, och - czarodziej! Coś mi mówi, że wreszcie zajmę się czymś interesującym!
1130|Geralt|Looks like Morkvarg got bored of sneaking around… And attacked.|Geralt|Claw marks… Craven slammed the door in Morkvarg's face.|Geralt|Deep, spaced-out prints… Morkvarg started running after Craven.|Głębokie, rzadkie ślady. Morkvarg zaczął biec za Tchórzem.|Głębokie, rozproszone ślady... Morkvarg ruszył w pościg za Cravenem.
1131|Geralt|Only the Elder Blood can stop the White Frost. Only I can stop it.|Cirilla|What can you know about saving the world, silly? You're but a witcher.|Cirilla|There's gotta be another way…|Musi być jakieś inne rozwiązanie...|Musi być inny sposób...
1132|Geralt|He lost, demanded them papers back, and when I refused he walloped me over the noggin with a bottle. Barely escaped with me life.|Novigrad Poor Man 01|True. Definite.|Novigrad Poor Man 01|Give me the papers. You have to.|Musisz mi oddać te dokumenty.|Daj mi te papiery. Musisz.
1133|Zoltan Chivay|Zoltan?|Geralt|||Geralt?|No?|Geralt?
1134|Geralt|Ye, uh, heard right. Try your luck if ye like.|Skellige Bandit 02|That's grand! In that case, fight!|Skellige Bandit 02|I'm ready.|Jestem gotowy do walki.|Jestem gotowy.
1135|Yennefer|||Just wanna get some air.|Geralt|Geralt, do you think I donned an evening dress to show off for the seals?|Geralt, myślisz, że założyłam wieczorową suknię, żeby pokazać się fokom?|Chcę tylko zaczerpnąć trochę świeżego powietrza.
1136|Verden Peasant 31|Praise the gods.|Verden Peasant 31|Yokel.|Verden Peasant 31|Umblest regards.|A kłaniam się, kłaniam.|Umblest regards.
1137|Skellige Merchant 02|*Sighs* Ehh.|Skellige Merchant 02|Best wares in the Isles! The very best!|Skellige Merchant 02|Come on over!|Zapraszam, zapraszam.|Chodź tutaj!
1138|Novigrad Drunk 01|You've lost yourself in maaaaniaaaa…|Novigrad Drunk 01|Or you'll die!|Novigrad Drunk 01|Don't try to take Novigrad -|Czego szuka w Złotym Mieście – jedź do Velen, mówią ludzie...|Nie próbuj przejąć Nowigradu -
1139|Nilfgaardian Soldier 01|"Always. Papa's orders. ""It's for your protection, Rosa, dear! People here hate us!"" Why? What have I done to them? But enough about that. Soldier! You may leave!"|Rosa Var Attre|And this excellency is telling you otherwise! Do you not recognize him? This is Geralt of Rivia, the best swordsman the North has ever seen! I'm safe with him. Now march off! Quickly! Left, right, left, right!|Rosa Var Attre|But His Excellency Ambassador var Attre said that--|Ale jego wielmożność ambasador var Attre mówił, żeby...|Ale Jego Ekscelencja Ambasador var Attre powiedział, że...
1140|Olivier Kingfisher|You win, card's yours.|Olivier Kingfisher|Know anyone else who has good cards, you know, the one-offs, hard-to-finds?|Geralt|You win, card's yours.|Wygrałeś, karta jest twoja.|Wygrałeś, karta jest twoja.
1141|Skellige Guard 05|You kicked Lugos' fuck in, now dander about with nary a fear?|Skellige Guard 05|Me boots're fuckin' soaked.|Skellige Guard 06|Tongues're waggin' about ye - Geralt the Giant Slayer!|Wszyscy tu o tobie gadają. Geralt Zabójca Giganta!|Języki szumią o tobie - Geralt Rzeźnik Olbrzymów.
1142|Novigrad Peasant Woman 03|Eternal Fire!|Novigrad Peasant Woman 03|Josef's pigs got hoof-and-mouth. Must be a curse!|Novigrad Peasant Woman 03|Keep us in thy grace.|W łasce swej nas zachowaj|Zachowaj nas w swej łasce.
1143|Mage 02|Gimme a minute. Need to prepare.|Geralt|There, at last!|Mage 02|Of course. But please do hurry.|Oczywiście. Tylko bardzo proszę – pospiesz się.|Oczywiście. Ale proszę się pospieszyć.
1144|Geralt|Geralt - this doesn't concern you. You may go… Fare thee well on your Path or whatnot.|Dijkstra|You're mistaken.|Talar|Sure this isn't premature? Radovid's dead, but it's a long way from that to a free Temeria. War's not over, not even close.|Nie za wcześnie na świętowanie? Radowid nie żyje, prawda... Ale do wolnej Temerii jeszcze daleka droga. Wojna się jeszcze nie skończyła.|Czy nie jest za wcześnie? Radovid nie żyje, ale droga do wolnej Temerii jest jeszcze daleka. Wojna się nie skończyła, nawet nie jest bliska końca.
1145|Hjort|Ahem|Geralt|These voices you hear…|Geralt|Jarl, our guests, remember?|Jarlu, to nasi goście, pamiętasz?|Jarl, naszych gości, pamiętaj?
1146|Geralt|Bruises, broken fingernails… She defended herself. Must be why it took him longer. And why he almost got caught.|Geralt|Won't get away this time.|Geralt|"Here it is. ""Sweet Nettie - Crippled Kate's."" Growing bolder. Not just the name, but the place, too."|Jest wiadomość. „Słodka Anneke. Kuternoga Katarzyna”... Robi się bezczelny. Nie dość, że podał imię, to jeszcze i miejsce.|"Oto ona. ""Słodka Nettie - Okaleczona Kate's"". Coraz śmielsze. Nie tylko nazwa, ale też miejsce."
1147|Skellige Warrior 03|I don't care about that! What happened to her? What was she doing here? Speak!|Yennefer|Speak!|Yennefer|Nnnnnoooo…..|Nnnnie...|Nnnnnoooo…..
1148|Verden Peasant 01|Aye, necrophages think leather boots a delicacy!|Verden Woman 03|Garlic. For the vampeer.|Verden Woman 05|What you got growin' here?|Cóżeś tu wysadziła?|Co tutaj uprawiacie?
1149|Geralt|Very well, then - if you won't bring Anna home, you might at least tell me how she landed in that blasted swamp.|Baron|What the blazes…?! She all right? In good health? Safe? Why haven't you brought her back?!|Baron|Your daughter's in Oxenfurt.|Twoja córka jest w Oxenfurcie.|Twoja córka jest w Oxenfurcie.
1150|Scoiatael Elf Man 33|Hey.|Scoiatael Elf Man 32|How-oo...!|Scoiatael Elf Man 33|How-ow-ow-oo...!|Auuuuuu!|Jak się masz...!
1151|Novigrad Peasant 38|*Ptooey* Damnation!|Novigrad Peasant 38|Lout.|Novigrad Peasant 38|The plague.|Zaraza.|Zaraza.
1152|Novigrad Thug Strong 01|My friend asked you nicely, so please be courteous in return and hear him out. Or we'll settle this another way.|Geralt|Hubio, right? Polly's told me so much about you. She said you're erudite, and have an open mind.|Dandelion|All right.Talk.|No dobra... Mów.|W porządku. Mów.
1153|Skellige Boy 03|Cheers!|Skellige Boy 03|Ughh, rainin' again?|Skellige Boy 03|When will ye gimme my rod back?|Kiedy mi oddasz moja wędkę?|Kiedy mi oddasz moją wędkę?
1154|Verden Woman 02|May pox and the shits take any that be hoardin' a hog!|Verden Woman 02|Want to chat? No' with me. My head's a-twirlin' with hunger.|Verden Woman 02|Can any folk afford to buy from ye?|Stać kogo, żeby kupywać u was?|Czy ktokolwiek może sobie pozwolić na zakup od ciebie?
1155|Skellige Fisherman 01|||Oh, you return. So - the tower? Anythin' to be done?|Skellige Fisherman 01|Hemdall guide you.|Niech cię Hemdall prowadzi.|Oh, wróciłaś. Więc - wieża? Cokolwiek do zrobienia?
1156|Geralt|I'll go see Donar… Then I'll leave Skellige.|Geralt|Geralt, don't… There's nothing more pathetic than a sorceress in tears.|Yennefer|Gonna miss you.|Będę tęsknić.|Będę za tobą tęsknił.
1157|Geralt|I'm not one to judge, sir.|Novigrad Poor Man 03|Lady Vegelbud's valet. I… I meant you no offense, sir.|Novigrad Poor Man 03|Now that we're past the initial courtesies, maybe you can tell us who you are.|Skoro już jesteśmy przy wstępnych uprzejmościach, może powiesz, ktoś ty.|Teraz, gdy mamy za sobą wstępne uprzejmości, może powiesz nam, kim jesteś.
1158|Geralt|||Nay, no, nay. Pellar don't know.|Guslar|Anna and her daughter are missing. Know where they are?|Anna i jej córka zaginęły. Wiesz, gdzie są?|Nie, nie, nie. Pellar nie wie.
1159|Geralt|Here we are.|Yennefer|Due to an edict Hemmelfart issued some years ago. But I managed to find two brawny and obliging passers-by who agreed to remove the impediment. For a modest fee, naturally.|Yennefer|This is it? Hmm… Boulder was plugging the well until recently.|Tutaj? Hmm... Jeszcze niedawno cembrowina była przywalona kamieniem.|Czy to tutaj? Hmm... Głaz zatykał studnię do niedawna.
1160|Geralt|Take care of the girl. Don't let anyone harm her.|Ves|We're bound for Novigrad, to fight the next fight.|Roche|What will you do?|Co zamierzacie?|Co zamierzasz zrobić?
1161|Geralt|Well, we've jested and laughed, but I've a sense you're in a hurry.|Dijkstra|You know, Geralt, somehow I dislike running into you at parties.|Dijkstra|Really?|Tak?|
1162|Geralt|Besides, something big's set to happen here, I just know it… I learn what it is, Radovid'll appreciate it… King'll promote me, maybe even give me a medal.|Witch Hunter 04|Uhhh… Don't know the details, but I came across Philippa Eilhart's notes.|Witch Hunter 04|What's the big event that's supposed to happen?|Co takiego ma się tu wydarzyć?|Co to za wielkie wydarzenie, które ma się tu odbyć?
1163|Geralt|Yes, luck stood with you! B-but the next time we meet…|Redanian Soldier 01|We shall meet again!|Redanian Soldier 01|Go back to Maid Bilberry and apologize for being an ass. Quick, before I change my mind and break your bones.|Wracaj do panny Jagódki. W kabanich podskokach. Zanim zmienię zdanie i porachuję ci kości. No już.|Wróć do Maid Bilberry i przeproś za bycie dupkiem. Szybko, zanim zmienię zdanie i połamię ci kości.
1164|Celina|I'm a witcher. Monsters don't scare me.|Geralt|||We've heard a thing or two about witchers, their lust.|Słyszałyśmy niemało o wiedźmińskiej chuci.|Słyszeliśmy co nieco o czarodziejach, ich żądzach.
1165|Chamberlain Emhyr|Yeah, mentioned something of the sort. So long.|Geralt|||May the Golden Sun shine upon you always.|Niechaj Wielkie Słońce zawsze wam przyświeca.|Niech Złote Słońce zawsze świeci nad tobą.
1166|Baron|Geralt of Rivia. Blobtits call me the Butcher of Blaviken.|Geralt|How do you like it here in Velen?|Baron|I said already - I know who you are. Truth be told, it's the only reason we're talking.|Już mówiłem – wiem, kim jesteś. Szczerze mówiąc, tylko dlatego rozmawiamy.|Powiedziałem już - wiem kim jesteś. Szczerze mówiąc, to jedyny powód dla którego rozmawiamy.
1167|Zoltan Chivay|Besides, you're a doppler and an actor - and an actor and a doppler. Got double the spark to improvise your way outta any situation.|Zoltan Chivay|Of course. It's that simple. Thanks.|Dudu Biberveldt|Things get spicy you'll just nip round the corner and transform into a buxom wench, a jackdaw or whatever else strikes your fancy.|Jeśli zrobi się gorąco, możesz na przykład pójść za róg i zamienić się w cycatą babę albo... bo ja wiem – w kawkę.|Gdy sprawy stają się gorące, po prostu skręcisz za rogiem i przeistoczysz się w pulchną dziewczynę, kruka lub cokolwiek innego przyjdzie ci do głowy.
1168|Novigrad Thug Weak 02|Thought you were someone else.|Geralt|Walkin', walkin', always behind me walkin'. What the fuck.|Novigrad Thug Weak 02|Right.|Jasne.|Prawda.
1169|Verden Old Woman 01|||We, each one, use that veil as we will, how we will.|Verden Old Woman 01|What creatures enter the world 'neath a human veil - ye can never know.|Nigdy nie wiadomo, co za stworzenie pod powłoką ludzką na świat przychodzi.|My, każdy z nas, używa tej maski ludzkiej tak, jak chcemy, jak nam się podoba.
1170|Geralt|Longship belonged to Clan Dimun.|Geralt|A man's skeleton… Somebody pinned his skull to the deck with an axe.|Geralt|Men from Faroe attacked this ship.|Ten drakkar zaatakowali ludzie z Faroe.|Mężczyźni z Wysp Owczych zaatakowali ten statek.
1171|Geralt|A flyer, swooped down… Judging by the claw marks, gotta be a wyvern or a forktail.|Geralt|Kaedweni. Smell'll linger for hours…|Geralt|Shattered the wine barrel, but seems the people managed to escape.|Roztrzaskał beczkę z winem, ale ludziom najwyraźniej udało się uciec.|Rozbiło beczkę z winem, ale wydaje się, że ludzie zdołali uciec.
1172|Dwarf Sneezy|We'd share it with you, we would, but you look like one who'd just frown on any proceeds from theft.|Dwarf Grumpy|Won't say no to friends. Actually, I'll gladly take some of that coin.|Geralt|Aye, you got that righteous frown on you. Definitely.|Nie tknąłby, zgadza się. Zdecydowanie.|Aye, you got that righteous frown on you. Definitely.
1173|Geralt|||Personally, I'd 'ave played that hand differently. But… that's just my opinion.|Olivier Kingfisher|Sure, let's play.|Jasne, grajmy.|Tak, zagrajmy.
1174|Geralt|||||Maybe he meant this bottle...|Może chodziło mu o tę butelkę...|Może miał na myśli tę butelkę...
1175|Geralt|||||Griffin's nest. What remains of it, at least.|Gniazdo gryfa. Czy raczej to, co z niego zostało.|Gniazdo gryfa. To co z niego pozostało, przynajmniej.
1176|Geralt|Hm? Oh, yes, of course. Please excuse the precautions, but… perhaps we can speak somewhere in private?|Novigrad Noblewoman 02|Oh, you're…! Indeed. Well, I feel reassured Albert will be in good hands.|Novigrad Noblewoman 02|I think we've met before.|Mieliśmy okazję już się spotkać.|Myślę, że spotkaliśmy się już wcześniej.
1177|Geralt|||||Gave the signal. Spy should show up in Farcorners before midnight.|Dałem umówiony znak. Szpieg powinien pojawić się na Zamurzu przed północą.|Dał sygnał. Szpieg powinien pojawić się w Farcorners przed północą.
1178|Keira Metz|This what you're looking for?|Geralt|So what's it supposed to do?|Geralt|Ahah!|Aha!|Aha!
1179|Geralt|||Chin up. No shame in losing to me.|Ermion|Yeah, glad to play a round.|Tak, zagrajmy.|Tak, chętnie zagram rundkę.
1180|Temerian Peasant 03|Yes, yes. This Boyan, will he venture out to inspect his grain any time soon?|Vesemir|||What for? Harvest is a long way off yet.|A po co? Do żniw jeszcze daleko...|Po co? Żniwa są jeszcze daleko.
1181|Nilfgaardian Soldier 01|If I'd not come, only one man would've died. Really going back to your wife?|Geralt|Why… Why did you help me?|Nilfgaardian Soldier 01|Yes… she bore a child just before the war started. A girl - I named her Beatrys, after her grandmother.|Tak. Tuż przed wojną urodziło nam się dziecko. Dziewczynka. Dałem jej na imię Betrys, po babce.|Tak... Urodziła dziecko tuż przed rozpoczęciem wojny. Dziewczynkę - nazwałem ją Beatrys, po babci.
1182|Troll_2|Now let's all stay calm. Thaller'll be back. He just… needs to come with me… we'll, uh, get some leather for your shoes.|Geralt|Listen to Geralt. He's tellin' the ploughin' truth.|Talar|Heeeeeh?|Eee?|Heeeeeh?
1183|Skellige Villager 02|So long as Birna lets 'im off her leash.|Skellige Villager 01|The best mead! I'll toast a whole barrel for a king like that!|Skellige Villager 02|Don't ye go talkin' 'bout the konung's widow like that!|Ty na wdowę po królu nic nie mów!|Nie mów tak o wdowie po królu!
1184|Gnome Man 02|Greetings. What do you sell?|Geralt|Not that surprised, actually.|Geralt|Herbs, young lad. I've all sorts I gathered nearabout. You'd be surprised what useful plants grow by the roadside.|A ziółkami, młodzianku. Różne mam zioła, w okolicy zbierane. Zdziwiłbyś się, ile użytecznych roślinek przy drodze rośnie.|Zioła, młody człowieku. Mam różne, które zebrałem w okolicy. Zdziwiłbyś się, jak wiele użytecznych roślin rośnie przy drodze.
1185|Nilfgaardian Soldier 02|Did you see the Vigo woman?|Nilfgaardian Soldier 01|Also, merely to gaze at her is to commit treason, they say.|Nilfgaardian Soldier 02|How? She is not to leave her cabin.|Skąd. Nie wolno jej wychodzić z kajuty.|Jak? Ona nie może opuszczać swojej kabiny.
1186|Novigrad Rich Man 01|The Koviri legate wagered a whole bundle of villages! And he lost!|Novigrad Rich Man 01|Thieves!|Novigrad Rich Man 01|Hah!|Ha!|Haha!
1187|Guslar|Good folk! Leave not these grounds!|Guslar|All is quiet, all is gloom…|Chorus Eve|Ye cannot break the circle!|Nie wolno przerwać kręgu!|Nie możecie przerwać kręgu!
1188|Geralt|Geralt's worried. He believes we let Ge'els go too easily.|Cirilla|Agreed. Yet I do believe Ge'els will keep his word, withhold support from Eredin.|Avallach|Can never be too careful.|Ostrożności nigdy za wiele.|Nigdy nie można być zbyt ostrożnym.
1189|Geralt|Rawyn kasau iille, hepa fi.|Foreigner Woman 01|Recognize this? Understand?|Geralt|Your language… Reminds me of the language I saw in documents from a ship.|Ten język wydaje się podobny do języka z dokumentów ze statku.|Twoja mowa... Przypomina mi język, który widziałem w dokumentach ze statku.
1190|Geralt|||||What the hell's gotten into you? Slower.|Co za diabeł w ciebie wstąpił? Wolniej.|Co cię ugryzło? Wolniej.
1191|Witch Hunter 02|Not seen any like that here. Believe me, I'd remember.|Redanian Soldier 04|Each is a hundred years old at least. They use spells to erase the years, straighten humps, remove warts and ulcers.|Witch Hunter 03|But you will, eventually… And then remember this - their beauty's not born of nature but of witchcraft.|Ale w końcu zobaczysz... A wtedy pamiętaj. To piękno to nie dzieło natury, tylko guseł.|Ale wkrótce je zobaczysz… A wtedy pamiętaj o tym - ich uroda nie jest darem natury, lecz czarów.
1192|Geralt|||||Gotta go deeper. Need to open the passage somehow.|Jest gdzieś głębiej. Muszę jakoś otworzyć przejście.|Muszę zejść głębiej. Muszę jakoś otworzyć przejście.
1193|Novigrad Bard 03|Stay calm. Just stay calm!|Novigrad Bard 03|I'm in a rut… I've such a hard time finding inspiration…|Novigrad Bard 03|Gods save me!|Bogowie, ratujcie!|Boże chroń mnie!
1194|Geralt|As you enter the city through the red light district, you come upon a bridge. The Rosemary is just past it.|Dreamer Corine Tilly|So I've heard.|Dreamer Corine Tilly|Dandelion inherited a brothel?|Jaskier odziedziczył burdel?|Słyszałam, że Dandelion odzieddziczył burdel.
1195|Verden Old Woman 01|Ehh, witcher, if not for you…|Verden Old Woman 01|The gods sent ye!|Verden Old Woman 03|You saved us…|Uratowałeś nas...|Uratowałeś nas...
1196|Eustace|An' I call a prick a prick - it's none o' your fuckin' concern. What, are you a tax collector? Piss off, mutant!|Eustace|||Sod off. Don't know nothin' else.|Odwal się. Nic więcej nie wiem.|Odwal się. Nie wiem nic więcej.
1197|Geralt|I've never been more certain. The Eternal Fire is the best thing that could happen to me.|Tamara|Thank you for respecting my choice. Farewell.|Tamara|In that case… good luck.|W takim razie nie pozostaje mi nic innego, jak tylko życzyć ci powodzenia.|W takim razie... powodzenia.
1198|Skellige Warrior 03|||You promised!|Skellige Warrior 05|Our winner is the outlander!|Wygrał cudzoziemiec!|You promised!
1199|Skellige Berserker 02|Comin' to get you.|Skellige Berserker 02|Fuck yeaaaaah!|Skellige Berserker 02|Kill, maim, destroy!|Zabić, zdeptać, rozerwać!|Zabij, okalecz, niszcz!
1200|Novigrad Scribe 02|||||Tournament participants only! Everyone else out! Achoo! We are cordially invited to come back tomorrow.|Tylko uczestnicy turnieju! Reszta won! Apsik! Zapraszamy pojutrze.|Tournament participants only! Everyone else out! Achoo! We are cordially invited to come back tomorrow.
1201|Geralt|Just exploring the tunnel other side of the hill.|Geralt|Came here to cut nails.|Skellige Old Woman 03|Why're you here?|A wy co tu robicie?|Dlaczego tu jesteś?
1202|Geralt|||||Bruises on his neck, crushed larynx… Strangled.|Sińce na szyi, zmiażdżona krtań... Został uduszony.|Siniaki na szyi, zmiażdżona krtań... Zadławiony.
1203|Eskel|Fine. Lost a bit of blood, I suppose. Hangover was the worst part. She drank nothing but pickle juice for the next month.|Eskel|I'd drink from an old boot tonight.|Yennefer|Uh, Yen, we don't have glasses. You all right drinkin' from a mug?|Yen... Nie mamy kieliszków. Możesz pić z kubka?|Uh, Yen, nie mamy szklanek. Będziesz piła z kubka?
1204|Novigrad Citizen Woman 02|The latest cuts and colors.|Novigrad Trader 02|I'll answer it. From very far south indeed. From a land called Nilfgaard.|Novigrad Trader 04|You didn't answer the question.|Nie odpowiedziałeś na pytanie.|Nie odpowiedziałeś na moje pytanie.
1205|Geralt|Never mind. We'll talk later.|Geralt|||Not about to ask for anything. I'm telling you. You can try to stop me.|Nie będę o nic prosić. Oznajmiam. Możesz spróbować mi przeszkodzić...|Nie zamierzam o nic prosić. Mówię ci. Spróbuj mnie powstrzymać.
1206|Redanian Soldier 02|But we've nowhere to go. Naught but blood and mayhem there. Death, everywhere…|Novigrad Peasant 02|||Orders are orders. Back you go.|Rozkaz to rozkaz. Zawracajcie.|Rozkazy to rozkazy. Wracajcie.
1207|Verden Peasant 03|Sorry. Can't do that.|Geralt|No.|Geralt|I beg ye…|Błagam...|Proszę cię...
1208|Geralt|I saw Miss Corinne leave, but she refused to speak to me. Is the matter resolved? Or quite the opposite?|Novigrad Rich Man 03|Excellent! I must admit the experience has put me off the building - I shan't keep it. I'm mindful of the reward I owe you and you'll receive a sizeable commission. As soon as I'm… I'm able to sell the house.|Novigrad Rich Man 03|Burned some burdock in the stove. Godling couldn't stand the smell and fled. And Corinne simply… awoke. Anyway, house is clean.|Napaliłem w piecu łopianem. Bożątko tego nie zniosło i uciekło. A Corine po prostu się obudziła. Nieruchomość jest czysta.|Spaliłem trochę pokrzywy w piecu. Dzieciak nie mógł znieść smrodu i uciekł. A Corinne po prostu... obudziła się. W każdym razie dom jest czysty.
1209|Geralt|||Yes, Geralt. I was forced to sell him a few axes at the wholesale price, but I was glad to do it. Thank you!|Hattori|Greetings, Hattori. See Sukrus already found you. You two agree to something?|Witaj, Hattori. Widzę, że Sukrus już cię znalazł. Dogadaliście się?|Tak, Geralt. Zostałem zmuszony sprzedać mu kilka siekier po cenie hurtowej, ale byłem zadowolony z tej transakcji. Dziękuję!
