speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|default|dialog|dialog2|dialog3|dialog4
Geralt|To slay beasts most foul - 'twas for this I was made,|Geralt|He's swallowed the bait, this fool of a witcher!|Novigrad Poor Man 01|I kill as my calling, not just to get paid.|Nie robię tylko tego dlatego, że tak się opłaca.|Zabijam z powołania, a nie tylko po to, by dostać zapłatę.|Zabijam z powołania, nie tylko po to, by dostać zapłatę.|Zabijam z powołania, nie tylko dla pieniędzy.|Zabijam, bo takie jest moje powołanie, a nie po to, by zarobić.|Zabijam potwory jako moje powołanie, a nie tylko po to, by zarobić.
Geralt|Find my men, bring them back to camp. I will pay you well… as it stands in the notice and not a copper more, mind you. We must have order in the ledgers as well.|Nilfgaardian Officer 01|I see… Should you change your mind, you know where to find me.|Nilfgaardian Officer 01|Not my kind of work. Need to figure it out yourself.|To nie jest zlecenie dla mnie. Radź sobie sam.|Nie moja praca. Musisz to rozgryźć sam.|Nie moja robota. Musisz się z tym uporać sam.|Nie moja robota. Musisz się z tym uporać sam.|Nie moja robota. Musisz sobie poradzić sam.|Nie moja robota. Musisz sobie poradzić sam.
Lambert|Lambert… Believe you've had your last drink.|Geralt|I don't have the strength to argue.|Geralt|You're just jealous you didn't think of it first… But is that any reason to spoil it for us?|Hej, wiem, że jesteś zazdrosny, bo sam na to nie wpadłeś... Ale to nie powód, żeby nam psuć zabawę.|Jesteś po prostu zazdrosny, że nie wpadłeś na to pierwszy… Ale czy to jest jakiś powód, żeby psuć to nam?|Jesteś po prostu zazdrosny, że nie wpadłeś na to pierwszy... Ale czy to jest jakiś powód, żeby psuć nam to?|Jesteś po prostu zazdrosny, że nie wpadłeś na to pierwszy... Ale czy to jest jakiś powód, żeby psuć nam to?|- To tylko zazdrość, że nie wpadłeś na to pierwszy... Ale czy to jest powód, by psuć nam przyjemność?|Lambert: Ty jesteś po prostu zazdrosny, że nie wpadłeś na to pierwszy... Ale czy to jest jakiś powód, żeby psuć nam to teraz?
Geralt|It's hardly over. The envoy due to meet the Nilfgaardians tomorrow - no doubt Dijkstra ordered him killed. We'll need to protect him.|Roche|You've had your fill of politics. I understand.|Roche|Sorry, you're on your own. I've--|Wybaczcie, ale to już beze mnie, bo...|Przykro mi, jesteś zdany/zdana na siebie. Ja...|Przepraszam, radź sobie sam. Ja mam już dość polityki.|Przepraszam, radź sobie sam. Ja mam...|Przepraszam, radź sobie sam. Ja mam...|"Przepraszam, jesteś zdany na siebie. Ja...

(Tutaj brakuje pełnej wypowiedzi Geralta, ponieważ zgodnie z instrukcją mam tylko przetłumaczyć drugą część dialogu.)"
Geralt|Ugh. Just keep quiet.|Priscilla|Think I know how to free Dandelion. Got a plan, but we need Dudu, gotta find him.|Geralt|A Changeling Rescued, or the Witcher's Triumph - really emphasizes the message we're trying to get across.|„Zmiennik wybawiony albo tryumf Wiedźmina”. Chcemy, żeby Dudu od razu zrozumiał przekaz.|Ocalone pacholę, czyli triumf wiedźmina - naprawdę podkreśla przekaz, jaki chcemy przekazać.|Uratowany zmiennokształtny, czyli triumf wiedźmina - naprawdę podkreśla przekaz, który próbujemy przekazać.|"""Uratowany zmiennokształtny, czyli triumf wiedźmina - naprawdę podkreśla przekaz, który próbujemy przekazać."""|- Naprawdę podkreśla przekaz, który próbujemy przekazać.|A Changeling Rescued, Or The Witcher's Triumph - naprawdę podkreśla przekaz, który próbujemy przekazać.
Geralt|Morkvarg was wounded… Didn't give up, though.|Geralt|One of Freya's priestesses. No signs of violence. Must've died of hunger… a while ago.|Geralt|Morkvarg doesn't give up easily…|Widać Morkvarg łatwo nie odpuszcza.|Morkvarg nie poddaje się łatwo...|Morkvarg łatwo się nie poddaje...|Morkvarg nie poddaje się łatwo...|Morkvarg nie poddaje się łatwo...|Morkvarg nie poddaje się łatwo...
Redanian Townsman 03|Heresies? How's that? I don't remember anything…|Redanian Townsman 02|But that's for laughs… Frock-wearing idiots. Not an ounce of humor in them!|Redanian Townsman 02|Bleeding out his heart-blood's warmth, 'Fire, save me!' the student cried. Thrusting his stump into the hearth, he found heat, but still died.|„Zakrwawiony żak zakwiczał, trzeba mi świętego znicza! Wsadził kikut w palenisko i przekręcił się, chłopisko”.|"Krwawiąc z serca ciepłą krwią, ""Ogień, ratuj mnie!"" - krzyknął uczeń. Wpychając swój kikut w palenisko, poczuł ciepło, ale i tak umarł."|"Krwawiąc z serca ciepłą krwią, ""Ogień, ratuj mnie!"" - zawołał uczeń. Wpychając swój kikut do paleniska, poczuł ciepło, ale i tak umarł."|"Krwawiąc z serca, ""Ogień, ratuj mnie!"" - krzyknął student. Wpychając swój kikut do paleniska, poczuł ciepło, ale i tak umarł."|"Krwawiąc z serca, krzyknął: ""Ogień, ratuj mnie!"" Włożył swój kikut do paleniska, ale mimo ciepła umarł."|"Krwawiąc z serca, ""Ratuj mnie!"" - krzyknął student. Włożył swój kikut do ognia, szukając ciepła, ale i tak umarł."
Novigrad Old Man 02|Here. That enough?|Geralt|Not sure you're ready. You can barely stand.|Geralt|Hefty sack, like a bull's. When do we sail?|Worek ciężki jak bycze jaja. To co, gotowyś do drogi?|Ciężka torba, jak u byka. Kiedy wypływamy?|Ciężka torba, jak u byka. Kiedy wypływamy?|"""Sakwa ciężka jak byk. Kiedy wypływamy?"""|Ciężka torba, jakby byk miał ją unieść. Kiedy wypływamy?|Ciężka sakwa, jak byk. Kiedy wypływamy?
Novigrad Poor Man 03|Word is at the last one they served a hundred different desserts, and the fireworks boomed from dusk till dawn.|Triss|Won't be no candied petals of blue roses from Nazair. The roses've become dreadfully hard to come by.|Novigrad Poor Man 03|What with the war and all, m'lady's ordained but eighty-five desserts this time.|Tym razem ze względu na trudne wojenne czasy będziemy musieli się ograniczyć do osiemdziesięciu pięciu deserów.|Z powodu wojny i tak dalej, tym razem dla pani przewidziano zaledwie osiemdziesiąt pięć deserów.|Ze względu na wojnę i tak dalej, tym razem lady zarządziła jedynie osiemdziesiąt pięć deserów.|Ze względu na wojnę i tak dalej, tym razem m'lady zarządziła jedynie osiemdziesiąt pięć deserów.|Z powodu wojny, moja pani zarządziła tym razem jedynie osiemdziesiąt pięć deserów.|Co do wojny i tak dalej, moja pani zarządziła tym razem tylko osiemdziesiąt pięć deserów. Nie będzie konfetti z kandyzowanych płatków róż z Nazairu. Róże stały się okropnie trudne do zdobycia.
Geralt|Like his father - a kind man, but a dimwit. Devoured by an arachas, I don't know if you've heard.|Novigrad Noblewoman 02|Hardly. He attempted to breed them. Perhaps I should be pleased Albert adopted alchemy as his hobby - a safe one, relatively speaking, until recently, that is.|Novigrad Noblewoman 02|Yyyeah… Must've traveled far and wide.|Ymm... Musiał dużo podróżować.|Yyyeah... Musiał podróżować daleko i szeroko.|"Tłumaczenie drugiej wypowiedzi na język polski:

Eee... Musiał podróżować daleko."|"Tłumaczenie drugiej wypowiedzi na język polski:

""No tak... Musiał podróżować daleko."""|- Yyyeah… Musiał podróżować daleko.|"Tak jak jego ojciec - miły człowiek, ale głupi. Pożarty przez pająka aracha, pewnie słyszałeś.

---

Tłumaczenie drugiej wypowiedzi:

""Tak jak jego ojciec - miły człowiek, ale głupi."""
Skellige Warrior 03|You hunting them?|Geralt|Easy to recognize on account o' the yellow caps they wear. Folk see three yellow tops, they flee to their huts. Which don't help much, o' course, 'cause they're also fond of arson.|Skellige Warrior 03|Aye, quite the rogues, they are. Three of 'em, and every one's got a pack o' rapes and murders under his belt. Even took to grave robbin' lately!|Tak, niezłe z nich gnidy. Jest ich trzech, a wszyscy mają na koncie po kilka gwałtów i zabójstw. Ostatnio nawet jakiś grób rozkopali.|Tak, całkiem z nich łotry. Trzech ich jest, a każdy ma pod pazurami wór gwałtów i morderstw. Niedawno nawet zajęli się okradaniem grobów!|Tak, całkiem z nich nicponie. Trzech ich jest, a każdy ma na koncie pakiet gwałtów i morderstw. Ostatnio nawet zajęli się okradaniem grobów!|Tak, całkiem z nich nicponie. Trzech ich jest, a każdy ma na koncie pakiet gwałtów i morderstw. Ostatnio nawet zabrali się za okradanie grobów!|- Łatwo ich rozpoznać ze względu na żółte czapki, które noszą. Ludzie widzą trzy żółte czubki, uciekają do swoich chat. Co zresztą nie pomaga zbytnio, ponieważ lubią też podpalenia.|Tak, całkiem z nich zuchwali zbóje. Trzech ich jest, a każdy ma na sumieniu sporo rabunków i morderstw. Ostatnio zabrali się nawet za okradanie grobów! Łatwo ich rozpoznać po żółtych czapach, które noszą. Ludzie widzą trzy żółte czuby, uciekają do swoich chat. Co, oczywiście, na wiele się nie zdaje, bo lubią też podpalenia.
Vampire Medic 03|Last body - where was it found?|Geralt|Need to examine that spot.|Geralt|In a side alley, along the road from the docks to the brothel district. Someone had dropped it there in the middle of the night.|W bocznej uliczce, przy drodze z doków do dzielnicy burdeli. Ktoś porzucił je w środku nocy.|W bocznej uliczce, wzdłuż drogi od doków do dzielnicy domów publicznych. Ktoś porzucił je tam w środku nocy.|W bocznej alejce, przy drodze z doków do dzielnicy domów publicznych. Ktoś porzucił je tam w środku nocy.|W bocznej uliczce, wzdłuż drogi z doków do dzielnicy domów publicznych. Ktoś porzucił je tam w środku nocy.|W ciemnej uliczce, przy drodze z doków do dzielnicy domów publicznych. Ktoś porzucił tam ciało w środku nocy.|W ciemnej uliczce, przy drodze z doków do dzielnicy domów publicznych. Ktoś porzucił tam ciało w środku nocy.
Skellige Priestess 03|Freya be with you.|Skellige Priestess 03|Are you mad, you twit?|Skellige Priestess 03|Watch how you walk!|Jakże chodzisz!|Uważaj, jak chodzisz!|Uważaj jak chodzisz!|Uważaj, jak chodzisz!|Uważaj, jak chodzisz!|Uważaj, jak chodzisz!
Novigrad Nobleman 14|Oh, greetings. Do we know each other?|Novigrad Nobleman 14|So dreadfully dull, it's downright painful.|Novigrad Nobleman 14|Behave yourself. Do what you must, but behave.|Zachowuj się. Byle jak, ale się zachowuj, człowieku.|Zachowuj się. Rób to, co musisz, ale zachowuj się.|Zachowuj się. Rób, co musisz, ale zachowuj się.|Zachowuj się. Rób co musisz, ale zachowuj się.|Zachowuj się. Rób, co musisz, ale zachowuj się.|Zachowuj się. Rób co musisz, ale zachowuj się.
Triss|I'm not going back to it. It's just… It's one thing to say something, it's another to actually do it.|Geralt|Now we wait for them to scurry away.|Triss|We promised to remain friends. I hope nothing'll change that.|Obiecaliśmy sobie pozostać przyjaciółmi i mam nadzieję, że nic tego nie zmieni.|Obiecaliśmy pozostać przyjaciółmi. Mam nadzieję, że nic tego nie zmieni.|Obiecaliśmy pozostać przyjaciółmi. Mam nadzieję, że nic tego nie zmieni.|Obiecaliśmy pozostać przyjaciółmi. Mam nadzieję, że nic tego nie zmieni.|Obiecaliśmy pozostać przyjaciółmi. Mam nadzieję, że nic tego nie zmieni.|Obiecaliśmy pozostać przyjaciółmi. Mam nadzieję, że nic tego nie zmieni.
Verden Peasant 01|Folk say he showed no gratitude for a favor granted.|Verden Peasant 03|Ladies of the Wood - not to be fooled with.|Verden Peasant 01|Made no offerin'.|Ofiary nie złożył.|Nie złożyłem żadnej oferty.|Nie złożyłem żadnej propozycji.|Nie złożyłem żadnej propozycji.|Nie złożyłem żadnej propozycji.|Nie złożyłem żadnej propozycji.
Novigrad Thug Strong 02|Gettin' on me nerves, you gray-haired knob. Piss off.|Novigrad Thug Strong 02|They kill him?|Novigrad Thug Strong 03|You heard? They raided Cleaver's house.|Słyszałeś, że napadli na dom Tasaka?|Słyszałeś? Przeszukali dom Cleavera.|Słyszałeś? Przeszukali dom Cleavera.|Słyszałeś? Przeszukali dom Cleavera.|Słyszałeś? Przeszukali dom Cleavera.|Słyszałeś? Zrobili nalot na dom Cleavera.
Werewolf Berem|There's one. Find the Crone, guide me through the swamp - to her.|Geralt|Then I'll see.|Geralt|And then?|A potem?|A potem?|A potem?|A potem?|A potem?|A potem?
Novigrad Rich Woman 03|How dare you?!|Novigrad Rich Woman 03|Oh no! Noooo!|Novigrad Rich Woman 03|Guards!|Straże!|Strażnicy!|Strażnicy!|Strażnicy!|Strażnicy!|Strażnicy!
Novigrad Poor Man 03|All right, let's open it.|Geralt|Vampire. Probably regenerates here.|Geralt|Bloede glewynn!|Bloede glewynn!|Krew wilka!|Krew wilka!|"""Krew wilka!"""|Krew wilka!|Krew wilka!
Geralt|They're run as per Erasmus Vegelbud's dying wish. He came into his fortune by gambling and remained proud of the fact to the end.|Novigrad Rich Man 01|But the house, his fortune, would not even be theirs had they not fulfilled Lord Erasmus' wish - he made it a condition.|Novigrad Rich Man 01|Family doesn't mind having a race track right by their house?|Rodzinie nie przeszkadza tor wyścigowy pod domem?|Rodzina nie ma nic przeciwko temu, aby mieć tor wyścigowy tuż obok swojego domu?|Rodzina nie ma nic przeciwko temu, że tor wyścigowy znajduje się tuż obok ich domu?|"""Rodzina nie ma nic przeciwko posiadaniu toru wyścigowego tuż obok swojego domu?"""|Rodzina nie ma nic przeciwko temu, że tuż obok ich domu znajduje się tor wyścigowy?|Ale dom, jego fortuna, nie należałyby do nich, gdyby nie spełnili życzenia lorda Erasmusa - postawił to jako warunek.
Novigrad Nobleman 03|Watch it, peasant!|Novigrad Nobleman 03|Have mercy on me!|Novigrad Nobleman 03|Weapon!|Broń!|Broń!|Broń!|Broń!|Broń!|Broń!
Mage 02|Don't push.|Mage 02|Desist!|Mage 02|The sword is un… necessary.|Miecz eee.. jest tu niepotrzebny...|Miecz jest... zbędny.|Miecz jest... zbędny.|Miecz jest... zbędny.|Miecz jest... zbędny.|Miecz jest... zbędny.
Skellige Villager 01|Hilda? No, not her. But her mother's over from Hindarsfjal…|Skellige Villager 01|Me old lady claims I smell of the barn.|Skellige Villager 03|What're you sniffin' at?|Co tak niuchasz?|Co tam wąchasz?|Czego się tak krzywisz?|Czego węszysz?|Co tak węszysz?|Co tak węszysz?
Novigrad Nobleman 12|Those were the days…|Novigrad Nobleman 11|Akh akh akh hmm.|Novigrad Nobleman 12|Tsk, tsk. Be on your way.|No, no. Idźcie sobie.|Tsk, tsk. Idź już stąd.|Tsk, tsk. Idź już stąd.|"""No już, ruszaj się."""|- Pst, pst. Idź już.|Pospiesz się.
Skellige Merchant 01|My stall awaits!|Skellige Merchant 01|Move it! Run!|Skellige Merchant 01|Help!|Na pomoc!|Pomocy!|Pomocy!|Pomocy!|Pomocy!|Pomocy!
Eternal Fire Priest 16|Convert, brother.|Eternal Fire Priest 16|The Eternal Fire will light our way!|Eternal Fire Priest 16|The Eternal Fire will guide us…|Wieczny Ogień nas prowadzi...|Wieczny ogień będzie nas prowadzić...|Wieczny ogień poprowadzi nas...|"""Wieczny ogień będzie nas prowadzić..."""|Wieczny Ogień będzie nas prowadzić...|Wieczny Ogień poprowadzi nas...
Halfling Man 02|Good day.|Halfling Man 02|Greetings.|Halfling Man 02|Wouldn't hit a halfling, would you?|Chyba nie uderzysz niziołka?|Nie uderzyłbyś półelfa, prawda?|Nie uderzysz hobbita, prawda?|Nie uderzysz hobbita, prawda?|Nie uderzysz półorka, prawda?|Nie uderzysz chyba hobbita, prawda?
Novigrad Thug Weak 02|He's right! Oy, mummers! Don't know the Eternal Fire's commandments?|Novigrad Thug Weak 03|What you on about! Shut the fuck up and clap, afore I tear you new arseholes.|Novigrad Thug Strong 03|Blasphemers! Oughta teach them respect for the faith!|Bluźniercy! Szacunku do wiary trzeba ich nauczyć!|Bluźniercy! Należałoby nauczyć ich szacunku dla wiary!|Bluźniercy! Powinni nauczyć ich szacunku dla wiary!|Bluźniercy! Należałoby nauczyć ich szacunku do wiary!|Bluźniercy! Powinni nauczyć się szacunku dla wiary!|Bluźniercy! Powinni nauczyć się szacunku dla wiary!
Crach|You'll be hard pressed to defeat the imperial fleet.|Geralt|Can't say how sorry I am about your loss, jarl.|Geralt|We will conquer or perish. Hjalmar and Cerys showed us how to die like heroes.|Zwyciężymy albo zginiemy. Hjalmar i Cerys dali przykład, jak umierają prawdziwi bohaterowie.|Zdobędziemy lub zginiemy. Hjalmar i Cerys pokazali nam, jak umierać jak bohaterowie.|Zdobędziemy lub zginiemy. Hjalmar i Cerys pokazali nam, jak umierać jak bohaterowie.|Zdobędziemy lub zginiemy. Hjalmar i Cerys pokazali nam, jak umierać jak bohaterowie.|Pokonamy ich flotę imperium lub zginiemy. Hjalmar i Cerys pokazali nam, jak umierać jak bohaterowie.|Zdobędziemy lub zginiemy. Hjalmar i Cerys pokazali nam, jak umierać jak bohaterowie.
Geralt|What about?|Lambert|That disappointment I hear?|Lambert|You haven't changed a lick.|Nic się nie zmieniłeś.|Nie zmieniłeś się ani trochę.|Nie zmieniłeś się ani trochę.|Nie zmieniłeś się ani trochę.|Nie zmieniłeś się ani trochę.|Ty się zupełnie nie zmieniłeś.
Verden Old Woman 01|You've mastered a trade - keeps the hunger at bay.|Verden Old Man 03|Neighbor saw a dead woman. Lyin' there, all quiet and calm…|Verden Old Woman 01|Aye, felt it comin' in me bones.|Na deszcz mnie tak łamało.|Tak, czułem to nadchodzące w moich kościach.|Tak, czułem to nadchodzące w moich kościach.|Tak, czułam to nadchodzące w moich kościach.|Tak, czułem to nadchodzące w moich kościach.|Tak, czułam to nadchodzące w moich kościach.
Geralt|I was a lovely young woman. Wore a long, beautiful braid my mummy did up for me. Had dresses with flowers on 'em.|Celina|Your betrothed?|Celina|Maybe you've seen her. Young... Ashen hair.|Może ją widziałaś. Młoda... Ma szare włosy.|Może ją widziałeś. Młoda... Popielate włosy.|Może ją widziałeś. Młoda... Popielate włosy.|Może ją widziałeś. Młoda... Popielate włosy.|Może ją widziałeś. Młoda... Popielate włosy.|Może ją widziałeś. Młoda... Szare włosy.
Geralt|And how many would you say remain in the North? How many alchemists, healers, herbalists? Two thousand? Three?|Dijkstra|No. I'm concerned. In Novigrad, they had us, we were here… But who'll save those in Rinbe? Ban Ard? Ard Carraigh? Gulet? You know damn well that daft bastard Radovid won't rest till he's killed them all. Every last one. Yennefer and Triss included.|Dijkstra|Doing a population count? Is that it?|A co? Robisz spis powszechny?|Robisz spis ludności? To wszystko?|Robisz spis ludności? Czyżby?|"Tłumaczenie tej części dialogu na język polski:

""Robisz spis ludności? O to chodzi?"""|- Robisz spis ludności? Czy o to chodzi?|Robisz spis ludności? Czy o to chodzi?
Gnome Man 02|But why ever would he want that?|Dwarf Man 01|Oy, Master Witcher! We've a gift for you!|Gnome Man 03|Man'll be thrilled. Come on! Go!|Na pewno się ucieszy. No? No idź!|Facet będzie zachwycony. No dalej! Ruszaj się!|Będzie zachwycony. Ruszajmy! Idźmy!|Będzie zachwycony. Ruszajmy! Jedźmy!|- Chodźmy! Ruszaj się!|Człowiek będzie zachwycony. Chodźmy! Ruszaj się!
Geralt|See any monsters? Eh? Sod off, witcher, we've no need for you!|Temerian Bandit 01|Where?!|Temerian Peasant 03|Actually, I see a few monsters…|Widzę nawet kilka potworów...|W rzeczywistości widzę kilka potworów...|W rzeczywistości widzę kilka potworów...|W rzeczywistości widzę kilka potworów...|Widzę kilka potworów...|Naprawdę widzę kilka potworów...
Skellige Woman 02|Lace? That's fine for little lasses on the Continent.|Skellige Woman 02|Oh, that lighthouse puts me in a right fury… If only it were somethin' different - a troll, a chort, a griffin even!|Skellige Villager 01|But I'll not dress like a Novigrad doll. I'll stick with wool, thank you very much.|Ja się nie muszę stroić jak te novigradzkie lalki. Wełna mi wystarczy.|Ale nie będę się ubierać jak lalka z Novigradu. Zostanę przy wełnie, dziękuję bardzo.|Ale nie będę się ubierać jak lalka z Novigradu. Zostanę przy wełnie, dziękuję bardzo.|Ale nie będę się ubierać jak lalka z Novigradu. Zostanę przy wełnie, dziękuję bardzo.|Ale ja nie będę się ubierać jak laleczka z Novigradu. Zostanę przy wełnie, dziękuję bardzo.|Ale ja się nie ubiorę jak lalka z Novigradu. Zostanę przy wełnie, dziękuję bardzo.
Triss|Better not be joking. What - doublet doesn't match my boots, or vice versa?|Geralt|Everything's ready, we can go.|Geralt|It's not that.|Nie w tym rzecz.|To nie to.|To nie o to chodzi.|To nie o to chodzi.|Nie żartuj. Co - dubeltówka nie pasuje do moich butów, czy odwrotnie?|To nie o to chodzi.
Baron Bandit Strong 03|Only got one prick, though. In case you're wondering about that, too.|Geralt|Saw one in action once. Killed a half dozen, blood everywhere - freak didn't even show a drop of sweat.|Baron Bandit Weak 01|Don't touch 'im. Don't even look at 'im. Worse than lepers, that lot.|Nie tykać go. Nawet nie patrzeć. To gorsze niż trędowaty.|Nie dotykaj go. Nawet na niego nie patrz. Gorsi od trędowatych, cała ta banda.|Nie dotykaj go. Nawet na niego nie patrz. Gorsi od trędowatych, cała ta banda.|Nie dotykaj go. Nawet na niego nie patrz. Gorsi od trędowatych, ta banda.|Nie dotykaj go. Nawet na niego nie patrz. Gorsi od trędowatych, ta banda.|Nie dotykaj go. Nawet na niego nie patrz. Gorsi od trędowatych, ta banda.
Cyprian Willey|What the sandwich fuck is this?|Cyprian Willey|Help me, for fuck's sake!|Cyprian Willey|Oh fuck me…|Ja pierdolę...|O cholera...|O cholera...|Och ja pierdolę...|O cholera...|O cholera...
Geralt|Errr…. Yeah… Royal officials issue 'em. But they're also available on the black market.|Redanian Soldier 03|Don't know the names…. Ask folk around the crossin's. They'll know more.|Redanian Soldier 03|From who?|Od kogo?|Od kogo?|Od kogo?|Od kogo?|Nie znam nazwisk... Zapytaj ludzi przy skrzyżowaniach. Oni będą wiedzieć więcej.|Nie znam nazwisk... Zapytaj ludzi przy skrzyżowaniach. Oni będą wiedzieć więcej.
Geralt|The sandcrabs have sensed our presence.|Avallach|What is this place?|Geralt|Wonderful.|Świetnie.|Cudowne.|Wspaniale.|'Wspaniale.'|Doskonale.|Co to za miejsce?
Dijkstra|Think I'll let your host introduce me.|Geralt|Allegedly. But I didn't kill Foltest. And hello to you, too, Dijkstra… Reuven - whatever they call you these days.|Geralt|He's a witcher. The very one who first foiled an attempt on Foltest's life and then killed that monarch.|To wiedźmin. Ten sam, który najpierw powstrzymał zamach na Foltesta, a potem go zabił.|On jest wiedźminem. Właśnie ten, który po raz pierwszy udaremnił zamach na życie Foltesta, a potem zabił tego monarchę.|To jest wiedźmin. Ten sam, który po raz pierwszy udaremnił zamach na życie Foltesta, a potem zabił tego monarchę.|To jest czarodziej. Ten sam, który po raz pierwszy udaremnił zamach na życie Foltesta, a następnie zabił tego monarchę.|"- To czarodziejka. Ta sama, która po raz pierwszy udaremniła zamach na życie Foltesta, a potem zabiła tego monarchę.
- Rzekomo. Ale ja nie zabiłam Foltesta. A ciebie, Dijkstra... Reuven - jakkolwiek się teraz nazywasz - witam również."|On jest wiedźminem. Ten sam, który po raz pierwszy udaremnił zamach na życie Foltesta, a potem zabił tego monarchę.
Cirilla Young|Take that! Sliced your jugular!|Cirilla Young|Pretend now, live later!|Vesemir|What am I supposed to parry? I'm fighting a stupid dummy!|Co ja mam blokować? Walczę z głupią kukłą!|Co mam parować? Walczę z głupią kukłą!|Czym mam się zasłaniać? Walczę z głupim manekinem!|'Co mam odbijać? Walczę z głupim manekinem!'|- Teraz udawaj, później przeżyj!|Co mam odbijać? Walczę z głupim manekinem!
Lambert|Mhm. Old Speartip's looking for us already.|Geralt|Bones… Pulverized.|Geralt|Something tells me he's not gonna like this…|Coś mi mówi, że to mu się nie spodoba...|Coś mi mówi, że on tego nie polubi...|Coś mi mówi, że on tego nie polubi...|Coś mi mówi, że on tego nie polubi...|Coś mi mówi, że on tego nie polubi...|Coś mi mówi, że on nie będzie zadowolony...
Nilfgaardian Prologue 02|Drop your sword! At once!|Nilfgaardian Prologue 02|What do you want, wanderer?|Nilfgaardian Prologue 02|You'll not get food, not from me.|Nie dostaniesz nic do jedzenia. Nie ode mnie.|Nie dostaniesz jedzenia, nie ode mnie.|Nie dostaniesz jedzenia, ode mnie na pewno nie.|Nie dostaniesz jedzenia, ode mnie na pewno nie.|Nie dostaniesz jedzenia, nie ode mnie.|Nie dostaniesz jedzenia, nie ode mnie.
Geralt|Shall we begin?|Yennefer|Need a bit more time.|Geralt|Graden'll show up, and Zoltan awaits your signal.|Graden się zjawi, a Zoltan czeka na twój sygnał.|Graden się pojawi, a Zoltan czeka na twój sygnał.|Graden się pojawi, a Zoltan czeka na twoje sygnały.|"""Graden się pojawi, a Zoltan czeka na twój sygnał."""|Graden się pojawi, a Zoltan czeka na twoje sygnały.|Geralt: Graden się pojawi, a Zoltan czeka na twój sygnał. Potrzebujemy trochę więcej czasu.
Yennefer|Eys'u failte beydem aen eich'te llyvaid.|Yennefer|What is it, then?|Geralt|That is no meteorite crater…|To nie był meteoryt...|To nie jest krater meteorytowy...|To nie jest krater meteorytu...|To nie jest krater meteorytowy...|To nie jest krater meteorytu...|To nie jest krater meteorytowy...
Lugos The Glaucous|Mortally so. But that's my reason for goin' there.|Lugos The Glaucous|I was about to go. You ready?|Lugos The Glaucous|Fine, so be it, I'll take ye… Old man's like to throw a fit elsewise.|Dobra, niech będzie... Bo stary się będzie pluł.|Dobrze, niech tak będzie, wezmę cię... Stary człowiek pewnie dostanie szału w przeciwnym razie.|Dobrze, niech tak będzie, wezmę cię... Stary inaczej dostanie szału.|Dobrze, niech tak będzie, wezmę cię... Stary dostanie szału, jeśli tego nie zrobię.|Dobrze, niech tak będzie. Wezmę cię... Stary inaczej dostanie szału.|Dobrze, niech tak będzie, zabiorę cię... Stary dostanie szału, jeśli tego nie zrobię.
Triss|Hm… Maybe we should talk about something else?|Geralt|Yes, Geralt?|Triss|Gladly. I was about to ask the same.|Chętnie. Sama miałam to zaproponować.|Chętnie. Właśnie miałem zapytać o to samo.|Chętnie. Miałem zamiar zaproponować to samo.|Chętnie. Miałam zamiar zaproponować to samo.|Chętnie. Właśnie miałem zapytać o to samo.|Chętnie. Miałam zamiar zaproponować to samo.
Novigrad Peasant 03|Aye. Each winter's harsher than the last, every spring's cooler… Maybe it's true - the White Frost is comin'.|Novigrad Peasant 02|Sun's high already, Betje, and you've barely gathered a second basket. Not good.|Novigrad Peasant 01|It's always been comin' and just… never arrives. Black Ones, though, they've come. Sittin' right across the river. War's the real worry, not prophecies.|Idzie, idzie i przyjść nie może. Za to Czarni za rzeką stoją. Wojną trzeba się martwić, nie przepowiedniami.|Zawsze nadchodziło i po prostu... nigdy nie przybywa. Czarne jednostki jednak przyszły. Siedzą dokładnie po drugiej stronie rzeki. Prawdziwym zmartwieniem jest wojna, a nie proroctwa.|To zawsze nadchodziło i po prostu... nigdy nie przybywa. Czarne Jedynki jednak, one już tu są. Siedzą dokładnie po drugiej stronie rzeki. Prawdziwym zmartwieniem jest wojna, a nie proroctwa.|Zawsze nadchodziło i po prostu... nigdy nie przybywa. Czarni jednak przyszli. Siedzą dokładnie po drugiej stronie rzeki. Prawdziwym zmartwieniem jest wojna, a nie proroctwa.|Zawsze nadchodziło i po prostu... nigdy nie przybywało. Czarni jednak, oni już tu są. Siedzą dokładnie po drugiej stronie rzeki. Prawdziwym zmartwieniem jest wojna, a nie proroctwa.|Zawsze nadchodziło i po prostu... nigdy nie przybywało. Czarni jednak, oni już tu są. Siedzą dokładnie po drugiej stronie rzeki. Prawdziwe zmartwienie to wojna, a nie proroctwa.
