|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
1142|Novigrad Peasant Woman 03|Eternal Fire!|Novigrad Peasant Woman 03|Josef's pigs got hoof-and-mouth. Must be a curse!|Novigrad Peasant Woman 03|Keep us in thy grace.|W łasce swej nas zachowaj|Chroń nas w swej łasce.|Zachowaj nas w swojej łasce.
1143|Mage 02|Gimme a minute. Need to prepare.|Geralt|There, at last!|Mage 02|Of course. But please do hurry.|Oczywiście. Tylko bardzo proszę – pospiesz się.|Oczywiście. Ale proszę się pospieszyć.|Oczywiście. Ale proszę się pospieszyć.
1144|Geralt|Geralt - this doesn't concern you. You may go… Fare thee well on your Path or whatnot.|Dijkstra|You're mistaken.|Talar|Sure this isn't premature? Radovid's dead, but it's a long way from that to a free Temeria. War's not over, not even close.|Nie za wcześnie na świętowanie? Radowid nie żyje, prawda... Ale do wolnej Temerii jeszcze daleka droga. Wojna się jeszcze nie skończyła.|Czy to nie jest przedwczesne? Radovid nie żyje, ale daleka droga od tego do wolnej Temerii. Wojna nie skończyła się, nawet nie jest bliska końca.|Na pewno to nie jest przedwczesne? Radovid nie żyje, ale daleka droga stąd do wolnej Temerii. Wojna się jeszcze nie skończyła, nawet nie jest blisko.
1145|Hjort|Ahem|Geralt|These voices you hear…|Geralt|Jarl, our guests, remember?|Jarlu, to nasi goście, pamiętasz?|Pamiętajcie, mamy gości, Jarl.|Jarl, nasi goście, pamiętasz?
1146|Geralt|Bruises, broken fingernails… She defended herself. Must be why it took him longer. And why he almost got caught.|Geralt|Won't get away this time.|Geralt|"Here it is. ""Sweet Nettie - Crippled Kate's."" Growing bolder. Not just the name, but the place, too."|Jest wiadomość. „Słodka Anneke. Kuternoga Katarzyna”... Robi się bezczelny. Nie dość, że podał imię, to jeszcze i miejsce.|"Oto jest. ""Słodka Nettie - Okaleczona Kate's"". Staje się coraz śmielszy. Nie tylko nazwa, ale także miejsce."|"Tu jest to. ""Słodka Nettie - Okaleczona Kate."" Coraz śmielsze. Nie tylko imię, ale także miejsce."
1147|Skellige Warrior 03|I don't care about that! What happened to her? What was she doing here? Speak!|Yennefer|Speak!|Yennefer|Nnnnnoooo…..|Nnnnie...|Nie...|Nnnnnoooo...
1148|Verden Peasant 01|Aye, necrophages think leather boots a delicacy!|Verden Woman 03|Garlic. For the vampeer.|Verden Woman 05|What you got growin' here?|Cóżeś tu wysadziła?|Co tutaj uprawiacie?|Co tutaj rośnie?
1149|Geralt|Very well, then - if you won't bring Anna home, you might at least tell me how she landed in that blasted swamp.|Baron|What the blazes…?! She all right? In good health? Safe? Why haven't you brought her back?!|Baron|Your daughter's in Oxenfurt.|Twoja córka jest w Oxenfurcie.|Twoja córka jest w Oxenfurcie.|Twoja córka jest w Oksfordzie.
1150|Scoiatael Elf Man 33|Hey.|Scoiatael Elf Man 32|How-oo...!|Scoiatael Elf Man 33|How-ow-ow-oo...!|Auuuuuu!|Co?|Jak-jak-jak-jak...!
1151|Novigrad Peasant 38|*Ptooey* Damnation!|Novigrad Peasant 38|Lout.|Novigrad Peasant 38|The plague.|Zaraza.|Dżuma.|Zaraza.
1152|Novigrad Thug Strong 01|My friend asked you nicely, so please be courteous in return and hear him out. Or we'll settle this another way.|Geralt|Hubio, right? Polly's told me so much about you. She said you're erudite, and have an open mind.|Dandelion|All right.Talk.|No dobra... Mów.|No dobrze. Mów.|W porządku. Mów.
1153|Skellige Boy 03|Cheers!|Skellige Boy 03|Ughh, rainin' again?|Skellige Boy 03|When will ye gimme my rod back?|Kiedy mi oddasz moja wędkę?|Kiedy mi oddasz mój kij?|Kiedy mi oddasz moją laskę?
1154|Verden Woman 02|May pox and the shits take any that be hoardin' a hog!|Verden Woman 02|Want to chat? No' with me. My head's a-twirlin' with hunger.|Verden Woman 02|Can any folk afford to buy from ye?|Stać kogo, żeby kupywać u was?|Czy ktokolwiek może sobie pozwolić na zakup od ciebie?|Czy każdy może sobie pozwolić na zakup od was?
1155|Skellige Fisherman 01|||Oh, you return. So - the tower? Anythin' to be done?|Skellige Fisherman 01|Hemdall guide you.|Niech cię Hemdall prowadzi.|Niech Hemdall cię prowadzi.|Hemdall prowadź mnie.
1156|Geralt|I'll go see Donar… Then I'll leave Skellige.|Geralt|Geralt, don't… There's nothing more pathetic than a sorceress in tears.|Yennefer|Gonna miss you.|Będę tęsknić.|Będę za tobą tęsknić.|Będę za tobą tęsknić.
1157|Geralt|I'm not one to judge, sir.|Novigrad Poor Man 03|Lady Vegelbud's valet. I… I meant you no offense, sir.|Novigrad Poor Man 03|Now that we're past the initial courtesies, maybe you can tell us who you are.|Skoro już jesteśmy przy wstępnych uprzejmościach, może powiesz, ktoś ty.|Może teraz, gdy mamy za sobą wstępne uprzejmości, możesz nam powiedzieć, kim jesteś.|Teraz, gdy mamy już za sobą wstępne uprzejmości, może powiesz nam, kim jesteś.
1158|Geralt|||Nay, no, nay. Pellar don't know.|Guslar|Anna and her daughter are missing. Know where they are?|Anna i jej córka zaginęły. Wiesz, gdzie są?|Anna i jej córka zaginęły. Wiesz gdzie one są?|Anna i jej córka zaginęły. Wiecie, gdzie one są?
1159|Geralt|Here we are.|Yennefer|Due to an edict Hemmelfart issued some years ago. But I managed to find two brawny and obliging passers-by who agreed to remove the impediment. For a modest fee, naturally.|Yennefer|This is it? Hmm… Boulder was plugging the well until recently.|Tutaj? Hmm... Jeszcze niedawno cembrowina była przywalona kamieniem.|Czy to tutaj? Hmm... Głaz zatykał studnię do niedawna.|To jest to? Hmm... Boulder pompował studnię aż do niedawna.
1160|Geralt|Take care of the girl. Don't let anyone harm her.|Ves|We're bound for Novigrad, to fight the next fight.|Roche|What will you do?|Co zamierzacie?|Co zamierzasz zrobić?|Co zrobisz?
1161|Geralt|Well, we've jested and laughed, but I've a sense you're in a hurry.|Dijkstra|You know, Geralt, somehow I dislike running into you at parties.|Dijkstra|Really?|Tak?|Naprawdę?|Naprawdę?
1162|Geralt|Besides, something big's set to happen here, I just know it… I learn what it is, Radovid'll appreciate it… King'll promote me, maybe even give me a medal.|Witch Hunter 04|Uhhh… Don't know the details, but I came across Philippa Eilhart's notes.|Witch Hunter 04|What's the big event that's supposed to happen?|Co takiego ma się tu wydarzyć?|Co to za duże wydarzenie, które ma się tu odbyć?|Co to za wielkie wydarzenie, które ma się odbyć?
1163|Geralt|Yes, luck stood with you! B-but the next time we meet…|Redanian Soldier 01|We shall meet again!|Redanian Soldier 01|Go back to Maid Bilberry and apologize for being an ass. Quick, before I change my mind and break your bones.|Wracaj do panny Jagódki. W kabanich podskokach. Zanim zmienię zdanie i porachuję ci kości. No już.|Wróć do Maid Bilberry i przeproś za bycie dupkiem. Szybko, zanim zmienię zdanie i połamię ci kości.|Wróć do Maid Bilberry i przeproś za bycie dupkiem. Szybko, zanim zmienię zdanie i połamię ci kości.
1164|Celina|I'm a witcher. Monsters don't scare me.|Geralt|||We've heard a thing or two about witchers, their lust.|Słyszałyśmy niemało o wiedźmińskiej chuci.|Słyszeliśmy co nieco o czarodziejach, ich żądzach.|Słyszeliśmy to i owo o wiedźminach, ich żądzy.
1165|Chamberlain Emhyr|Yeah, mentioned something of the sort. So long.|Geralt|||May the Golden Sun shine upon you always.|Niechaj Wielkie Słońce zawsze wam przyświeca.|Niech zawsze świeci na ciebie Złote Słońce.|Niech zawsze świeci na ciebie Złote Słońce.
1166|Baron|Geralt of Rivia. Blobtits call me the Butcher of Blaviken.|Geralt|How do you like it here in Velen?|Baron|I said already - I know who you are. Truth be told, it's the only reason we're talking.|Już mówiłem – wiem, kim jesteś. Szczerze mówiąc, tylko dlatego rozmawiamy.|Powiedziałem już - wiem kim jesteś. Szczerze mówiąc, to jest jedyny powód dla którego rozmawiamy.|Powiedziałem już - wiem, kim jesteś. Szczerze mówiąc, to jedyny powód, dla którego rozmawiamy.
1167|Zoltan Chivay|Besides, you're a doppler and an actor - and an actor and a doppler. Got double the spark to improvise your way outta any situation.|Zoltan Chivay|Of course. It's that simple. Thanks.|Dudu Biberveldt|Things get spicy you'll just nip round the corner and transform into a buxom wench, a jackdaw or whatever else strikes your fancy.|Jeśli zrobi się gorąco, możesz na przykład pójść za róg i zamienić się w cycatą babę albo... bo ja wiem – w kawkę.|Gdy sytuacja robi się gorąca, po prostu skręcisz za róg i przeistoczysz się w ponętną dziewczynę, kruka lub cokolwiek innego, co przyjdzie ci do głowy.|Rzeczy stają się pikantne, po prostu skręcisz za rogiem i przemienisz się w krągłą dziewczynę, kruka lub cokolwiek innego, co przyjdzie ci do głowy.
1168|Novigrad Thug Weak 02|Thought you were someone else.|Geralt|Walkin', walkin', always behind me walkin'. What the fuck.|Novigrad Thug Weak 02|Right.|Jasne.|Dobrze.|Dobrze.
1169|Verden Old Woman 01|||We, each one, use that veil as we will, how we will.|Verden Old Woman 01|What creatures enter the world 'neath a human veil - ye can never know.|Nigdy nie wiadomo, co za stworzenie pod powłoką ludzką na świat przychodzi.|Jakie stworzenia rodzą się pod ludzkim płaszczem - nigdy nie dowiecie się.|Jakie stworzenia wkraczają na świat pod ludzką maską - nigdy się nie dowiecie.
1170|Geralt|Longship belonged to Clan Dimun.|Geralt|A man's skeleton… Somebody pinned his skull to the deck with an axe.|Geralt|Men from Faroe attacked this ship.|Ten drakkar zaatakowali ludzie z Faroe.|Mężczyźni z Wysp Owczych zaatakowali ten statek.|Mężczyźni z Wysp Owczych zaatakowali ten statek.
1171|Geralt|A flyer, swooped down… Judging by the claw marks, gotta be a wyvern or a forktail.|Geralt|Kaedweni. Smell'll linger for hours…|Geralt|Shattered the wine barrel, but seems the people managed to escape.|Roztrzaskał beczkę z winem, ale ludziom najwyraźniej udało się uciec.|Rozbiło beczkę z winem, ale wydaje się, że ludzie zdołali uciec.|Rozbiła się beczka z winem, ale wydaje się, że ludzie zdołali uciec.
1172|Dwarf Sneezy|We'd share it with you, we would, but you look like one who'd just frown on any proceeds from theft.|Dwarf Grumpy|Won't say no to friends. Actually, I'll gladly take some of that coin.|Geralt|Aye, you got that righteous frown on you. Definitely.|Nie tknąłby, zgadza się. Zdecydowanie.|Tak, masz ten sprawiedliwy grymas na twarzy. Zdecydowanie.|Tak, masz ten sprawiedliwy grymas na twarzy. Zdecydowanie.
1173|Geralt|||Personally, I'd 'ave played that hand differently. But… that's just my opinion.|Olivier Kingfisher|Sure, let's play.|Jasne, grajmy.|No dobrze, grajmy.|Oczywiście, zagrajmy.
1174|Geralt|||||Maybe he meant this bottle...|Może chodziło mu o tę butelkę...|Może chodziło mu o tę butelkę...|Może miał na myśli tę butelkę...
1175|Geralt|||||Griffin's nest. What remains of it, at least.|Gniazdo gryfa. Czy raczej to, co z niego zostało.|Gniazdo gryfa. Przynajmniej to, co z niego zostało.|Gniazdo Griffina. Przynajmniej to, co z niego pozostało.
1176|Geralt|Hm? Oh, yes, of course. Please excuse the precautions, but… perhaps we can speak somewhere in private?|Novigrad Noblewoman 02|Oh, you're…! Indeed. Well, I feel reassured Albert will be in good hands.|Novigrad Noblewoman 02|I think we've met before.|Mieliśmy okazję już się spotkać.|Myślę, że spotkaliśmy się już wcześniej.|Myślę, że spotkaliśmy się wcześniej.
1177|Geralt|||||Gave the signal. Spy should show up in Farcorners before midnight.|Dałem umówiony znak. Szpieg powinien pojawić się na Zamurzu przed północą.|Dałem sygnał. Szpieg powinien pojawić się w Farcorners przed północą.|Dał sygnał. Szpieg powinien pojawić się w Farcorners przed północą.
1178|Keira Metz|This what you're looking for?|Geralt|So what's it supposed to do?|Geralt|Ahah!|Aha!|Aha!|Ahah!
1179|Geralt|||Chin up. No shame in losing to me.|Ermion|Yeah, glad to play a round.|Tak, zagrajmy.|Tak, chętnie zagram rundkę.|Tak, z przyjemnością zagram rundę.
1180|Temerian Peasant 03|Yes, yes. This Boyan, will he venture out to inspect his grain any time soon?|Vesemir|||What for? Harvest is a long way off yet.|A po co? Do żniw jeszcze daleko...|Po co? Żniwa są jeszcze daleko.|Po co? Żniwa są jeszcze daleko.
1181|Nilfgaardian Soldier 01|If I'd not come, only one man would've died. Really going back to your wife?|Geralt|Why… Why did you help me?|Nilfgaardian Soldier 01|Yes… she bore a child just before the war started. A girl - I named her Beatrys, after her grandmother.|Tak. Tuż przed wojną urodziło nam się dziecko. Dziewczynka. Dałem jej na imię Betrys, po babce.|Tak... ona urodziła dziecko tuż przed rozpoczęciem wojny. Dziewczynkę - nazwałem ją Beatrys, po babci.|Tak... urodziła dziecko tuż przed rozpoczęciem wojny. Dziewczynkę - nazwałam ją Beatrys, po jej babci.
1182|Troll_2|Now let's all stay calm. Thaller'll be back. He just… needs to come with me… we'll, uh, get some leather for your shoes.|Geralt|Listen to Geralt. He's tellin' the ploughin' truth.|Talar|Heeeeeh?|Eee?|Hę?|Heeeeeh?
1183|Skellige Villager 02|So long as Birna lets 'im off her leash.|Skellige Villager 01|The best mead! I'll toast a whole barrel for a king like that!|Skellige Villager 02|Don't ye go talkin' 'bout the konung's widow like that!|Ty na wdowę po królu nic nie mów!|Nie mów tak o wdowie po królu!|Nie mów tak o wdowie po królu!
1184|Gnome Man 02|Greetings. What do you sell?|Geralt|Not that surprised, actually.|Geralt|Herbs, young lad. I've all sorts I gathered nearabout. You'd be surprised what useful plants grow by the roadside.|A ziółkami, młodzianku. Różne mam zioła, w okolicy zbierane. Zdziwiłbyś się, ile użytecznych roślinek przy drodze rośnie.|Zioła, młody człowieku. Mam różne, które zebrałem w okolicy. Byłbyś zdziwiony, jak wiele użytecznych roślin rośnie przy drodze.|Zioła, młody chłopcze. Mam różne, które zebrałem w okolicy. Zdziwiłbyś się, jakie przydatne rośliny rosną przy drodze.
1185|Nilfgaardian Soldier 02|Did you see the Vigo woman?|Nilfgaardian Soldier 01|Also, merely to gaze at her is to commit treason, they say.|Nilfgaardian Soldier 02|How? She is not to leave her cabin.|Skąd. Nie wolno jej wychodzić z kajuty.|Dlaczego? Ona nie może opuszczać swojej kabiny.|Jak? Ona nie powinna opuszczać swojej kabiny.
1186|Novigrad Rich Man 01|The Koviri legate wagered a whole bundle of villages! And he lost!|Novigrad Rich Man 01|Thieves!|Novigrad Rich Man 01|Hah!|Ha!|Haha!|Haha!
1187|Guslar|Good folk! Leave not these grounds!|Guslar|All is quiet, all is gloom…|Chorus Eve|Ye cannot break the circle!|Nie wolno przerwać kręgu!|Nie możecie przerwać kręgu!|Nie możesz przerwać kręgu!
1188|Geralt|Geralt's worried. He believes we let Ge'els go too easily.|Cirilla|Agreed. Yet I do believe Ge'els will keep his word, withhold support from Eredin.|Avallach|Can never be too careful.|Ostrożności nigdy za wiele.|Nigdy nie można być zbyt ostrożnym.|Nigdy nie można być zbyt ostrożnym.
1189|Geralt|Rawyn kasau iille, hepa fi.|Foreigner Woman 01|Recognize this? Understand?|Geralt|Your language… Reminds me of the language I saw in documents from a ship.|Ten język wydaje się podobny do języka z dokumentów ze statku.|Twoja mowa... Przypomina mi język, który widziałem w dokumentach ze statku.|Twój język... przypomina mi język, który widziałem w dokumentach ze statku.
1190|Geralt|||||What the hell's gotten into you? Slower.|Co za diabeł w ciebie wstąpił? Wolniej.|Co się z tobą dzieje, do cholery? Zwolnij.|Co do cholery w ciebie wstąpiło? Wolniej.
1191|Witch Hunter 02|Not seen any like that here. Believe me, I'd remember.|Redanian Soldier 04|Each is a hundred years old at least. They use spells to erase the years, straighten humps, remove warts and ulcers.|Witch Hunter 03|But you will, eventually… And then remember this - their beauty's not born of nature but of witchcraft.|Ale w końcu zobaczysz... A wtedy pamiętaj. To piękno to nie dzieło natury, tylko guseł.|Ale wkrótce je zobaczysz... A potem przypomnij sobie to - ich uroda nie jest dziełem natury, lecz czarów.|Ale w końcu to zrobisz... A kiedy już to zrobisz, pamiętaj o tym - ich piękno nie bierze się z natury, lecz z czarów.
1192|Geralt|||||Gotta go deeper. Need to open the passage somehow.|Jest gdzieś głębiej. Muszę jakoś otworzyć przejście.|Muszę iść głębiej. Muszę jakoś otworzyć przejście.|Trzeba pójść głębiej. Muszę jakoś otworzyć przejście.
1193|Novigrad Bard 03|Stay calm. Just stay calm!|Novigrad Bard 03|I'm in a rut… I've such a hard time finding inspiration…|Novigrad Bard 03|Gods save me!|Bogowie, ratujcie!|Boże mój!|Boże chroń mnie!
1194|Geralt|As you enter the city through the red light district, you come upon a bridge. The Rosemary is just past it.|Dreamer Corine Tilly|So I've heard.|Dreamer Corine Tilly|Dandelion inherited a brothel?|Jaskier odziedziczył burdel?|Czy Dandelion odziedziczył dom publiczny?|Mlecz przypadkiem odziedziczył dom publiczny?
1195|Verden Old Woman 01|Ehh, witcher, if not for you…|Verden Old Woman 01|The gods sent ye!|Verden Old Woman 03|You saved us…|Uratowałeś nas...|Uratowałeś nas...|Uratowałeś nas...
1196|Eustace|An' I call a prick a prick - it's none o' your fuckin' concern. What, are you a tax collector? Piss off, mutant!|Eustace|||Sod off. Don't know nothin' else.|Odwal się. Nic więcej nie wiem.|Spadaj. Nie wiem nic innego.|Spadaj. Nie wiem nic innego.
1197|Geralt|I've never been more certain. The Eternal Fire is the best thing that could happen to me.|Tamara|Thank you for respecting my choice. Farewell.|Tamara|In that case… good luck.|W takim razie nie pozostaje mi nic innego, jak tylko życzyć ci powodzenia.|W takim razie... powodzenia.|W takim przypadku... powodzenia.
1198|Skellige Warrior 03|||You promised!|Skellige Warrior 05|Our winner is the outlander!|Wygrał cudzoziemiec!|Nasz zwycięzca to obcy!|Nasz zwycięzca to outsider!
1199|Skellige Berserker 02|Comin' to get you.|Skellige Berserker 02|Fuck yeaaaaah!|Skellige Berserker 02|Kill, maim, destroy!|Zabić, zdeptać, rozerwać!|Zabij, okalecz, niszcz!|Zabić, okaleczyć, zniszczyć!
1200|Novigrad Scribe 02|||||Tournament participants only! Everyone else out! Achoo! We are cordially invited to come back tomorrow.|Tylko uczestnicy turnieju! Reszta won! Apsik! Zapraszamy pojutrze.|Uczestnicy turnieju tylko! Wszyscy inni won stąd! A psik! Serdecznie zapraszamy, żeby wrócić jutro.|Tylko uczestnicy turnieju! Wszyscy inni won stąd! A psik! Serdecznie zapraszamy jutro z powrotem.
1201|Geralt|Just exploring the tunnel other side of the hill.|Geralt|Came here to cut nails.|Skellige Old Woman 03|Why're you here?|A wy co tu robicie?|Dlaczego tu jesteś?|Dlaczego tu jesteś?
1202|Geralt|||||Bruises on his neck, crushed larynx… Strangled.|Sińce na szyi, zmiażdżona krtań... Został uduszony.|Siniaki na jego szyi, zmiażdżona krtani... Zadławiony.|Siniaki na szyi, zmiażdżona krtani... Zadławiony.
1203|Eskel|Fine. Lost a bit of blood, I suppose. Hangover was the worst part. She drank nothing but pickle juice for the next month.|Eskel|I'd drink from an old boot tonight.|Yennefer|Uh, Yen, we don't have glasses. You all right drinkin' from a mug?|Yen... Nie mamy kieliszków. Możesz pić z kubka?|Cóż, Yen, nie mamy szklanek. Czy ci to nie przeszkadza, jeśli będziesz piła z kubka?|Ech, Yen, nie mamy szklanek. Możesz pić z kubka?
1204|Novigrad Citizen Woman 02|The latest cuts and colors.|Novigrad Trader 02|I'll answer it. From very far south indeed. From a land called Nilfgaard.|Novigrad Trader 04|You didn't answer the question.|Nie odpowiedziałeś na pytanie.|Nie odpowiedziałeś na moje pytanie.|Nie odpowiedziałeś na pytanie.
1205|Geralt|Never mind. We'll talk later.|Geralt|||Not about to ask for anything. I'm telling you. You can try to stop me.|Nie będę o nic prosić. Oznajmiam. Możesz spróbować mi przeszkodzić...|Nie zamierzam o nic prosić. Mówię ci. Możesz spróbować mnie powstrzymać.|Nie zamierzam o nic prosić. Mówię ci. Możesz spróbować mnie powstrzymać.
1206|Redanian Soldier 02|But we've nowhere to go. Naught but blood and mayhem there. Death, everywhere…|Novigrad Peasant 02|||Orders are orders. Back you go.|Rozkaz to rozkaz. Zawracajcie.|Rozkazy to rozkazy. Wracajcie skąd przyszliście.|Rozkazy to rozkazy. Wracajcie.
1207|Verden Peasant 03|Sorry. Can't do that.|Geralt|No.|Geralt|I beg ye…|Błagam...|Błagam cię...|Błagam cię...
1208|Geralt|I saw Miss Corinne leave, but she refused to speak to me. Is the matter resolved? Or quite the opposite?|Novigrad Rich Man 03|Excellent! I must admit the experience has put me off the building - I shan't keep it. I'm mindful of the reward I owe you and you'll receive a sizeable commission. As soon as I'm… I'm able to sell the house.|Novigrad Rich Man 03|Burned some burdock in the stove. Godling couldn't stand the smell and fled. And Corinne simply… awoke. Anyway, house is clean.|Napaliłem w piecu łopianem. Bożątko tego nie zniosło i uciekło. A Corine po prostu się obudziła. Nieruchomość jest czysta.|Spaliłem trochę pokrzywy w piecu. Bóstewko nie mogło znieść zapachu i uciekło. A Corinne po prostu... obudziła się. W każdym razie dom jest czysty.|Spaliłem trochę barszczu w piecu. Bogdan nie mógł znieść zapachu i uciekł. A Corinne po prostu... obudziła się. W każdym razie dom jest czysty.
1209|Geralt|||Yes, Geralt. I was forced to sell him a few axes at the wholesale price, but I was glad to do it. Thank you!|Hattori|Greetings, Hattori. See Sukrus already found you. You two agree to something?|Witaj, Hattori. Widzę, że Sukrus już cię znalazł. Dogadaliście się?|Witaj, Hattori. Widzę, że Sukrus już cię znalazł. Czy wy dwaj doszliście do jakiegoś porozumienia?|Cześć, Hattori. Widzę, że Sukrus już cię znalazł. Czy wy dwaj się do czegoś zgodziliście?
1210|Geralt|There you are.|Radovid|||Need something from me, Your Majesty?|Czego ode mnie oczekujesz, królu?|Potrzebujesz czegoś ode mnie, Wasza Wysokość?|Czegoś potrzebujesz ode mnie, Wasza Wysokość?
1211|Skellige Druid 02|||I'm no trout that must get to its spawning ground - I shall do what I please. Now leave me be!|Gremista|You're not growing any younger, Gremist. You must pass your knowledge on.|Gremista, nie robisz się młodszy. Musisz podzielić się wiedzą.|Nie młodniejesz, Gremisto. Musisz przekazać swoją wiedzę dalej.|Nie młodniejesz, Gremiście. Musisz przekazać swoją wiedzę dalej.
1212|Vesemir|Stuffed unicorn. Used it once or twice. In certain… situations.|Geralt|||Hm! The things young folk get up to these days…|Hm, hm. Czego ta młodzież nie wymyśli.|Hm! Co też młodzi ludzie teraz wyrabiają...|Hm! Co też dziś wyprawiają młodzi ludzie...
1213|Sacha|||Figured as much.|Geralt|Before you ask - it wasn't me.|To nie ja, nawet nie pytaj.|Zanim zapytasz - to nie byłam ja.|Zanim zapytasz - to nie byłem ja.
1214|Geralt|Why do you follow them?|Nilfgaardian Officer 01|Clever little bastards to steal from a witcher…|Nilfgaardian Officer 01|They stole from me.|Coś mi ukradły.|Oni mnie okradli.|Oni mnie okradli.
1215|Witch Hunter 01|Good work. Saved me some time.|Geralt|||We're thrilled.|Radzi jesteśmy.|Jesteśmy zachwyceni.|Jesteśmy zachwyceni.
1216|Geralt|This'll be interesting…|Geralt|Yes. I shall go for a walk. I must unwind.|Cirilla|If you wanna be alone for a while, to digest, process…|Jeśli chcesz pobyć chwilę sama, przetrawić to...|Jeśli chcesz być przez chwilę sama, żeby przemyśleć, przetrawić...|Jeśli chcesz być przez jakiś czas sam, aby przetrawić, przemyśleć...
1217|Graden|This risk you mentioned - take it we only get one shot at choosing the right doll?|Geralt|All right. Let's take a look at these dolls.|Geralt|I'll not chance it. I did not know Anna… You've learned much of her. Should find it easier to choose.|Ja się tego nie podejmę. Nie znam Anny... Ty dowiedziałeś się o niej więcej, łatwiej ci będzie podjąć decyzję.|Nie będę ryzykować. Nie znałem Anny... Ty dowiedziałeś się o niej wiele. Powinno ci być łatwiej dokonać wyboru.|Nie zaryzykuję. Nie wiedziałem o Annie... Dużo się o niej nauczyłeś. Powinno ci być łatwiej dokonać wyboru.
1218|Baron Bandit Strong 03|Seems to me we oughta be able to come to some sort of agreement.|Geralt|Open the gate!|Baron Bandit Strong 03|"Hm, all right, in you go. But cause any trouble and we'll gut you faster than you can say ""Nilfgaardian vendetta."""|Dobra, wchodź. Ale jak będziesz sprawiał problemy, wypatroszymy cię nim zdążysz powiedzieć „Nilfgaardczykowianeczka”.|"No dobrze, wchodźcie. Ale jeśli spowodujecie jakiekolwiek problemy, zajmiemy się wami szybciej, niż zdążycie powiedzieć ""nilfgaardzka zemsta""."|"Hm, dobrze, w porządku, ruszaj. Ale spraw jakiekolwiek kłopoty, a rozprawimy się z tobą szybciej niż zdążysz powiedzieć ""nilfgaardzka zemsta."""
1219|Skellige Guard 01|||The blood spilt in this arena bears witness to the clan's strength!|Skellige Guard 01|Fightin's is our sacred tradition!|Walka jest naszą uświęconą tradycją!|Walka jest naszą świętą tradycją.|Walki to nasza święta tradycja!
1220|Jonas|"Beh, they carried 'im out on their shoulders! Yellin' all the while, ""We'll win back the forge! String that giant up by his gizzards!"""|Jonas|||Shoulda seen it, witcher. Brought tears to my eyes…|Trzeba było to widzieć, wiedźminie, serce rosło...|Powinieneś to zobaczyć, czarodzieju. Przyniosło mi to łzy do oczu…|Powinienem był to zobaczyć, wiedźminie. Przyprawiło mnie o łzy...
1221|Verden Woman 02|Whoa, now. If the Ladies got vittles aplenty, why don't they feed us more often?|Verden Peasant 05|||Don't ye dare speak ill of our givers!|Nie gadaj źle o dobrodziejkach!|Nie waż się mówić źle o naszych darczyńcach!|Nie waż się mówić źle o naszych darczyńcach!
1222|Novigrad Beggar 03|||You lame?|Geralt|Alms for the poor?|Znajdzie się datek dla ubogiego?|Jałmużna dla biednych?|Jałmużna dla biednych?
1223|Dwarf Man 03|Teets like full bellows, beggin' to be squeezed.|Dwarf Man 01|||Ach, Fabian, it's unhealthy, this yen for wenches. It'll be your bane, I tell ye.|Ech, Fabian. To oglądanie się za dupami przywiedzie cię do zguby.|Ach, Fabian, to niezdrowe, ten pociąg do dziewczyn. To cię zgubi, mówię ci.|Ach, Fabianie, to niezdrowe, ta chęć na dziewki. To cię zgubi, mówię ci.
1224|Yennefer|Feel any better?|Geralt|Don't need to play tough for me. That was a hard fight. Maybe not as hard as the last time we tamed a djinn, but still…|Geralt|I told you, I'm fine.|Mówiłam ci, że nic mi nie jest.|Powiedziałam ci, że jestem w porządku.|Powiedziałem ci, jestem w porządku.
1225|Troll_1|Hurty?|Troll_1|Aaaah!|Troll_1|Troll no thwacky-thwack wanna.|Nie lubię agresja.|Nie chcę być uderzany - uderzany - chcę mieć przerwę.|Troll nie chce walić-walić.
1226|Novigrad Thug Weak 15|Your time to die.|Novigrad Thug Weak 15|Sheathe the sword, mate.|Novigrad Thug Weak 15|Your mother was a hamster and your father smelt of elderberries!|Twoja matka była chomikiem, a twój ojciec śmierdział skisłymi jagodami!|Twoja matka była chomikiem, a twój ojciec śmierdział czerwoną porzeczką!|Twoja matka była chomikiem, a ojciec pachniał czeremchą!
1227|Novigrad Thug Strong 01|Watch it. And leave the woman alone.|Geralt|But I'm not your property!|Novigrad Citizen Woman 01|What the-?! She's my betrothed!|To moja narzeczona!|Co?! Ona jest moją narzeczoną!|Co do cholery! To moja narzeczona!
1228|Keira Metz|Treats?|Geralt|I'll have to see that to believe it.|Geralt|Of course, they didn't read you bedtime stories at Kaer Morhen. All normal folk know that witches live in gingerbread houses poised atop chicken legs.|Ha! No tak, w Kaer Morhen nie czytają dzieciom bajek do snu. Wszyscy normalni ludzie wiedzą, że wiedźmy mieszkają w chatce z piernika, która stoi na kurzej nóżce.|Oczywiście, nie czytali ci bajeczek przed snem w Kaer Morhen. Wszyscy normalni ludzie wiedzą, że czarownice mieszkają w domkach z piernika osadzonych na kurzych nóżkach.|Oczywiście, że nie czytali ci bajek na dobranoc w Kaer Morhen. Wszyscy normalni ludzie wiedzą, że czarownice mieszkają w domkach z piernika osadzonych na kurzych nóżkach.
