speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype1|dialog_prototype2|default
Geralt|Tracker, huh? Really.|Geralt|He's traveling as a journeyman. Itinerant cobbler - that's his cover. He was first to venture across the Pontar, most probably did so via the Redanian checkpoint. We've a man there who should know more. Calls himself Gregor.|Dijkstra|Anything else you can tell me? Where this associate was last seen, for instance?|Macie jakieś wskazówki? Wiadomo, gdzie ten wasz wspólnik był widziany ostatnio?|Czy możesz mi powiedzieć coś więcej? Na przykład gdzie ostatnio widziano tego wspólnika?|Czy możesz mi powiedzieć coś więcej? Na przykład gdzie ostatnio widziano tego wspólnika?|Czy możesz mi powiedzieć coś jeszcze? Na przykład gdzie ten wspólnik był ostatnio widziany?
Geralt|I thought not. So it must be the Crones' doing. Who else would curse me? Blackbird friend of mine located my voice, but I was helpless to retrieve it.|Godling Johnny|Ravens serve the Crones. They don't help no one.|Godling Johnny|Couldn't ask a raven friend to just give you the bottle?|A czemu nie poprosiłeś znajomej wrony, żeby oddała ci butelkę?|Czy nie mogłeś poprosić swojego kruczego przyjaciela po prostu o oddanie ci flaszki?|Nie mogłem poprosić wrony o pomoc w odzyskaniu głosu? Wrony służą Krukom. Nikomu nie pomagają.|Nie mógłbyś poprosić kruka o pożyczenie butelki?
Karl Varese|Got something to discuss with Dijkstra… I mean, Sigi Reuven.|Geralt|Yeah, probably can.|Geralt|I think it can wait.|Twoja sprawa może chyba poczekać.|Myślę, że może poczekać.|Myślę, że może poczekać.|Myślę, że może poczekać.
Geralt|Maybe find something else on the ground.|Geralt|Hmm… Where was I?|Geralt|Hm, blood's just barely dried. He was dragged here. Wonder where from.|Hm... Krew ledwo zdążyła przeschnąć... Ktoś go tu zaciągnął. Ciekawe, skąd.|Hm, krew dopiero co zaschła. Został przyciągnięty tutaj. Ciekawe skąd.|Hm, krew dopiero co zaschła. Został przyciągnięty tutaj. Ciekawe skąd.|Hm, krew dopiero co zaschła. Został przyciągnięty tutaj. Ciekawe skąd.
Geralt|Corpses?! Take it back! They got lost, is all. But if worst comes to worst… well, he had calfskin ankle boots, work of Master Clogs. Told him not to wear 'em into the hills, he'd only ruin them. But he was so proud of 'em…|Verden Peasant 05|A witcher? And not a second too soon!|Verden Peasant 05|Think I know enough… Thanks.|To powinno wystarczyć... Dzięki.|Myślę, że wystarczy już tych informacji... Dzięki.|Myślę, że wystarczy już tych zwłok... Dzięki.|Myślę, że wiem wystarczająco dużo... Dziękuję.
Verden Peasant 05|I'm due a reward. Give me some coin.|Geralt|Understand you have a contract for me?|Geralt|A reward, aye… Your due… Here.|Nagroda... Należy... Weź...|Tak, tak, twoja nagroda… Twój dług… Masz tu.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Nagroda, tak... Twoja należność... Oto ona.
Yennefer|Is he gonna make it?|Geralt|The Trial has wrought havoc in his body.|Vesemir|I can't… know. You saw. Not all went as planned. I lifted the curse, but…|Nie wiem... Jak widziałeś, nie wszystko poszło zgodnie z planem. Odczarowałam go, ale...|Nie mogę... wiedzieć. Widziałeś. Nie wszystko poszło zgodnie z planem. Zdjęłam klątwę, ale...|Nie mogę... wiedzieć. Widziałeś. Nie wszystko poszło zgodnie z planem. Zdjęłam klątwę, ale...|Nie mogę... wiedzieć. Widziałeś. Nie wszystko poszło zgodnie z planem. Zdjąłem klątwę, ale...
Geralt|What?|Nilfgaardian Officer 01|It was no act. I extended a hand to these people. They spat on it.|Nilfgaardian Officer 01|Guess you've dropped your good uncle act.|Widzę, że przestałeś udawać dobrego wujka.|Chyba porzuciłeś już swój dobroduszny wizerunek wujaszka.|To był żaden akt. Wyciągnąłem do nich rękę. Oni na nią splunęli.|Chyba porzuciłeś swoją rolę dobrego wujka.
Geralt|Shove your excuses up your arse! Sod off, or I'll split your skull!|Novigrad Thug Strong 01|In negotiation, as in combat, the key is to find your opponent's weak spot and exploit it to the hilt.|Dandelion|You handled it well, Dandelion. Man was putty in your hands once you called him erudite.|Nieźle to załatwiłeś. Kompletnie zbaraniał, jak nazwałeś go erudytą.|Dobrze sobie poradziłeś, Dandelion. Facet był miękki jak plastelina, gdy nazwałeś go erudytą.|W negocjacjach, tak jak w walce, kluczem jest znalezienie słabości przeciwnika i wykorzystanie jej do granic możliwości.|Dobrze sobie z tym poradziłaś, Mleczu. Człowiek był w twoich rękach uległy jak glina, gdy nazwałaś go uczonym.
Eredin|||||This is the end, Geralt.|To koniec, Geralt.|To już koniec, Geralt.|To już koniec, Geralt.|To jest koniec, Geralt.
Skellige Villager 03|Freya smile upon ye.|Skellige Villager 03|Rain all you will.|Skellige Villager 03|Careful with them razors!|Ostrożnie z tymi brzytwami!|Uważaj z tymi brzytwami!|Uważaj z tymi brzytwami!|Uważaj z tymi żyletkami!
Geralt|Dismantle? No. I can make a tear, at best. But only for a moment, because there's no--|Yennefer|No. You must go alone.|Yennefer|Specifics, Yen. Will we both get through?|Do sedna, Yen. Wejdziemy oboje?|Szczegóły, Yen. Przejdziemy przez to oboje?|Musisz iść sam.|Szczegóły, jeny. Czy oboje przez to przejdziemy?
Novigrad Rich Man 01|"Well, I was in the sauna… And I heard a sort of growling coming from below. ""Maaargh. Buerrgh"" - something like that."|Novigrad Rich Man 03|What can I get for you, m'lady? A Toussaint romance? Or perhaps a cookery tome?|Novigrad Trader 01|Come, now… It was surely your belly growling. You must have sat there too long on an empty stomach. Speaking of… shall we dine?|E, tam. W brzuchu miałeś pomruki, boś za długo o pustym żołądku siedział. Właśnie... Zjemy coś?|"No cóż, byłem w saunie… I usłyszałem takie jakby warczenie dochodzące spod spodu. ""Maaargh. Buerrgh"" – coś w tym stylu."|To na pewno był twój brzuch. Siedziałeś tam za długo na pusty żołądek. A skoro już o tym mowa... może byśmy coś zjedli?|Chodź teraz... Na pewno to twój brzuch burczał z głodu. Musiałeś siedzieć tam za długo z pustym żołądkiem. Mówiąc o... czy możemy już jeść?
Verden Old Woman 03|You saved us…|Verden Old Woman 01|A filthy witcher, they say, but he helped…|Verden Old Woman 03|The gods sent ye!|Bogowie nam cię zesłali!|Bogowie cię zesłali!|To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.|Bogowie was przysłali!
Novigrad Rich Man 01|||||Stop, thief!|Łapać złodzieja!|Stop, złodzieju!|Stop, złodzieju!|Stój, złodzieju!
Carduin|Is that a fact? Hm, as long as they don't mind being yoked and muzzled.|Geralt|What now?|Carduin|And I say it's easy to play the hero, die a foolish death. But someone must survive, preserve our body of knowledge for future generations. You don't understand, you cannot… but sometimes it takes courage to be a coward.|Łatwo jest zostać bohaterem, zginąć głupią śmiercią. Ale ktoś musi też przeżyć, zachować wiedzę dla przyszłych pokoleń. Ty tego nie zrozumiesz, ale... Czasem trzeba odwagi, żeby być tchórzem.|Łatwo być bohaterem, umrzeć głupio. Ale ktoś musi przeżyć, zachować naszą wiedzę dla przyszłych pokoleń. Nie rozumiesz, nie możesz... ale czasami trzeba odwagi, żeby być tchórzem.|Łatwo być bohaterem, umrzeć głupio. Ale ktoś musi przeżyć, zachować naszą wiedzę dla przyszłych pokoleń. Nie rozumiesz, nie możesz... ale czasami trzeba odwagi, żeby być tchórzem.|I mówię, że łatwo jest grać bohatera i umrzeć głupią śmiercią. Ale ktoś musi przeżyć, zachować naszą wiedzę dla przyszłych pokoleń. Nie rozumiesz, nie możesz... ale czasem trzeba odwagi, by być tchórzem.
Geralt|Careful, sir, a monster prowls the bog. Enter the mist and ye'll never see home again!|Verden Old Man 01|H-here.|Verden Old Man 01|This shit never changes - I risk my life for you folk while you try to swindle me outta coin. You'll give me all you've got, old-timer. Now.|Zawsze to samo. Nadstawiam za was karku, a wy tylko myślicie, jak mnie wykiwać... Dasz mi wszystko, co masz, cwaniaku. I to teraz.|To gówno nigdy się nie zmienia - ryzykuję życie dla was, a wy próbujecie mnie oszwabić z pieniędzy. Oddasz mi wszystko, co masz, stary capie. Teraz.|To gówno nigdy się nie zmienia - ryzykuję życie dla was, a wy próbujecie mnie oszwabić z pieniędzy. Oddasz mi wszystko, co masz, stary capie. Teraz.|To nigdy się nie zmienia - ryzykuję dla was życie, a wy próbujecie mnie oszukać z monetami. Dacie mi wszystko, co macie, staruszku. Teraz.
Yennefer|There's also a Clan Drummond figurehead.|Geralt|How's your bath? Water warm enough for you?|Yennefer|Not the right ship. Come back up.|To nie ten okręt. Wracaj na górę.|Nie ten statek. Wracaj na górę.|Nie ten statek. Wracaj na górę.|Nie ten statek. Wróć na górę.
Hjalmar|This one here… Doesn't look like a Vildkaarl to me.|Geralt|||Aye, true. More slender in the shoulders, no tattoos… Interestin'.|Ano, nie. Węższy w barach, bez tatuaży... Ciekawe.|To prawda. Bardziej smukła w ramionach, bez tatuaży... Ciekawe.|To tutaj... Nie wygląda mi na Vildkaarla.|Tak, prawda. Szczuplejsza w ramionach, bez tatuaży... Ciekawe.
Novigrad Citizen Man 02|||||At your service.|Kłaniam się.|Jestem do usług.|Jestem do usług.|Do Państwa dyspozycji.
Geralt|||||Too bad the dung's not fresh… but it oughta still work for a lure.|Szkoda, że nie są świeższe, ale wystarczy na wykonanie wabików.|Szkoda, że gnój nie jest świeży… ale powinien nadal działać jako przynęta.|Szkoda, że gnój nie jest świeży… ale powinien nadal działać jako przynęta.|Szkoda, że nawóz nie jest świeży... ale powinien nadal działać jako przynęta.
Novigrad Rich Woman 20|You started the brawl at the mummering! Rogue.|Novigrad Rich Woman 19|What shall I whip up for supper…?|Novigrad Rich Woman 20|Oh my?!|Ejże?!|Oh my?!|Oh my?!|Ojej!
Temerian Bandit 03|I'll rip off your melon and shit down your neck.|Temerian Bandit 03|These torrential rains… The Black Ones are to blame, that's certain.|Temerian Merchant 01|Aaaaaaa!|Eeeeee!|Aaaaaaa!|Łatwo rozpoznana. Jestem z tego dumna, nigdy nie zamierzałam tego ukrywać.|Aaaaaaa!
Geralt|||About?|Sergeant|Need to talk to you.|Mam sprawę.|Muszę z tobą porozmawiać.|O czym?|Muszę z tobą porozmawiać.
Elf Female 35|Waste of words.|Elf Female 35|Run, if you value your lives!|Elf Female 35|That's unthinkable!|W głowie się nie mieści!|To jest nie do pomyślenia!|To jest nie do pomyślenia!|To jest niemożliwe!
Chamberlain Emhyr|Not at all. I am mortally serious.|Chamberlain Emhyr|I do not wish that upon him, so I will not let him leave until I am confident that he knows how to behave.|Chamberlain Emhyr|Does the gentleman know the penalty for breaches of etiquette in the emperor's presence? Two hundred lashes.|Czy waszmość wie, co grozi za złamanie etykiety w obecności cesarza? Dwieście batów.|Czy szanowny pan wie, jaka kara grozi za uchybienia etykiety w obecności cesarza? Dwieście batów.|Czy szanowny pan wie, jaka kara grozi za uchybienia etykiety w obecności cesarza? Dwieście batów.|Czy pan zna karę za naruszenia etykiety w obecności cesarza? Dwieście uderzeń biczem.
Geralt|Hm, seems I must hurry then. Time to face the giant. Comin' with?|Hjalmar|Of course. But first, I need to patch up Leif, move him where he won't be bothered.|Hjalmar|Take it you're gonna fight the giant whether I help you or not.|Jak rozumiem, masz zamiar zmierzyć się z gigantem niezależnie od tego, czy ci pomogę, czy nie.|Biorąc pod uwagę, że i tak zamierzasz walczyć z olbrzymem, czy mi pomożesz, czy nie.|Weź, zdaje się, że będziesz walczył z tym olbrzymem bez względu na to, czy ci pomogę, czy nie.|Weź to, będziesz walczyć z olbrzymem, czy ci pomogę, czy nie.
Skellige Woman 03|Seek adventure elsewhere…|Skellige Woman 03|See you've bad vapors on the Continent.|Skellige Villager 01|Dirty oaf.|Zwykły cham.|Brudny prostak.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Brudny cham.
Novigrad Poor Woman 33|A real rogue, you must be.|Novigrad Poor Woman 33|That's just talk.|Novigrad Poor Woman 33|These vagabonds must be divine punishment.|Skaranie boskie z tymi przybłędami.|Ci włóczędzy muszą być boską karą.|Ci włóczędzy muszą być boską karą.|Ci włóczędzy muszą być boską karą.
Geralt|Cause why?|Witch Hunter 02|||Cause this.|Bo to.|Bo tak.|Dlatego?|Powoduje to.
Novigrad Trader 01|Or, hmm, wait a tic…|Novigrad Trader 01|Come closer, don't be shy. You'll find I've everything you could ever need.|Novigrad Trader 01|Come one, come all!|Zapraszam, zapraszam!|Chodźcie tu, wszyscy!|Chodźcie tu, wszyscy!|Chodźcie wszyscy!
Geralt|Something strange about those rocks…|Yennefer|See something?|Yennefer|And there's something on the bottom. I'll see what it is.|I coś chyba jest na dnie. Sprawdzę to.|Coś dziwnego jest z tymi kamieniami...|Coś dziwnego jest z tymi kamieniami...|I na dole coś jest. Zobaczę, co to jest.
Skellige Armorer 01|Greetings.|Skellige Armorer 01|Hmm?|Skellige Armorer 01|Sun could do me a favor - not rise on the morrow.|Mogło by jutro słońce nie wschodzić.|Słońce mogłoby mi zrobić przysługę - nie wschodzić jutro rano.|Słońce mogłoby mi zrobić przysługę - nie wschodzić jutro rano.|Słońce mogłoby mi zrobić przysługę - nie wschodząc jutro rano.
Yennefer|Because you wanna watch him suffer?|Lambert|To restore Uma's former appearance, we must first… Hmm… How do I explain it…|Yennefer|Stop interrupting, or I will watch you suffer.|Zaraz ty się będziesz męczył, jak nie przestaniesz przerywać.|Stop przerywać, albo sama będziesz cierpieć.|Stop przerywać, albo sama będziesz cierpieć.|Przestań przerywać, bo będę patrzeć, jak cierpisz.
Elf Man 39|Ahem.|Elf Man 39|Hm?|Elf Man 40|Hmmm.|Hm.|Hmmm.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Hmmm.
Skellige Bandit 02|Ptooey.|Skellige Bandit 02|Oy, you!|Skellige Bandit 02|Oy! White wanker!|Te! Bladogęby!|Hej! Biały frajerze!|Hej! Biały frajerze!|Oj! Biały onanista!
Geralt|To Jarl Madman Lugos and his madness!|Geralt|Geralt, I'd have nothing against you drinking yourself stupid if we had nothing important planned…|Yennefer|Forgive us. We should mingle, talk to some of the other guests.|A teraz pogadajmy również z innymi gośćmi Cracha.|Wybacz nam. Powinniśmy się trochę rozerwać, porozmawiać z innymi gośćmi.|Wybacz nam. Powinniśmy się trochę rozerwać, porozmawiać z innymi gośćmi.|Wybacz nam. Powinniśmy się przemieszać, porozmawiać z niektórymi innymi gośćmi.
Verden Boy 03|Hey, little guy…|Geralt|It's all right. You're safe now.|Geralt|Aaaaah!|Aaaaach!|Aaaaah!|Jesteś bezpieczny teraz.|Aaaaaah!
Temerian Bandit 03|Lemme guess: that sword's in case you run into a hornbill?|Geralt|||No. Hornbills aren't endemic to this area. Don't migrate here, either.|Nie... Dzioborożce nie występują w tym klimacie. Nie wiedziałeś?|To nie tak, że te ptaki tu występują. Ani nie migrują w te strony.|Hornbills aren't endemic to this area. Don't migrate here, either.|Nie. Rynokory nie są endemiczne dla tego obszaru. Nie migrują tu również.
Roche|I'm in command here. I make the decisions. You both know there're no debates when you're at war.|Geralt|Here, at Kaer Morhen, this will be the first time I do neither.|Roche|You know what, Geralt? I've done many things in my life I wish I hadn't. But I've always respected those who I served, always put my trust in them.|Wiesz co, Geralt? Zrobiłem w życiu wiele rzeczy, których wolałbym nie robić. Jednak zawsze szanowałem tych, którym służę i ufałem im.|Wiesz co, Geralt? W życiu robiłem wiele rzeczy, których żałuję. Ale zawsze szanowałem tych, komu służyłem, zawsze pokładałem w nich zaufanie.|Wiesz co, Geralt? W życiu robiłem wiele rzeczy, których żałuję. Ale zawsze szanowałem tych, komu służyłem, zawsze pokładałem w nich zaufanie.|Wiesz co, Geralt? W życiu zrobiłem wiele rzeczy, których żałuję. Ale zawsze szanowałem tych, którym służyłem, zawsze pokładałem w nich zaufanie.
Geralt|You so sure o' that?|Redanian Soldier 01|We shall see!|Redanian Soldier 01|Yes.|Tak.|Tak, jestem pewien.|Tak, jestem pewien.|Tak.
Novigrad Poor Woman 01|Ugh!|Novigrad Poor Man 49|The guards have got themselves a brothel in the dungeon…|Novigrad Poor Woman 01|Akh akh akh akh!|Khe khe khe…|Ach ach ach ach!|Akh akh akh akh!|Ach ach ach ach!
Geralt|Alas. All is lost.|Guslar|That spirit they drove away - your father's ghost, right? Threatened to come back, likely to keep his word.|Geralt|Hm. Gotta be a peasant who told the Witch Hunters about the ritual.|Łowcy czarownic musieli dowiedzieć się o Dziadach od chłopów...|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Hm. Musiał to być chłop, który powiedział łowcom czarownic o rytuale.
Troll_1|Aaaah!|Troll_1|Crushit. To mushit.|Troll_1|Kha hoona hoona eyh!|Kha huna huna ejh!|Co to za hałas?|Co to za hałas?|"Nie rozumiem, co to znaczy. Potrzebuję kontekstu lub dodatkowych informacji, aby dokładnie przetłumaczyć ten zwrot. Jeśli jest to jakiś błąd w pisowni, literówka lub żart językowy, proszę o wyjaśnienie. Jednakże, jeśli mam zgadywać bez kontekstu, moje najlepsze tłumaczenie brzmi:

""Co za co za!""

To wydaje się być wyrażeniem zdziwienia lub frustracji, ale bez kontekstu trudno jest podać dokładne tłumaczenie."
Novigrad Thug Strong 12|Hey!|Novigrad Thug Strong 12|Mh. There.|Novigrad Thug Strong 12|Fuck…|Kurwa...|Cholera...|Cholera...|Kurwa...
Geralt|||Ahah!|Keira Metz|This what you're looking for?|To tego szukałaś?|To jest to, czego szukasz?|To tego szukasz?|To jest to, czego szukasz?
Verden Girl 02|||||No fair! I'm 'sposed to win!|No nie! Zawsze żem wygrywała!|Nieuczciwie! Miałam wygrać!|Nieuczciwie! Miałam wygrać!|Nieuczciwie! Mam wygrać!
Vesemir|Old.|Vesemir|Not a chance. Won't abandon you.|Geralt|If things don't go as planned… take Ciri and run. As far away from here as you can.|Jeśli bitwa pójdzie nie po naszej myśli... Zabierz Ciri i uciekaj stąd. Jak najdalej.|Jeśli sprawy potoczą się nie tak, jak planowaliśmy... weź Ciri i uciekajcie stąd jak najdalej.|Jeśli sprawy potoczą się nie tak, jak planowaliśmy... Weź Ciri i uciekajcie stąd jak najdalej.|Jeśli sprawy nie pójdą zgodnie z planem... weź Ciri i uciekaj. Jak najdalej stąd.
Geralt|Very well… On to more pressing matters. We've a great deal of work to do.|Yennefer|No. I was determined not to sleep in the bed in which you swived Triss. Repeatedly.|Yennefer|I mean, what got into you? That determined to make Vesemir your enemy?|Co ci strzeliło do głowy? Aż tak chciałaś wkurzyć Vesemira?|Co cię ugryzło? Chcesz za wszelką cenę zrobić sobie z Vesemira wroga?|Nie. Byłam zdeterminowana, żeby nie spać w łóżku, w którym ty... z Triss. Wielokrotnie.|Co masz na myśli? Dlaczego jesteś tak zdeterminowany, by uczynić z Vesemira swojego wroga?
Cirilla|Makes no difference. You'll find me.|Geralt|Remember what I taught you. Never know - could be useful there, too…|Geralt|True.|To prawda.|Prawda.|Prawda.|Prawda.
Imlerith|||||Arrrgh!|Aggrr!|Arrrgh!|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Arrrgh!
Verden Peasant 04|Nay, 'tis ancient, revered by our forefathers. They say it were like this: Roslav of Oreton came here to gather brushwood. Suddenly, for no reason, a bush burst into flame! Then Roslav heard a voice from the ground, demandin' offerin's and obedience!|Verden Peasant 02|Mhm. Plain to see, that.|Geralt|We been comin' 'ere since then, bearin' gifts. In exchange for which the Allgod watches over us, keeps us from evil.|Od tego czasu przychodzimy tu z darami. A w zamian Wszechbóg w opiece nas ma i od złego chroni.|Od tamtego czasu przychodzimy tu składać dary. W zamian za nie Wszechbóg strzeże nas i chroni przed złem.|Od tamtego czasu przychodzimy tu ze świecidełkami i błyskotkami, składając dary. W zamian za to Wszechbóg chroni nas przed złem.|Przychodzimy tu od tamtego czasu, niosąc dary. W zamian za które Wszechbóg czuwa nad nami, chroni nas przed złem.
Geralt|||I beg ye... Do it quick.|Verden Peasant 03|You sure?|Jesteś pewny?|Jesteś pewny?|Jesteś pewny?|Jesteś pewien?
Scoiatael Woman 01|Veloë! Take him from behind!|Scoiatael Woman 01|Watch out!|Scoiatael Woman 01|Quickly!|Szybciej!|Szybko!|Szybko!|Szybko!
Geralt|Keep it. Not like I have any use for it.|Geralt|Helpae fi allem.|Foreigner Woman 01|Sorry, can't understand a thing. Want me to take you away? Is that it?|Niestety, nic nie rozumiem. Może chcesz, żebym cię stąd zabrał?|Przepraszam, nie rozumiem ani słowa. Chcesz, żebym cię stąd zabrał? O to chodzi?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Przepraszam, nic nie rozumiem. Czy mam cię zabrać stąd? Tak?
Novigrad Nobleman 01|Got the courage to repeat that slander to my face?|Geralt|Preacher's fierce in the mouth. But holler at 'im and his tail slinks between his legs! C'mon, people.|Novigrad Peasant 02|Readily! You are a mutant! A freak! A useless relic of a bygone age that should be burned like a withered branch!|A pewnie! Jesteś mutant! Odmieniec! Bezużyteczny relikt starych czasów, który trzeba spalić jak uschłą gałąź!|Jesteś mutantem! Potworem! Bezużytecznym reliktem minionej epoki, który powinien zostać spalony jak uschnięta gałąź!|Jestem gotów powtórzyć to oszczerstwo prosto w twoją twarz?|Chętnie! Jesteś mutantem! Dziwolągiem! Bezużytecznym reliktem minionej epoki, który powinien zostać spalony jak uschnięta gałąź!
Novigrad Poor Woman 03|I shall stay here. I've unfinished business with Sweet Nettie… After all, I paid in advance.|Nathanel|||MMMmmmmmmm!|MMMmmmmmmm!|MMMmmmmmmm!|MMMmmmmmmm!|Mmmmmmmmmm!
Geralt|Who are you?|Tamara|We could use your kind if you'd find the heart to serve the Eternal Fire. I'm Tamara.|Tamara|Geralt of Rivia, witcher.|Geralt z Rivii, wiedźmin.|Geralt z Rivii, wiedźmin.|Jestem Geralt z Rivii, wiedźmin.|Geralt z Rivii, wiedźmin.
Geralt|Oh, aye… Right… Come on…|Skellige Guard 04|I've heard. You're Geralt of Rivia. A witcher.|Skellige Guard 04|Got any idea who you're dealing with?|Wiesz, z kim masz do czynienia?|Got any idea who you're dealing with?|Słyszałem. Jesteś Geralt z Rivii. Wiedźmin.|Masz jakiekolwiek pojęcie, z kim masz do czynienia?
Cirilla|Eredin's located you time and again. How's that work?|Geralt|So you shouldn't actually ever use your power.|Geralt|When I pass between worlds, I create a kind of shockwave. Anyone properly trained can sense it. That's how Avallac'h explains it, at any rate. He can do it, too.|Kiedy przenoszę się ze świata do świata, wywołuję jakby falę, którą może wyczuć ktoś odpowiednio wyszkolony. Tak przynajmniej twierdzi Avallac’h. I on też to potrafi.|Kiedy przechodzę między światami, tworzę rodzaj fali uderzeniowej. Ktokolwiek odpowiednio wyszkolony może ją wyczuć. Tak to tłumaczy Avallach, przynajmniej tak to rozumiem. On też potrafi to robić.|Kiedy przechodzę między światami, tworzę rodzaj fali uderzeniowej. Ktokolwiek odpowiednio przeszkolony może ją wyczuć. Tak to tłumaczy Avallach, w każdym razie. On też potrafi to robić.|Kiedy przechodzę między światami, tworzę rodzaj fali uderzeniowej. Każdy odpowiednio przeszkolony może ją wyczuć. Tak to tłumaczy Avallac'h, w każdym razie. On też potrafi to zrobić.
Keira Metz|Is it a headache? Or does the problem lie elsewhere in your anatomy?|Keira Metz|Will you at least lie down and gaze at the stars with me?|Keira Metz|Ugh. I knew we shouldn't have had that wine before dinner…|Wiedziałam, że nie powinniśmy byli pić tego wina przed kolacją...|Uff. Wiedziałam, że nie powinniśmy pić tego wina przed kolacją...|Uff. Wiedziałam, że nie powinniśmy pić tego wina przed kolacją...|Uff. Wiedziałem, że nie powinniśmy byli pić tego wina przed kolacją…
Cirilla|True! Skjall can prepare a horse for you. You'll have to wait a spell, but even so you'll get there faster than on foot.|Skellige Woman 04|Pish-posh, there's no need… Now come, we gotta sweat the sick outta you!|Skellige Woman 04|Fine… That will do. Thank you both very much.|Dobrze... Niech będzie. Bardzo wam dziękuję.|Dobrze... To wystarczy. Dziękuję bardzo.|Prychnij, nie ma o czym gadać... Teraz chodź, musimy spędzić z ciebie tę chorobę!|Dobrze... To wystarczy. Dziękuję bardzo obojgu.
Skellige Guard 05|Only you can know that.|Lugos The Glaucous|I do wonder what a monster slayer fears… But we've talked enough, lads. Swords in hand. Let's go!|Lugos The Glaucous|Elders say in the Cave of Dreams you face your greatest fears. Face what makes you wake up at night, screamin'. Somethin' that's already been, will be… or just might be.|Starcy mówią, że w Jaskini Snów trzeba się zmierzyć z tym, czego się najbardziej boisz. Co sprawia, że w nocy budzisz się z krzykiem. Coś, co już było, będzie... Albo być może.|W jaskini snów stajesz oko w oko ze swoimi największymi lękami. Z tym, co sprawia, że budzisz się w nocy z krzykiem. Czegoś, co już było, będzie... lub może być.|Elders say in the Cave of Dreams you face your greatest fears. Face what makes you wake up at night, screaming. Somethin' that's already been, will be… or just might be.|Starsi mówią, że w Jaskini Snów stajesz twarzą w twarz ze swoimi największymi lękami. Staw czoła temu, co sprawia, że budzisz się w nocy z krzykiem. Czegoś, co już było, będzie... lub może być.
Geralt|Found your soldiers. Meaning, their bodies.|Geralt|A wyvern? Bloede pest.|Nilfgaardian Officer 01|Female wyvern killed them. They wandered into her hunting ground.|Zabiła ich samica wiwerny, bo weszli na jej terytorium łowieckie.|Samica wywerna ich zabiła. Zabłądzili w jej rewirze łowieckim.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Samica wywerna ich zabiła. Zabłądzili w jej rewirze łowieckim.
Geralt|You all right?|Vesemir|About?|Vesemir|Mhm. Had a nightmare…|Miałem koszmar.|Miałem koszmar...|Miałem koszmar...|Mhm. Miałem koszmar...
Temerian Woman 02|The Nilfgaardians are gone.|Redanian Officer 01|Twas like I said. He was workin' with the Black Ones. Tpff!|Temerian Peasant 01|But she's stayed! We should birch her out of here!|Ale ona została! Rózgami trzeba ją ze wsi przepędzić!|Powinniśmy ją wygnać batogami stąd!|Ale ona została! Powinniśmy ją stąd przegonić batami!|Ale ona została! Powinniśmy ją wychłostać stąd!
Verden Ghost Peasant 03|At last…|Verden Ghost Peasant 03|Already have.|Verden Old Woman 02|Will ye forgive me?|Wybaczysz mi?|Czy mi wybaczysz?|Czy mi wybaczysz?|Czy mi wybaczysz?
Geralt|We've arrived.|Voorhis|Acknowledge it, witcher. I'm the superior rider.|Voorhis|Nice place.|Ładnie tu.|Ładne miejsce.|Ładne miejsce.|Miłe miejsce.
Skellige Guard 06|Till Hjalmar split its massive skull,|Skellige Guard 06|Nilfgaard in Skellige… Never fuckin' thought I'd see the day…|Skellige Guard 06|Rid the isles of this fearsome foe.|Wypędził z Undvik potwory krwiożercze!|Oczyśćcie wyspy z tego straszliwego wroga.|Oczyśćcie wyspy z tego straszliwego wroga.|Oczyść wyspy z tego straszliwego wroga.
Baron|Your wife - how'd she make you angry? Too much salt in the soup? Socks never darned?|Geralt|Like no other, she knew where to press, where to pinch, so it would hurt.|Baron|Twenty years we've known each other. She's seen me drunk and sober, she was there to greet me when I returned the victor, she was there to patch me up in defeat.|Dwadzieścia lat się znaliśmy. Widziała mnie pijanego i trzeźwego, była przy tym, jak wracałem z bitew zwycięski, opatrywała pokonanego.|Dwadzieścia lat się znamy. Widziała mnie pijanego i trzeźwego, była tam, żeby mnie witać, gdy wracałem zwycięski, była tam, żeby opatrywać moje rany po porażce.|Dwadzieścia lat się znamy. Widziała mnie pijanego i trzeźwego, była tam, żeby mnie witać, gdy wracałem zwycięski, była tam, żeby opatrzyć mnie po porażce.|Dwadzieścia lat się znamy. Widziała mnie pijanego i trzeźwego, była tam, aby powitać mnie jako zwycięzcę, była tam, aby opatrzyć moje rany w porażce.
Keira Metz|Drawing of a horse. Clue for Ciri, must be.|Geralt|Kelpie…|Geralt|Geralt!|Geralt!|Geralt!|Kelpie…|Geralt!
