speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
Novigrad Rich Woman 16|Don't do that again.|Novigrad Rich Woman 16|Can't. Breathe.|Novigrad Rich Woman 16|My husband's a supervisor by trade.|Mój mąż jest z zawodu dyrektorem.|Mój mąż to człowiek interesu.
Dijkstra|Just go, witcher.|Dijkstra|Where's Junior's casino?|Geralt|And if you can't find the slimy bastard, come and see me. I know him well, might figure something out.|Aha, gdybyś miał problemy ze znalezieniem Skurwiela, wróć do mnie. Znam tę kanalię i może coś wymyślę.|A jeśli nie znajdziesz tej śliskiej gnidy, przyjdź do mnie. Znam go dobrze, może coś wymyślę.
Skellige Guard 06|Till Hjalmar split its massive skull,|Skellige Guard 06|Nilfgaard in Skellige… Never fuckin' thought I'd see the day…|Skellige Guard 06|Rid the isles of this fearsome foe.|Wypędził z Undvik potwory krwiożercze!|Oczyść wyspy z tego straszliwego wroga.
Skellige Warrior 05|||||Geralt of Rivia has earned the right to fight the title holder! You may begin!|Geralt z Rivii zdobył prawo do walki i zmierzy się z obrońcą tytułu! Zaczynajcie!|Geralt z Rivii zasłużył sobie na prawo walki z mistrzem! Możesz zacząć!
Geralt|Riddle hard! Human cheat!|Troll_2|Grrr... Stupid riddle.|Troll_2|I won fair and square.|Wygrałem uczciwie.|Wygrałem uczciwie.
Novigrad Old Woman 11|I'm ninety-three years old, madam. So no, I'm not too young.|Gnome Man 01|That's because I'm a halfling, madam. And I'd suggest eye drops, chamomile extract.|Gnome Man 01|Is that nice, lying to your elders? My eyes aren't what they once were, but I can see you're three feet tall and walk around barefoot!|Ładnie tak kłamać starszej osobie? Oczy nie te, co kiedyś, ale widzę przecie, że masz trzy stopy wzrostu i boso biegasz!|Czy to miło oszukiwać starszych? Moje oczy nie są już takie jak dawniej, ale widzę, że masz trzy stopy wzrostu i chodzisz boso!
Geralt|||But I do not wish to speak. Leave, you distress me.|Gremista|Wanna talk to you.|Chcę z tobą porozmawiać.|Chciałem z tobą porozmawiać.
Novigrad Guard 03|||Don't have one, but I do have a proposition…|Geralt|Need to see your pass.|Glejt okażcie.|Muszę zobaczyć twój paszport.
Novigrad Peasant 01|Leave her be.|Geralt|Let's go, Raddy. Killin's like battin' an eye for witchmen.|Novigrad Peasant 02|By what right're you givin' me orders? Eh?|A jakem prawem chcesz nam rozkazy dawać? Co?|Po jakim prawie mi rozkazujesz?
Geralt|||Yen! Found him!|Geralt|Damn… Dead… has been for a while.|Zaraza... Nie żyje... I to od dłuższego czasu.|Cholera... Martwy... Od jakiegoś czasu.
Geralt|||Fuck if I know…|Cyprian Willey|What happened to the woman?|Co się potem stało z dziewczyną?|Co się stało z tą kobietą?
Geralt|Prepare for battle! You shall not have it easy this time.|Redanian Soldier 01|Noo… No, no, they defend justice - for it is only fair you face a threesome.|Redanian Soldier 01|Brought friends? Hm. They all pledge to defend Maid Bilberry's honor, too?|Bo przyprowadziłeś kolegów? A oni co – wszyscy pannie Jagódce ślubowali?|Przyniosłeś przyjaciół? Hm. Wszyscy przysięgają bronić honoru Panny Malinowej, co?
Geralt|||||Isengrim Faoiltiarna from the Scoia'tael deck. Wonder how much this card's worth.|Isengrim Faoiltiarna z talii Wiewiórek. Ciekawe, ile dokładnie ta karta jest warta.|Isengrim Faoiltiarna z pokładu Scoia'tael. Ciekawe, ile ta karta jest warta.
Yennefer|So long, Yen.|Geralt|Ciri's our concern, and only ours.|Geralt|We must report to the emperor, after all.|Musimy przecież złożyć raport cesarzowi.|Musimy zameldować się u cesarza, w końcu.
Skellige Villager 06|Peasant squabbles - just not interested.|Geralt|What're you staring at, people?! Justice has been served! Go to your homes!|Skellige Villager 06|Oh, wise words. You're not from here, you can't understand.|I słusznie. Nie jesteś stąd, nie rozumiesz naszych spraw.|Ach, mądre słowa. Nie jesteś stąd, nie możesz zrozumieć.
Crach|||We cannot hope to break through without Holger's longships. We had better wait…|Crach|The emperor's ship lies at anchor near Undvik - still!|Okręt cesarza dalej kotwiczy przy Undvik.|Statek cesarza stoi na kotwicy niedaleko Undvik - cicho!
Geralt|||||A handprint…|Odcisk dłoni...|Ślad dłoni...
Novigrad Poor Man 24|Eh eh?|Novigrad Poor Man 24|Got a big dump brewin'…|Novigrad Poor Man 24|Curdled codfish.|Kurcze flak.|Śmierdzący śledź.
Geralt|Enlighten me, please. Because I've still no notion what this is about. What the motive might have been.|Von Gratz|Fabian Meyer.|Coroner|It's a lead worth following. Any idea what his name was?|Warto byłoby jeszcze zbadać ten trop. Wiesz, jak on miał na imię?|To jest trop warty śledzenia. Czy masz jakiekolwiek pojęcie, jak on się nazywał?
Verden Ghost Peasant M 03|You go. Find a boat and come back for me… if you make it across.|Verden Ghost Peasant  M 01|||Hah, why wouldn't I? Be back before you know it.|Co ma się nie udać. Ani się obejrzysz, a będę z powrotem.|Haha, dlaczego nie? Wrócę, zanim się obejrzysz.
Cerys|Give him my congratulations.|Geralt|||I will.|Tak zrobię.|Przekażę mu twoje gratulacje.
Geralt|||||Ceiling would've caved in if not for this support.|Gdyby nie ta podpora, sklepienie pewnie już by się zawaliło.|Gdyby nie ta podpora, sufit by się zawalił.
Baron|Hilarious. Real side-splitter.|Geralt|||Ohh, you wouldn't know a good tale from a runny fart.|A tam, kurwa, nie znasz się.|Ohh, nie potrafiłbyś odróżnić dobrej opowieści od...
Geralt|Fare ye well.|Eight|Me and me crew and the sirens - we're helpin' him build a longship. I sew the sails and run away atimes, and then the sirens fly out and bring me back.|Eight|Why'd the giant spare you?|Czemu gigant cię oszczędził?|Dlaczego olbrzym cię oszczędził?
Novigrad Citizen Woman 24|Mhmmm….|Novigrad Citizen Woman 24|Thank you, master! Who would've thought it was Rejk…|Novigrad Citizen Woman 24|Eternal Fire be with you.|Wieczny Ogień z tobą.|Niech wieczny ogień będzie z tobą.
Elf Man 01|This one time, for instance, he ate a wooden plate.|Elf Female 01|Oh, don't scoff, it was touching!... In its own way…|Elf Female 01|And? Did you yield?|I co, uległaś mu?|I co z tego? Czy uległaś?
Roche|You know, it's just not something I'm willing to do.|Geralt|Your plan - pretty damn risky. And I've got somebody to live for, I've got Ciri to find.|Geralt|What? Geralt, what're you saying?|Jak to? Geralt, co ty gadasz!|Co? Geralt, co masz na myśli?
Nilfgaardian Soldier 01|||Stop hehe-- Ah! Yo-you're killing me. My-my ribs - haa, it hurts to laugh!|Temerian Guard 03|"But there is more. My lieutenant demanded we defecate on command. Ballista bolts landing all around, and all he could say was ""A soldier with a full stomach will not step onto the battlefield. Now shit - that is an order."" Can you believe it?! The cretin!"|...to jeszcze nic. Mój porucznik kazał nam na komendę chodzić do latryny. Ostrzeliwują nas balisty, a on tylko „żołnierz z pełnym żołądkiem do bitwy iść nie może. Macie siedzieć, aż wysiedzicie”. Wyobrażasz sobie? Bałwan!|ERROR
Temerian Peasant 02|Factions, teams, suits! Similar to clubs and spades, except each suit has its own face cards. There are also special cards…|Novigrad Nobleman 01|Hmm, well… It's not a game for everyone. Requires an analytical mind.|Novigrad Nobleman 01|Wouldn't you rather play war? It's like to be near dawn 'fore you get your game in me noggin.|A nie lepiej zagrać w wojnę? Bo nim tę swoją grę mi wyłożycie, to ćma będzie.|Wolałbyś grać w wojnę? To tak, jakby być blisko świtu przed rozpoczęciem gry w mojej głowie.
Cirilla|Gimme a minute. I'm old, need more rest.|Geralt|Let's stay a bit longer.|Cirilla|Hm. You are and you do.|No, jesteś.|Hm. Jesteś i tak robisz.
Verden Ghost Peasant 03|||Will ye forgive me?|Verden Ghost Peasant 03|At last…|Nareszcie...|Wreszcie...
Skellige Warrior 05|Well, then? Have any luck?|Skellige Warrior 05|Have the gods forsaken ye?! I could get a whole village to do the searchin' for that!|Skellige Warrior 05|Thanks again for your help, witcher!|Jeszcze raz dziękuję za pomoc!|Dzięki raz jeszcze za pomoc, wiedźminie!
Temerian Peasant 03|||You know him?|Geralt|Dieter…|Dieter...|Dieter…
Nilfgaardian Officer 01|||||Or will you stay to welcome Radovid's men?!|Czy może wolicie tu zostać i Radowidowych powitać?|Czy może zostaniesz, żeby powitać ludzi Radovida?!
Baron|The local Nilfgaardian garrison - doesn't look that strong.|Geralt|I shan't trust some peasant dolt. I shan't trust whoever it is helped her! I need to know for certain she's safe!|Baron|What of it? Even were I to attack, cut 'em down to a man, others will come soon. Black Ones will flood this land, take control before long. Sure as we've all got arseholes, they will.|I co z tego? Nawet jakbym na nich napadł i powyrzynał, to przecież za chwilę przyjdą następni. Czarni zaleją ten kraj. To jest pewne jak to, że masz dziurę w dupie.|Co z tego? Gdybym nawet ich zaatakował i wyciął wszystkich do nogi, inni szybko przyjdą im z pomocą. Czarne Słońca zaleją te ziemie i przejmą nad nimi kontrolę. Tak czy inaczej, stanie się to wkrótce.
Geralt|That simple?|Triss|Thank you, Geralt. For this… and for what you said at the port.|Triss|Mhm. That simple.|Mhm. Tak po prostu.|Tak proste?
Geralt|||Uhh… No… Why d'you ask?|Novigrad Peasant 01|Use that barn as a cemetery?|Macie cmentarz w stodole?|Czy zamierzasz użyć tej stodoły jako cmentarza?
Geralt|And I'm relieved I didn't slit your throat.|Cirilla|What the blazes were you thinking?|Cirilla|Wouldn't have had to if you hadn't impersonated Whoreson.|Obyłoby się bez tego, gdybyś nie podszył się pod Skurwiela.|Nie musiałbym, gdybyś nie udawała Whoresona.
Geralt|Never took you for a poet.|Lambert|Sure.|Lambert|Oh, but I am one. Wanna hear a limerick?|Mhm. Chcesz usłyszeć fraszkę?|Ale ja jestem poetą. Chcesz usłyszeć limeryk?
Vesemir|I should let her know I'm here.|Geralt|Whoa there, Roach. It's all right.|Geralt|If you say so. But… Don't go thinking she'll throw her arms around your neck.|Dobrze. Tylko... Nie spodziewaj się, że ci się rzuci na szyję.|Jeśli tak mówisz. Ale... Nie myśl, że rzuci ci się na szyję.
Novigrad Thug Weak 01|That why you think I should look for my friend there?|Geralt|Calm, now… W-we'll split it. Plenty for everyone.|Novigrad Thug Weak 01|I meant no offense.|Nie chciałem nikogo obrazić.|Nie chciałem cię urazić.
Triss|||Little Miss Merigold, well, well. And I was led to believe this would be an elegant affair.|Novigrad Nobleman 02|Moritz? What're you doing here?|Moritz? Co ty tu robisz?|Moritz? Co tu robisz?
Temerian Peasant 01|Raven-haired woman dressed in black and white. Seen her? Talk.|Geralt|Which way did she go?|Geralt|Folk say the lady rode through the village a few days back. Gallopin' so fast she knocked Radobor into a ditch.|Mówią, że gnała taka nocą przez wieś... Tak pędziła, że Radobora do rowu zepchnęła.|Ludzie mówią, że pani przejechała przez wieś kilka dni temu. Galopowała tak szybko, że wyrzuciła Radobora do rowu.
Geralt|I ask as a courtesy. A concept you clearly forgot when you left without uttering a word.|Avallach|I know, so she wrote in her letter. But that is not my concern. You eliminated Imlerith adeptly. So adeptly you might say you inspired me…|Avallach|Ciri was in a hurry.|Ciri się śpieszyło.|Ciri była w pośpiechu.
Avallach|Ahem. Fucked.|Geralt|I will.|Novigrad Boy 03|I see. We shan't bother them. Will you let us in?|Rozumiem. Nie będziemy przeszkadzać. Wpuścisz nas?|Widzę. Nie będziemy im przeszkadzać. Czy możesz nas wpuścić?
Baron Bandit Weak 31|Hmm?|Baron Bandit Weak 31|No good. No evil. Only pain.|Deamon 03|Don't you get on my nerves.|Nie denerwuj mnie.|Nie działasz mi na nerwy.
Graden|Men, we've had a hard day.|Graden|Yes, sir!|Witch Hunter 01|The fight was tough, we are bruised, this I know. We shall rest here for a time.|Wiem, że walka dała wam w kość, dlatego chwilę tu odpoczniemy.|Walka była trudna, jesteśmy obolali, to wiem. Odpoczniemy tutaj przez pewien czas.
Geralt|Who taught you to fight like this?|Imlerith|Ugh…|Imlerith|The witcher you slew.|Wiedźmin, którego zabiłeś.|Ten czarodziej, którego zabiłaś.
Skellige Old Man 02|Jarl won't like this.|Skellige Old Man 02|Blessed is he who sang, blessed is he who knows.|Skellige Old Man 02|Gods, save me!|Bogowie ratujcie!|Boże, ratuj mnie!
Novigrad Nobleman 02|My servant caught some rag picker rifling through our rubbish yesterday. Can you believe it?|Novigrad Nobleman 03|Why does the Temple Guard do nothing about it? They should toss them out by their coattails!|Novigrad Nobleman 03|Rabble from Velen's come pouring into the city. That is the inevitable result…|Zleciało się do miasta biedoty z Velen, to tak się kończy...|To jest nieunikniony rezultat...
Skellige Fisherman 03|At sea?|Skellige Fisherman 04|Damn shame. Though at least they died in battle.|Skellige Fisherman 04|No, the imperials lay in ambush along the bay's shore. Struck as the Fayrlunders drew their longboats onto the beach.|Nie. Cesarscy napadli, jak już wyciągnęli łodzie na brzeg. To była zasadzka. Okrążyli ich.|Nie, imperialni zastawili zasadzkę wzdłuż brzegu zatoki. Uderzyli, gdy Fayrlunderowie wyciągali swoje długie łodzie na plażę.
Geralt|||||Cart's riddled with arrows.|Wóz jest naszpikowany strzałami.|Wóz jest naszpikowany strzałami.
Geralt|||Open the door. Now.|Geralt|No. Not about to bring him back.|Nie, nie przywieziecie.|Nie. Nie zamierzam go przywracać.
Geralt|Don't think about it.|Lambert|Got enough for everyone. Here, Vesemir dug this up for you.|Lambert|Can't help but worry. We're short on meteorite steel swords.|Martwi mnie, że mamy za mało mieczy z meteorytowej stali.|Nie mogę nie martwić się. Brakuje nam mieczy ze stali meteorytowej.
Novigrad Thug Strong 35|Who's up for a thrashing?|Novigrad Thug Strong 35|I'll tear your balls off!|Novigrad Thug Strong 35|Eh?|E?|Eh?
Novigrad Refugee Man 04|Noonwraiths croppin' up 'neath Novigrad's walls. Not a safe place left in the world.|Novigrad Refugee Man 03|What's true's true. Was a day ye had no trouble hirin' a wanderin' monster slayer, now they're rare as teeth on a hen.|Novigrad Refugee Man 01|And nary a witcher to be found.|A wiedźminów jak na lekarstwo.|I mało który czarodziej się tu kręci.
Dijkstra|Bart guard! Then boom! Chorfun go.|Cyclops|About your treasure…|Geralt|Translating into Common, someone fuckin' made off with nearly twenty tons of my gold, and all the lighter stuff. And you… will help me get it back.|W przekładzie na nasze, ktoś mi zapieprzył blisko dwadzieścia ton złota, nie licząc drobnych... A ty pomożesz mi je odzyskać.|Przetłumaczone na wspólny: Ktoś ukradł mi prawie dwadzieścia ton mojego złota i całej reszty lżejszych rzeczy. A ty... pomożesz mi je odzyskać.
Zoltan Chivay|I do. It's why I'm here. Can only trust you to get this done.|Geralt|To meet Yen.|Geralt|Hmm… If that's how you want ot put it… All right, leave it to me, I'll think of somethin'. And where might you be headed?|Hmm... Jeśli tak stawiasz sprawę... Dobra, coś wymyślę. Możesz na mnie liczyć. A ty dokąd idziesz?|Hmm... Jeśli tak chcesz to ująć... No dobrze, zostaw to mnie, coś wymyślę. A dokąd zamierzasz się udać?
Tamara|She didn't want the child?|Geralt|Because he knows something about someone dear to me. Promised to tell me if I found you and your mother.|Geralt|Said she'd sooner cut open her gut than bear another child from his seed.|Nie. Mówiła, że prędzej rozpruje sobie brzuch, niż urodzi dziecko z jego nasienia...|Powiedziała, że raczej otworzy sobie brzuch, niż urodzi kolejne dziecko z jego nasienia.
Temerian Peasant 02|That needs a tourniquet. But first… wanna explain what's going on here?|Geralt|No. He saved my life. I got a cut to me side, and then got hit in the head. Couldn't see anything. Rhosyn here found me as… as he crawled across the battlefield. His leg's twisted. And so we were - a blind man leadin' a cripple. Found this place.|Temerian Guard 03|Bastien! Is he… Has this Nilfgaardian captured you?|Bastien! On... On cię pojmał, ten Nilfgaardczyk?|Bastien! Czy on... Czy ten Nilfgaardczyk cię schwytał?
Philippa Eilhart|||||I've no mercy for your kind!|Dla takich jak ty nie ma litości!|Nie mam litości dla twojego rodzaju!
Gnome Man 03|Saw the notice. Let's say I'm interested.|Geralt|Gonna need details.|Geralt|That's good. Grand, even. Name's Brean Hotsch. I posted that slip.|A, to pięknie. Cudownie. Jestem Brean Hotsch i to ja zamieściłem ogłoszenie.|To dobrze. Nawet świetnie. Nazywam się Brean Hotsch. Umieściłem to ogłoszenie.
Geralt|Ere the evil took root on the hillock, the Ladies always helped us. Healthy babes were born. And once a year we got a giant pot of boiled meat.|Verden Peasant 02|At the time of the feast, the Ladies of the Wood give us the scrapings from their table.|Verden Peasant 02|Once a year, that's it?|Tylko raz do roku?|Raz do roku, tak?
Geralt|And then I heard him, my beloved Graham. He called to me… I opened the door for him, but others rushed in. They lunged at me and… and…|Anabelle|"There were too many… ""Leave her be!"" he shouted. He grabbed at them, tried to stop them. They just laughed…"|Anabelle|Your beloved failed to save you? Why?|Dlaczego twój ukochany cię nie obronił?|Twój ukochany nie zdołał cię uratować? Dlaczego?
Geralt|It's not that.|Triss|Got a fox mask for you.|Geralt|Everything's ready, we can go.|Wszystko gotowe, możemy ruszać.|Wszystko gotowe, możemy ruszać.
Novigrad Beggar 02|What in the--|Novigrad Beggar 02|Demon!|Novigrad Beggar 02|Dead - what a tragedy.|Trup, wielkie mi mecyje.|Szkoda gadać, tragedia!
Novigrad Thug Weak 35|I'll make you weep.|Novigrad Thug Weak 34|Greetings.|Novigrad Thug Weak 35|Welcome.|Witam.|Witaj.
Vesemir|You've seen her tracks. She's at full gallop all the time, breakneck speed through wild lands, devastated battlefields… She's in a hurry to get somewhere, or fleeing something. Either way, it means trouble of some sort.|Geralt|She's always poked her nose in beehives. Courtly intrigues here, mages' conspiracies there. What do you expect?|Vesemir|Be surprised if she wasn't in trouble.|Zdziwiłbym się, gdyby było inaczej.|Nie zdziwiłbym się, gdyby była w tarapatach.
Redanian Noble 01|So? Gonna talk?|Geralt|Dandelion is on Temple Isle. In the dungeon beneath the shrine. Menge's planning to execute him in Oxenfurt… Positively spectacular.|Redanian Noble 01|Depends… on the question.|Zależy... od pytania.|To zależy... od pytania.
Nilfgaardian Officer 01|They truly are rushing…|Nilfgaardian Officer 01|Yes, sir.|Nilfgaardian Soldier 01|Return to your post.|Wracaj na posterunek.|Wracaj na swoje stanowisko.
Geralt|||M'lord wanted to see to everythin', inspect the property personally. So he went down, all the way down, to the cellars.|Novigrad Peasant 02|What happened here?|Co tu się stało?|Co tu się stało?
Novigrad Poor Woman 01|Can't decide… nipper's got but five winters on him…|Novigrad Poor Woman 02|She ought to see, ought to know what awaits her if she strays.|Novigrad Poor Woman 01|I'm takin' me girl.|Ja tam biorę moją małą.|Biorę moją dziewczynę.
Geralt|I bought this property a short while ago - paid a pretty penny, I might add. Soon after, I witnessed… disturbances. Led me to fear the home might be haunted.|Novigrad Rich Man 03|Oh, they vary. Giggling… in the night. And furniture moving about in the attic, and last week… well, you shan't believe it - I found human feces in the parlor.|Novigrad Rich Man 03|What're the symptoms?|Jakie są objawy?|Co to za objawy?
Verden Peasant 03|Ye know, witcher, folk can say what they will. Me? I'll never forget what ye did for us!|Verden Peasant 03|Geralt! Thanks for everythin'!|Verden Peasant 04|The Black'uns didn't help, Bloody Baron didn't help. But you - you helped.|Czarni nie pomogli, Krwawy Baron nie pomógł. A ty nam pomogłeś.|Czarni nie pomogli, Przeklęty Baron też nie. Ale ty - ty mi pomogłeś.
Verden Boy 01|||||"Gran'll come runnin' soon. She hates it when we say ""arse."""|Babcia zaraz tu przylezie. Strasznie nie lubi, jak się mówi „rzyć”.|"Babcia niedługo przybiegnie. Nie lubi, gdy mówimy ""dupek""."
Voorhis|The gentleman must sit still. I am almost done.|Nilfgaardian Scholar 01|I watched her get in the megascope, but ultimately freed her… from the trap your man Letho of Gulet had set. Write that down. I wanna be sure the paperwork's in order now.|Geralt|I'm afraid I might find that difficult. Because from what I know, shortly afterwards you watched a defective megascope blow your friend Síle de Tansarville to bits.|Będzie trudno. Bo z tego, co wiem, wkrótce potem patrzyłeś, jak wadliwy megaskop rozrywa twoją znajomą Shealę de Tancarville na kawałki.|Obawiam się, że mogę mieć trudności z siedzeniem spokojnie. Bo z tego co wiem, krótko potem obserwował pan, jak wadliwy megalornetek rozerwał pańskiego przyjaciela Síle de Tansarville na strzępy.
Novigrad Old Woman 02|But you've got somethin' else, dear.|Novigrad Old Man 03|||Get out. Now!|Idźcie stąd. Ale już!|Wynoś się. Teraz!
Novigrad Sailor 01|I'm happy enough to be drinkin' at all.|Novigrad Sailor 03|I'll not sign on again. Not for a voyage through those waters.|Novigrad Sailor 01|True. But a hair's breadth and those Skellige barbarians would've had us.|Racja. Niewiele brakowało, a wpadlibyśmy w łapy dzikusów ze Skellige.|Ale prawie i ci skelligijscy barbarzyńcy by nas mieli.
Geralt|It won't?|Triss|I can't wait.|Geralt|No. Because the days, yeah, days might be short, but the nights? Nights'll be long.|Nie. Bo wiesz, dni może i będą krótkie... Ale za to noce długie.|Nie. Bo dni, tak, dni mogą być krótkie, ale noce? Noce będą długie.
Geralt|||||Brother Adalbert's Bestiary. A classic.|„Bestyaryusz brata Adalberta”. Klasyka.|Brulion brata Adalberta. Klasyka.
Geralt|||||Dining Set from which Emperor Emhyr Ate during His Coronation Ceremony.|„Zastawa, z której cesarz Emhyr jadł podczas uroczystości koronacyjnej”.|Zastawa stołowa, której używał cesarz Emhyr podczas swojej koronacji.
Skellige Warrior 04|Those fucks on Faroe'll faint soon as they see the imperial sun.|Skellige Warrior 03|Be the first raid where the Black Ones deliver the goods to our doorstep.|Skellige Warrior 05|Heheh. Be kickin' themselves when they wake on seein' us with most of the booty.|To potem będą sobie pluć w brodę, a dla nas więcej zostanie.|Heheh. Będą żałować, gdy obudzą się i zobaczą nas z całym łupem.
Geralt|||Strife 'tween siblings is never good. I know from experience.|Udalryk|The fight for the throne's grown fierce.|Walka o koronę robi się coraz bardziej zacięta...|Walka o tron stała się zacięta.
Skellige Old Woman 04|Now there's a warrior. *Whistles*|Skellige Old Woman 04|You spied a dragon?!|Skellige Old Woman 04|Ah. Sorry.|A przepraszam.|Ach. Przepraszam.
Troll_1|||||When man fall dead off horsie.|Kiedy komuś łeb odpadnie.|When man fall dead off horsie.
Scoiatael Man 02|Oh yes.|Scoiatael Man 02|Que'ss aen me dicette?|Scoiatael Man 02|Dead? No, he's been spotted in Novigrad.|Jak nie żyje, jak go w Novigradzie widziano.|Nie, on nie jest martwy. Widziano go w Novigradzie.
Ermion|||||What are you doing?! Why?!|Co ty wyprawiasz?!|Co ty robisz?! Dlaczego?!
Lady Bran|Take it you have a specific family in mind.|Geralt|||Of course. Bran was the best king Skellige's seen in centuries. The throne should pass on to Svanrige, his true born son, and then on to his sons.|Oczywiście. Bran był najlepszym królem, jakiego Skellige widziało od wieków. Svanrige to krew z jego krwi, więc to jemu powinien przypaść tron... A potem jego synom.|Oczywiście. Bran był najlepszym królem, jakiego Skellige widziało od stuleci. Tron powinien przejść na Svanrige, jego prawowitego syna, a potem na jego synów.
Geralt|||This is the ship of His Majesty Radovid V, King of Redania. State your business.|Redanian Soldier 02|Farewell.|Bywaj.|Żegnaj.
Novigrad Refugee Woman 01|Please, sir, don't hurt me…|Novigrad Refugee Woman 01|Watch how you walk!|Novigrad Refugee Woman 01|Aaaah! Aaaah!|Aaaa! Aaaa!|Ach! Ach!
Zoltan Chivay|Take on Menge's appearance. Then go and give the order for Dandelion to be moved to Oxenfurt.|Geralt|Wait… Not so fast. How am I to be Menge? And I've no notion where Dandelion's being held…|Dudu Biberveldt|We'll lay in ambush in the ravine en route. Spring Dandelion from the convoy when it rolls by.|A potem my urządzimy zasadzkę w wąwozie i odbijemy go.|Urządzimy zasadzkę w wąwozie po drodze. Odbijmy Dandeliona z konwoju, gdy przejedzie obok.
Skellige Villager 01|Stop whinin', Petter, I'm ashamed to hear it. Pull yourself together, man.|Skellige Villager 01|Old Olle's also got lice, stinks and leaks out both ends, yet he don't complain 'bout that either. You two gonna help or no?|Skellige Fisherman 01|Worst case, Henrik'll whittle ye a wooden leg. Old Olle's got one and ye don't hear him complainin'.|W najgorszym razie Henrik wystruga ci drewnianą nogę. Stary Olle ma taką i nie narzeka.|W najgorszym razie, Henrik zrobi ci drewnianą nogę. Stary Olle ma taką i nie słychać od niego narzekania.
Cirilla choice|Girl… You was blue as a whale when we brought you in here! Your blood needs thawin'!|Skellige Woman 04|I'm sorry, but I must get to Drowned Dead Rock… as fast as possible.|Cirilla|I must get to Drowned Dead Rock.|Muszę iść do Skały Topielców.|Muszę dotrzeć do Zatopionego Martwego Kamienia.
Redanian Officer 01|Twas like I said. He was workin' with the Black Ones. Tpff!|Temerian Peasant 01|He cozied up to 'em! Worked with 'em! Plotted! Schemed! Against the king!|Temerian Peasant 01|He's not on the list. What did he do? Exactly.|Nie mamy go na liście. Co on niby zrobił? Tak konkretnie.|Nie ma go na liście. Co dokładnie robił?
Cirilla|Don't know, don't care.|Geralt|The oak is dead!|Verden Old Man 02|You must learn to live without them.|Musicie nauczyć się żyć bez nich.|Musisz nauczyć się żyć bez nich.
Verden Bandit 04|I've got young'uns!|Verden Bandit 04|Ploughin' goat fucker!|Verden Bandit 05|Stead o' flappin' yer gob, fight!|Ty nie kłapaj jadaczką ino bij!|Przestań machać swoją gębą, walcz!
Geralt|As have I, as do I.|Novigrad Rich Man 02|Hahah. Mountains don't move and thus never meet, but men…|Novigrad Rich Man 02|Take a peek, if you don't mind.|Rzucę okiem na twoje towary.|Rzuć okiem, jeśli nie masz nic przeciwko.
Geralt|||||Someone's journal…|Ktoś tu spisał wspomnienia...|Ktoś prowadzi dziennik...
Geralt|||Prints… Too small to be a man's, too large for a child.|Geralt|A piece of fabric… possibly from a dress. Got snagged on the undergrowth.|Tkanina... Mogła pochodzić z sukni... Musiała zaczepić o krzewy.|Kawałek materiału… być może z sukienki. Zahaczyło się o krzaki.
Skellige Blacksmith Helper 01|Wouldn't mind a look at your stock.|Geralt|Interested in a weapon? There's a tale behind every item I've got.|Skellige Blacksmith Helper 02|So you're back. Was right, wasn't I?|A więc wróciłeś. Miałem rację, hę?|No to wróciłeś. Miałem rację, prawda?
Dijkstra|So, how about we get dressed?|Geralt|I need to find Whoreson. Now looks like I gotta get to him before Cleaver does.|Geralt|Sure, sure - then we'll talk. In private.|Niezły pomysł. A potem pogadamy już w cztery oczy.|No pewnie, no pewnie - potem porozmawiamy. Na osobności.
Geralt|||||Boot prints… Traces of sewer slime.|Odciski butów... Uwalanych szlamem z kanałów.|Ślady butów... Ślady ściekowego śluzu.
Udalryk|No, no, no, no…|Udalryk|We need to prepare the house first. Light some torches in the main room - make sure they illuminate every nook and cranny.|Geralt|It'll never end…|To się nigdy nie skończy...|To nigdy się nie skończy...
Redanian Soldier 01|Long live etcetera etcetera. Ugh. Feel like pukin' after that swill in the canteen.|Redanian Soldier 01|Put away your weapon.|Redanian Soldier 01|Watch your step.|Uważaj sobie.|Uważaj na krok.
Skellige Merchant 01|Think I found something might belong to you and your kin. Cargo from a longship that wrecked north of Ard Skellig.|Geralt|But listen, you happen across a sword among the wreckage, decorated, ornate? Belonged to the captain. His kin would surely want it back.|Skellige Merchant 01|"Ach, the ""Hemdall's Wrath,"" must be. Sailed out to raid the Continent's coast, must be a month, now. Never came back…"|O, to musiał być „Gniew Hemdalla”. Z miesiąc temu popłynęli łupić wybrzeże, ale nie wrócili...|"Ach, ""Gniew Hemdalla"", musi być. Wypłynęli rabować wybrzeża Kontynentu, pewnie miesiąc temu. Nigdy nie wrócili…"
Skellige Warrior 03|||||Oi, witcher! Got an offer for ye!|Hej, wiedźminie. Mam dla ciebie propozycję.|Cześć, czarodzieju! Mam dla ciebie propozycję.
Arnvald|So maybe I oughta stop by another time.|Geralt|Come. Crach awaits.|Arnvald|All know what you did for Cerys and Hjalmar. Today, you're one of us.|Wszyscy wiedzą, co uczyniliście dla Cerys i Hjalmara. Dziś jesteście jednymi z nas.|Wszyscy wiedzą, co zrobiłeś dla Cerys i Hjalmara. Dziś jesteś jednym z nas.
Geralt|||She's not weakened yet.|Baron Bandit Strong 01|Release the she-wolf.|Wypuśćcie wilczycę.|Wypuść wilczycę.
