speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
Geralt|||Chin up. No shame in losing to me.|Ermion|Another time, maybe.|Zagramy kiedy indziej.|Może innym razem.
Redanian Soldier 01|||Here about the notice. Got monster trouble?|Geralt|Huh? What do you want?|Ta? Czego chcesz?|Czego jak czego, ale nekkerów to się akurat nie boję.
Guslar|You don't look like you can get home on your own. I'll walk you.|Geralt|No. Thank you for your help. Let's go.|Geralt|Thank you.|Dziękuję wam...|Dziękuję.
Temerian Peasant 03|Nothin'. I'm a freak.|Temerian Peasant 03|||Sorry, I'd rather not talk about it.|Wybaczcie. Nie chcę o tym mówić.|Przepraszam, wolałbym o tym nie rozmawiać.
Redanian Blacksmith 01|Will you craft something for me?|Geralt|{Hael. } [Greetings.]|Nilfgaardian Imperial 01|Ah! A customer!|Ha! Klient!|Ah! Klient!
Geralt|Hey… I think it worked.|Geralt|Igni.|Geralt|And the bracelet.|I bransoletę.|Igni.
Redanian Townswoman 01|You don't say…|Redanian Townswoman 01|Are you a witcher?|Redanian Townswoman 01|What is it?|No czego?|Co to takiego?
Baron Bandit Strong 02|You asked for it!|Baron Bandit Strong 02|All together!|Baron Bandit Strong 02|Aaah!|Aaa!|Aaah!
Novigrad Prostitute 02|I think I'll be on my way.|Geralt|Get outta here, or I'll kill you.|Geralt|I should think so.|No chyba.|Lepiej idź stąd.
Novigrad Noblewoman 02|A shame, really. I'd like to see someone knock the conceited brat down a peg.|Novigrad Noblewoman 02|You did wonderfully!|Novigrad Noblewoman 02|I saw you ride. Did rather well in that race.|Widziałam gonitwę, w której wziąłeś udział. Dobrze ci szło.|Dobrze sobie poradziłaś w tym wyścigu.
Yennefer|Magic anomaly on Ard Skellig's somehow related to Ciri, or so Yennefer believes.|Geralt|I saw the twisted forms - right unnatural. The druids were barely able to contain it. Explain to me, Yennefer, how Ciri might've caused this great catastrophe.|Crach|It's my strong suspicion. But I can only know for certain by examining the site.|Tak sądzę. Gdy zbadam to miejsce, będę wiedziała na pewno.|To moje silne podejrzenie. Ale mogę mieć pewność tylko po dokładnym zbadaniu miejsca.
Vesemir|Used to be exactly the same. You've just forgotten.|Geralt|||Do well not to point up my age. You're near a century old yourself.|Sam masz prawie setkę na karku, więc nie wypominaj mi wieku.|Nie próbuj mi tu wypominać wieku. Sam masz prawie sto lat.
Geralt|The Northern Realms.|Vesemir|Radovid's pledged to restore the old borders - soon as he wins the war.|Vesemir|Radovid's Realms, don't you mean? Temeria and Aedirn are no more.|Chyba królestw Radowida. Bo Temerii i Kaedwen już nie ma.|Radovid's Realms, don't you mean? Temeria and Aedirn are no more.
Geralt|Hahaha… Hear that? He wants to talk to Lugos! What else, vagrant? Care to plough Freya?|Skellige Guard 05|I can arrange a knife 'tween your ribs as you sink to the bottom of the bay. Now bugger off.|Skellige Guard 05|Works for me if you can arrange it.|Jeśli możesz to załatwić, to chętnie.|Dla mnie to bez różnicy, jeśli możesz to zorganizować.
Geralt|In Skellige we spit on the notion of peace at any cost.|Crach|If you'd asked me some months ago, I'd 'ave laughed in your face.|Crach|Think the council of jarls will dare to put a woman on the throne?|Myślisz, że rada jarlów posadzi na tronie kobietę?|Myślisz, że rada jarli odważy się posadzić kobietę na tronie?
Mage 01|That's not what she would want.|Geralt|Yes, but…|Geralt|What do you know? Huh! She was a stranger to you!|Skąd ty możesz wiedzieć, co? Nawet jej nie znałeś!|Co ty tam możesz wiedzieć? Przecież była dla ciebie obca!
Philippa Eilhart|Philippa, your eyesight - only just recovered and magically simulated. Didn't you say you'd need some time to get accustomed?|Yennefer|I'd forgotten how irritating she can be. Come, Ciri.|Yennefer|Did I?|Tak mówiłam?|Czy ja tak powiedziałam?
Novigrad Prostitute 02|Heard that three times already. I'll not sit and hear it a fourth.|Novigrad Prostitute 02|Absolutely.|Novigrad Prostitute 02|Will you go to the baths with me? I'm feelin' filthy somehow…|Wybierzemy się do łaźni? Czuje się taka brudna...|Chcesz pójść ze mną do łaźni? Czuję się jakoś brudna...
Scoiatael Dwarf 31|Rotten times.|Scoiatael Dwarf 31|Move!|Scoiatael Dwarf 32|They're shedding blood!|Krew się leje!|Oni przelewają krew!
Keira Metz|A what projection?|Geralt|Much safer than an ordinary letter, which anyone can intercept en route to its recipient.|Keira Metz|Something akin to a postbox for mages.|Coś w rodzaju czarodziejskiej skrzynki pocztowej.|Coś w rodzaju skrzynki pocztowej dla magów.
Baron|Anything unusual happen before they disappeared? They act differently, do anything strange?|Geralt|And my women? Anna, quiet as a mouse, as ever. And Tamara, occupied with her… things… Nothing unusual.|Baron|Unusual? No… But not long ago, peasants came to complain that a beast had ravaged a woman by the well. Devoured another lass before her. Common occurrences in Velen.|Coś niezwykłego? Nie... Chłopi raz przyszli ze skargą, że potwór zagryzł babę przy studni, a wcześniej jeszcze jakąś dziewuszkę. Ale to zwyczajna rzecz w Velen.|Nic niezwykłego? Nie... Ale niedawno chłopi skarżyli się, że bestia pożarła kobietę przy studni. Zabiła inną dziewczynę przed jej oczami. Takie rzeczy często zdarzają się w Velene.
Geralt|More so than Velen, but that's hardly an achievement.|Keira Metz|Ah. So much tramping over mountain paths, you're lucky I made it.|Keira Metz|How was your trip? Get here all right?|Jak droga?|Jak minęła podróż? Dotarłaś bezpiecznie?
Skellige Villager 01|Eh, what do you know?|Skellige Villager 01|I dunno. Just don't know.|Skellige Villager 01|Fancy a pint when we're done?|Idziemy napić się po robocie?|Chcesz się napić, jak skończymy?
Novigrad Poor Woman 31|I think I'm getting sick.|Novigrad Poor Woman 31|Nothing new.|Novigrad Poor Woman 31|Take care of yourself.|Bądź zdrów.|Dbaj o siebie.
Geralt|Listen - it's our arena, got a wraith that haunts it. Damned if we know how to drive it off. Think you could manage?|Skellige Villager 04|What? Easy as that…?|Skellige Villager 02|Wraith's gone. You can start organizing fights again.|Możecie znowu organizować swoje walki. Upiora już nie ma.|Widmo odeszło. Możecie znowu organizować walki.
Ermion|Someone chased them, they fought. Ciri was wounded but managed to escape.|Geralt|Velen, probably - the mage opened a portal for her. Then he fought her attacker.|Geralt|Where to?|Dokąd?|Gdzie?
Temerian Peasant 03|Yeah. Just thieves… and murderers.|Geralt|||You're ploughin' startin' to annoy me. And I don't like bein' annoyed.|Wkurwiasz mnie. A ja nie lubię, jak się mnie wkurwia.|Zaczynasz mnie irytować. I nie lubię być irytowany.
Verden Old Man 02|||||That's him…|To on...|To on...
Geralt|||Good! May all Skellige know Yennefer of Vengerberg is a common thief!|Ermion|Can hear you two clear on the other side of the island.|Słychać was na drugim końcu wyspy...|Słyszę was oboje wyraźnie po drugiej stronie wyspy.
Geralt|Long as you really don't mind…|Geralt|Or wants us to think she did.|Triss|Seemed to take that pretty well.|Nieźle to przyjęła.|Wydaje się, że zniosła to całkiem dobrze.
Novigrad Boy 02|My mum don't let me talk to strangers.|Novigrad Boy 02|You're gray like my grandmum!|Novigrad Boy 02|Shhhhh!|Ciiiii!|Ciii!
Verden Woman 04|What'd he make that stew from? Rats?|Verden Woman 04|Greetings! Greetings! How fare ye?|Verden Woman 04|Got other matters on me mind just now.|Co inszego mam tera na głowie.|Mam teraz inne sprawy na głowie.
Skellige Druid 02|Gods bless our queen! Fill her heart with virtue, wisdom and courage!|Skellige Druid 02|Let us thank the gods for interceding. Let us pray they favor our new king.|Skellige Druid 02|In her reign may the land flow with milk and honey, and the sea depths swallow the ships of our foes!|Niech za jej panowania nasza kraina spłynie mlekiem i miodem, a morskie głębiny pochłoną statki naszych wrogów!|W jej panowaniu niech ziemia płynie mlekiem i miodem, a morza pochłoną okręty naszych wrogów!
Redanian Soldier 02|Mercy…|Redanian Soldier 02|Will ya moan for mercy?|Redanian Soldier 02|Kill the whoreson!|Rąbać skurwysyna!|Zabij tego skurwysyna!
Geralt|It's that good with her?|Cirilla|Got a minute?|Geralt|Better.|Aż tak.|Lepiej.
Cirilla|Ice shouldn't be too thick here.|Geralt|How exactly do you plan to catch anything?|Cirilla|Uh-huh.|Aha.|Uh-huh.
Baron Bandit Strong 01|Uuuuaaaa… Uuuaaa.|Baron Bandit Weak 02|We've all been goin' in the bushes these last days.|Baron Bandit Strong 02|Don't waste yer time.|Nic z tego.|Nie trać czasu.
Geralt|Listen - it's our arena, got a wraith that haunts it. Damned if we know how to drive it off. Think you could manage?|Skellige Villager 04|Better believe it! Every man and his hound wants to fight in the Cursed Arena!|Skellige Villager 02|Business is booming, far as I can see…|Widzę, że interes się kręci...|Interes się kręci, jak widzę...
Voorhis|I left Flotsam with Iorveth, commander of a Scoia'tael unit.|Geralt|Hmm. It must suffice.|Chamberlain Emhyr|A slayer of monsters and a slayer of men… you forge interesting alliances.|Zabójca potworów i zabójca ludzi... Ciekawe zawierasz sojusze.|A zabójca potworów i zabójca ludzi… ciekawe sojusze zawierasz.
Verden Woman 02|What if someone took 'em? Is holdin' 'em captive in some musty hut in the woods?|Verden Woman 01|Aye, they were fed naught but soufflés and quail at Crow's Perch.|Verden Woman 03|Must be sufferin', both.|Katusze muszą cierpieć. Obydwie.|Muszą cierpieć oboje.
Eternal Fire Priest 14|The Butcher of Blaviken…|Eternal Fire Priest 14|Witcher. Pff.|Eternal Fire Priest 15|Eternal Fire, keep me safe!|Wieczny Ogniu, miej mnie w opiece...|Eternal Fire, keep me safe!
Novigrad Thug Weak 15|Sheathe the sword, mate.|Novigrad Thug Weak 15|Good of you to behave, mate.|Novigrad Thug Weak 15|You bored, mate?!|Nudzi się, koleżko?!|Czy ty się nudzisz, kolego?
Menge|Look upon your neighbor, for he too could be a doppler!|Menge|No!|Chorus Novigrad|Will we submit to uncertainty?! Will we allow monsters and charlatans to overrun our city?!|Czy godzimy się na to?! Czy pozwolimy potworom i szarlatanom opanować nasze miasto?!|Czy pozwolimy niepewności zawładnąć naszym miastem? Czy pozwolimy potworom i szarlatanom przejąć nad nim kontrolę?
Geralt|To my… But she's been dead for years!|Verden Woman 04|Why wasn't she buried alongside her husband?|Geralt|Guess I talked to a ghost…|Czyli rozmawiałem z duchem...|Chyba rozmawiałem z duchem...
Skellige Fisherman 03|At sea?|Skellige Fisherman 04|Damn shame. Though at least they died in battle.|Skellige Fisherman 04|No, the imperials lay in ambush along the bay's shore. Struck as the Fayrlunders drew their longboats onto the beach.|Nie. Cesarscy napadli, jak już wyciągnęli łodzie na brzeg. To była zasadzka. Okrążyli ich.|Nie, imperialni urządzili zasadzkę wzdłuż brzegu zatoki. Uderzyli, gdy Fayrlunderowie wyciągali swoje długie łodzie na plażę.
Triss|Figured as much. You weren't easy to find, you know.|Geralt|But it turned out my amnesia'd changed nothing. Wanted to be with you before, during, after - always.|Geralt|You'd recovered your memory, found Yennefer. So naturally, I thought the two of you'd--|Myślałam, że skoro odzyskałeś pamięć i spotkałeś Yennefer, to oczywiste, że wy...|Wiedziałam, że tak będzie. Nie było ci łatwo mnie odnaleźć, prawda?
Baron|Expect me to believe you were a loving father to Tamara? After that scene in the courtyard?|Geralt|She'd ride the horses, hunt with the men, at times join them on their rounds. And they'd send for her when I flew into a rage, for only she could calm me.|Baron|You're free to believe whatever you wish, but she was always the apple of my eye. She had the run of the place, ask anyone.|Wierzyć nie musisz, ale zawsze była moim oczkiem w głowie. Mogła tu robić, co chciała. Zapytaj, kogo chcesz.|Możesz wierzyć, w co chcesz, ale ona była dla mnie oczkiem w głowie. Zawsze mogła chodzić, gdzie chciała, spytaj kogo chcesz.
Geralt|||Is it Albert?|Triss|Someone's coming.|Ktoś idzie.|Ktoś nadchodzi.
Skellige Warrior 05|By Hemdall's axe!|Skellige Warrior 05|Aye, hero?|Skellige Warrior 05|Yeah?|Ta?|Tak?
Verden Girl 02|No.|Cirilla|Go away! Stupid wolves! Go!|Verden Girl 02|Then I'm not either.|To ja też nie.|Nie jestem też ja.
Geralt|The spirit!|Cerys|||What the--?|Co...|Co do--?
Skellige Villager 03|Then go to your gran and stop bothering me.|Skellige Druid 01|Aye! Threw his umbilical in the water - and it coiled into the shape of a snake! Do ye know what that means?|Skellige Villager 05|I heard Gray Ynge augured your son's future?|Słyszałem, że Siwa Ynge zobaczyła w znakach, co czeka twojego syna?|Słyszałem, że Szary Ynge przepowiedział przyszłość twojego syna?
Novigrad Thug Weak 01|Bloody hell!|Novigrad Thug Weak 01|Dragonplougher!|Novigrad Thug Weak 01|You'll pay for this!|Zapłacisz za to!|Będziesz za to płacił!
Geralt|There's something to think about, folks.|Geralt|Readily! You are a mutant! A freak! A useless relic of a bygone age that should be burned like a withered branch!|Novigrad Nobleman 01|Got the courage to repeat that slander to my face?|Masz odwagę powtórzyć te oszczerstwa, patrząc mi w oczy?|Masz odwagę powtórzyć te oszczerstwa prosto w moją twarz?
Geralt|Not long past, his unit was decimated by the foe. Ambushed in the swamp nearby.|Nilfgaardian Officer 01|By imperial order, we are not to inform civilians of defeats, lost men and units. Also, we never found his body. Perhaps he survived…|Nilfgaardian Officer 01|Why'd you withhold this from his mother?|Dlaczego nie powiedziałeś o tym jego matce?|Dlaczego ukryłeś to przed jego matką?
Geralt|I started wailin', beggin' 'em to leave it. The best Redanian, I says, boss at the Passiflora'll have my balls. That settled it - they had to inspect it, each and every barrel…|Zoltan Chivay|Don't mention it. So, you goin' to Dandelion's with me, or alone?|Zoltan Chivay|Good plan. And good work. Thanks, Zoltan.|Dobry plan. I dobra robota – dzięki.|Dobry plan. I dobra robota. Dzięki, Zoltan.
Temerian Peasant 01|Raven-haired woman dressed in black and white. Seen her? Talk.|Geralt|Which way did she go?|Geralt|Folk say the lady rode through the village a few days back. Gallopin' so fast she knocked Radobor into a ditch.|Mówią, że gnała taka nocą przez wieś... Tak pędziła, że Radobora do rowu zepchnęła.|Ludzie mówią, że pani przejechała przez wieś kilka dni temu. Galopowała tak szybko, że wyrzuciła Radobora do rowu.
Verden Girl 02|Your parents must've been angry.|Cirilla|Sending me down the trail of treats - that would solve things.|Verden Girl 02|Mother said I should be spanked, but father said 'twouldn't do no good - too many mouths to feed anyway.|Najpierw mama chciała mi dać w skórę, ale tata powiedział, że i tak jest za dużo gęb do wykarmienia...|Matka powiedziała, że powinnam dostać klapsa, ale ojciec stwierdził, że to nic nie da - i tak jest za dużo gęb do wykarmienia.
Geralt|Sneaking upstairs to make love.|Yennefer|That was nothing. Shoulda been here last winter when Lambert tried to convince him we oughta abandon Kaer Morhen for good.|Eskel|Vesemir's gotten a bit grumpy in his old age.|Vesemir robi się drażliwy na starość...|Vesemir ostatnio trochę zgorzkniał na starość.
Geralt|How can I be of service?|Vimme Vivaldi|||Till next time.|Do następnego.|Do zobaczenia następnym razem.
Lambert|Get ready… He's coming.|Lambert|Ah, so soft and sweet, just sleepin' there… Makes you wanna make this moment last forever…|Lambert|You miss me, whoreson?|Stęskniłeś się za mną, sukinsynu?|Żeby cię szlag, skurwysynu.
Geralt|During the wake, those who believe themselves worthy of the crown will step forth.|Crach|Gladly.|Yennefer|Come to the wake with me?|Zechcesz mi towarzyszyć na uczcie?|Chcesz ze mną pójść na czuwanie?
Novigrad Citizen Man 19|Well, well.|Novigrad Citizen Man 19|They say some witchers spy for the Black Ones…|Novigrad Citizen Man 19|Hmmm… A witcher?|Hmm... Wiedźmin?|Hmmm... Czarodziej?
Geralt|I'm Jutta an Dimun. No man's been found who could best me in combat.|Skellige Woman 04|Well, well… How'd you manage it?|Skellige Woman 04|Got Hoskuld's sword like you wanted. Have yet to check if it really can't be chipped.|Mam miecz Hoskulda, tak jak chciałaś. Nie sprawdzałem jeszcze, czy naprawdę nie da się go wyszczerbić.|Mam miecz Hoskulda tak jak chciałaś. Jeszcze nie sprawdzałem, czy faktycznie nie da się go zarysować.
Baron|You beat them.|Geralt|And on Anna?|Geralt|I never laid a finger on Tamara, not once.|W życiu nie podniosłem ręki na Tamarę. Nigdy.|Nigdy nie uderzyłem Tamary ani razu.
Novigrad Prostitute 35|Meow…|Novigrad Prostitute 35|How are you, honey?|Novigrad Prostitute 35|Not in the face! Not the face!|Nie w twarz! Nie w twarz!|Nie w twarz! Nie w twarz!
Skellige Villager 06|||||Ye out sped Speedy Osvald. Not many can brag o' that.|Byłeś szybszy od Szybkiego Osvalda. Mało kto może się tym pochwalić.|Tak, to był szybki Osvald. Niewielu może się pochwalić takim osiągnięciem.
Redanian Officer 01|Get inside, woman. Unwise to raise a row.|Temerian Peasant 01|||Heheheh.|He, he.|Heheheh.
Redanian Soldier 03|Hm, Could chew through a mace with them choppers. Maybe even Nilfgaardian plate.|Redanian Soldier 02|That cage not a bit small? Beast can't even turn around.|Redanian Soldier 04|If it's a basilisk… then where's it's deadly gaze?|Skoro to bazyliszek... To czemu wzrokiem nie zabija?|Jeśli to bazyliszek... to gdzie jego śmiertelny wzrok?
Skellige Warrior 05|It's a fact, I'm old. As are you. Come sit with me…|Skellige Woman 01|We've time.|Skellige Woman 01|And the storm?|A burza?|Co ze sztormem?
Elf Female 02|Guards!|Elf Female 01|We must make provisions. The front will shift again, prices will spiral.|Elf Female 02|A cloud must have burst…|Cała chmura chyba pękła...|Chmura musiała pęknąć…
Baron Bandit Weak 01|How about I buy everybody a round?|Geralt|Got the coin for it, simple as that.|Geralt|Why would you?|Bo co?|Dlaczego miałbym to robić?
Verden Peasant 01|Huh? Where're we to get a sum like that? Ye been here long? Don't seem it. Have ye seen how folk live?|Verden Peasant 01|That's a sum we can agree to.|Verden Peasant 01|It's a lot… But truth be told, job like that… Drop your ask a couple o' crowns and we'll be set.|Dużo chcecie... Ale po prawdzie, za taką robotę... Urwijcie parę koron i umowa stoi.|To jest dużo... Ale szczerze mówiąc, praca taka... Obniż swoją stawkę o parę koron i będziemy zadowoleni.
Dijkstra|Arena sounds promising. Where's that?|Geralt|Now, Junior loves a good fight. Wager he'd give a lot to see a real witcher in action.|Dijkstra|Sewers beneath Gildorf, but you'll have to enter through the Bits, endure the stench of poverty on the way.|W kanałach, pod Złotą Dzielnicą, ale wejście jest w kwartale biedoty – na Okrawkach.|Sewery pod Gildorf, ale będziesz musiał wejść przez Kanały, znosząc smród biedoty po drodze.
Geralt|What? I thought you knew.|Yennefer|What the--? That a storm?|Geralt|All I know is Avallac'h might've betrayed us.|Wiem tylko tyle, że Avallac’h mógł nas zdradzić.|Wszystko co wiem, to że Avallac'h może nas zdradził.
Lambert|Been drinking again? Moving like a fly in tar.|Eskel|Strong enough to break your guard.|Eskel|Call that a strong blow?|To ma być silny cios?|To nie było silne uderzenie?
Dandelion|Quiet!|Witch Hunter 04|Once I saw one of them… Ouch!|Dandelion|Don't worry about me, I'll be quiet. But those halflings? You can't trust them, you know…|Ja będę cicho, nie ma obawy. Ale te niziołki? Nie można im ufać, wiesz...|Nie martw się o mnie, będę cicho. Ale te półelfy? Nie można im ufać, wiesz…
Geralt|Now do you see why I needed those… substances?|Keira Metz|Shall I pour the white or the--?|Keira Metz|Beef in cinnamon and cloves, roasted capon with shallots… It was worth the trouble.|Wołowina w cynamonie i goździkach, pieczony kapłon z szalotkami... Warto było się pofatygować.|Wołowina w cynamonie i goździkach, pieczony kapłon z szalotkami... Było warto się pomęczyć.
Yennefer|Know where it led?|Geralt|Any chance you can figure out where Ciri's companion fled to? His portal's gotta be nearby.|Geralt|Magic residue trail leads to… Velen.|Ślad magiczny prowadzi... Do Velen.|Magiczny ślad prowadzi do... Velenu.
Geralt|||I should bloody well say so.|Novigrad Thug Weak 01|Misunderstanding. Sorry.|Zaszło nieporozumienie.|Nieporozumienie. Przepraszam.
Skellige Warrior 05|I reached them too late. Saw the giant dash Wilmar against a rock.|Skellige Warrior 05|Harald was dead by then?|Geralt|He fell right beside me, all his bones broke, wrigglin' like a salmon on the sand.|Tuż obok mnie upadł, wszystkie kości połamane, trzęsło nim jak łososiem na piasku.|Upadł prosto obok mnie, wszystkie jego kości połamały się, wijąc się jak pstrąg na piasku.
Ermion|Sadly, the Wild Hunt was on her trail, followed here there. Ciri managed to escape, but the villagers--|Geralt|Suffice to say Ciri was fortunate to escape. I trust you'll find her soon.|Ermion|I know. You needn't finish. I later spoke to those who survived.|Wiem, nie musisz kończyć. Rozmawiałem później z tym, którzy ocaleli...|Wiem. Nie musisz kończyć. Później rozmawiałam z tymi, którzy przeżyli.
Geralt|An illusion… Who woulda thunk?|Lambert|No, I will not. In fact, whole world should hear about the time the famed Geralt of Rivia was duped like a child. Think we oughta get Dandelion to write a ballad about it. How's that sound?|Lambert|You're not gonna let this drop anytime soon, are you?|Ech... Coś mi mówi, że prędko nie odpuścisz.|Nie odpuścisz tego tak szybko, prawda?
Geralt|Shall we begin?|Yennefer|Of course I'm right.|Yennefer|Actually, maybe you're right. A little help can go a long way.|Może jednak masz rację, mała pomoc by nam nie zaszkodziła...|Faktycznie, może masz rację. Trochę pomocy może wiele zmienić.
Verden Peasant 03|Where's Josef get all his food from, eh?|Verden Peasant 04|*Spits* Serve the Bloody Baron? I'd rather starve to death!|Verden Peasant 05|Joined the baron's men. He's a big lad, tough. Don't fear others and eager to use his fists.|Do baronowych go wzięli. Kawał chłopa z niego. I ludzi się bić nie boi.|Dołączył do ludzi barona. Jest duży i silny, nie boi się innych i chętnie używa pięści.
Geralt|Light the fires.|Guslar|Prepare, and prepare well. Once the spirits appear, there'll be no recourse, no turning back.|Guslar|All right, no reason to dawdle.|No dobra, chyba nie ma co zwlekać.|Dobrze, nie ma sensu zwlekać.
Dandelion|"""And what of Geralt?""- you might ask. Well…"|Dandelion|We would meet at times over a glass of strong drink  to talk about the old days and speculate what could have, would have, might have been…|Dandelion|He continued on as before, living hand to mouth, job to job, on the road, ever coinless.|Wrócił do swojego fachu, żył od zlecenia do zlecenia, wiecznie w drodze, wiecznie bez pieniędzy.|On kontynuował tak jak przedtem, żyjąc z dnia na dzień, od roboty do roboty, w drodze, wiecznie bez grosza.
Crach|Beautiful craftsmanship. Thanks.|Geralt|Lu-gos! Lu-gos! Lu-gos!|Chorus Skellige|Heh, I'm the one--|To ja...|Heh, ja jestem ten jeden--
Geralt|Emperor just decided to get rid of me - I'm an inconvenient witness, after all. I've run into loads of men out to kill me ever since I left Loc Muinne.|Letho|Gotten real careful.|Letho|Now I understand all the traps.|Teraz rozumiem, skąd te wszystkie pułapki.|Teraz rozumiem wszystkie pułapki.
Folan|I've never been here before. Guess you could say I've never been fond of Clan Tordarroch.|Folan|You claim Ard Skelligers don't like the people of Undvik. Yet you helped them after the giant attacked.|Geralt|In fact, no one on Ard Skellig's especially fond of them.|Właściwie to nikt na Ard Skellig specjalnie ich nie lubi.|W rzeczywistości nikt z Ard Skelligers specjalnie nie przepada za ludźmi z Undvik.
Geralt|You win. Well, made my bed, now I've got to lie in it. There's your card.|Baron|Hm. I've heard of a dwarf in Novigrad - Zoltan… surname escapes me. And there's a traveling cobbler who clings to the Nilfgaardians like he was the stench from their foot wrappings.|Baron|Thanks. Few ever come into rarities like this.|Dzięki. Mało kto ma takie rarytasy.|Dzięki. Rzadko zdarzają się takie rarytasy.
Verden Girl 02|Told you not to gaze in the well, Yanna!|Verden Old Woman 01|Your face could catch some vodnik's eye.|Verden Old Woman 01|All right, gran.|Dobrze, babciu.|Dobrze, babciu.
Geralt|Mhm. But also baths, balms, body massages… You could make up for all those years you slept in the bushes and bathed in mountain streams.|Triss|No. You'd take a monster contract from time to time, to stay sharp… Nothing too dangerous, though, so I wouldn't have to worry. And I'd be waiting for you…|Triss|Sounds tempting. Would I have to give up being a witcher?|Brzmi kusząco. Ale nie musiałbym rezygnować z wiedźmiństwa?|Brzmi kusząco. Czy musiałbym zrezygnować z bycia wiedźminem?
Geralt|||||Clawed the rock. Must've been angry… and strong.|Zarysował pazurami skałę. Musiał być rozwścieczony... i silny.|Szponami rozorał skałę. Musiał być wściekły... i silny.
Mage 01|Help! Guards!|Halfling Man 05|They finally cornered him in an alley. So tired he barely mustered the spell.|Mage 01|Hmm… I wasn't supposed to rain.|Hmm... Opadów nie przewidywano.|To nie one zaatakowały tych ludzi. Wiwerna królewska musi gdzieś się tu czaić.
Geralt|Yet, if you're ever in the area, by chance, even… take this. And just make sure she's all right.|Baron|A letter of safe conduct. Ever since the Redanians took hold of the Pontar Delta, they've made it damned hard to get to Novigrad without one.|Baron|What is it?|Co to?|Co to jest?
Novigrad Guard 03|Need a pass from the esteemed hunters to enter. That, or a morgue worker to vouch for you.|Novigrad Guard 03|Welcome, master witcher.|Novigrad Guard 03|Whoa there! No pass, no passage!|Hola! Bez glejtu wstępu nie ma!|Witaj, mistrzu wiedźminie.
Skellige Guard 05|Hit the bastard!|Skellige Guard 05|Ach.|Skellige Guard 05|White as death y'are. Too much drink.|Aż blady jesteś, z przepicia.|Jesteś blady jak śmierć. Za dużo piłeś.
Cerys|That's a relief.|Geralt|||We keep the poison at the cellar's other end, down below. Come, I'll show you.|Trunki trzymamy na drugim końcu piwnicy, tam na dole. Chodź, pokażę ci.|Chodź, pokażę ci.
Triss|You will thank me later. Now, we must take Zireael from here, hide her. And then gather a greater force.|Avallach|Which is why we must seek the help of enemies. Magic is our best defense against the Hunt. We need sorceresses. Archmistresses of magic.|Yennefer|Anyone, everyone we could count on came here to Kaer Morhen.|Do Kaer Morhen przybyli wszyscy, na których mogliśmy liczyć.|Każdy, komu możemy ufać, przybył tutaj do Kaer Morhen.
Letho|Nah. Only traps here are the ones I set.|Letho|Lead the way.|Geralt|Gotta get rid of them. Coming?|Trzeba się ich pozbyć. Idziesz?|Musimy się ich pozbyć. Idziesz ze mną?
Yennefer|How could you…? We helped… and you-- Inconceivable.|Skellige Priestess 02|Don't you dare try to calm me. We've every right to be furious. Furious! And you… You will pay for this.|Skellige Priestess 01|Now, now…|Spokojnie...|Teraz, teraz...
Celina|Maybe you've seen her. Young... Ashen hair.|Geralt|Daughter, actually.|Geralt|Your betrothed?|To twoja narzeczona...|Moja narzeczona?
Geralt|What?|Eyvind|||I… ugh, just wanted to assure you I only wanna look around the cavern. It's research.|Ja... hm, chciałem cię zapewnić, że zamierzam obejrzeć tę jaskinię wyłącznie w celach naukowych.|Chciałem tylko się rozejrzeć po tej jaskini. To badania naukowe.
Geralt|We have to get inside.|Triss|Guess they underestimated Philippa…|Geralt|Damn, she cast a spell on them.|Zaraza, rzuciła na nich urok.|Cholera, rzuciła na nich zaklęcie.
Vesemir|You were gonna read it, not sniff it.|Geralt|"What's this postscript? ""I still have the unicorn?"""|Vesemir|"We must meet. Soon… ""Willoughby, near Vizima""… Hm, nothing else to guide us there."|„Musimy się spotkać. Szybko”... „Wierzbica, pod Wyzimą”... Faktycznie, nic, co by nas mogło nakierować.|"Musimy się spotkać. Niedługo… ""Willoughby, niedaleko Vizimy""… Nic więcej, by nas tam poprowadzić."
Novigrad Poor Woman 24|Who can afford a witcher in this day and age?|Novigrad Poor Woman 24|What now? Pyres all about, soldiery in the city, and Nilfgaard just th'other side of the river.|Novigrad Poor Woman 24|Awful pale, y'are.|Strasznie bladzi jesteście.|Kogo dzisiaj stać na wynajęcie wiedźmina?
Geralt|It was after her time training at Kaer Morhen. After the moment when Yennefer first called Ciri her daughter.|Geralt|I found her at Stygga Castle. She'd gone there to free Yen and gotten herself captured in the process.|Geralt|We'd been separated. I knew she was in danger - I'd dreamt of her, multiple times.|Zostaliśmy rozdzieleni... Wiedziałem, że jest w niebezpieczeństwie. Śniłem o niej.|Wiedziałem, że jest w niebezpieczeństwie - śniła mi się wiele razy.
Cirilla|They like you here.|Geralt|Drink and race, travel from town to town. Not worry a whit about anything…|Cirilla|I like them, too. Ahh, I'd love to join them…|Ja też ich lubię. Ach, najchętniej przystałabym do nich...|Lubię ich też. Ach, chciałabym do nich dołączyć…
