speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
Temerian Peasant 03|||You know him?|Geralt|Dieter…|Dieter...|Dieter...|Dieter...
Nilfgaardian Officer 01|||||Or will you stay to welcome Radovid's men?!|Czy może wolicie tu zostać i Radowidowych powitać?|Czy może zostaniesz, żeby powitać ludzi Radovida?!|Czy zostaniesz, by powitać ludzi Radovida?
Baron|The local Nilfgaardian garrison - doesn't look that strong.|Geralt|I shan't trust some peasant dolt. I shan't trust whoever it is helped her! I need to know for certain she's safe!|Baron|What of it? Even were I to attack, cut 'em down to a man, others will come soon. Black Ones will flood this land, take control before long. Sure as we've all got arseholes, they will.|I co z tego? Nawet jakbym na nich napadł i powyrzynał, to przecież za chwilę przyjdą następni. Czarni zaleją ten kraj. To jest pewne jak to, że masz dziurę w dupie.|Co z tego? Nawet jeśli zaatakuję i wybiję ich co do jednego, inni szybko przyjdą im z pomocą. Czarni zaleją te ziemie i przejmą nad nimi kontrolę. Jest to tak pewne, jak to, że wszyscy mamy tyłki.|Co z tego? Nawet gdybym ich zaatakował i pozabijał wszystkich, inni przyjdą niedługo potem. Czarne Istoty zaleją tę krainę i przejmą kontrolę wkrótce. Jest to pewne tak samo jak to, że wszyscy mamy tyłki. Tak się stanie.
Geralt|That simple?|Triss|Thank you, Geralt. For this… and for what you said at the port.|Triss|Mhm. That simple.|Mhm. Tak po prostu.|Tak proste?|Mhm. Tak proste.
Geralt|||Uhh… No… Why d'you ask?|Novigrad Peasant 01|Use that barn as a cemetery?|Macie cmentarz w stodole?|Użyj tej stodoły jako cmentarza?|Użyj tej stodoły jako cmentarza?
Geralt|And I'm relieved I didn't slit your throat.|Cirilla|What the blazes were you thinking?|Cirilla|Wouldn't have had to if you hadn't impersonated Whoreson.|Obyłoby się bez tego, gdybyś nie podszył się pod Skurwiela.|Nie musiałbym, gdybyś nie udawała Whoresona.|Nie musiałbym, gdybyś nie udawał Whoresona.
Geralt|Never took you for a poet.|Lambert|Sure.|Lambert|Oh, but I am one. Wanna hear a limerick?|Mhm. Chcesz usłyszeć fraszkę?|Ale ja jestem poetą. Chcesz usłyszeć limeryk?|Och, ale ja jestem jednym. Chcesz usłyszeć limeryk?
Vesemir|I should let her know I'm here.|Geralt|Whoa there, Roach. It's all right.|Geralt|If you say so. But… Don't go thinking she'll throw her arms around your neck.|Dobrze. Tylko... Nie spodziewaj się, że ci się rzuci na szyję.|Jeśli tak mówisz. Ale... Nie myśl, że rzuci ci się na szyję.|Jeśli tak mówisz. Ale... Nie myśl, że rzuci ci się na szyję.
Novigrad Thug Weak 01|That why you think I should look for my friend there?|Geralt|Calm, now… W-we'll split it. Plenty for everyone.|Novigrad Thug Weak 01|I meant no offense.|Nie chciałem nikogo obrazić.|Nie chciałem cię urazić.|Nie miałem zamiaru nikogo obrazić.
Triss|||Little Miss Merigold, well, well. And I was led to believe this would be an elegant affair.|Novigrad Nobleman 02|Moritz? What're you doing here?|Moritz? Co ty tu robisz?|Triss - Moritz? Co tu robisz?|Moritz? Co ty tutaj robisz?
Temerian Peasant 01|Raven-haired woman dressed in black and white. Seen her? Talk.|Geralt|Which way did she go?|Geralt|Folk say the lady rode through the village a few days back. Gallopin' so fast she knocked Radobor into a ditch.|Mówią, że gnała taka nocą przez wieś... Tak pędziła, że Radobora do rowu zepchnęła.|Ludzie mówią, że ta pani przejeżdżała przez wieś kilka dni temu. Galopowała tak szybko, że potrąciła Radobora i wrzuciła go do rowu.|Mówią, że kilka dni temu pani przejechała przez wieś. Galopowała tak szybko, że wpadła Radoborem do rowu.
Geralt|I ask as a courtesy. A concept you clearly forgot when you left without uttering a word.|Avallach|I know, so she wrote in her letter. But that is not my concern. You eliminated Imlerith adeptly. So adeptly you might say you inspired me…|Avallach|Ciri was in a hurry.|Ciri się śpieszyło.|Ciri była w pośpiechu.|Ciri się spieszyła.
Avallach|Ahem. Fucked.|Geralt|I will.|Novigrad Boy 03|I see. We shan't bother them. Will you let us in?|Rozumiem. Nie będziemy przeszkadzać. Wpuścisz nas?|Widzę. Nie będziemy im przeszkadzać. Czy możesz nas wpuścić?|Rozumiem. Nie będziemy im przeszkadzać. Czy możesz nas wpuścić?
Baron Bandit Weak 31|Hmm?|Baron Bandit Weak 31|No good. No evil. Only pain.|Deamon 03|Don't you get on my nerves.|Nie denerwuj mnie.|Nie działasz mi na nerwy.|Nie działasz mi na nerwy.
Graden|Men, we've had a hard day.|Graden|Yes, sir!|Witch Hunter 01|The fight was tough, we are bruised, this I know. We shall rest here for a time.|Wiem, że walka dała wam w kość, dlatego chwilę tu odpoczniemy.|Walka była trudna, jesteśmy posiniaczeni, to wiem. Odpoczniemy tutaj przez pewien czas.|Walka była trudna, jesteśmy posiniaczeni, to wiem. Odpoczniemy tutaj przez pewien czas.
Geralt|Who taught you to fight like this?|Imlerith|Ugh…|Imlerith|The witcher you slew.|Wiedźmin, którego zabiłeś.|Ten czarodziej, którego zabiłaś.|Czarodzieja, którego zabiłeś.
Skellige Old Man 02|Jarl won't like this.|Skellige Old Man 02|Blessed is he who sang, blessed is he who knows.|Skellige Old Man 02|Gods, save me!|Bogowie ratujcie!|Boże, ratuj mnie!|Bogowie, ratujcie mnie!
Novigrad Nobleman 02|My servant caught some rag picker rifling through our rubbish yesterday. Can you believe it?|Novigrad Nobleman 03|Why does the Temple Guard do nothing about it? They should toss them out by their coattails!|Novigrad Nobleman 03|Rabble from Velen's come pouring into the city. That is the inevitable result…|Zleciało się do miasta biedoty z Velen, to tak się kończy...|To nieunikniony rezultat...|Tłum z Velen wlewa się do miasta. To jest nieunikniony rezultat...
Skellige Fisherman 03|At sea?|Skellige Fisherman 04|Damn shame. Though at least they died in battle.|Skellige Fisherman 04|No, the imperials lay in ambush along the bay's shore. Struck as the Fayrlunders drew their longboats onto the beach.|Nie. Cesarscy napadli, jak już wyciągnęli łodzie na brzeg. To była zasadzka. Okrążyli ich.|Nie, imperialni urządzili zasadzkę wzdłuż brzegu zatoki. Uderzyli, gdy Fayrlunderowie wyciągali swoje długie łodzie na plażę.|No, imperialni zastawili zasadzkę wzdłuż brzegu zatoki. Uderzyli, gdy Fayrlunderowie wyciągali swoje długie łodzie na plażę.
Geralt|||||Cart's riddled with arrows.|Wóz jest naszpikowany strzałami.|Wóz jest naszpikowany strzałami.|Wóz naszpikowany strzałami.
Geralt|||Open the door. Now.|Geralt|No. Not about to bring him back.|Nie, nie przywieziecie.|Nie. Nie zamierzam go przywracać.|Nie. Nie zamierzam go przyprowadzać z powrotem.
Geralt|Don't think about it.|Lambert|Got enough for everyone. Here, Vesemir dug this up for you.|Lambert|Can't help but worry. We're short on meteorite steel swords.|Martwi mnie, że mamy za mało mieczy z meteorytowej stali.|Nie mogę nie martwić się. Brakuje nam mieczy ze stali meteorytowej.|Nie mogę się powstrzymać od zmartwienia. Brakuje nam mieczy ze stali meteorytowej.
Novigrad Thug Strong 35|Who's up for a thrashing?|Novigrad Thug Strong 35|I'll tear your balls off!|Novigrad Thug Strong 35|Eh?|E?|Eh?|Eh?
Novigrad Refugee Man 04|Noonwraiths croppin' up 'neath Novigrad's walls. Not a safe place left in the world.|Novigrad Refugee Man 03|What's true's true. Was a day ye had no trouble hirin' a wanderin' monster slayer, now they're rare as teeth on a hen.|Novigrad Refugee Man 01|And nary a witcher to be found.|A wiedźminów jak na lekarstwo.|I mało który czarodziej się tu kręci.|I oto czarodziejkę znalazłem.
Dijkstra|Bart guard! Then boom! Chorfun go.|Cyclops|About your treasure…|Geralt|Translating into Common, someone fuckin' made off with nearly twenty tons of my gold, and all the lighter stuff. And you… will help me get it back.|W przekładzie na nasze, ktoś mi zapieprzył blisko dwadzieścia ton złota, nie licząc drobnych... A ty pomożesz mi je odzyskać.|Przetłumaczone na Wspólny: Ktoś ukradł mi prawie dwadzieścia ton mojego złota i całej reszty lżejszych rzeczy. A ty... pomożesz mi je odzyskać.|Tłumacząc na wspólny język: ktoś ukradł prawie dwadzieścia ton mojego złota oraz cały lżejszy sprzęt. A ty... pomożesz mi je odzyskać.
Zoltan Chivay|I do. It's why I'm here. Can only trust you to get this done.|Geralt|To meet Yen.|Geralt|Hmm… If that's how you want ot put it… All right, leave it to me, I'll think of somethin'. And where might you be headed?|Hmm... Jeśli tak stawiasz sprawę... Dobra, coś wymyślę. Możesz na mnie liczyć. A ty dokąd idziesz?|Hmm... Jeśli tak chcesz to ująć... No dobrze, zostaw to mnie, coś wymyślę. A dokąd zamierzasz się udać?|Hmm... Jeśli tak chcesz to ująć... Dobrze, zostaw to mnie, coś wymyślę. A dokąd możesz się wybierać?
Tamara|She didn't want the child?|Geralt|Because he knows something about someone dear to me. Promised to tell me if I found you and your mother.|Geralt|Said she'd sooner cut open her gut than bear another child from his seed.|Nie. Mówiła, że prędzej rozpruje sobie brzuch, niż urodzi dziecko z jego nasienia...|Powiedziała, że raczej otworzy sobie brzuch nożem, niż urodzi kolejne dziecko z jego nasienia.|Powiedziała, że raczej rozetnie sobie brzuch, niż urodzi kolejne dziecko z jego nasienia.
Temerian Peasant 02|That needs a tourniquet. But first… wanna explain what's going on here?|Geralt|No. He saved my life. I got a cut to me side, and then got hit in the head. Couldn't see anything. Rhosyn here found me as… as he crawled across the battlefield. His leg's twisted. And so we were - a blind man leadin' a cripple. Found this place.|Temerian Guard 03|Bastien! Is he… Has this Nilfgaardian captured you?|Bastien! On... On cię pojmał, ten Nilfgaardczyk?|Bastien! Czy on... Czy ten Nilfgaardczyk cię schwytał?|Bastien! Czy on… Czy ten Nilfgaardczyk cię pojmał?
Philippa Eilhart|||||I've no mercy for your kind!|Dla takich jak ty nie ma litości!|Nie mam litości dla twojego rodzaju!|Nie mam litości dla twojego rodzaju!
Gnome Man 03|Saw the notice. Let's say I'm interested.|Geralt|Gonna need details.|Geralt|That's good. Grand, even. Name's Brean Hotsch. I posted that slip.|A, to pięknie. Cudownie. Jestem Brean Hotsch i to ja zamieściłem ogłoszenie.|To dobrze. Nawet świetnie. Nazywam się Brean Hotsch. Umieściłem to ogłoszenie.|To jest dobre. Świetnie, nawet bardzo. Nazywam się Brean Hotsch. Wysłałem ten świstek.
Geralt|Ere the evil took root on the hillock, the Ladies always helped us. Healthy babes were born. And once a year we got a giant pot of boiled meat.|Verden Peasant 02|At the time of the feast, the Ladies of the Wood give us the scrapings from their table.|Verden Peasant 02|Once a year, that's it?|Tylko raz do roku?|Raz do roku, tak?|Raz w roku, to wszystko?
Geralt|And then I heard him, my beloved Graham. He called to me… I opened the door for him, but others rushed in. They lunged at me and… and…|Anabelle|"There were too many… ""Leave her be!"" he shouted. He grabbed at them, tried to stop them. They just laughed…"|Anabelle|Your beloved failed to save you? Why?|Dlaczego twój ukochany cię nie obronił?|Twój ukochany nie zdołał cię uratować? Dlaczego?|Twój ukochany nie zdołał cię uratować? Dlaczego?
Geralt|It's not that.|Triss|Got a fox mask for you.|Geralt|Everything's ready, we can go.|Wszystko gotowe, możemy ruszać.|Wszystko jest gotowe, możemy ruszać.|Wszystko gotowe, możemy ruszać.
Novigrad Beggar 02|What in the--|Novigrad Beggar 02|Demon!|Novigrad Beggar 02|Dead - what a tragedy.|Trup, wielkie mi mecyje.|Szkoda gadać, tragedia!|Martwy - jaka tragedia.
Novigrad Thug Weak 35|I'll make you weep.|Novigrad Thug Weak 34|Greetings.|Novigrad Thug Weak 35|Welcome.|Witam.|Witaj.|Witaj.
Vesemir|You've seen her tracks. She's at full gallop all the time, breakneck speed through wild lands, devastated battlefields… She's in a hurry to get somewhere, or fleeing something. Either way, it means trouble of some sort.|Geralt|She's always poked her nose in beehives. Courtly intrigues here, mages' conspiracies there. What do you expect?|Vesemir|Be surprised if she wasn't in trouble.|Zdziwiłbym się, gdyby było inaczej.|Nie zdziwiłbym się, gdyby nie była w tarapatach.|Bądź zaskoczony, jeśli nie była w kłopotach.
Redanian Noble 01|So? Gonna talk?|Geralt|Dandelion is on Temple Isle. In the dungeon beneath the shrine. Menge's planning to execute him in Oxenfurt… Positively spectacular.|Redanian Noble 01|Depends… on the question.|Zależy... od pytania.|To zależy... od pytania.|Zależy... od pytania.
Nilfgaardian Officer 01|They truly are rushing…|Nilfgaardian Officer 01|Yes, sir.|Nilfgaardian Soldier 01|Return to your post.|Wracaj na posterunek.|Wróć na swoje stanowisko.|Wróć do swojego postu.
Geralt|||M'lord wanted to see to everythin', inspect the property personally. So he went down, all the way down, to the cellars.|Novigrad Peasant 02|What happened here?|Co tu się stało?|Co tu się stało?|Co się tutaj stało?
Novigrad Poor Woman 01|Can't decide… nipper's got but five winters on him…|Novigrad Poor Woman 02|She ought to see, ought to know what awaits her if she strays.|Novigrad Poor Woman 01|I'm takin' me girl.|Ja tam biorę moją małą.|Biorę moją dziewczynę.|Biorę moją dziewczynę.
Geralt|I bought this property a short while ago - paid a pretty penny, I might add. Soon after, I witnessed… disturbances. Led me to fear the home might be haunted.|Novigrad Rich Man 03|Oh, they vary. Giggling… in the night. And furniture moving about in the attic, and last week… well, you shan't believe it - I found human feces in the parlor.|Novigrad Rich Man 03|What're the symptoms?|Jakie są objawy?|Co to za objawy?|Jakie są objawy?
Verden Peasant 03|Ye know, witcher, folk can say what they will. Me? I'll never forget what ye did for us!|Verden Peasant 03|Geralt! Thanks for everythin'!|Verden Peasant 04|The Black'uns didn't help, Bloody Baron didn't help. But you - you helped.|Czarni nie pomogli, Krwawy Baron nie pomógł. A ty nam pomogłeś.|Czarni nie pomogli, Przeklęty Baron też nie. Ale ty - ty mi pomogłeś.|Czarni nie pomogli, Krwawy Baron nie pomógł. Ale ty - ty pomogłeś.
Verden Boy 01|||||"Gran'll come runnin' soon. She hates it when we say ""arse."""|Babcia zaraz tu przylezie. Strasznie nie lubi, jak się mówi „rzyć”.|"Babcia niedługo przybiegnie. Nie lubi, gdy mówimy ""tyłek""."|"Wkrótce przybiegnie. Nienawidzi, gdy mówimy ""dupa."""
Voorhis|The gentleman must sit still. I am almost done.|Nilfgaardian Scholar 01|I watched her get in the megascope, but ultimately freed her… from the trap your man Letho of Gulet had set. Write that down. I wanna be sure the paperwork's in order now.|Geralt|I'm afraid I might find that difficult. Because from what I know, shortly afterwards you watched a defective megascope blow your friend Síle de Tansarville to bits.|Będzie trudno. Bo z tego, co wiem, wkrótce potem patrzyłeś, jak wadliwy megaskop rozrywa twoją znajomą Shealę de Tancarville na kawałki.|Obawiam się, że mogę mieć trudności ze spokojnym siedzeniem. Bo z tego co wiem, krótko potem obserwował pan, jak ten wadliwy megalornetek rozerwał pańskiego przyjaciela Síle de Tansarville na strzępy.|Obawiam się, że mogę znaleźć to trudnym. Ponieważ z tego, co wiem, krótko potem obserwowałeś, jak wadliwy megalornetka rozrywa twoją przyjaciółkę Síle de Tansarville na kawałki.
Novigrad Old Woman 02|But you've got somethin' else, dear.|Novigrad Old Man 03|||Get out. Now!|Idźcie stąd. Ale już!|Wynoś się. Teraz!|Wynoś się. Teraz!
Novigrad Sailor 01|I'm happy enough to be drinkin' at all.|Novigrad Sailor 03|I'll not sign on again. Not for a voyage through those waters.|Novigrad Sailor 01|True. But a hair's breadth and those Skellige barbarians would've had us.|Racja. Niewiele brakowało, a wpadlibyśmy w łapy dzikusów ze Skellige.|Prawda. Ale o włos, a ci barbarzyńcy ze Skellige mieliby nas.|Prawda. Ale o włos, a ci skelligijscy barbarzyńcy mieliby nas.
Geralt|It won't?|Triss|I can't wait.|Geralt|No. Because the days, yeah, days might be short, but the nights? Nights'll be long.|Nie. Bo wiesz, dni może i będą krótkie... Ale za to noce długie.|Nie. Bo dni, tak, dni mogą być krótkie, ale noce? Noce będą długie.|Nie. Bo dni, tak, dni mogą być krótkie, ale noce? Noce będą długie.
Geralt|||||Brother Adalbert's Bestiary. A classic.|„Bestyaryusz brata Adalberta”. Klasyka.|Bracia Adalberta Bestiariusz. Klasyka.|Bestiariusz brata Adalberta. Klasyk.
Geralt|||||Dining Set from which Emperor Emhyr Ate during His Coronation Ceremony.|„Zastawa, z której cesarz Emhyr jadł podczas uroczystości koronacyjnej”.|Geralt: Zastawa stołowa, której używał cesarz Emhyr podczas swojej ceremonii koronacyjnej.|Zestaw stołowy, z którego cesarz Emhyr jadł podczas swojej uroczystości koronacyjnej.
Skellige Warrior 04|Those fucks on Faroe'll faint soon as they see the imperial sun.|Skellige Warrior 03|Be the first raid where the Black Ones deliver the goods to our doorstep.|Skellige Warrior 05|Heheh. Be kickin' themselves when they wake on seein' us with most of the booty.|To potem będą sobie pluć w brodę, a dla nas więcej zostanie.|Heheh. Będą się kopać w dupę, gdy się obudzą i zobaczą nas z całym łupem.|Heheh. Będą się kopać w tyłek, gdy się obudzą i zobaczą nas z większością łupów.
Geralt|||Strife 'tween siblings is never good. I know from experience.|Udalryk|The fight for the throne's grown fierce.|Walka o koronę robi się coraz bardziej zacięta...|Walka o tron stała się zacięta.|Walka o tron stała się zacięta.
Skellige Old Woman 04|Now there's a warrior. *Whistles*|Skellige Old Woman 04|You spied a dragon?!|Skellige Old Woman 04|Ah. Sorry.|A przepraszam.|Ach. Przepraszam.|Ach. Przepraszam.
Troll_1|||||When man fall dead off horsie.|Kiedy komuś łeb odpadnie.|When man fall dead off horsie.|
Scoiatael Man 02|Oh yes.|Scoiatael Man 02|Que'ss aen me dicette?|Scoiatael Man 02|Dead? No, he's been spotted in Novigrad.|Jak nie żyje, jak go w Novigradzie widziano.|Nie, on nie jest martwy. Widziano go w Novigradzie.|Martwy? Nie, widziano go w Nowym Mieście (Novigrad).
Ermion|||||What are you doing?! Why?!|Co ty wyprawiasz?!|Co ty robisz?! Dlaczego?!|Co ty robisz?! Dlaczego?!
Lady Bran|Take it you have a specific family in mind.|Geralt|||Of course. Bran was the best king Skellige's seen in centuries. The throne should pass on to Svanrige, his true born son, and then on to his sons.|Oczywiście. Bran był najlepszym królem, jakiego Skellige widziało od wieków. Svanrige to krew z jego krwi, więc to jemu powinien przypaść tron... A potem jego synom.|Oczywiście. Bran był najlepszym królem, jakiego Skellige widziało od stuleci. Tron powinien przejść na Svanrige, jego prawowitego syna, a potem na jego synów.|Oczywiście. Bran był najlepszym królem, jakiego Skellige widziało od stuleci. Tron powinien przejść na Svanrige, jego prawowitego syna, a potem na jego synów.
Geralt|||This is the ship of His Majesty Radovid V, King of Redania. State your business.|Redanian Soldier 02|Farewell.|Bywaj.|Żegnaj.|Żegnaj.
Novigrad Refugee Woman 01|Please, sir, don't hurt me…|Novigrad Refugee Woman 01|Watch how you walk!|Novigrad Refugee Woman 01|Aaaah! Aaaah!|Aaaa! Aaaa!|Ach! Ach!|Aaaah! Aaaah!
Zoltan Chivay|Take on Menge's appearance. Then go and give the order for Dandelion to be moved to Oxenfurt.|Geralt|Wait… Not so fast. How am I to be Menge? And I've no notion where Dandelion's being held…|Dudu Biberveldt|We'll lay in ambush in the ravine en route. Spring Dandelion from the convoy when it rolls by.|A potem my urządzimy zasadzkę w wąwozie i odbijemy go.|Zastawimy pułapkę w wąwozie po drodze. Odbijemy Dandeliona z konwoju, gdy przejedzie obok.|Zaczaić się w wąwozie po drodze. Zestrzelić Mlecz z konwoju, gdy będzie przejeżdżał.
Skellige Villager 01|Stop whinin', Petter, I'm ashamed to hear it. Pull yourself together, man.|Skellige Villager 01|Old Olle's also got lice, stinks and leaks out both ends, yet he don't complain 'bout that either. You two gonna help or no?|Skellige Fisherman 01|Worst case, Henrik'll whittle ye a wooden leg. Old Olle's got one and ye don't hear him complainin'.|W najgorszym razie Henrik wystruga ci drewnianą nogę. Stary Olle ma taką i nie narzeka.|Najgorsze co może się stać, to że Henrik zrobi ci drewnianą nogę. Stary Olle ma jedną i nie słychać, żeby narzekał.|Najgorszy przypadek: Henrik zrobi ci drewnianą nogę. Stary Olle ma taką i nie słychać, żeby narzekał.
Cirilla choice|Girl… You was blue as a whale when we brought you in here! Your blood needs thawin'!|Skellige Woman 04|I'm sorry, but I must get to Drowned Dead Rock… as fast as possible.|Cirilla|I must get to Drowned Dead Rock.|Muszę iść do Skały Topielców.|Muszę dotrzeć do Zatopionego Martwego Kamienia.|Muszę dotrzeć do Zatopionej Skały Śmierci.
Redanian Officer 01|Twas like I said. He was workin' with the Black Ones. Tpff!|Temerian Peasant 01|He cozied up to 'em! Worked with 'em! Plotted! Schemed! Against the king!|Temerian Peasant 01|He's not on the list. What did he do? Exactly.|Nie mamy go na liście. Co on niby zrobił? Tak konkretnie.|Nie ma go na liście. Co dokładnie robił?|On nie jest na liście. Co on zrobił? Dokładnie.
Cirilla|Don't know, don't care.|Geralt|The oak is dead!|Verden Old Man 02|You must learn to live without them.|Musicie nauczyć się żyć bez nich.|Musisz nauczyć się żyć bez nich.|Musisz nauczyć się żyć bez nich.
Verden Bandit 04|I've got young'uns!|Verden Bandit 04|Ploughin' goat fucker!|Verden Bandit 05|Stead o' flappin' yer gob, fight!|Ty nie kłapaj jadaczką ino bij!|Przestań machać swoją gębą, walcz!|"Stead o' flappin' yer gob, fight!

Nie dodałem żadnych dodatkowych wyjaśnień, zgodnie z prośbą. Tekst pozostaje w oryginalnej formie, bez tłumaczenia na język polski, ponieważ jest to wyrażenie slangowe lub potoczne, które może być trudne do dokładnego przetłumaczenia na inny język bez utraty kontekstu lub znaczenia."
Geralt|As have I, as do I.|Novigrad Rich Man 02|Hahah. Mountains don't move and thus never meet, but men…|Novigrad Rich Man 02|Take a peek, if you don't mind.|Rzucę okiem na twoje towary.|Rzuć okiem, jeśli nie masz nic przeciwko.|Rzuć okiem, jeśli nie masz nic przeciwko.
Geralt|||||Someone's journal…|Ktoś tu spisał wspomnienia...|Czyjś dziennik...|Dziennik kogoś...
Geralt|||Prints… Too small to be a man's, too large for a child.|Geralt|A piece of fabric… possibly from a dress. Got snagged on the undergrowth.|Tkanina... Mogła pochodzić z sukni... Musiała zaczepić o krzewy.|Fragment materiału... prawdopodobnie z sukienki. Zahaczyło się o krzaki.|Kawałek tkaniny... być może z sukienki. Zahaczył się o podszyt.
Skellige Blacksmith Helper 01|Wouldn't mind a look at your stock.|Geralt|Interested in a weapon? There's a tale behind every item I've got.|Skellige Blacksmith Helper 02|So you're back. Was right, wasn't I?|A więc wróciłeś. Miałem rację, hę?|No cóż, wróciłeś. Miałem rację, prawda?|Więc wróciłeś. Miałem rację, prawda?
Dijkstra|So, how about we get dressed?|Geralt|I need to find Whoreson. Now looks like I gotta get to him before Cleaver does.|Geralt|Sure, sure - then we'll talk. In private.|Niezły pomysł. A potem pogadamy już w cztery oczy.|Dobrze, dobrze - potem porozmawiamy. Na osobności.|Oczywiście, oczywiście - to wtedy porozmawiamy. W cztery oczy.
Geralt|||||Boot prints… Traces of sewer slime.|Odciski butów... Uwalanych szlamem z kanałów.|Ślady butów... Ślady ściekowego śluzu.|Ślady butów... Ślady śluzu z kanalizacji.
Udalryk|No, no, no, no…|Udalryk|We need to prepare the house first. Light some torches in the main room - make sure they illuminate every nook and cranny.|Geralt|It'll never end…|To się nigdy nie skończy...|To nigdy się nie skończy...|Nigdy się to nie skończy...
Redanian Soldier 01|Long live etcetera etcetera. Ugh. Feel like pukin' after that swill in the canteen.|Redanian Soldier 01|Put away your weapon.|Redanian Soldier 01|Watch your step.|Uważaj sobie.|Uważaj na krok.|Uważaj na krok.
Skellige Merchant 01|Think I found something might belong to you and your kin. Cargo from a longship that wrecked north of Ard Skellig.|Geralt|But listen, you happen across a sword among the wreckage, decorated, ornate? Belonged to the captain. His kin would surely want it back.|Skellige Merchant 01|"Ach, the ""Hemdall's Wrath,"" must be. Sailed out to raid the Continent's coast, must be a month, now. Never came back…"|O, to musiał być „Gniew Hemdalla”. Z miesiąc temu popłynęli łupić wybrzeże, ale nie wrócili...|"Ach, to pewnie ""Gniew Hemdalla"", prawda? Wyruszyli na rabunek po wybrzeżach Kontynentu miesiąc temu. Nigdy nie wrócili..."|"Ach, to musi być ""Gniew Hemdalla"". Wypłynęli rabować wybrzeże Kontynentu, to musiał być miesiąc temu. Nigdy nie wrócili..."
Skellige Warrior 03|||||Oi, witcher! Got an offer for ye!|Hej, wiedźminie. Mam dla ciebie propozycję.|Hej, wiedźminie! Mam dla ciebie ofertę!|Och, czarodzieju! Mam dla ciebie propozycję!
Arnvald|So maybe I oughta stop by another time.|Geralt|Come. Crach awaits.|Arnvald|All know what you did for Cerys and Hjalmar. Today, you're one of us.|Wszyscy wiedzą, co uczyniliście dla Cerys i Hjalmara. Dziś jesteście jednymi z nas.|Wszyscy wiedzą, co zrobiłeś dla Cerys i Hjalmara. Dziś jesteś jednym z nas.|Wszyscy wiedzą, co zrobiłeś dla Cerys i Hjalmara. Dziś jesteś jednym z nas.
Geralt|||She's not weakened yet.|Baron Bandit Strong 01|Release the she-wolf.|Wypuśćcie wilczycę.|Uwolnij wilczycę.|Wypuść wilczycę.
Geralt|Ever since Dandelion inherited this place he's talked about it constantly. I just never expected him to… take action. And so quickly.|Priscilla|Despite what people say about him, Dandelion approaches life very rationally.|Priscilla|Who knows, might even settle down now. He'll have to keep an eye on the business. Who would've known…|Może nawet się teraz ustatkuje? W końcu będzie musiał doglądać interesu. To byłoby widowisko...|Może teraz nawet się ustatkuje. Będzie musiał pilnować interesu. Kto by pomyślał...|Kto wie, może nawet się ustatkuje teraz. Będzie musiał mieć oko na interesy. Kto by pomyślał...
Dandelion|Oh, Geralt, how little you know about women… Did you really think you could have them both?|Dandelion|Think I'll pass.|Geralt|You have a great deal to learn… Glad to give you some advice if you want.|Musisz się jeszcze, wiele, wiele nauczyć... Jak chcesz, to mogę ci udzielić kilku rad.|Masz wiele do nauczenia się... Chętnie dam ci trochę rad, jeśli chcesz.|Masz dużo do nauczenia się... Chętnie dam ci kilka rad, jeśli chcesz.
Novigrad Boy 01|Means they go to sleep early.|Novigrad Girl 01|Children! What's the meaning of this?! Next question.|Marabella|Oh, so that's why mum went to tuck that witcher in!|Aaa, to dlatego mama poszła położyć tamtego wiedźmina do łóżka!|Aha, czyli dlatego mama poszła ułożyć tego Wiedźmina do snu!|Och, więc dlatego mama poszła utulić tego czarodzieja!
Redanian Armorer 01|Sure doesn't look like you're short on work.|Geralt|Lookin' to perfect your craft?|Geralt|Oh, this! A Redanian army order, but there's no pleasure in it - one after the other, same thing time and again. No finesse required!|Ach, to! Mam zamówienia od redańskiej armii, ale co to za przyjemność cięgiem to samo robić. Żadnej w tym finezji!|Ach, to! Zamówienie od armii Redanii, ale nie ma w tym żadnej satysfakcji - jedno po drugim, to samo raz za razem. Nie trzeba tu żadnego kunsztu!|Och, to! Rozkaz armii Redanii, ale nie ma w tym przyjemności - jedno po drugim, to samo raz za razem. Nie trzeba mieć wyczucia!
Geralt|Sanctuary of some kind…|Geralt|Fighting was the last thing on Craven's mind by this point… Ran as fast as he could.|Geralt|Door won't budge… Craven must've blocked it… or it's just locked… Gotta go around.|Drzwi ani drgną, Tchórz musiał je zabarykadować albo zamknąć... Muszę iść naokoło.|Drzwi ani drgną… Kravenn musiał je zablokować… albo po prostu są zamknięte… Muszę iść okrężną drogą.|Drzwi ani drgną... Craven musiał je zablokować... albo są po prostu zamknięte... Trzeba iść okrężną drogą.
Cirilla|Don't do this… to me. Please. Not now.|Geralt|But I can't. I must try. For you, Yen, Triss… for everyone.|Cirilla|Geralt, believe me… A tavern, mulled wine, our boots drying by the fire - I'd like nothing better.|Geralt, wierz mi... Chciałabym pojechać z tobą do jakiejś karczmy, napić się grzańca i wysuszyć buty.|Geralt, uwierz mi... Karczma, grzane wino, nasze buty suszące się przy ogniu - nie mogłabym chcieć nic lepszego.|Geralt, uwierz mi... Karczma, grzane wino, nasze buty suszące się przy ogniu - niczego lepszego nie pragnę.
Novigrad Poor Man 01|Think I frighten that easy?!|Novigrad Poor Man 01|I win.|Geralt|Hm?|Hm?|Hm?|Hm?
