speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prev|dialog_next
Skellige Warrior 05|I'm ready to fight.|Geralt|Ye here to fight for the title o' champion?|Skellige Warrior 05|Geralt of Rivia - time to begin.|Geralcie z Rivii – zaczynamy.|Geralt z Rivii - czas zacząć.|Geralt z Rivii - czas zacząć.
Eyvind|Legends don't happen to mention a Curse of the Black Sun, do they?|Geralt|Never mind.|Geralt|Black sun? What're you on about?|Czarnego Słońca? Nie mam pojęcia, o co ci chodzi...|Co jest z tym czarnym słońcem? O co ci chodzi?|Czarny słoń? O czym ty mówisz?
Geralt|Cannot be... Were somethin' lurkin' there?|Verden Peasant 02|The war awoke an ancient power. An evil one that feeds on bloodshed. Nightmares haunt our nights and days. Folk sleepwalk from their homes, never to return.|Verden Peasant 02|I'm supposed to help solve your problem. Tell me what it is - just the essentials.|Mam pomóc rozwiązać wasz problem. Opowiadaj, w czym rzecz. Same konkrety.|Mam pomóc ci rozwiązać twój problem. Powiedz mi, o co chodzi - same najważniejsze informacje.|Mam ci pomóc rozwiązać twój problem. Powiedz mi, o co chodzi - tylko najważniejsze informacje.
Novigrad Female Bard 03|The city weeps 'neath its veil of rain…|Novigrad Female Bard 03|Yeeees, I'd heard that, too.|Novigrad Female Bard 03|You needn't believe me, but even the Temple Guard's afraid to go out nights.|Nie chcesz to nie wierz, ale nawet straż się boi nocą wałęsać.|Nie musisz mi wierzyć, ale nawet Gwardia Świątynna boi się wychodzić nocami.|Nie musisz mi wierzyć, ale nawet Gwardia Świątynna boi się wychodzić nocami.
Geralt|Agh, never mind, then.|Zoltan Chivay|Now we collect a shiteload o' coin for them. Let's go.|Zoltan Chivay|So, got the full set of cards. What now?|Mamy już komplet kart. Co teraz?|No więc, masz pełny zestaw kart. Co teraz?|No cóż, mamy pełny zestaw kart. Co teraz?
Geralt|But whatever cut the basket probably could.|Geralt|Bet it was cut by the same thing that cut the skeleton.|Geralt|Hmm… Something cut this basket exactly in half.|Hmm... Coś przecięło ten kosz równiutko na pół.|Coś dokładnie przecięło ten koszyk na pół.|Coś dokładnie przecięło ten koszyk na pół.
Geralt|Whoa… what?|Novigrad Thug Strong 01|I don't have time for that. Draw your swords.|Geralt|You're out to hurt her, I won't let you, so we'll argue and swagger and have who knows how long a pissing contest.|Chcecie ją skrzywdzić, ja na to nie pozwolę, potem będzie kłótnia i udowadnianie, kto jest mocniejszy.|Chcesz jej zaszkodzić, nie pozwolę ci na to, więc będziemy się kłócić, prężyć i mieć nie wiadomo jak długo zawody w sikaniu.|Chcesz jej zaszkodzić, nie pozwolę ci na to, więc będziemy się kłócić, prężyć i mieć nie wiadomo jak długo zawody w sikaniu.
Geralt|Who knows… Man with two swords and the skill to use 'em could be very useful these days.|King Beggar|Could've. But I admit I wanted to see how you'd manage. See if you're as crafty as you are… well-crafted.|King Beggar|Could've sent some underling to fetch me.|Mogłeś posłać po mnie jakiegoś pachołka.|Mogli posłać któregoś ze swoich ludzi, żeby mnie sprowadził.|Mogłeś wysłać któregoś ze swoich podwładnych, żeby mnie przyprowadził.
Cirilla|Hmm. So what brings you to our shores?|Skellige Woman 02|Ah, that's right… Where was your ship headed?|Skellige Woman 02|You know… I don't really have a home. I'm a traveler.|Wiesz, ja... Nie mam domu. Jestem w podróży.|Nie mam tak naprawdę domu. Jestem podróżnikiem.|Wiesz... Nie mam tak naprawdę domu. Jestem podróżnikiem.
Geralt|Aye, strange. But he gave us no other.|Baron|Hardly… It was like this - I asked what they call him. He sat there, not sayin' a thing, tryin' to stick a toe up his nose.|Baron|You mean he can talk?|Znaczy, że umie mówić?|Czy chcesz powiedzieć, że on potrafi mówić?|Czy chcesz powiedzieć, że on może mówić?
Geralt|Oof, so close!|Luiza La Valette|Thank you. It was a good race against a worthy opponent.|Voorhis|The general's not only knowledgeable, but skilled. Congratulations.|Cóż... Generał nie tylko ma wiedzę, ale też umiejętności. Gratuluję.|Generał nie jest tylko dobrze poinformowany, ale też umiejętny. Gratulacje.|Generał nie tylko jest obeznany, ale też umiejętny. Gratulacje.
Geralt|But must not be they, for they sent you.|Verden Peasant 02|Three year back. I remember - 'twas a warm day - went to check the snares for game.|Verden Peasant 02|When did all this start?|Kiedy się to wszystko zaczęło?|Kiedy to wszystko się zaczęło?|Kiedy to wszystko się zaczęło?
Geralt|Love you too.|Geralt|To see you.|Yennefer|Yen? Why're you here?|Yen? Co ty tu robisz?|Dlaczego tu jesteś?|Dlaczego tu jesteś?
Witch Hunter 02|Is that so? Wizardry helped you, eh? Let' see. Dance for me, witch. Or I'll put you down!|Witch Hunter 02|Mercy… No more… I can't…|Verden Old Woman 01|Come on, good folk, clap for her! Clap! Witch needs some encouragement! Dance, cunt!|No, dalej, ludzie, klaszczcie, klaszczcie! Wiedźmie łacniej będzie tańcować!|Dalej, dobrzy ludzie, oklaskujcie ją! Oklaskujcie! Czarownica potrzebuje trochę zachęty! Tańcz, kurwo!|No dalej, dobrzy ludzie, klaszczcie dla niej! Klaszczcie! Czarownica potrzebuje trochę zachęty! Tańcz, kurwo!
Verden Old Woman 02|Same ol' song since you moved in! Then go on, live there!|Verden Peasant 03|Not my problem! Get the hell outta me house, ye old bint!|Verden Peasant 03|But it's infested with beasts…|Kiedy tam potwory się zalęgły...|Ale jest pełne stworzeń...|Ale jest pełne bestii...
Geralt|I despise change. How stupid of me to walk into an ambush, let myself be surprised.|Succubus 03|Very well. Take this. And this - because I'm furious with you. Though I shall calm down once I'm away from this place.|Succubus 03|I'll have to lie about killing you. Usually I bring a trophy…|Będę musiał skłamać, że cię zabiłem. Zwykle przynoszę trofeum...|Będę musiał skłamać, że cię zabiłem. Zazwyczaj przynoszę trofeum...|Będę musiał skłamać co do twojej śmierci. Zazwyczaj przynoszę trofeum...
Geralt|A death worthy of a Skelliger.|Yennefer|Arrows stuck in the side. The kind Faroe folk use.|Geralt|Clan emblem indicates a Dimun man. So he was from Faroe.|Insygnia klanowe wskazują na człowieka z Dimun. Czyli pochodził z Faroe.|Godło klanu wskazuje na mężczyznę z Dimun. Więc on był z Faroe.|Godło klanu wskazuje na mężczyznę z Dimun. Więc był on z Wysp Owczych.
Novigrad Peasant Woman 03|Made no more last month than I made in a week this time last year.|Novigrad Peasant Woman 02|That's fool talk! War or no war, the rich're always fond of finery.|Novigrad Peasant Woman 02|Everybody's skimpin'. There's a war on, folk don't spend coin on new clothes.|Nikomu się nie przelewa. Jest wojna, to ludzie nie wydają pieniędzy na nowe ubrania.|Wszyscy oszczędzają. Jest wojna, ludzie nie wydają pieniędzy na nowe ubrania.|Wszyscy oszczędzają. Jest wojna, ludzie nie wydają pieniędzy na nowe ubrania.
Geralt|Hmm... Well, I know the words.|Dandelion|No. They were elven. Ciri was constantly repeating them to herself, probably not to forget.|Dandelion|You're kidding.|Żartujesz?|Żartujesz sobie.|Żartujesz sobie.
Geralt|Very well, speak. But be quick. Reverend Nathaniel has come by for an inspection. He'll be here shortly.|Coroner|Hubert taught me the rudiments of medicine. Long ago.|Von Gratz|You old friends?|Starzy znajomi?|Czy jesteście starymi przyjaciółmi?|Czy jesteście starymi przyjaciółmi?
Dandelion|Yes, a splendid story, but I think I've had my fill of this boasting. Come, Zoltan, we must convince the halflings they saw nothing at all.|Priscilla|I'm just… worried.|Geralt|Gave me enough material for a volume of ballads! And this one'll sell like hotcakes!|Mam teraz materiał na cały tomik pieśni! To będzie schodziło jak świeże bułeczki!|Dostarczyło mi wystarczająco materiału na tom ballad! A ta sprzeda się jak świeże bułeczki!|Dostarczyło mi wystarczająco materiału na tom ballad! A ta sprzeda się jak świeże bułeczki!
Temerian Woman 02|What do you say to that?|Temerian Woman 02|Gods watch o'er ye!|Temerian Woman 02|Errrrr…|Eeeeee.|Eee...|Eee...
Dreamer Corine Tilly|What for?|Geralt|Ciri. The woman's name is Ciri.|Geralt|Do as I ask, please. I need the strongest, most complete memory you have of…|Współpracuj, proszę. Opowiedz mi najsilniejsze wspomnienie o...|Wykonaj moje polecenia, proszę. Potrzebuję najsilniejszego, najbardziej kompletnego wspomnienia, które masz o...|Rób, co mówię, proszę. Potrzebuję najsilniejszego, najpełniejszego wspomnienia, jakie masz o...
Geralt|Well, witcher? Have you completed your task?|Eternal Fire Priest 01|The Church of the Eternal Fire's first duty is to the living. You've no notion of the work we did just after the battle.|Eternal Fire Priest 01|Why'd you priests take an interest in the fallen so late?|Czemu dopiero teraz kapłani Wiecznego Ognia zainteresowali się losem poległych?|Dlaczego kapłani interesują się upadłymi tak późno?|Dlaczego kapłani zainteresowali się poległymi tak późno?
Dwarf Doc|This Ivo… Where do I look??|Geralt|Tried to knock it out his head - literally! Bugger wouldn't budge.|Dwarf Doc|Idgit insisted he'd explore the caves to the east.|Kretyn uparł się, że przeszuka jaskinie na wschodzie.|Idgit upierał się, że będzie eksplorował jaskinie na wschodzie.|Idgit upierał się, że będzie eksplorował jaskinie na wschodzie.
Geralt|Could pay to make an exception this time. It's not everyday you get a chance to work with the most renowned bounty hunter north of the Yaruga - Djenge Frett himself.|Skellige Warrior 03|Think ye can live on slayin' monsters alone? Downright near-sighted of ye, witcher! Strigas are just about extinct, but scoundrels are out there in droves… and multiplyin'.|Skellige Warrior 03|Hunting outlaws - just not what I do.|Nie zajmuję się ściganiem przestępców.|Polowanie na przestępców - po prostu nie jest tym, co robię.|Polowanie na banitów - to zupełnie nie moja działka.
Novigrad Poor Woman 03|Please, no!|Novigrad Poor Woman 03|Halve the price and I might buy something.|Novigrad Poor Woman 03|I praise you with all my heart!|Całym sercem cie chwale!|Chwalę cię całym sercem.|Chwalę cię całym sercem!
Geralt|Think you might've missed your calling.|Lambert|If I remember Pappy Vesemir's lessons correctly, witchers kill monsters.|Lambert|Hm?|Hm?|Hmm?|Hm?
Geralt|...but try to remember - unlike you, I put my life at risk every time I venture out into the streets. Did the same just coming here. So I beg you - can we get to the point?|Triss|Strange… I had no idea he was in debt.|Dijkstra|Henckel told me. Old man's alive and well - faked his own death to escape his creditors.|Henckel mi powiedział. Staruszek ma się dobrze – upozorował tylko śmierć, żeby uciec od wierzycieli.|Henckel mi powiedział. Stary człowiek żyje i ma się dobrze - sfingował własną śmierć, żeby uciec przed wierzycielami.|Henckel mi powiedział. Stary człowiek żyje i ma się dobrze - sfingował własną śmierć, żeby uciec przed wierzycielami.
Baron|News gets around quick.|Geralt|When I learned you'd slaughtered my men, I thought to have you captured and hanged. Or at least flogged.|Baron|That it does.|A jakże.|To prawda.|To prawda.
Geels|There's naught you can do to make us turn on one another.|Cirilla|Treated your body like a side of pork.|Geels|Avallac'h blackmailed you - do you not remember? Tried to force you to warm our king's bed?|Nie pamiętasz, jak Avallac’h cię szantażował? Jak próbował cię zmusić, żebyś grzała łoże naszego króla?|Czy nie pamiętasz, że Avallac'h cię szantażował? Próbował zmusić cię, żebyś ogrzewała nasze królewskie łoże?|Avallac'h szantażował cię - czy nie pamiętasz? Próbował zmusić cię, byś ogrzewała nasze królewskie łoże?
Novigrad Rich Man 01|Great. Need a favor, though - you gotta clean up after yourselves here. Then go back to wherever you came from - dispose of those embers there.|Geralt|Common folk fear religion and the priests, not the gods. And this fear enslaves us in fetters of ignorance! We must forge a new morality - or rid ourselves of morality altogether.|Novigrad Rich Man 01|Religion is the opiate of the masses! The gods are dead! Thus speaks Master Friedrich of Oxenfurt!|Mistrz Fridrich z Oxenfurtu rzecze, że bogowie umarli! Religia to opium dla ludu!|Religia jest opium dla mas! Bogowie są martwi! Tak mówi Mistrz Friedrich z Oxenfurtu!|Religia jest opium dla mas! Bogowie są martwi! Tak mówi Mistrz Friedrich z Oxenfurt!
Skellige Warrior 01|What do I do?|Geralt|Second part of the trial - what's it entail?|Geralt|First you've gotta run the Warrior's Trail along the mountain's ridge. At the summit ye'll find a crimson shawl. That is, you'll find it if you make it there.|Na początek pobiegniesz Drogą Wojownika wzdłuż grani. Na szczycie wzgórza znajdziesz szkarłatny szal. To znaczy znalazłbyś, jakby ci się udało tam dotrzeć.|Najpierw musisz pobiec Szlakiem Wojownika wzdłuż grani góry. Na szczycie znajdziesz karmazynowy szal. Oczywiście, znajdziesz go, jeśli tam dotrzesz.|Najpierw musisz pobiec Szlakiem Wojownika wzdłuż grani góry. Na szczycie znajdziesz karmazynowy szal. To znaczy, znajdziesz go, jeśli tam dotrzesz.
Geralt|The plague? Errr, no. We're to not let folk in the city. It's an order, so I don't. Unless someone's got a pass.|Redanian Soldier 03|Well, a normal one, a transit pass.|Redanian Soldier 03|What kind of pass're we talking about?|Co to za glejt?|O jakim rodzaju przepustki mowa?|Jaki rodzaj biletu mamy na myśli?
Novigrad Thug Weak 16|Pth. Come on, then.|Novigrad Thug Weak 15|I advise you well. Fuck off.|Novigrad Thug Weak 16|You're pushin' it, friend.|Za dużo sobie pozwalasz.|Przesadzasz, kolego.|Przesadzasz, kolego.
Dijkstra|Hey, Reuven.|Triss|Well, we've jested and laughed, but I've a sense you're in a hurry.|Dijkstra|It can't be! Is that the lovely warble of my favorite accomplice?|Niemożliwe, czyżby to był słowiczy głosik mojej ulubionej wspólniczki?|Niemożliwe! Czy to ten uroczy trel mojego ulubionego wspólnika?|Niemożliwe! Czy to ten uroczy trel mojego ulubionego wspólnika?
Lady Bran|Aghh...|Nilfgaardian Officer 01|Tuirseach!|Crach|Aaaaaaaaaaaaaaa!|Aaaaaaaaaaaaaaa!|Ach!|Aaaaaaaaaaaaaaa!
Geralt|Geralt… We must.|Yennefer|Might be her… Might be her companion, or someone else altogether, connected to them both… I don't know.|Geralt|Might be… From what I know she was looking to cure a powerful curse while in Novigrad.|Może... W Novigradzie szukała leku na jakąś potężną klątwę.|Może być... Z tego co wiem, ona próbowała wyleczyć potężną klątwę, gdy była w Novigradzie.|Może być... Z tego co wiem, ona próbowała wyleczyć potężną klątwę, gdy była w Novigradzie.
Geralt|And I'm relieved I didn't slit your throat.|Cirilla|Wily's men're too stupid to catch on. His colleagues ain't much better.|Cyprian Willey|Be careful. You could get found out.|Ktoś może cię zdemaskować.|Uważaj. Możesz się wydać.|Uważaj. Możesz się wydać.
Geralt|Think of it as a magic box that talks.|Keira Metz|Extremely. That's why they're so rare. I certainly couldn't build anything like it.|Keira Metz|They hard to build?|Trudno jest je skonstruować?|Czy są trudne do zbudowania?|Czy są trudne do zbudowania?
Geralt|Saddled horses await in the stables.|Novigrad Rich Man 01|Miss Merigold! At last! So sorry we are forced to meet under such incredibly inopportune circumstances…|Novigrad Rich Man 01|Good. Meet you there.|Dobrze. Tam się spotkamy.|Dobrze. Spotkamy się tam.|Dobrze. Do zobaczenia tam.
Novigrad Poor Man 01|Naye, the opposite - I've eaten nought. The hunger's so deep I can't think on me work.|Novigrad Poor Woman 02|Whatcha need, mate?|Novigrad Poor Man 01|Ah… Take these leaves. Chew 'em, but don't swallow. Ye can pay me next time.|A... To weź te liście. Żuj, ale nie przełykaj. No i... Możesz zapłacić następnym razem.|Weź te liście. Żuj je, ale nie połykaj. Możesz mi zapłacić następnym razem.|Ah... Weź te liście. Żuj je, ale nie połykaj. Możesz mi zapłacić następnym razem.
Geralt|Th-they're north of here. In Lindenvale.|Novigrad Thug Strong 03|Why would I lie?|Novigrad Thug Strong 03|Don't believe you, somehow.|Jakoś ci nie wierzę.|Nie wierzę ci jakoś.|Nie mogę ci uwierzyć, jakoś.
Geralt|To slay beasts most foul - 'twas for this I was made,|Geralt|He's swallowed the bait, this fool of a witcher!|Novigrad Poor Man 01|I kill as my calling, not just to get paid.|Nie robię tylko tego dlatego, że tak się opłaca.|Zabijam jako moje powołanie, nie tylko dla pieniędzy.|Zabijam jako swoje powołanie, nie tylko po to, żeby dostać pieniądze.
Geralt|Find my men, bring them back to camp. I will pay you well… as it stands in the notice and not a copper more, mind you. We must have order in the ledgers as well.|Nilfgaardian Officer 01|I see… Should you change your mind, you know where to find me.|Nilfgaardian Officer 01|Not my kind of work. Need to figure it out yourself.|To nie jest zlecenie dla mnie. Radź sobie sam.|Nie moja robota. Musisz sam się tym zająć.|Nie moja działka. Musisz sam się w tym rozeznać.
Lambert|Lambert… Believe you've had your last drink.|Geralt|I don't have the strength to argue.|Geralt|You're just jealous you didn't think of it first… But is that any reason to spoil it for us?|Hej, wiem, że jesteś zazdrosny, bo sam na to nie wpadłeś... Ale to nie powód, żeby nam psuć zabawę.|Jesteś po prostu zazdrosny, że nie pomyślałeś o tym pierwszy... Ale czy to jest jakiś powód, żeby psuć nam to?|Jesteś po prostu zazdrosny, że nie pomyślałeś o tym pierwszy... Ale czy to jest jakiś powód, żeby nam to zepsuć?
Geralt|It's hardly over. The envoy due to meet the Nilfgaardians tomorrow - no doubt Dijkstra ordered him killed. We'll need to protect him.|Roche|You've had your fill of politics. I understand.|Roche|Sorry, you're on your own. I've--|Wybaczcie, ale to już beze mnie, bo...|Przepraszam, radź sobie sam. Mam...|Przepraszam, musisz sobie radzić sam(a). Mam już dosyć...
Geralt|Ugh. Just keep quiet.|Priscilla|Think I know how to free Dandelion. Got a plan, but we need Dudu, gotta find him.|Geralt|A Changeling Rescued, or the Witcher's Triumph - really emphasizes the message we're trying to get across.|„Zmiennik wybawiony albo tryumf Wiedźmina”. Chcemy, żeby Dudu od razu zrozumiał przekaz.|Ratunek dla zmiennokształtnego lub triumf wiedźmina - naprawdę podkreśla przekaz, który próbujemy przekazać.|Uratowany Changeling, czyli Tryumf Wiedźmina - naprawdę podkreśla przekaz, który próbujemy przekazać.
Geralt|Morkvarg was wounded… Didn't give up, though.|Geralt|One of Freya's priestesses. No signs of violence. Must've died of hunger… a while ago.|Geralt|Morkvarg doesn't give up easily…|Widać Morkvarg łatwo nie odpuszcza.|Morkvarg nie poddaje się łatwo...|Morkvarg nie poddaje się łatwo...
Redanian Townsman 03|Heresies? How's that? I don't remember anything…|Redanian Townsman 02|But that's for laughs… Frock-wearing idiots. Not an ounce of humor in them!|Redanian Townsman 02|Bleeding out his heart-blood's warmth, 'Fire, save me!' the student cried. Thrusting his stump into the hearth, he found heat, but still died.|„Zakrwawiony żak zakwiczał, trzeba mi świętego znicza! Wsadził kikut w palenisko i przekręcił się, chłopisko”.|"Krwawiąc z serca ciepłą krwią, ""Ogień, ratuj mnie!"" - zawołał uczeń. Wpychając swój kikut do paleniska, poczuł ciepło, ale i tak umarł."|"Krwawiąc z serca ciepłą krwią, ""Ogień, ratuj mnie!"" - krzyknął uczeń. Wpychając swój kikut do paleniska, poczuł ciepło, ale i tak umarł."
Novigrad Old Man 02|Here. That enough?|Geralt|Not sure you're ready. You can barely stand.|Geralt|Hefty sack, like a bull's. When do we sail?|Worek ciężki jak bycze jaja. To co, gotowyś do drogi?|Ciężki worek, jak u byka. Kiedy wypływamy?|Ciężki worek, jak u byka. Kiedy wypływamy?
Novigrad Poor Man 03|Word is at the last one they served a hundred different desserts, and the fireworks boomed from dusk till dawn.|Triss|Won't be no candied petals of blue roses from Nazair. The roses've become dreadfully hard to come by.|Novigrad Poor Man 03|What with the war and all, m'lady's ordained but eighty-five desserts this time.|Tym razem ze względu na trudne wojenne czasy będziemy musieli się ograniczyć do osiemdziesięciu pięciu deserów.|Co gorsza, ze względu na wojnę, tym razem lady zarządziła jedynie osiemdziesiąt pięć deserów.|Ze względu na wojnę i tak dalej, tym razem zamówiono tylko osiemdziesiąt pięć deserów dla pani.
Geralt|Like his father - a kind man, but a dimwit. Devoured by an arachas, I don't know if you've heard.|Novigrad Noblewoman 02|Hardly. He attempted to breed them. Perhaps I should be pleased Albert adopted alchemy as his hobby - a safe one, relatively speaking, until recently, that is.|Novigrad Noblewoman 02|Yyyeah… Must've traveled far and wide.|Ymm... Musiał dużo podróżować.|Musiał się nieźle nachodzić.|Musiał podróżować daleko i szeroko.
Skellige Warrior 03|You hunting them?|Geralt|Easy to recognize on account o' the yellow caps they wear. Folk see three yellow tops, they flee to their huts. Which don't help much, o' course, 'cause they're also fond of arson.|Skellige Warrior 03|Aye, quite the rogues, they are. Three of 'em, and every one's got a pack o' rapes and murders under his belt. Even took to grave robbin' lately!|Tak, niezłe z nich gnidy. Jest ich trzech, a wszyscy mają na koncie po kilka gwałtów i zabójstw. Ostatnio nawet jakiś grób rozkopali.|Tak, całkiem niezłe z nich łotry. Trzech ich jest, a każdy ma na koncie sporo gwałtów i morderstw. Ostatnio nawet zajęli się okradaniem grobów!|Ach, całkiem niezłe z nich łotrzyki. Trzech ich jest, a każdy ma na sumieniu sporo gwałtów i morderstw. Ostatnio nawet zajęli się okradaniem grobów!
Vampire Medic 03|Last body - where was it found?|Geralt|Need to examine that spot.|Geralt|In a side alley, along the road from the docks to the brothel district. Someone had dropped it there in the middle of the night.|W bocznej uliczce, przy drodze z doków do dzielnicy burdeli. Ktoś porzucił je w środku nocy.|W ciemnym zaułku, wzdłuż drogi od doków do dzielnicy domów publicznych. Ktoś porzucił je tam w środku nocy.|W bocznej uliczce, wzdłuż drogi od doków do dzielnicy domów publicznych. Ktoś porzucił to tam w środku nocy.
Skellige Priestess 03|Freya be with you.|Skellige Priestess 03|Are you mad, you twit?|Skellige Priestess 03|Watch how you walk!|Jakże chodzisz!|Uważaj, jak chodzisz!|Uważaj, jak chodzisz!
Novigrad Nobleman 14|Oh, greetings. Do we know each other?|Novigrad Nobleman 14|So dreadfully dull, it's downright painful.|Novigrad Nobleman 14|Behave yourself. Do what you must, but behave.|Zachowuj się. Byle jak, ale się zachowuj, człowieku.|Bądź grzeczny. Rób co musisz, ale zachowuj się.|Bądź grzeczny. Rób co musisz, ale zachowuj się.
Triss|I'm not going back to it. It's just… It's one thing to say something, it's another to actually do it.|Geralt|Now we wait for them to scurry away.|Triss|We promised to remain friends. I hope nothing'll change that.|Obiecaliśmy sobie pozostać przyjaciółmi i mam nadzieję, że nic tego nie zmieni.|Obiecaliśmy pozostać przyjaciółmi. Mam nadzieję, że nic tego nie zmieni.|Obiecaliśmy pozostać przyjaciółmi. Mam nadzieję, że nic tego nie zmieni.
Verden Peasant 01|Folk say he showed no gratitude for a favor granted.|Verden Peasant 03|Ladies of the Wood - not to be fooled with.|Verden Peasant 01|Made no offerin'.|Ofiary nie złożył.|Nie złożył żadnej oferty.|Nie złożyłem żadnej propozycji.
Novigrad Thug Strong 02|Gettin' on me nerves, you gray-haired knob. Piss off.|Novigrad Thug Strong 02|They kill him?|Novigrad Thug Strong 03|You heard? They raided Cleaver's house.|Słyszałeś, że napadli na dom Tasaka?|Słyszałeś? Przeszukali dom Cleavera.|Słyszałeś? Przeszukali dom Cleavera.
Werewolf Berem|There's one. Find the Crone, guide me through the swamp - to her.|Geralt|Then I'll see.|Geralt|And then?|A potem?|I co potem?|A potem?
Novigrad Rich Woman 03|How dare you?!|Novigrad Rich Woman 03|Oh no! Noooo!|Novigrad Rich Woman 03|Guards!|Straże!|Strażnicy!|Strażnicy!
Novigrad Poor Man 03|All right, let's open it.|Geralt|Vampire. Probably regenerates here.|Geralt|Bloede glewynn!|Bloede glewynn!|Krew wilka!|Krew wilka!
Geralt|They're run as per Erasmus Vegelbud's dying wish. He came into his fortune by gambling and remained proud of the fact to the end.|Novigrad Rich Man 01|But the house, his fortune, would not even be theirs had they not fulfilled Lord Erasmus' wish - he made it a condition.|Novigrad Rich Man 01|Family doesn't mind having a race track right by their house?|Rodzinie nie przeszkadza tor wyścigowy pod domem?|Rodzina nie ma nic przeciwko temu, żeby mieć tor wyścigowy tuż obok swojego domu?|Rodzina nie ma nic przeciwko temu, żeby mieć tor wyścigowy tuż obok ich domu?
Novigrad Nobleman 03|Watch it, peasant!|Novigrad Nobleman 03|Have mercy on me!|Novigrad Nobleman 03|Weapon!|Broń!|Broń!|Broń!
Mage 02|Don't push.|Mage 02|Desist!|Mage 02|The sword is un… necessary.|Miecz eee.. jest tu niepotrzebny...|Miecz jest... niepotrzebny.|Miecz jest... niepotrzebny.
Skellige Villager 01|Hilda? No, not her. But her mother's over from Hindarsfjal…|Skellige Villager 01|Me old lady claims I smell of the barn.|Skellige Villager 03|What're you sniffin' at?|Co tak niuchasz?|Co takiego wąchasz?|Co tam wąchasz?
Novigrad Nobleman 12|Those were the days…|Novigrad Nobleman 11|Akh akh akh hmm.|Novigrad Nobleman 12|Tsk, tsk. Be on your way.|No, no. Idźcie sobie.|Idź już stąd.|Idź już stąd.
Skellige Merchant 01|My stall awaits!|Skellige Merchant 01|Move it! Run!|Skellige Merchant 01|Help!|Na pomoc!|Pomocy!|Pomocy!
Eternal Fire Priest 16|Convert, brother.|Eternal Fire Priest 16|The Eternal Fire will light our way!|Eternal Fire Priest 16|The Eternal Fire will guide us…|Wieczny Ogień nas prowadzi...|Wieczny Ogień nas poprowadzi...|Wieczny ogień poprowadzi nas...
Halfling Man 02|Good day.|Halfling Man 02|Greetings.|Halfling Man 02|Wouldn't hit a halfling, would you?|Chyba nie uderzysz niziołka?|Nie uderzysz półorka, prawda?|Nie uderzysz półorka, prawda?
Novigrad Thug Weak 02|He's right! Oy, mummers! Don't know the Eternal Fire's commandments?|Novigrad Thug Weak 03|What you on about! Shut the fuck up and clap, afore I tear you new arseholes.|Novigrad Thug Strong 03|Blasphemers! Oughta teach them respect for the faith!|Bluźniercy! Szacunku do wiary trzeba ich nauczyć!|Trzeba nauczyć ich szacunku dla wiary!|Bluźniercy! Powinni nauczyć ich szacunku dla wiary!
Crach|You'll be hard pressed to defeat the imperial fleet.|Geralt|Can't say how sorry I am about your loss, jarl.|Geralt|We will conquer or perish. Hjalmar and Cerys showed us how to die like heroes.|Zwyciężymy albo zginiemy. Hjalmar i Cerys dali przykład, jak umierają prawdziwi bohaterowie.|Poddamy się lub zwyciężymy. Hjalmar i Cerys pokazali nam, jak umierać jak bohaterowie.|Podbijemy lub zginiemy. Hjalmar i Cerys pokazali nam, jak umierać jak bohaterowie.
Geralt|What about?|Lambert|That disappointment I hear?|Lambert|You haven't changed a lick.|Nic się nie zmieniłeś.|Nie zmieniłeś się ani trochę.|Nie zmieniłeś się ani trochę.
Verden Old Woman 01|You've mastered a trade - keeps the hunger at bay.|Verden Old Man 03|Neighbor saw a dead woman. Lyin' there, all quiet and calm…|Verden Old Woman 01|Aye, felt it comin' in me bones.|Na deszcz mnie tak łamało.|Tak, czułem to nadchodzące w moich kościach.|Tak, czułem to nadchodzące w moich kościach.
Geralt|I was a lovely young woman. Wore a long, beautiful braid my mummy did up for me. Had dresses with flowers on 'em.|Celina|Your betrothed?|Celina|Maybe you've seen her. Young... Ashen hair.|Może ją widziałaś. Młoda... Ma szare włosy.|Może ją widziałeś. Młoda... Popielate włosy.|Może ją widziałeś. Młoda... Popielate włosy.
Geralt|And how many would you say remain in the North? How many alchemists, healers, herbalists? Two thousand? Three?|Dijkstra|No. I'm concerned. In Novigrad, they had us, we were here… But who'll save those in Rinbe? Ban Ard? Ard Carraigh? Gulet? You know damn well that daft bastard Radovid won't rest till he's killed them all. Every last one. Yennefer and Triss included.|Dijkstra|Doing a population count? Is that it?|A co? Robisz spis powszechny?|Robisz spis ludności? Czyż nie tak?|Robisz spis ludności? Czyż nie tak?
Gnome Man 02|But why ever would he want that?|Dwarf Man 01|Oy, Master Witcher! We've a gift for you!|Gnome Man 03|Man'll be thrilled. Come on! Go!|Na pewno się ucieszy. No? No idź!|Będzie zachwycony. Ruszajmy! Jedźmy!|Będzie zachwycony. Chodźmy! Ruszajmy!
Geralt|See any monsters? Eh? Sod off, witcher, we've no need for you!|Temerian Bandit 01|Where?!|Temerian Peasant 03|Actually, I see a few monsters…|Widzę nawet kilka potworów...|W rzeczywistości widzę kilka potworów...|Właściwie widzę kilka potworów...
