en_text|pl_text|default|no_details|translation_extraction_llm|translation_extraction_brackets
Not interested.|Nie jestem zainteresowany.|"Tłumaczenie na język polski: ""Niezainteresowany"" (dla mężczyzn) lub ""Niezainteresowana"" (dla kobiet).

Warto zauważyć, że w języku polskim nie ma jednego uniwersalnego słowa, które mogłoby być użyte bez względu na płeć osoby wyrażającej brak zainteresowania. Dlatego też należy dostosować formę gramatyczną do płci osoby, którą chcemy opisać."|Niezainteresowany.|Niezainteresowany (dla mężczyzn) lub Niezainteresowana (dla kobiet).|Niezainteresowany/a
What's the problem? Tell me.|Mów, o co chodzi.|"Tłumaczenie tego zdania na język polski brzmi:

""Co jest problemem? Powiedz mi.""

To zdanie może być używane w różnych kontekstach, gdy ktoś pyta o wyjaśnienie lub szczegóły dotyczące jakiegoś problemu lub sytuacji, która wydaje się trudna lub niejasna."|Jaki jest problem? Powiedz mi.|Co jest problemem? Powiedz mi.|Co jest nie tak? Powiedz mi.
Whoo-eey, that's some thunderin'. Think he's still alive?|Ło, ale gruchnął. Myślicie, że żyje?|"Tłumaczenie tego zdania na język polski brzmi:

""Ojejku, ale grzmoty! Myślisz, że on wciąż żyje?""

To zdanie wydaje się pochodzić z dialogu między dwiema osobami, które obserwują intensywną burzę i zastanawiają się nad losem kogoś, kto mógł być w pobliżu. ""Whoo-eey"" to wyrażenie używane do określenia nagłego dźwięku lub hałasu, a ""thunderin'"" oznacza głośne grzmoty. Całe zdanie wyraża zaskoczenie i troskę o bezpieczeństwo innej osoby podczas burzy."|Och, to jest grzmot! Myślisz, że on wciąż żyje?|Ojejku, ale grzmoty! Myślisz, że on wciąż żyje?|Uuuu, ale grzmoty! Myślisz, że on jeszcze żyje?
So long.|Bywaj.|"Tłumaczenie tego angielskiego wyrażenia na język polski brzmi:

""Do widzenia.""

To jest powszechnie używane pożegnanie w języku polskim, które może być stosowane zarówno w sytuacjach formalnych, jak i nieformalnych. ""Do widzenia"" oznacza ""żegnam się teraz"", ale może też sugerować ""do zobaczenia w przyszłości""."|Do widzenia.|Do widzenia.|Do widzenia.
Take care.|Bywaj.|"Tłumaczenie tego zdania na język polski brzmi:

""Dbaj o siebie.""

To popularne wyrażenie, które może być używane w różnych kontekstach jako forma pożegnania lub zachęty do dbania o swoje zdrowie i samopoczucie. Może też być skierowane do kogoś, kto przechodzi przez trudny okres lub potrzebuje wsparcia emocjonalnego."|Dobrze się miej.|Dbaj o siebie.|Dbaj o siebie.
Tell me about this… dragon. What it looks like, for instance.|Powiedz coś o tym... Smoku. Jak wygląda, na przykład.|"Tłumaczenie na polski:

Powiedz mi o tym... smoku. Na przykład jak wygląda.

To zdanie jest dosłownym tłumaczeniem oryginalnego tekstu angielskiego na język polski. Zawiera ono prośbę o opisanie smoka, z naciskiem na jego wygląd."|Opowiedz mi o tym... smoku. Na przykład, jak wygląda.|"Powiedz mi o tym... smoku. Na przykład jak wygląda.

To zdanie jest dosłownym tłumaczeniem oryginalnego tekstu angielskiego na język polski. Zawiera ono prośbę o opisanie smoka, z naciskiem na jego wygląd.

---

Sam tłumaczenie:

Powiedz mi o tym... smoku. Na przykład jak wygląda."|Opowiedz mi o tym... smoku. Jak wygląda, na przykład.
What's your name?|Jak się nazywasz?|"Jak masz na imię?

To tłumaczenie jest dosłownym odpowiednikiem angielskiego pytania ""What's your name?"" w języku polskim. Pytanie to jest często używane jako proste wprowadzenie do rozmowy lub przedstawienie się komuś."|Jak masz na imię?|Jak masz na imię?|Jak masz na imię?
Not interested.|Nie jestem zainteresowany.|"Tłumaczenie na język polski: ""Niezainteresowany"" (dla mężczyzn) lub ""Niezainteresowana"" (dla kobiet).

Warto zauważyć, że w języku polskim nie ma jednego uniwersalnego słowa, które mogłoby być użyte bez względu na płeć osoby wyrażającej brak zainteresowania. Dlatego też należy dostosować formę gramatyczną do płci osoby, którą chcemy opisać."|Niezainteresowany.|Niezainteresowany (dla mężczyzn) lub Niezainteresowana (dla kobiet).|Niezainteresowany/a
What now?|To co teraz?|"Co teraz?

To tłumaczenie jest dosłowne i bezpośrednie. ""What now?"" w języku angielskim może być używane jako pytanie o to, co się dzieje w danym momencie lub co należy zrobić dalej. W języku polskim odpowiednikiem tego wyrażenia jest po prostu ""Co teraz?""."|Co teraz?|Co teraz?|Co teraz?
All right. Let me pack.|Już, już. Daj mi się spakować.|"Dobrze. Pozwól mi spakować się.

To tłumaczenie jest dosłowne i odzwierciedla oryginalny tekst w języku angielskim. W kontekście codziennej rozmowy, osoba mówiąca ""All right. Let me pack."" zgadza się na coś (prawdopodobnie na propozycję pomocy lub pozwolenie) i wyraża chęć zajęcia się pakowaniem."|Dobrze. Pozwól mi spakować.|Dobrze. Pozwól mi spakować się.|Dobrze. Pozwól mi spakować się.
I see the way out! Follow me!|Widzę wyjście! Za mną!|"Tłumaczenie tego zdania na język polski brzmi:

""Widzę wyjście! Chodź za mną!""

To krótkie, ale ekspresyjne wezwanie do działania i zaufania. Osoba wypowiadająca te słowa sugeruje, że znalazła rozwiązanie problemu lub sposób na wydostanie się z trudnej sytuacji i prosi innych, aby jej towarzyszyli."|Widzę drogę ucieczki! Chodź za mną!|Widzę wyjście! Chodź za mną!|Widzę wyjście! Chodź za mną!
How dare ye?! My lads--|Jak śmiesz. Moi synowie...|"Tłumaczenie tego zdania na język polski brzmi:

""Jak śmiesz! Moi chłopcy -""

To wykrzyknienie w języku angielskim, które może być użyte jako pytanie retoryczne lub okrzyk zaskoczenia lub oburzenia. W kontekście historycznym, takie sformułowanie mogło być używane przez szlachcica lub dowódcę do swoich podwładnych, wyrażając zdziwienie lub gniew."|Jak śmiesz?! Moi chłopcy--|Jak śmiesz! Moi chłopcy -|Jak śmiesz! Moi chłopcy--
Quite the adventure… Got a home to go back to? Or will you stay here?|Niezła przygoda... Masz dokąd wrócić? Czy chcesz tu zostać?|"Tłumaczenie na polski:

Całkiem niezła przygoda... Masz dom, do którego możesz wrócić? Czy zostaniesz tutaj?

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jego pytający charakter i emocjonalny wydźwięk."|Całkiem przygoda... Masz dom, do którego możesz wrócić? Czy zostaniesz tutaj?|Całkiem niezła przygoda... Masz dom, do którego możesz wrócić? Czy zostaniesz tutaj?|Całkiem niezła przygoda... Masz dom, do którego możesz wrócić? Czy zostaniesz tutaj?
Hornets' nest… Known to have therapeutic uses. In shock therapy, for instance.|Gniazdo os... Może dałoby się je wykorzystać do jakiejś kuracji. Szokowej, na przykład.|"Gniazdo szerszeni... Znane z tego, że ma właściwości terapeutyczne. Na przykład w leczeniu szokowym.

Wyjaśnienie krok po kroku:

1. Tekst oryginalny: ""Hornets' nest… Known to have therapeutic uses. In shock therapy, for instance.""
2. Tłumaczenie dosłowne: ""Gniazdo szerszeni... Znane z tego, że ma właściwości terapeutyczne. Na przykład w leczeniu szokowym.""
3. Wyjaśnienie kontekstu: W medycynie tradycyjnej niektóre gatunki owadów, takie jak szerszenie, były używane do celów leczniczych. Ich jad lub inne części ciała miały rzekomo działać przeciwbólowo i przeciwzapalnie.
4. Leczenie szokowe (shock therapy) odnosi się do metod leczenia, które wykorzystują silne bodźce fizyczne lub psychiczne w celu wywołania szybkiej reakcji organizmu.
5. W tym kontekście, ""leczenie szokowe"" może oznaczać stosowanie ekstremalnych metod, takich jak ukąszenia szerszeni, aby wywołać natychmiastową reakcję organizmu i potencjalnie przyspieszyć proces zdrowienia.
6. Należy pamiętać, że współczesna medycyna nie popiera takich praktyk ze względu na ryzyko powikłań i brak naukowych dowodów na ich skuteczność.
7. Tłumaczenie zostało dostosowane do polskiego kontekstu kulturowego i językowego, zachowując jednocześnie sens oryginalnego tekstu."|Gniazdo szerszeni... Znane z terapeutycznego zastosowania. Na przykład w leczeniu szokiem.|"Tłumaczenie samego tekstu:

Gniazdo szerszeni... Znane z tego, że ma właściwości terapeutyczne. Na przykład w leczeniu szokowym."|Gniazdo szerszeni… Znane jest z terapeutycznych zastosowań. Na przykład w terapii szokowej.
You land rats are all the same - afeard o' your wenches.|Szczury lądowe są wszystkie takie same. Boją się swoich bab.|"Tłumaczenie na język polski:

""Wszystkie szczury lądowe są takie same - boją się swoich panienek.""

To zdanie jest prawdopodobnie fragmentem dialogu lub powiedzenia w języku angielskim, które zostało przetłumaczone dosłownie na język polski. Warto zauważyć, że ""szczury lądowe"" to potoczne określenie osób, które nie mają doświadczenia w żeglarstwie lub marynarce, często używane przez żeglarzy i marynarzy w odniesieniu do ludzi z lądu."|Szczury lądowe jesteście wszyscy takie same - boicie się swoich panien.|Wszystkie szczury lądowe są takie same - boją się swoich panienek.|Wszyscy jesteście tacy sami - boicie się swoich dziewczyn.
They say the Wild Hunt destroyed this village…|Mówią, że tę wioskę zniszczył Dziki Gon...|Mówią, że Dziki Łów zniszczył tę wieś...|Mówią, że Dziki Łów zniszczył tę wieś...|Mówią, że Dziki Łów zniszczył tę wieś...|Mówi się, że Dziki Łów zniszczył tę wieś...
If you're lookin' for someone to cheer ye up, you've chosen badly.|Jak chcesz, żeby cię ktoś pocieszył, to źle wybrałeś.|"Jeśli szukasz kogoś, kto cię rozweseli, wybrałeś źle.

To tłumaczenie zachowuje ducha oryginalnego zdania w języku angielskim, używając potocznego stylu i nieformalnej gramatyki, typowej dla mówionego języka angielskiego. Warto zauważyć, że w języku polskim również istnieją podobne zwroty, które mogą być używane w kontekście humorystycznym lub ironicznym."|Jeśli szukasz kogoś, kto cię rozweseli, dokonałeś złego wyboru.|Jeśli szukasz kogoś, kto cię rozweseli, wybrałeś źle.|Jeśli szukasz kogoś, kto cię rozweseli, dokonałeś złego wyboru.
I could suck on it, at least… You could still toss it in a soup afterwards.|Chociaż bym sobie possał... A potem do zupy by się wrzuciło.|"Tłumaczenie tego zdania na język polski brzmi:

""Mógłbym to ssać, przynajmniej... Moglibyśmy to wrzucić do zupy później.""

To zdanie wydaje się być częścią większej rozmowy lub opisu sytuacji, w której ktoś mówi o czymś, co można wykorzystać w różny sposób - najpierw jako coś do ssania, a potem jako składnik zupy. Kontekst jest nieco niejasny bez dodatkowych informacji, ale samo tłumaczenie jest poprawne gramatycznie i stylistycznie."|Mógłbym to ssać, przynajmniej... Moglibyśmy to potem wrzucić do zupy.|Mógłbym to ssać, przynajmniej... Moglibyśmy to wrzucić do zupy później.|Mogłabym ssać je przynajmniej... Mógłbyś nadal wrzucić je do zupy później.
It's a friend of the jarl's, maybe come to visit.|To przyjaciel jarla, może przyjechał w gościnę.|To przyjaciel jarla, może przyszedł z wizytą.|To przyjaciel jarla, może przyszedł z wizytą.|To przyjaciel jarla, może przyszedł z wizytą.|To jest przyjaciel jarla, może przyjechał z wizytą.
Listen, if I lose on purpose, we'll both regret it, believe me.|Jak się podłożę, obaj będziemy żałowali nieuczciwej walki.|Słuchaj, jeśli specjalnie przegram, oboje tego pożałujemy, uwierz mi.|Posłuchaj, jeśli specjalnie przegram, oboje będziemy tego żałować, uwierz mi.|Słuchaj, jeśli specjalnie przegram, oboje tego pożałujemy, uwierz mi.|Posłuchaj, jeśli specjalnie przegram, oboje tego pożałujemy, uwierz mi.
He was but a young lad. Younger than my Eric. As I raised my sword, he broke out sobbin'… I just couldn't!|To młody chłopak był. Młodszy niż mój Erik. Jak uniosłem miecz, rozpłakał się... Nie mogłem, no!|"Tłumaczenie na język polski:

""Był tylko małym chłopcem. Młodszym niż mój Eric. Kiedy podniosłem miecz, zaczął płakać..."" Nie mogłam tego zrobić!

To zdanie wydaje się pochodzić z dialogu lub narracji w powieści lub filmie, opisując emocjonalną scenę, w której bohater stoi przed trudnym wyborem moralnym."|Był zaledwie młodym chłopcem. Młodszym niż mój Eric. Gdy podnosiłem miecz, on wybuchnął płaczem... Nie mogłem po prostu!|Był tylko małym chłopcem. Młodszym niż mój Eric. Kiedy podniosłem miecz, zaczął płakać... Nie mogłam tego zrobić!|Był tylko młodym chłopakiem. Młodszym od mojego Erica. Gdy podniosłem miecz, on wybuchnął płaczem... Nie mogłem tego zrobić!
Ye back? Come to see how we unburden the world o' ghouls?|A ty co? Przyszedłeś popatrzeć, jak rozprawiamy się z ghulami?|"Tłumaczenie na język polski:

""Wracasz? Przychodzisz zobaczyć, jak uwalniamy świat od upiorów?""

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, używając bardziej formalnego słownictwa i struktury gramatycznej typowej dla języka polskiego."|Czy wrócisz? Przyjdź zobaczyć, jak uwalniamy świat od upiorów.|Wracasz? Przychodzisz zobaczyć, jak uwalniamy świat od upiorów?|Czy wróciłeś? Przyjdź zobaczyć, jak uwalniamy świat od upiorów.
But… but I lied to Yorg. Uncle did nothin' to me. He stank, and I didn't like 'im, that's it! And now… now Yorg'll die, 'cause o' me.|Ale... Ale ja okłamałam Yorga. Wujek nic mi nie robił. Tylko śmierdział i go nie lubiłam... A teraz Yorg przez to umrze.|Ale... ale ja okłamałam Jorga. Wujek nic mi nie zrobił. On tylko śmierdział, i nie lubiłam go, ot co! A teraz... a teraz Jorg umrze przeze mnie.|Ale... ale skłamałem Yorgowi. Wujek nic mi nie zrobił. Śmierdział, i nie lubiłem go, tyle! A teraz... teraz Yorg umrze przeze mnie.|Ale... ale ja okłamałam Jorga. Wujek nic mi nie zrobił. On tylko śmierdział, i nie lubiłam go, ot co! A teraz... a teraz Jorg umrze przeze mnie.|Ale... ale okłamałem Yorga. Wujek nic mi nie zrobił. Śmierdział, i nie lubiłem go, ot co! A teraz... teraz Yorg umrze przeze mnie.
Wait here a moment. I'll fetch some torches.|Poczekaj chwilę, przyniosę pochodnie.|"Tłumaczenie tego zdania na język polski brzmi:

""Poczekaj tu chwilę. Przyniosę pochodnie.""

To zdanie jest dosyć proste i składa się z dwóch części:

1. ""Poczekaj tu chwilę"" - to prośba do rozmówcy, aby przez krótki czas pozostał w miejscu.
2. ""Przyniosę pochodnie"" - informacja, że mówiący zamierza przynieść pochodnie (lub inne źródło światła).

Warto zauważyć, że w języku polskim użycie słowa ""pochodnie"" może być nieco archaiczne lub stylizowane na dawny język. W codziennym użyciu częściej powiedzielibyśmy ""przyniosę latarki"" lub ""przyniosę lampy"". Jednak w kontekście historycznym lub literackim ""pochodnie"" mogą być odpowiednim wyborem."|Poczekaj chwilę. Przyniosę kilka pochodni.|Poczekaj tu chwilę. Przyniosę pochodnie.|Poczekaj chwilę. Przyniosę jakieś pochodnie.
Damn. I tore a hole in my dress. Wait a minute, I must mend it.|Psiakrew, rozdarłam suknię. Zaczekaj chwilę, muszę to zszyć.|Och! Rozdarłam sukienkę. Poczekaj chwilę, muszę ją zaszyć.|Cholera. Rozdarłam sukienkę. Poczekaj chwilę, muszę ją załatać.|Och! Rozdarłam sukienkę. Poczekaj chwilę, muszę ją zaszyć.|Cholera. Rozdarłam dziurę w sukience. Poczekaj chwilę, muszę ją naprawić.
Your time with the Hunt - what do you remember?|Co pamiętasz z okresu w Dzikim Gonie?|"Tłumaczenie na polski:

""Twoje wspomnienia z Polowaniem - co pamiętasz?""

To tłumaczenie oddaje sens oryginalnego zdania, jednocześnie dostosowując je do bardziej naturalnego brzmienia w języku polskim. Warto zauważyć, że w języku polskim często używamy formy ""co pamiętasz"" zamiast bezpośredniego ""co"", aby podkreślić osobisty charakter pytania i skupić się na subiektywnych wspomnieniach rozmówcy."|Twoje wspomnienia z czasu spędzonego z Łowami:|Twoje wspomnienia z Polowaniem - co pamiętasz?|Czas spędzony z Łowami - co pamiętasz?
Words aren't enough. Gotta find the mark my way.|Twoje słowa nie wystarczą. Muszę sam odnaleźć naznaczonego.|"Słowa nie wystarczą. Muszę znaleźć swój ślad.

To tłumaczenie oddaje ogólne znaczenie oryginalnego zdania, ale należy pamiętać, że w języku polskim może ono brzmieć nieco inaczej niż w kontekście, w jakim zostało użyte. W zależności od sytuacji i intencji mówiącego, mogłyby być również inne warianty tłumaczenia."|Słowa nie wystarczą. Muszę znaleźć swój ślad.|Słowa nie wystarczą. Muszę znaleźć swój ślad.|Słowa nie wystarczą. Muszę znaleźć swój ślad.
They've seated us here.|Tutaj nas posadzono.|"Tłumaczenie tego zdania na język polski brzmi:

""Posadzili nas tutaj.""

To zdanie może być użyte w różnych kontekstach, na przykład gdy ktoś opisuje sytuację, w której został posadzony w określonym miejscu przez inną osobę lub grupę ludzi. Może to dotyczyć siedzenia w restauracji, teatrze, szkole czy na jakimkolwiek innym wydarzeniu, gdzie ludzie są przypisywani do konkretnych miejsc."|Usiadli nas tutaj.|Posadzili nas tutaj.|Usiadli nas tutaj.
Relax. Storm's died down, you've clearly got things under control.|Spokojnie, burza ucichła, macie sytuację pod kontrolą.|"Oto tłumaczenie na język polski:

""Spokojnie. Burza ucichła, wyraźnie masz wszystko pod kontrolą.""

To zdanie jest próbą uspokojenia kogoś i zapewnienia go, że sytuacja została opanowana po okresie trudności lub zamieszania."|Odpręż się. Burza ucichła, jasne jest, że masz wszystko pod kontrolą.|Spokojnie. Burza ucichła, wyraźnie masz wszystko pod kontrolą.|Uspokój się. Burza ustała, wyraźnie masz sytuację pod kontrolą.
That is true… Though few believe us. You don't either, I'm sure.|To prawda... Choć niewielu nam wierzy. I wy pewnie też nie.|To prawda... Choć niewielu nam wierzy. Ty też nie, jestem pewien.|To prawda... Chociaż niewielu nam wierzy. Ty też nie, jestem pewien.|To prawda...|To prawda... Chociaż niewielu nam wierzy. Ty też nie, jestem pewien.
Farewell, witcher. Wind fill your sails, always.|Bywaj, wiedźminie. Niechaj wiatr ci zawsze wieje w żagle.|"Tłumaczenie tego zdania na język polski brzmi:

""Żegnaj, wiedźminie. Niech wiatr napełnia twoje żagle zawsze.""

To zdanie jest często używane jako pożegnanie dla Geralta z Rivii, głównego bohatera serii książek ""Wiedźmin"" autorstwa Andrzeja Sapkowskiego oraz opartych na nich gier komputerowych i serialu Netflixa. Zdanie to wyraża szacunek i sympatię do postaci, a także nadzieję na jej dalsze przygody. W kontekście fabularnym, Geralt często podróżuje statkiem, stąd odniesienie do żagli i wiatru."|Żegnaj, wiedźminie. Niech wiatr wypełnia twoje żagle zawsze.|Żegnaj, wiedźminie. Niech wiatr napełnia twoje żagle zawsze.|Żegnaj, czarodzieju. Niech wiatr wypełnia twoje żagle zawsze.
Know where to go? Got any clues?|Masz jakiś trop?|"Tłumaczenie tego zdania na język polski brzmi:

""Dokąd iść? Masz jakieś wskazówki?""

To pytanie może być używane w różnych kontekstach, takich jak poszukiwanie drogi, rozwiązywanie zagadki lub szukanie informacji. Oto kilka przykładów, kiedy można je zastosować:

1. W podróży: ""Dokąd iść? Masz jakieś wskazówki?"" - Kiedy ktoś pyta o drogę do określonego miejsca.

2. W grze: ""Dokąd iść? Masz jakieś wskazówki?"" - Gdy gracz potrzebuje pomocy w znalezieniu ukrytego przedmiotu lub przejścia.

3. W detektywie: ""Dokąd iść? Masz jakieś wskazówki?"" - Kiedy detektyw próbuje odnaleźć trop w śledztwie.

4. W nauce: ""Dokąd iść? Masz jakieś wskazówki?"" - Gdy student lub badacz potrzebuje porady dotyczącej dalszej pracy nad projektem.

5. W codziennym życiu: ""Dokąd iść? Masz jakieś wskazówki?"" - Kiedy ktoś jest niepewny co do swoich decyzji lub planów.

To uniwersalne pytanie, które może być używane w wielu sytuacjach, gdy ktoś potrzebuje pomocy lub wskazówek w podejmowaniu działań."|Dokąd się udać? Masz jakieś wskazówki?|Dokąd iść? Masz jakieś wskazówki?|Wiesz dokąd iść? Masz jakiekolwiek wskazówki?
Why the theatrics?|Po co ten teatr?|"Dlaczego teatrzyk?

To pytanie sugeruje, że ktoś może się zastanawiać nad celowością lub sensownością jakiejś sytuacji, która wydaje się być przesadzona, nienaturalna lub niepotrzebnie dramatyczna. Możliwe konteksty, w których to pytanie mogłoby być użyte, obejmują:

1. Krytyka czyjegoś zachowania jako zbyt teatralnego lub przesadzonego.
2. Zwrócenie uwagi na absurdalność lub nierealistyczność danej sytuacji.
3. Wyrażenie zdziwienia lub frustracji z powodu braku autentyczności w interakcji międzyludzkiej.
4. Pytanie o przyczynę, dla której ktoś postępuje w sposób, który wydaje się bardziej odpowiedni dla sceny teatralnej niż rzeczywistości.

W zależności od kontekstu, odpowiedź na to pytanie mogłaby dotyczyć intencji osoby, która zachowuje się w ten sposób, lub ogólnych refleksji na temat ludzkiego zachowania i jego motywacji."|Dlaczego teatrzyk?|"Dlaczego teatrzyk?

To pytanie sugeruje, że ktoś może się zastanawiać nad celowością lub sensownością jakiejś sytuacji, która wydaje się być przesadzona, nienaturalna lub niepotrzebnie dramatyczna. Możliwe konteksty, w których to pytanie mogłoby być użyte, obejmują:

1. Krytyka czyjegoś zachowania jako zbyt teatralnego lub przesadzonego.
2. Zwrócenie uwagi na absurdalność lub nierealistyczność danej sytuacji.
3. Wyrażenie zdziwienia lub frustracji z powodu braku autentyczności w interakcji międzyludzkiej.
4. Pytanie o przyczynę, dla której ktoś postępuje w sposób, który wydaje się bardziej odpowiedni dla sceny teatralnej niż rzeczywistości.

W zależności od kontekstu, odpowiedź na to pytanie mogłaby dotyczyć intencji osoby, która zachowuje się w ten sposób, lub ogólnych refleksji na temat ludzkiego zachowania i jego motywacji."|Po co te teatralne sztuczki?
Heeey theeere!|Czee-eeść!|"Oto tłumaczenie na język polski:

""Heeey theeere!""

W języku polskim można to przetłumaczyć jako:

""Hej, tutaj!""

To jest wykrzyknienie używane do przyciągnięcia uwagi lub zwrócenia się do kogoś. W języku angielskim ""hey there"" oznacza ""cześć tam"", a w języku polskim odpowiednikiem jest ""hej, tutaj""."|Cześć tam!|Hej, tutaj!|Cześć tam!
Willing to leave, not willing to pay.|Wyjdę bez płacenia.|"Tłumaczenie tego angielskiego powiedzenia na język polski brzmi: ""Chętni do wyjazdu, niechętni do płacenia.""

To powiedzenie odnosi się do sytuacji, w której ludzie są skłonni opuścić swoje obecne miejsce zamieszkania lub pracę, ale jednocześnie nie chcą ponosić dodatkowych kosztów związanych z przeprowadzką lub zmianą pracy. Może być używane w kontekście dyskusji o migracji, zmianie miejsca pracy czy innych decyzjach życiowych, gdzie istnieje napięcie między chęcią zmiany a niechęcią do ponoszenia związanych z tym wydatków."|Chętni do odejścia, niechętni do płacenia.|Chętni do wyjazdu, niechętni do płacenia.|Chętny do wyjazdu, niechętny do płacenia.
No.|Nie.|"Numer ""No."" w języku polskim to po prostu ""Nie"". Jest to odpowiedź przecząca, która może być używana zarówno jako samodzielne słowo, jak i część zdania. Na przykład:

- ""No"" (jako samodzielna odpowiedź)
- ""Nie, nie mogę tego zrobić""
- ""Czy mogę wejść? - Nie.""

Warto pamiętać, że w języku polskim istnieje również forma ""Nie ma"", która jest tłumaczeniem angielskiego ""There is no"" lub ""No there is"". Na przykład:

- ""No there is no such thing as a free lunch."" (W języku polskim: ""Nie ma czegoś takiego jak darmowy obiad."")

Jeśli masz dodatkowe pytania dotyczące tłumaczenia lub innych kwestii językowych, chętnie pomogę!"|Nie.|"Numer No. w języku polskim to po prostu Nie.

Jest to odpowiedź przecząca, która może być używana zarówno jako samodzielne słowo, jak i część zdania.

Na przykład:
- No (jako samodzielna odpowiedź)
- Nie, nie mogę tego zrobić
- Czy mogę wejść? - Nie.

Warto pamiętać, że w języku polskim istnieje również forma Nie ma, która jest tłumaczeniem angielskiego There is no lub No there is. Na przykład:
- No there is no such thing as a free lunch. (W języku polskim: Nie ma czegoś takiego jak darmowy obiad.)"|Ona jest bardzo piękna.
Look. We must search the area.|Zobacz. Trzeba się tu rozejrzeć.|"Tłumaczenie tego zdania na język polski brzmi:

""Popatrz. Musimy przeszukać teren.""

To zdanie jest dość dosłowne i może być użyte w różnych kontekstach, na przykład gdy ktoś zwraca uwagę na coś ważnego lub gdy grupa ludzi planuje poszukiwania czegoś w określonym obszarze."|Popatrz. Musimy przeszukać teren.|Popatrz. Musimy przeszukać teren.|Popatrz. Musimy przeszukać teren.
Your beard. Why'd you decide to grow it out?|Twoja broda. Skąd ten pomysł?|"Twoja broda. Dlaczego zdecydowałeś się ją zapuścić?

To pytanie może być częścią rozmowy lub wywiadu, w którym ktoś pyta o powody, dla których dana osoba postanowiła zapuścić brodę. Odpowiedź na to pytanie może obejmować różne aspekty, takie jak moda, styl osobisty, preferencje estetyczne, czy nawet praktyczne korzyści (np. ochrona skóry przed zimnem). Warto zauważyć, że brody mogą mieć również znaczenie symboliczne lub kulturowe w niektórych społecznościach."|Twoja broda. Dlaczego zdecydowałeś się ją zapuścić?|Dlaczego zdecydowałeś się zapuścić brodę?|Twoja broda. Dlaczego zdecydowałeś się ją zapuścić?
Listen, witcher… Got us some muire d'yaeblen, you know, drowners. Real problem. The kind your silver sword could most certainly solve.|Słuchaj, wiedźminie... Mamy tu problem z Muire D’yaeble, z utopcami. Problem, który twoim srebrnym mieczem można by pewnie rozwiązać.|Słuchaj, wiedźminie... Mamy tu trochę muire d'yaeblen, wiesz, topielców. Prawdziwy problem. Taki, który twoje srebrne ostrze mogłoby z pewnością rozwiązać.|Słuchaj, wiedźminie... Mamy tu trochę muire dyaeblen, wiesz, utopców. Prawdziwy problem. Taki, który twój srebrny miecz mógłby z pewnością rozwiązać.|Słuchaj, wiedźminie... Mamy tu trochę muire dyaeblen, wiesz, topielców. Prawdziwy problem. Taki, który twoje srebrne ostrze mogłoby z pewnością rozwiązać.|Posłuchaj, wiedźminie... Mamy trochę muiry d'yaeblen, czyli topielców. Prawdziwy problem. Taki, który twój srebrny miecz mógłby bez wątpienia rozwiązać.
We should get back to the wake.|Wracajmy na ucztę.|"Tłumaczenie tego zdania na język polski brzmi:

""Powinniśmy wrócić do przebudzenia.""

To zdanie może być używane w różnych kontekstach, ale zazwyczaj odnosi się do powrotu do świadomości lub pełnego zaangażowania w jakąś sytuację po okresie nieuwagi lub rozproszenia. Może też sugerować potrzebę skupienia się na obecnym momencie lub ważnej sprawie."|Powinniśmy wrócić do przebudzenia.|Powinniśmy wrócić do przebudzenia.|Powinniśmy wrócić na czuwanie.
Dunno. It happened fast, and we were a few horns in…|Nie wiem. To się wydarzyło szybko, a myśmy już parę rogów osuszyli...|Tłumaczenie na polski: Nie wiem. Stało się to szybko, i byliśmy kilkoma rogami w...|Nie wiem. Stało się to szybko, i byliśmy kilkoma rogami w...|Nie wiem.|Nie wiem. To stało się szybko, a my byliśmy paroma rogami w...
What do you offer?|Pokaż mi swoje towary.|"Co możesz zaoferować?

To tłumaczenie odpowiada pytaniu ""What do you offer?"" w języku angielskim, które jest często używane w kontekście biznesowym lub zawodowym, gdy ktoś pyta o to, co dana osoba lub firma ma do zaoferowania. Może to dotyczyć produktów, usług, umiejętności czy też innych korzyści."|Co oferujesz?|Co możesz zaoferować?|Co oferujesz?
Not what I meant. He's dead.|Nie to miałem na myśli. On nie żyje.|"Tłumaczenie tego zdania na język polski brzmi:

""Nie o to mi chodziło. On nie żyje.""

To zdanie może być użyte w różnych kontekstach, na przykład gdy ktoś wyjaśnia, że osoba, o której mowa, zmarła lub została zabita. Może też być odpowiedzią na pytanie dotyczące statusu danej osoby."|Nie to miałem na myśli. On jest martwy.|Nie o to mi chodziło. On nie żyje.|Nie o to mi chodziło. On nie żyje.
And my son?! Does he?!|A mój syn?! Zasłużył?|"Oto tłumaczenie na język polski:

""A co z moim synem? Czy on też?""

To zdanie wyraża pytanie lub obawę dotyczącą sytuacji, w której ktoś mógłby być zaangażowany lub dotknięty jakimś problemem lub zmianą. Może to być kontekst rodzinny, zawodowy lub społeczny. Dokładne znaczenie zależy od szerszego kontekstu rozmowy lub sytuacji, w której to zdanie zostało użyte."|A co z moim synem? Czy on też?!|Czy mój syn też jest dotknięty tym problemem/zmianą?|A co z moim synem?! Czy on...?
