en_text|pl_text|bielik_translation_0.0|mixtral-8x22B_translation_0.0|llama3.1_translation_0.0|bielik_translation_0.1|mixtral-8x22B_translation_0.1|llama3.1_translation_0.1|bielik_translation_0.2|mixtral-8x22B_translation_0.2|llama3.1_translation_0.2|bielik_translation_0.3|mixtral-8x22B_translation_0.3|llama3.1_translation_0.3|bielik_translation_0.4|mixtral-8x22B_translation_0.4|llama3.1_translation_0.4|bielik_translation_0.5|mixtral-8x22B_translation_0.5|llama3.1_translation_0.5|bielik_translation_0.6|mixtral-8x22B_translation_0.6|llama3.1_translation_0.6|bielik_translation_0.7|mixtral-8x22B_translation_0.7|llama3.1_translation_0.7|bielik_translation_0.8|mixtral-8x22B_translation_0.8|llama3.1_translation_0.8|bielik_translation_0.9|mixtral-8x22B_translation_0.9|llama3.1_translation_0.9|bielik_translation_1.0|mixtral-8x22B_translation_1.0|llama3.1_translation_1.0
So you don't actually know if it works, how it works?|Czyli właściwie nie wiadomo, czy ona działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa i jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa i jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Nie masz więc w rzeczywistości pewności, czy to działa, i jak to działa?|Czyli tak naprawdę nie wiesz czy działa i jak one działa?|Więc tak naprawdę nie wiesz, czy to działa i jak to działa?| Więc w rzeczywistości nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy on działa i jak on działa?
Leave that to me. Go, seek and find your Cirilla.|Ja z nim pogadam. A wy ruszajcie szukać Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to na mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to na mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to na mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to na mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to na mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to na mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie, idź i szukaj swojej Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to na mnie. Idź, szukaj i odnajdź swoją Cirillę.|Zostaw mi to. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.|" ""Pozostaw to mnie. Idź, szukaj i znajdź swoją Cirillę."""|Zostaw to mnie, idź i znajdź swą Ciri.
But could that truly be so important?|Ale żeby to było aż tak ważne...?|Ale czy to naprawdę może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być takie ważne?|Ale czy to naprawdę może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Czy to naprawdę może być takie ważne?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być takie ważne?|Ale czy to rzeczywiście mogłoby być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być tak ważne?| Ale czy to naprawdę może być tak istotne?|Ale czy to naprawdę może być tak ważne?|Ale czy to mogłoby być naprawdę tak ważne?| Ale czy to może być naprawdę tak ważne?|Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może mieć takie znaczenie?|Ale czy mogłoby to być tak naprawdę ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być takie ważne?|Ale czy to mogłoby być tak ważne?| Ale czy to naprawdę może być tak istotne?|Ale czy to naprawdę może mieć takie znaczenie?|Ale czy to naprawdę może być tak ważne?| Ale czy to może być naprawdę tak istotne?|Ale czy to naprawdę jest tak ważne?|Ale czy mogłoby to być naprawdę tak ważne?| Ale czy to naprawdę może być tak istotne?|Czy to może być tak ważne?
Pass the mead and a tankard for the man!|Dawać wina i kielich!|Podaj mi miód pitny i kufel dla tego mężczyzny!| Przekaż miód i kufel dla tego mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj mi miód pitny i kufel dla tego mężczyzny!| Przekaż miód i kufel dla tego mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj mi miód pitny i kufel dla tego mężczyzny!| Przekaż miód i kufel dla mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj miód pitny i kufel dla tego mężczyzny!| Przekaż miód i kufel dla mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj mi miód pitny i kufel dla tego mężczyzny!| Przekaż miód i kufel dla tego mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj mi miód i kufel dla tego mężczyzny!| 'Podaj miad i kufel dla mężczyzny!'|Podaj miód i kufel dla mężczyzny!|Podajcie miód i kufel dla tego mężczyzny!| Przekaż miody i kufel dla mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podajcie mi miód pitny i puchar dla tego mężczyzny!| Przekaż miód i czarę dla mężczyzny!|Przynieś miód i kufel dla mężczyzny!|Podaj mi miód i kufel dla tego człowieka!| Przekaż miód i czarę dla mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj miód pitny i kufel dla tego mężczyzny!| Przekaż miód i kufel dla tego mężczyzny!|Przynieście miód i kufel dla mężczyzny!|Podajcie miód i kufel dla tego mężczyzny!| Podaj miód i puchar dla tego mężczyzny!|Przyślij miód i kufel dla mężczyzny!
Recovered your stolen horn.|Odzyskałem skradziony róg.|Odzyskano skradziony róg.| Odzyskano skradzione twoje rogi.|Odzyskano Twoje skradzione róg.|Odzyskano skradziony róg.| Odzyskano skradzione twoje rogi.|Odzyskałeś skradziony róg.|Odzyskano skradziony róg.| Odzyskano skradziony róg.|Odzyskano Twoje skradzione róg.|Odzyskano skradziony róg.| Odzyskano skradzione twoje rogi.|Odzyskano Twoją skradzioną róg.|Odzyskano skradziony róg.| Odzyskano skradzione twoje rogi.|Odzyskałeś swoją skradzioną róg.|Odzyskano skradziony róg.| Odzyskano skradzione Twoje rogi.|Odzyskałeś skradziony róg.|Odzyskano skradziony róg.| Odzyskano skradziony róg.|Odzyskałeś skradzioną róg.|Odzyskano skradziony róg.| Odzyskano skradziony róg.|Odzyskałeś skradzioną róg.|Odzyskano skradziony róg.| Odzyskano skradzione Twoje rogu|Odzyskałeś swoją skradzioną róg.|Odzyskano skradziony róg.|" Odzyskano skradzione twoje rogi.

Notes: I am an English language model and cannot provide translation in other languages with absolute certainty. However, I used a translation tool to provide a translation. Please verify with a native speaker or reliable source for accuracy."|Odzyskaliśmy skradziony przez ciebie róg.|Odzyskano skradziony róg.| Odzyskano ukradzione Twoje rogi.|Odzyskaliśmy skradziony róg.
Our wagon's full of loot we ripped from the Black Ones.|Bo nasz wóz cały wyładowany jest łupami wydartymi czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz pełen jest łupów, które wyrwaliśmy Czarnym.|Nasza furmanka jest pełna łupów, które wydarto Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz pełen jest łupów, które wyrwaliśmy Czarnym.|Nasza furmanka jest pełna łupów, które wydarto Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz jest pełen łupów, które wyrwaliśmy Czarnym.|Nasz wóz jest pełen łupów, które wydartych od Czarnych.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasza wózka pełna jest łupów, które wyrwaliśmy Czarnym.|Nasza furmanka jest pełna łupów, które wydarto Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz pełen łupów, które wyrwaliśmy Czarnym.|Nasza furmanka jest pełna łupu, któryśmy wydarli Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz pełen łupów, które zrabowaliśmy od Czarnych.|Nasz wóz jest pełen łupów, któreśmy wydarli Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasza wózka pełna jest łupów, które wyrwaliśmy z Czarnych.|Nasz wóz jest pełen łupu, którego zabraliśmy Czarnym.|Nasz wóz pełen jest łupów zerwanych od Czarnych.| Nasz wóz pełen jest łupów, które wyrwaliśmy Czarnym.|Nasz wóz jest pełen łupu, któryśmy wydzierżgli u Czarnych.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz jest pełen łupów, które ukradliśmy Czarnym.|Nasza sanki jest pełna łupów, które wydarto Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz jest pełen łupów, które zrabowaliśmy od Czarnych.|Nasza karoca jest pełna łupu, którego wydrapaliśmy czarnemu.|Nasz wóz jest pełen łupów zabranych Czarnym.| Nasza platforma przepełniona jest łupami, które ukradliśmy Czarnym.|Nasza wozka pełna łupu, którego odebraliśmy Czarnym.
Lovely as monickers go.|Sympatyczny przydomek.|Urocze jak na imiona przystało.| Przyjemne jak chodzi o pseudonimy.|Miłe jak pseudonimy.|Urocze jak na imiona przystało.| Przyjemne jak chodzi o pseudonimy.|Miłe jak pseudonimy.|Urocze jak na imiona przystało.| Miłe do słuchania imię. (Dosłownie: Miłe do słuchania, jeśli chodzi o imiona.)|Miłe jak pseudonimy.|Urocze jak na imiona przystało.| Przyjemne jak chodzi o pseudonimy.|Miło brzmiące jak pseudonimy.|Urocze jak na monogramy.| Przyjemne jak chodzi o pseudonimy.|Miłe jak pseudonimy.|Urocze jak na imiona przystało.|" ""Miłe jako imiona."""|Miło brzmiące pseudonimy.|Urocze jak na monogramy.| Przyjemnie jak chodzi o przezwiska.|Miłe jak przydomek.|Urocze jak na monogramy.| Prześliczne, jeśli chodzi o imiona.|Miłe jak przydomek.|Urocze jak na przydomki przystało.|" ""Miłe jak za imieniem."" (Direct translation; please note that this phrase may not be commonly used in Polish and its meaning could be interpreted differently)"|Miły jeśli chodzi o przezwiska.|Urocze jak na imioniska przystało.| Przyjemne, jeśli chodzi o imiona.|Miło brzmi, jak na pseudonim.|Uroczy jak na imioniska przystało.| Może takie milutkie przezwisko.|Miły, jeśli chodzi o pseudonimy.
The clans will unite. There'll be peace.|Teraz klany się zjednoczą i będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Zapanuje pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Kłany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Zapanuje pokój.|Rody się zjednoczą. Nastanie pokój.| Kłany się połączą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Kłany się połączą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.|" ""Klany się zjednoczą. Będzie pokój."""|Klany zjednoczą się. Zapanuje pokój.|Rody się zjednoczą. Nastanie pokój.| Kłany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Zapanuje pokój.|Rody się zjednoczą. Nastanie pokój.| Kłany się zjednoczą. Będzie pokój.|'Klany zjednoczą się. Zapanuje pokój.'|Rody się zjednoczą. Będzie pokój.| Klany się połączą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Będzie pokój.| Kłany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.
Can you cut my hair?|Ostrzyżesz mnie?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uczesać włosy?|Czy mogłabyś obciąć mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uczesić włosy?|Czy mógłbyś mnie ostrzyc?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy mógłbyś mnie ostrzyc?|Czy możesz obciąć mi włosy?| Czy możesz podciąć mi włosy?|Czy mógłbyś przyciąć mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uczesać włosy?|Czy możesz ostrzyc mnie?
Me da fished, as did his da, and his da's da… Just sorta happened.|Ojciec łowił, przed nim dziadek i pradziadek... Jakoś tak wyszło.|Mój tata łowił ryby, tak jak jego tata, i jego dziadek... Po prostu tak wyszło.|" ""Mam fished, tak jak jego tata, i tata jego taty... To po prostu się wydarzyło."""|Łowiłem ryby, tak jak mój tata i jego tata... Po prostu tak się stało.|Mój tata łowił ryby, tak jak jego tata, i jego dziadek... Po prostu tak wyszło.|" ""Mnie to po prostu przydarzyło się, tak jak jego tacie, i tacie jego taty... To po prostu się wydarzyło."""|Łowiłem ryby, tak jak mój tato i jego tato... Po prostu tak się stało.|Mój tata łowił ryby, tak jak jego tata, i tata jego taty... Po prostu tak wyszło.|" ""Mam fished, tak jak jego tata, i tata jego taty... Prosto się wydarzyło."""|Łowiłem ryby, tak jak mój tata i jego tata... Po prostu tak się stało.|Mój tata łowił ryby, tak jak jego tata, i tata jego taty... Po prostu tak wyszło.|" ""Mam fished, tak jak jego tata, i tata jego taty... To po prostu się wydarzyło."""|Łowiłem ryby, tak jak mój tata, i jego tata, i tata jego taty... Po prostu tak się stało.|Mój tata łowił ryby, tak jak jego tata, i jego dziadek... Po prostu tak wyszło.|" ""Tak się stało, jak mój tata, i tata mego taty... Po prostu się wydarzyło.""

Please note that I'm an English language model, and while I strive to provide accurate translations, they may not always be perfect. For the most accurate translations, I recommend consulting with a professional translator or language service."|Łowiłem ryby, tak jak mój tato i jego tato... Po prostu tak się stało.|Mój tata łowił ryby, tak jak jego tata, i jego dziadek... Po prostu tak wyszło.|" ""Tak się stało, jak mój ojciec, jak jego ojciec i jego ojciec... Tak się po prostu wydarzyło.""

Note: This translation is done based on the context and may not be 100% accurate without additional context. The phrase ""Me da fished"" is not clear and may not have a direct translation in Polish. The translation provided assumes that it means ""Tak się stało"" (It happened to me) based on the context of the rest of the sentence."|Mój tata łowił ryby, tak jak jego tata i tata jego taty... Po prostu tak się stało.|Mój tata łowił ryby, tak jak jego tata, i jego taty tata... Po prostu tak wyszło.| Wydarzyło się to po prostu tak, podobnie jak mojemu dziadkowi i dziadkowi mojego dziadka... (Dosłowne tłumaczenie z języka angielskiego, uwaga na brak kontekstu).|Łowił ryby tata, tak jak jego tata i tata jego taty... Po prostu tak się stało.|Mój tata łowił ryby, tak jak jego tata, i ojciec jego taty... Po prostu jakoś tak wyszło.|" ""Mnie to po prostu spotkało, tak jak jego tacie, i tacie jego taty... Tak się złożyło."""|Mój tata łowił ryby, tak jak jego tata i tata jego taty... Po prostu tak się zdarzyło.|Mój tata łowił ryby, tak jak jego tata, i jego dziadek... Po prostu tak wyszło.| Mnie to też przydarzyło się, tak jak mojemu ojcu i dziadkowi mojego ojca... Tak się tylko stało.|Łowiłem ryby, tak samo jak mój tato, i tato mojego tatona... Po prostu tak wyszło.|Mój tata łowił ryby, tak jak jego tata, i tata jego taty... Po prostu tak wyszło.| W ten sposób skończyłem, jak skończył mój dziadek, i dziadek mego dziadka… Jednak po prostu się zdarzyło.|'Mojej rybki łowił, tak samo zrobił jego tato i ojciec jego tatów... Po prostu tak się stało.|Mój tata łowił ryby, tak jak jego tata, i tata jego taty... Po prostu jakoś tak wyszło.| Pomimo że moje przodki także to robiły, tak jak moim ojciec i ojciec jego ojca... Po prostu się przytrafiło.|Łowiłem ryby, tak jak mój tata, i tata mojego taty... Po prostu tak się stało.
What do the druids think of Skellige's new ruler?|Jak druidzi zapatrują się na nowego władcę Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co druidzi myślą o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co druidzi myślą o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co druidzi myślą o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co myślą druidzi o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co druidzi myślą o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skelligów?| Co myślą druidzi o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co myślą druidzi o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co myślą druidzi o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co myślą druidzi o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co myślą druidzi o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Skylamu?|Co druidzi myślą o nowym władcy Skellige?| Co druidzi myślą o nowym władcy Skellige?|Co myślą druidzi o nowym władcy Wysp Skellige?
Till one day Cerys, a brave lass of Skellige, called the demon out, challenged him to a duel.|Lecz pewnego dnia Cerys, dzielna córa skelligijskiej ziemi, rzuciła demonowi wyzwanie.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wyzwała demona, rzuciła mu wyzwanie na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Do czasu, aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wezwała demona i wyzwała go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skelligów, wyzwała demona, rzucając mu wyzwanie.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż do dnia, w którym Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzuciła mu wyzwanie.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wezwała demona i wyzwała go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Aż pewnego dnia Cerys, odważna dziewczyna z Skellige, wyzwała demona, rzuciła mu wyzwanie na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, rzuciła wyzwanie diabłu i wyzwała go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Do czasu, kiedy pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wywołała demona, wyzwała go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, zawołał demona i wypowiedziała mu wyzwanie na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Do czasu, aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wypowiedziała mu wyzwanie, rzuciła na niego wyzwanie na pojedynek.|Dopóki pewnego dnia nie zawołał do siebie Cerys, dzielna dziewczyna ze Skellige, wezwał demona, wyzwał go na pojedynek.
Sure. I'll race.|Wezmę udział w wyścigu.|Oczywiście. Pobiegnę.|" Pewnie. Wyścigę z Tobą przegrać.

This is the translation of ""Sure. I'll race."" in Polish. However, please note that the translation provided is a direct translation and may not be the most natural way to express this in Polish. A more natural way to say this in Polish might be ""Pewnie. Będę ścigać się."""|Okej, wystartuję.|Oczywiście. Zróbmy wyścig.|" Pewnie. Wyścigę z Tobą przegrać.

This is the translation of ""Sure. I'll race."" in Polish. However, please note that the literal translation of ""I'll race"" in Polish is ""Wyścigę z Tobą przegrać"", which means ""I'll lose the race with you"". In Polish, it's more common to express the idea of racing as a competition where one person will lose. If you want to express the idea of racing without the implication of losing, you can say ""Tak, będę ścigać się z Tobą"" which means ""Yes, I will race with you""."|Okej, będę brał udział w wyścigu.|Oczywiście. Zróbmy wyścig.|" Pewnie. Wyścigę z Tobą przegrać.

Translation: Sure. I'll race you."|Okej, wystartuję.|Oczywiście. Pobiegnę.| Pewnie. Wyścigę z Tobą rozegram.|Okej, wystartuję.|Oczywiście. Pobiegnę.| Pewnie. Będę ścigać się.|Okej, wystartuję.|Oczywiście. Pobiegnę.| Oczywiście. Będę ścigać się.|Okej, wystartuję.|Oczywiście. Pobiegnę.| Oczywiście. Wyścigiem zajmę się.|Zgadza się. Będę ścigać.|Oczywiście. Wyściguję się.| Pewnie. Wyścigę się na to zgadzam.|Okej, będę ścigać się.|Oczywiście. Pobiegnę.| Pewnie. Zawodzę.|Okej. Będę uczestniczyć w wyścigu.|Pewnie. Będę się ścigać.| Pewnie. Wyścig z Tobą będę.|Okej, zagramy.|Pewnie. Zróbmy wyścig.| Pewnie. Zagraniem w wyścigu.|Okej. Pojadę.
Thanks… Farewell.|Dzięki... Bywaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dzięki... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję… Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Do widzenia.|Dziękuję... Żegnaj.
