en_text|pl_text|google_translation|bielik_translation_0.0|mixtral-8x22B_translation_0.0|llama3.1_translation_0.0|bielik_translation_0.1|mixtral-8x22B_translation_0.1|llama3.1_translation_0.1|bielik_translation_0.2|mixtral-8x22B_translation_0.2|llama3.1_translation_0.2|bielik_translation_0.3|mixtral-8x22B_translation_0.3|llama3.1_translation_0.3|bielik_translation_0.4|mixtral-8x22B_translation_0.4|llama3.1_translation_0.4|bielik_translation_0.5|mixtral-8x22B_translation_0.5|llama3.1_translation_0.5|bielik_translation_0.6|mixtral-8x22B_translation_0.6|llama3.1_translation_0.6|bielik_translation_0.7|mixtral-8x22B_translation_0.7|llama3.1_translation_0.7|bielik_translation_0.8|mixtral-8x22B_translation_0.8|llama3.1_translation_0.8|bielik_translation_0.9|mixtral-8x22B_translation_0.9|llama3.1_translation_0.9|bielik_translation_1.0|mixtral-8x22B_translation_1.0|llama3.1_translation_1.0
So you don't actually know if it works, how it works?|Czyli właściwie nie wiadomo, czy ona działa?|Więc tak naprawdę nie wiesz czy to działa, ani jak to działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak więc w rzeczywistości nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak więc w rzeczywistości nie wiesz, czy to działa, jak to działa?|Czyli tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Czyli tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak więc nie wiesz naprawdę, czy to działa, jak to działa?|Czyli tak naprawdę nie wiesz czy to działa i jak to działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Czyli tak naprawdę nie wiesz czy to działa i jak to działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa, jak to działa?|Więc tak naprawdę nie wiesz czy to działa, jak to działa?|Czyli tak naprawdę nie wiesz, czy to działa i jak działa?| Tak naprawdę nie wiesz czy działa, jak działa?|Czyli tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy to działa i jak to działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?|Więc tak naprawdę nie wiesz, czy to działa, jak to działa?| Tak naprawdę nie wiesz, czy on działa, jak on działa?|Więc tak naprawdę nie wiesz czy działa i jak działa?
Leave that to me. Go, seek and find your Cirilla.|Ja z nim pogadam. A wy ruszajcie szukać Ciri.|Zostaw to mnie. Idź, poszukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.|" ""Zostaw to ze mną. Idź, szukaj i znajdź swoją Ciri."""|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Cirillę.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Ciri.|Pozostaw to mnie. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to ze mną. Idź, szukaj i znajdź swoją Ciri.|Zostaw to mnie, idź, szukaj swą Ciri.|Zostaw to mnie. Idź, szukaj i znajdź swoją Cirillę.| Zostaw to dla mnie. Idź, szukaj i znajdź swoją Cirielle.|Zostaw to mnie, idź, szukaj i znajdź swoją Cirillę.
But could that truly be so important?|Ale żeby to było aż tak ważne...?|Ale czy to naprawdę może być aż tak ważne?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być takie ważne?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być takie ważne?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być takie ważne?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to naprawdę może być tak istotne?|Ale czy to naprawdę może być takie ważne?|Ale czy to rzeczywiście mogłoby być tak ważne?| Ale czy to naprawdę może być tak istotne?|Ale czy to naprawdę mogło być tak ważne?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być tak ważne?|Ale czy to mogłoby być naprawdę tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być tak ważne?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to naprawdę może być tak ważne?|Ale czy to naprawdę może być takie ważne?|Ale czy to mogłoby być naprawdę tak ważne?| Ale czy to naprawdę może być tak ważne?|Czy to naprawdę może mieć takie znaczenie?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to naprawdę może być tak bardzo istotne?|Czy to naprawdę może być takie ważne?|Ale czy to rzeczywiście może być tak ważne?| Ale czy to może naprawdę być tak ważne?|'Czy to może mieć takie wielkie znaczenie?'
Pass the mead and a tankard for the man!|Dawać wina i kielich!|Podaj mu miód pitny i kufel!|Podaj miód pitny i kufel dla tego człowieka!| Przekaż miód i kufel dla tego mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj miód pitny i kufel dla tego człowieka!| Przekaż miód i kufel dla tego mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj miód pitny i kufel dla tego człowieka!| Przekaż miód i kufel dla tego mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj miód pitny i kufel dla tego człowieka!| Przekaż miód i kufel dla tego mężczyzny!|Podaj miód i kufel dla tego człowieka!|Podaj miód pitny i kufel dla tego człowieka!| 'Podaj miód i kufel dla tego mężczyzny!'|Podaj miód i kufel dla mężczyzny!|Podaj miód pitny i kufel dla tego człowieka!| Przekaż miód i kufel dla tego mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj miód pitny i kufel dla tego człowieka!| Przekaż miad i czarę dla mężczyzny!|Podaj miód i kufel dla tego człowieka!|Podaj miód pitny i kufel dla tego człowieka!| 'Podaj miód i dzbanek dla tego mężczyzny!'|Podaj miód i puchar dla mężczyzny!|Podaj miód pitny i kufel dla tego mężczyzny!| Przynieś miodek i kufel dla tego mężczyzny!|Podaj miód oraz kufel dla tego mężczyzny!|Podaj miód pitny i kufel dla tego człowieka!| Poprószę o przekazanie miodu pitnego i kubka dla mężczyzny!|Podaj miód i kufel dla mężczyzny!|Podaj miód pitny i kufel dla tego człowieka!| Podejrzyj miad i kufel dla tego mężczyzny!|Podaj miód i kufel dla tego mężczyzny!
Recovered your stolen horn.|Odzyskałem skradziony róg.|Odzyskałeś skradziony róg.|Odzyskano skradziony róg.| Odzyskano skradziony róg.|Odzyskałeś skradziony róg.|Odzyskano twój skradziony róg.| Odzyskano skradziony róg.|Odzyskałeś skradziony róg.|Odzyskano skradziony róg.| Odzyskano skradziony róg.|Odzyskałeś skradziony róg.|Odzyskałem twój skradziony róg.| Odzyskano skradziony róg.|Odzyskałeś skradziony róg.|Odzyskano skradziony róg.| Odzyskano skradziony róg.|Odzyskałeś skradziony róg.|Odzyskano twój skradziony róg.| 'Odzyskano skradziony róg.'|Odzyskałeś swoją skradzioną róg.|Odzyskano skradziony róg.| Odzyskano skradzione Twoje rogi.|Odzyskałeś skradziony róg.|Odzyskano twoje skradzione rogi.| Odzyskano skradziony róg.|Odzyskałeś skradziony róg.|Odzyskałem twój skradziony róg.| Odnaleziono skradziony róg.|Odzyskałeś swoją skradzioną róg.|Odzyskano skradziony róg.| Odnalazłem twoje skradzione roże.|Odzyskałeś skradzioną trąbę.|Odzyskałem/Odzyskano skradziony róg.| Zwróciłem twoje skradzione rogu.|Odzyskałeś skradziony róg.
Our wagon's full of loot we ripped from the Black Ones.|Bo nasz wóz cały wyładowany jest łupami wydartymi czarnym.|Nasz wóz jest pełen łupów, które wydarliśmy Czarnym.|Nasz wóz jest pełen łupów, które zabraliśmy Czarnym.| Nasz wóz jest pełen łupów, które wyrwaliśmy Czarnym.|Nasz wóz jest pełen łupów, któreśmy zrabowali Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz jest pełen łupów, które wyrwaliśmy Czarnym.|Nasz wóz jest pełen łupów, które zrabowaliśmy Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz jest pełen łupów, które wyrywaliśmy Czarnym.|Nasz wóz jest pełen łupów, któreśmy wydarli Czarnym.|Nasz wóz pełen jest łupów zerwanych od Czarnych.| Nasz wóz jest pełen łupów, które wyrywamy Czarnym.|Nasz wóz jest pełen łupów, któreśmy wydartli Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz jest pełen łupów, które wyrwaliśmy Czarnym.|Nasz wóz jest pełen łupów, któreśmy wydrapali u Czarnych.|Nasz wóz jest pełen łupów, które zerwaliśmy od Czarnych.| Nasz wóz jest pełen łupów, które wyrwaliśmy Czarnym.|Nasz wóz jest pełen łupów, które zrabowaliśmy Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz pełen łupów, które wyrywaliśmy z Czarnych Istot.|Nasz wóz jest pełen łupów, które ukradliśmy Czarnym.|Nasz wóz jest pełen łupów, które wyrwaliśmy Czarnym.| Nasz wóz jest pełen łupów, które ukradliśmy Czarnym.|Nasz wóz jest pełen łupu, którego zabraliśmy Czarnym.|Nasz wóz jest pełen łupów zerwanych od Czarnych.| Nasz wóz jest pełen łupów, które wyrywamy czarnym istotom.|Nasz wóz jest pełen łupów, które wydarliśmy Czarnym.|"""Nasz wóz pełen jest łupów zerwanych od Czarnych."""| Nasz wóz pełen łupu, jaki uzyskaliśmy z Czarnych.'|Nasza wozka jest pełna łupu, którego zabraliśmy Czarnym.|Nasz wóz jest pełen łupów zerżniętych od Czarnych.| Nasz wóz pełen łupów ukradzionych z Czarnych.|Nasz wóz jest pełen łupów, które ukradliśmy Czarnym.
Lovely as monickers go.|Sympatyczny przydomek.|Ładne określenie.|Uroczy jak przezwiska.| Przyjemne jak na pseudonimy.|Miło brzmią te przezwiska.|Uroczy jak przezwiska.| Przyjemne jak na pseudonimy.|Miło brzmią te przezwiska.|Uroczy jak przezwiska.| Przyjemne jak na pseudonimy.|Miło brzmią te przydomki.|Uroczy jak przezwiska.| Przyjemne jak na pseudonimy.|Miło brzmią te przezwiska.|Uroczy jak przezwiska.| Miłe jako przezwisko.|Miło brzmią te przezwiska.|Uroczy jak przydomki.| Przyjemne, jeśli chodzi o przydomki.|Miło brzmią te przezwiska.|Uroczy jak przezwiska.| Naprawdę miłe, jak na przezwiska.|Miło brzmią te przezwiska.|Uroczy jak pseudonimy.| Bardzo miło jak tytuły idą.|Miłe jak pseudonimy.|Uroczy jak monogramy.| Bardzo miło jako przezwiska się tyczą.|Miło brzmią te przezwiska.|Uroczy jak przezwiska.| Cudowny jak na pseudonimy.|Miłe przydomek.|Urocze jak pseudonimy.| 'Milutki jak na pieszczoty.'|Dobrze jak takie pseudonimy.
The clans will unite. There'll be peace.|Teraz klany się zjednoczą i będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany zjednoczą się. Zapanuje pokój.|Rody się zjednoczą. Będzie pokój.| Klany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany zjednoczą się. Zapanuje pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany zjednoczą się. Zapanuje pokój.|Rody się zjednoczą. Nastanie pokój.| Klany się zjednoczą. Będzie pokój.|Klany się połączą. Zapanuje pokój.|Rody się zjednoczą. Będzie pokój.| Kłany się połączą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Zapanuje pokój.| Kłany się połączą. Będzie pokój.|Klany się zjednoczą. Nastanie pokój.|Rody się zjednoczą. Będzie pokój.| Klany się zjednoczą. Będzie pokój.|Klany się zjednoczą. Będzie pokój.|Rody się zjednoczą. Nastanie pokój.| Kłany się zjednoczą. Będzie pokój.|Plemiona połączą się. Zapanuje pokój.
Can you cut my hair?|Ostrzyżesz mnie?|Czy możesz obciąć mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mnie?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mnie?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mnie?|Czy możesz obciąć mi włosy?| Czy możesz mi uczesać włosy?|Czy możesz mnie ostrzyc?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz ostrzyc mnie?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy mógłbyś ostrzyc mnie?|Czy możesz mnie ostrzyc?| Czy możesz mi uciąć włosy?|Czy możesz obciąć mi włosy?|Czy możesz mnie ostrzyc?| Czy możesz mi uczesać włosy?|Czy możesz ostrzyc mnie?|"Czy możesz mnie ostrzyc? (dla kogoś męskiego)
Czy możesz obciąć mi włosy? (dla kogoś żeńskiego lub używając bardziej neutralnego języka)"| Czy możesz mi ustrzyc włosy?|Czy możesz ostrzyc mi włosy?|Czy możesz mnie ostrzyc?| Czy możesz mi podciąć włosy?|Czy możesz ostrzyc mi włosy?|Czy możesz obciąć mi włosy?| Czy możesz mi uciąć włosy?|Czy możesz mnie ostrzyc?
Me da fished, as did his da, and his da's da… Just sorta happened.|Ojciec łowił, przed nim dziadek i pradziadek... Jakoś tak wyszło.|Ja łowiłem ryby, jego tata też, a tata jego taty… Po prostu tak się stało.|Ja też łowiłem ryby, tak jak mój dziadek, a dziadek mojego dziadka... Po prostu tak wyszło.| Tak się złożyło, że on był rybakiem, tak jak jego ojciec i dziadek... To po prostu się wydarzyło.|Mój tato łowił ryby, tak jak jego tato, a jego tato też... Po prostu tak się stało.|Ja też łowiłem ryby, tak jak mój ojciec, a ojca mojego ojca... Po prostu tak wyszło.| Tak się złożyło, że on był rybakiem, tak jak jego ojciec i dziadek... To po prostu się wydarzyło.|Mój tato łowił ryby, tak jak jego tato, a jego tato też... Po prostu tak się stało.|Ja łowiłem ryby, tak jak mój ojciec, a ojca mojego ojca... Po prostu jakoś tak wyszło.| Tak się złożyło, że on był rybakiem, tak jak jego ojciec i dziadek... Tak się po prostu złożyło.|Mój ojciec łowił ryby, tak jak jego ojciec i ojciec jego ojca... Po prostu tak się stało.|Ja też łowiłem ryby, tak jak mój dziadek, a dziadek mojego dziadka... Po prostu tak wyszło.| Tak się stało, że on był rybakiem, tak jak jego ojciec i dziadek jego ojca... Tak się po prostu złożyło.|Mój ojciec łowił ryby, tak jak jego ojciec, a ojciec jego ojca... Po prostu tak się stało.|Ja też łowiłem ryby, tak jak mój dziadek, a dziadek mojego dziadka... Po prostu tak się stało.| Tak się stało, że on był rybakiem, tak jak jego ojciec i dziadek... Prosto tak wyszło.|Moje dziecko łowiło ryby, tak jak moje ojciec, i ojciec mego ojca... Po prostu tak się stało.|Ja łowiłem ryby, tak jak mój ojciec, a ojciec mojego ojca... Po prostu tak wyszło.||Mój tato łowił ryby, tak jak jego tato i tato jego taty... Po prostu tak się stało.|Ja też łowiłem ryby, tak jak mój dziadek, a dziadek mojego dziadka... Po prostu jakoś tak wyszło.| Tłumaczenie: 'Od rybołówstwa żył on, tak jak jego ojciec i ojciec jego ojca... Po prostu tak się złożyło.'|Moja mama łowiła ryby, tak jak jej mama i mama jej mamy... Po prostu tak się stało.|Jadłem ryby, jak jadł mój dziadek, a jego dziadek... Po prostu tak wyszło.| Tak się złożyło, że on był rybakiem, tak samo jak jego tata i dziadek... To po prostu się stało.|Mój ojciec łowił ryby tak jak jego ojciec, a ojciec jego ojca... Po prostu tak się stało.|Ja łowiłem ryby, tak jak mój ojciec, a ojca mojego ojca... Po prostu jakoś tak wyszło.| To przechodziło z pokolenia na pokolenie - rybołówstwo. Jego dziadek i pradziadek też byli rybakami... Tak się złożyło.|Łowiłem ryby, tak jak mój tato, a oni jego. Po prostu tak się zdarzyło.|Ja też poławiałem ryby, tak jak mój ojciec, i ojca mojego ojca... Po prostu jakoś tak wyszło.| Tak się złożyło, że z rybołówstwem związani byli mój dziadek, moj ojciec, i dziadek jego... To po prostu się tak stało.|Rybakuje od kiedy tylko pamiętam. Rybował mój tato, a także tato mojego tatana... Po prostu tak wyszło.|Mój dziadek łowił ryby, tak jak jego dziadek, a dziadek jego dziadka... Po prostu jakoś tak wyszło.| To się tak działo, że ja i moje dziadek, a także dziadek mojego dziadka byliśmy rybakami. Prosto zaszło.|Łowiłem, tak jak moi ojciec, a on jak jego. Po prostu tak się działo.
What do the druids think of Skellige's new ruler?|Jak druidzi zapatrują się na nowego władcę Skellige?|Co druidzi sądzą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skelligów?| Co druidzi myślą o nowym władcy Skellige?|Co kapłani druidzi myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skelligów?| Co druidzi myślą o nowym władcy Skellige?|Co kapłani druidzi myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co druidzi myślą o nowym władcy Skellige?|Co kapłani druidzi myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co myślą druidzi o nowym władcy Skellige?|Co kapłani druidzi myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skelligów?| Co druidzi myślą o nowym władcy Skellige?|Co kapłani druidzi sądzą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co druidzi sądzą o nowym władcy Skellige?|Co kapłani druidzi myślą o nowym władcą Skellige?|Co druidzi myślą o nowym władcy Skelligów?| Co myślą druidzi o nowym władcy Skellige?|Co kapłani myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co druidzi myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skelligu?| Co myślą druidzi o nowym władcy Skellige?|Co kapłani druidzi myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Co myślą druidzi o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?|Co druidzi myślą o nowym władcy Skellige?| Jak druidzi oceniają nowego władcę Skellige?|"""Jak Druidzi postrzegają nowego władcę Skellii?"""
Till one day Cerys, a brave lass of Skellige, called the demon out, challenged him to a duel.|Lecz pewnego dnia Cerys, dzielna córa skelligijskiej ziemi, rzuciła demonowi wyzwanie.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wywołała demona i wyzwała go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skelligów, wezwała demona, rzuciła mu wyzwanie do pojedynku.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Pewnego dnia Cerys, dzielna dziewczyna ze Skellige, zawołała demona i wyzwała go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skelligów, wezwała demona, rzuciła mu wyzwanie do pojedynku.| Pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Pewnego dnia Cerys, dzielna dziewczyna ze Skellige, zawołała demona i wyzwała go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wezwała demona, rzuciła mu wyzwanie, by stanął z nią do pojedynku.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Pewnego dnia Cerys, dzielna dziewczyna ze Skellige, zawołała demona i wyzwała go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skelligów, wyzwała demona, rzucając mu wyzwanie.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Pewnego dnia Cerys, odważna dziewczyna ze Skellige, zawołała demona i wyzwała go na pojedynek.|Pewnego dnia Cerys, odważna dziewczyna ze Skellige, wezwała demona, rzuciła mu wyzwanie i stanęła do pojedynku.| Aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, zawołała demona, wyzywając go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wezwała demona, rzuciła mu wyzwanie do pojedynku.| Aż pewnego dnia Cerys, odważna dziewczyna z Skellige, wyzwała demona na pojedynek.|Pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wezwała demona, wyzywając go na pojedynek.| Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna z Skellige, wyprowadziła demona na jaw, wyzywając go na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wezwała demona, rzuciła mu wyzwanie i stanęła do pojedynku.| Pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna z Skellige, zawołała demona i wyzwała go na pojedynek.|Pewnego dnia Cerys, dzielna panna ze Skellige, wyzwała demona, rzucając mu wyzwanie.| Pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek.|aż pewnego dnia Cerys, dzielna dziewczyna ze Skellige, zawołała demona i wypowiedziała mu wyzwanie na pojedynek.|Aż pewnego dnia Cerys, odważna dziewczyna ze Skelligów, wezwała demona, rzuciła mu wyzwanie.|" ""Aż pewnego dnia Cerys, odważna dziewczyna ze Skellige, wyzwała demona na pojedynek."""|Pewnego dnia Cerys, dzielna dziewczyna ze Skellige, zawołała demona, wyzywając go na pojedynek.|Aż pewnego dnia Cerys, dzielna dziewczyna z Skellingów, wyzwała demona, rzuciła mu wyzwanie.| 'Aż do dnia, kiedy Cerys, odważna dziewczyna ze Skellige, wezwała demona, wyzwała go na pojedynek.'|Pewnego dnia Cerys z odwagą porwała się i zaapelowała do demona, aby dał jej starć w duecie.
Sure. I'll race.|Wezmę udział w wyścigu.|Jasne. Będę się ścigać.|Oczywiście. Zróbmy to.| Zapewne. Będę ścigać się.|Okej, wystartuję.|Oczywiście. Zróbmy to.| Zapewne. Będę ścigać się.|Okej, biorę udział w wyścigu.|Oczywiście. Zróbmy to.| Zapewne. Będę ścigać się.|Okej, zagramy.|Oczywiście. Będę się ścigał.| Z pewnością. Będę ścigać się.|Okej, wystartuję.|Oczywiście. Zróbmy wyścig.| Zapewne. Wyściguję się.|Okej, wystartuję.|Oczywiście. Zaryzykuję.| Pewnie. Będę ścigać się.|Okej, biorę udział w wyścigu.|Oczywiście. Wezmę udział w wyścigu.| Zrozumiano. Będę ścigać się.|Okej, wystartuję.|Oczywiście. Zróbmy to.| Zgadza się. Wyściguję się.|Okej, wystartuję.|Oczywiście. Pobiegnę w wyścigu.||Okej, wystartuję.|Dobrze. Będę się ścigać.| Z pewnością. Będę ścigać się.|Okej. Będę się ścigać.|Oczywiście. Pobiegnę w zawodach.| Zapewne. Będę ścigać się.|Okej, popędzę.
Thanks… Farewell.|Dzięki... Bywaj.|Dziękuję… Żegnam.|Dziękuję... Żegnaj.| Dziękuję… Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję… Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję… Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję… Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Dziękuję… Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Do widzenia.| Dziękuję… Żegnaj.|Dziękuję… Żegnaj.|Dziękuję... Żegnaj.| Dziękuję... Żegnaj.|Dziękuję... Żegnaj.|Dziękuję... Żegnaj.| Wdzięczność… Żegnaj.|Dziękuję… Żegnaj.|Dziękuję... Żegnaj.| Dziękuję… Żegnaj.|Dziękuję… Żegnaj.|Dziękuję... Żegnaj.| Dziękuję… Żegnaj.|Dziękuję… Żegnaj.|Dziękuję... Do widzenia.| Dzięki… Żegnaj.|Dziękuję... Żegnaj.
