en_text|pl_text
Nothing that would help.|Nic, co by nas usprawiedliwiło.
I shall make sure all Skellige hears what you did here.|Zadbam o to, żeby całe Skellige usłyszało o tym, co zrobiliście.
Wait… I did this. I alone. Geralt tried to stop me… I refused to listen.|Czekaj... To ja zrobiłam. Ja sama. Geralt próbował mnie powstrzymać... Ale nie usłuchałam.
I might have known. They warned me about you…|Powinnam była się spodziewać. Ostrzegali mnie przed tobą.
Sorceresses…|Czarodziejki...
None shall open their door to you, none shall feed your hunger, and none shall tend to your wounds.|Nikt przed tobą drzwi nie otworzy, nikt ci jadła nie poda, nikt ran twych nie opatrzy.
We had no choice. We'd never have learned what happened to our--|Nie mieliśmy wyboru. Inaczej się nie dowiedzielibyśmy, co się stało z naszą...
Do you really think you're justified?! That your hunt for a foreign woman gives you the right to destroy our garden?|Myślicie, że to was usprawiedliwia? Że dla jednej obcej kobiety możecie zniszczyć nasz ogród?!
I'm sure it doesn't in your eyes.|W waszych oczach na pewno nie.
We had no choice.|Nie mieliśmy wyboru.
The garden… Our garden!|Ogród... Nasz ogród!
How could you…? We helped… and you-- Inconceivable.|Jak mogliście... Pomogłyśmy... A wy... Niebywałe...
Now, now…|Spokojnie...
Don't you dare try to calm me. We've every right to be furious. Furious! And you… You will pay for this.|Nie waż się mnie uspokajać. Jestem wściekła i mam do tego pełne prawo. A wy... Zapłacicie za to.
Yen… let's get out of here. Now.|Yen... Chodźmy stąd. Jak najszybciej.
You needn't ask me twice.|Wierz mi... Nie musisz mnie namawiać.
Let's get outta here. Now.|Chodźmy stąd... Jak najszybciej.
You could've shown a little sympathy.|Mogłaś mu okazać trochę współczucia.
Could've shown some sympathy for the boy. He--|Mogłaś okazać trochę współczucia temu chłopakowi. On...
That was no boy, Geralt. It was a hunk of rotting, rancid flesh that spoke through my magic.|To nie chłopak, Geralt, tylko kawał zgniłego, cuchnącego mięsa, które przemówiło dzięki mojej magii.
Didn't just speak. It howled in pain.|Przemówiło, a jakże. Nawet wyło z bólu.
I know it seemed real… But it was no longer human. Do you understand?|Wiem, że on się wydawał prawdziwy... Ale to już nie był człowiek. Rozumiesz?
Nice of you to be so concerned for the corpse. Much more than you were for me.|Swoją drogą to miłe, że tak się przejąłeś tym trupem... Bardziej chyba, niż mną.
What became of that creature? Where is he?!|Co się stało z tym stworem? Co?!
Sssss-tooo-pp…. Hhh-urrrr-tsssss…|Zzzzo-sss-taw... Bb-bb–oli...
What?!|Co?!
Ssss-aawwwww hhhh-iii-mmm… aaaa-tt…. Dddd-ooo-nn-aarrrr-sss… Bbb-uttt… hhh-eee… sss-ooo-lllddd… hhh-iii-mmm…|Wwww... Widzi-aaa-łem... Ggg-ggo... Uu.. Ddd... Dddooonara... Alle... Onnn... Sp... Sprzedaaaał gggo...
To whom?!|Komu?!
Ddd-ooo-nnn't… Knnnn-oowwww…|Nnnn... Nnnnie wiiiem...
Begone.|Odejdź.
Ttt-eelll… thhhh-emmm… Ccc-llleeearrrr… mmm-yyy… nnn-aaa….|Ppp-ppp... Pppooowiedz... Jak byyyło... Oczyyyść moo-ooojjje iiimię...
Begone I say!|Odejdź, mówię!!!
Aaaaaaach!|Aaaaaaach!
In days past the gods, not the jarls, chose the king.|Za dawnych czasów to bogowie wskazywali króla, nie jarlowie.
Think the gods would've seen Svanrige's strength?|Myślisz, że bogowie by się lepiej na Svanrigem poznali?
I think they know he'll make a good warrior. As he'd 'ave made a good king.|Myślę, że z niego będzie dobry wojownik. I byłby dobry król.
Svanrige could be king yet. These're uncertain times…|Może Svanrige jeszcze sięgnie po władzę. Czasy są niespokojne...
Out of the question, Simun. I'm no murderer. Not gonna kill him.|Nie ma mowy, Simun. Nie jestem mordercą.
Then you'll die - at his side.|W takim razie sam zginiesz. Razem z nim.
Outta the question. I'm no murderer.|Nie ma mowy. Nie jestem mordercą.
Nothing personal, just paying a debt.|Nic osobistego. Spłacam długi.
Honor demands it, I get that… but it don't mean I'll ease your task any.|Rób, co ci każe honor... Ale nie licz, że ci to ułatwię.
Nothing personal, just paying a debt.|Nic osobistego. Spłacam dług.
What'd he do to you, Simun?|Czym on ci podpadł, Simun?
What'd he do to you, Simun?|Czym ci podpadł ten człowiek, Simun?
Me?! To him?! 'Twas him who did me wrong! Whoreson killed me brother… Tricked him. Betrayed him. I swore revenge, hunted him across all the isles. Bugger always got away somehow. Till now, that is…|Ja?! Jemu?! To ten sukinsyn podpadł mnie. Zabił mojego brata... Podstępnie. Zdradliwie. Poprzysięgłem mu zemstę, ścigałem go po wszystkich wyspach, ale zawsze udawało mu się jakoś umknąć. A teraz...
High time we end this strife. Once and for all. No more questions, Geralt. Cut him down.|A teraz pora zakończyć nasz spór. Raz, a dobrze. Żadnych więcej pytań, Geralt. Zarżnij go.
Knew you were thick, Brambling, but that thick? To waltz into me… Who the hell's this?|Wiedziałem, że jesteś głupi, Simun, ale żeby aż tak? Pchać się w moje... A ty coś za jeden?
Geralt of Rivia. A witcher.|Geralt z Rivii. Wiedźmin.
He's come to kill ye.|Przyszedł cię zabić.
His new captive woman, she's from Nilfgaard, you know.|Ta jego nowa branka, to jest z Nilfgaardu.
From Nilfgaard? And you let her share his bed?!|Z Nilfgaardu? I ty się godzisz, by łoże dzielili?!
He wouldn't touch her with a ten-foot pole! Just gives her a good lookin' over atimes.|On by jej kijem nie dotknął! Czasem ją tylko w izbie zamyka i dokładnie ogląda.
Says that when he looks at her real close, he hates her so much he's gotta scream.|Mówi, że jak tak się napatrzy, tak dobrze, to tak jej nienawidzi, że aż strach.
Feasts at Kaer Trolde are legendary. Axe tossin'…|O ucztach w Kaer Trolde krążą legendy. Rzucanie toporami...
Tamed bears…|Tresowane niedźwiedzie...
Jarl Crach's cellar's stacked high with barrels of the best mead in these Isles.|A w piwniczkach jarla Cracha są beczki z najlepszym miodem na wyspach.
He's not exaggeratin'! Ard Skellig mead'll knock anyone on their arse, tamed bears included!|To nie przesada! Miód z Ard Skellig zwala z nóg nawet tresowanego niedźwiedzia!
Clan An Craite Elder|Starszy z klanu Craite
Hound of the Wild Hunt|Ogar Dzikiego Gonu
You won, aye, shan't deny it. But go brag to someone who don't know already.|Wygrałeś, tak, wiem przecież. Idź się pochwal komuś, kto nie wie.
If you're lookin' for someone to cheer ye up, you've chosen badly.|Jak chcesz, żeby cię ktoś pocieszył, to źle wybrałeś.
Think they call me the Vipress 'cause I'm pleasant to talk to? Outta my sight, foreigner.|Myślisz, że wołają mnie Żmija, bo miło się ze mną rozmawia? Zejdź mi z oczu, przybłędo.
The Goddess bless and sustain our new king.|Niech bogini wspiera nowego króla.
Good has been wrought. The Goddess chose her.|Dobrze się stało. To ją wskazała bogini.
Blacksmith|Kowal
Whaddaya know about this garden?|Wiesz coś o tym ogrodzie?
Let me think… That it's dreadfully overgrown.|Niech pomyślę... Że jest zapuszczony jak cholera?
Had its history in mind.|Chodziło mi raczej o jego historię.
They say Freya herself planted it. When the world was young the goddess strode across Skellige, sowing seeds among the rocks. But Uroboros, the snake, bit a hole in her basket.|Mówi się, że założyła go sama Freyja. Na początku świata bogini szła przez Skellige, sypiąc nasiona między nagie skały... Ale wąż Uroboros rozerwał jej siewnicę.
All her seeds poured from it and landed here. Thus, this garden is bounteous, while the rest of Skellige is barren.|Wszystkie ziarna rozsypały się tutaj... Dlatego ogród jest tak bujny, a reszta Skellige jałowa.
You believe that?|Wierzysz w to?
Is that a serious question? Of course not. Favorable microclimate for plant life, end of story.|Żartujesz? Oczywiście, że nie. Sprzyjający wegetacji mikroklimat, i tyle.
What do you know about this garden?|Co wiesz o tym ogrodzie?
To transform into a werewolf… It's a dog's life, eh?|Zostać zamienionym w wilkołaka... Psi los, co?
Well, there's not a youth out there who doesn't have a wolf in his belly.|Wiesz... Nosił wilk razy kilka, ponieśli i wilka.
Then the curse confined him to this garden? Couldn't really cut his wolf loose.|Do tego jeszcze klątwa związała go z ogrodem. A wilka ciągnie przecież do lasu.
No question he was top dog here…|Jak się komuś poszczęści, to i wilk mu woły popasie.
Just wolfin' things down… or not.|Nie wywołuj wilka z lasu, bo...
Geralt… That's enough, hm?|Geralt... Może już starczy?
Fine. Still had a few good ones at the tip of my tongue.|No dobrze. Chociaż miałem jeszcze parę przysłów w zanadrzu.
I'm sure you did. We'll say you won.|Nie wątpię. Możemy uznać, że wygrałeś.
Transformed into a werewolf… it's a dog's life.|Zostać zamienionym w wilkołaka... Psi los.
All right. Going back down.|Dobra, wracam na dół.
Be careful.|Trzymaj się.
See you.|Bywaj.
I found a body… But it wasn't Craven's.|Znalazłem jakieś ciało... Ale nie Tchórza.
I found a corpse… not Craven's, though.|Znalazłem jakieś ciało. Ale nie Tchórza.
Aha. And you thought I'd find this interesting because…?|Mhm. I czemu uznałeś, że mnie to zainteresuje?
Because… no bite marks on it… Doesn't seem strange to you?|Bo nie ma na nim śladów żerowania. Nie wydaje ci się to dziwne?
Zerrikanian cuisine, Dandelion's fame and shoes with curly toes seem strange to me, yet I don't discuss them with you.|Zerrikańska kuchnia, powodzenie Jaskra i buty z wywiniętymi czubkami też mi się wydają dziwne, ale ci o tym nie opowiadam.
Reading between the lines here - think I'm wasting your time?|Czytając między wierszami, marnuję twój czas?
I mean merely that we should focus on what's most important at the moment.|Chcę tylko powiedzieć, żebyśmy skupili się na tym, co jest w tej chwili ważne.
Why would it? I thought that's how the curse worked… Morkvarg is ever hungry, yet cannot eat.|Czemu? Wydawało mi się, że tak działa ta klątwa. Że Morkvarg nie może nasycić apetytu.
Yeah, but… what about the other wolves?|Tak... Ale te wszystkie inne wilki?
Unless… they refused to touch the food before the leader of the pack did…|Chyba, że nie chciały ruszyć jedzenia, póki nie zrobi tego przewodnik stada...
Well, now you've solved that fascinating riddle, perhaps you can return to looking for Craven? Hm?|No, to skoro rozwiązałeś tę fascynującą zagadkę, może wrócisz do szukania Tchórza? Hm?
Well? What is it?|No? O co chodzi?
Die, dammit!|Giń wreszcie!
Ice Giant|Lodowy Gigant
It's Hilde.|To Hilda.
The leshen's marked Hilde.|Leszy naznaczył Hildę.
Hildie?|...Hildę?
You could exile the marked one.|Możecie wygnać naznaczonego.
No one needs to die. The marked one should leave the village, that's enough. If they never return, the leshen'll never be reborn.|Nikogo nie trzeba zabijać. Wystarczy, że naznaczony opuści wioskę. Jeśli nigdy nie wróci, to leszy się nie odrodzi.
Did you hear what the witcher said? We've but to banish the elders to have peace for all time!|Słyszeliście, co powiedział wiedźmin? Trzeba przegnać starszyznę i raz na zawsze będzie spokój!
It's not one of the elders.|To nikt ze starszyzny.
Who, then?|To kto?
The woman you were talking to.|Dziewczyna, z którą rozmawiałeś.
It's not one of the elders.|To nikt ze starszyzny.
It's Hilde.|To Hilda.
The leshen's marked Hilde.|Leszy naznaczył Hildę.
Hilde?|...Hildę?
We must banish her. Said so yourself.|Trzeba ją przegnać. Sam mówiłeś.
But… she's one of us!|Przecież ona jest jedną z nas!
For the good of the village, Sven.|Dla dobra wsi, Sven.
...Drive her out. Make sure she knows she's not to return. Ever.|...Wygnajcie ją. Niech wie, że nie może tutaj wrócić. Nigdy.
Killing the leshen won't be easy. Stay out of my way while I hunt.|Zabicie leszego nie będzie łatwe, niech nikt mi nie przeszkadza.
Go to your homes, stay inside. If I don't come back, send someone to Kaer Trolde.|Najlepiej zamknijcie się w domach. Jeśli nie wrócę, poślijcie kogoś do Kaer Trolde.
We'll do as you say. Don't let us down, witcher.|Zrobimy, jak powiedziałeś. Nie zawiedź nas, wiedźminie.
Now I can kill the leshen.|Teraz mogę zabić leszego.
You won't go with her, Sven?|Nie pójdziesz za nią, Sven?
Not going with her? Funny, thought you cared for her.|Nie pójdziesz za nią? Myślałem, że ci na niej zależy.
Tend to your own affairs and leave me to mine.|Nie wtykaj nosa w cudze sprawy.
I did what I had to do. Now it's your turn.|Zrobiłem, co musiałem zrobić. Teraz twoja kolej.
Thought you liked the girl.|Przecież zależy ci na tej dziewczynie.
I did what I had to do. Your turn.|Zrobiłem, co do mnie należało. Teraz twoja kolej.
Kill the witch!|Zabić wiedźmę!
Hilde? But she's one of us.|Hildę? Przecież ona jest jedną z nas.
No mercy, Sven. We all heard you.|Żadnej litości, Sven. Wszyscy słyszeli.
...Take her.|...Bierzcie ją.
Never said the beast marked one of the elders.|Nie powiedziałem, że naznaczonym jest ktoś ze starszyzny.
Who, then?|To kto?
The woman you were talking to. Hilde.|Dziewczyna, z którą rozmawiałeś. Hilda.
It's not one of the elders.|To nikt ze starszyzny.
If you want me to kill the leshen, you gotta get rid of the marked one.|Jeśli mam zabić leszego, musicie pozbyć się naznaczonej osoby.
Do you hear the witcher, people?!|Słyszeliście wiedźmina?!
If we wanna live, we gotta slaughter the elders! No mercy!|Jeśli chcecie żyć, musimy wyrżnąć starszyznę! Żadnej litości!
You have to get rid of the marked one.|Musicie pozbyć się naznaczonego.
So? Find out who's mates with the beast?|Wiesz już, kto trzyma z potworem?
It's not intentional, the marked individual has no idea.|To nie jest świadoma współpraca.
You don't know the elders like I do. Every last one of them codgers would surrender his mother to please the monster.|Znamy starszyznę nie od dzisiaj. Każdy z nich oddałby własną matkę, żeby przypodobać się bestii.
And no point in mincin' words. Said yourself, the monster's helper must die first.|Zresztą nie ma co strzępić języka. Sam powiedziałeś, że najpierw trzeba zabić wspólnika potwora.
Javor|Jawor
So? Did it work?|I jak? Udało się?
It did. Your son should recover soon… And Jonna will die.|Udało. Twój syn powinien niedługo dojść do siebie... A Jona umrzeć.
Thanks, witcher. A thousand times over. Me son's dearest of all to me. I couldn't abide it if he'd died.|Dziękuję, stokroć dziękuję! Syn jest najdroższym co mam – nie zniósłbym jego śmierci.
Your reward. Will ye eat with us before movin' onward?|To twoja nagroda. Zjesz z nami, nim ruszysz w drogę?
No. Not in the mood.|Nie. Jakoś nie mam ochoty.
Peasant|Chłop
Your lads. They…|Twoi synowie. Oni...
What about 'em? Speak, dammit!|Co z nimi? Mów, do diabła!
They're dead. At some foreigner's hand.|Zginęli. Z ręki jakiegoś obcego.
Kori… Kraki!|Kori... Kraki!
Ate only the entrails. Fussy.|Zjadł tylko wnętrzności. Wybredny.
Ran this way…|Pobiegł w tamtym kierunku...
Crossed to the other side.|Przeszedł na drugą stronę.
Yellow tunic… Must be Olve.|Żółta koszula... To musi być Olve.
Huh, the Faroe boys were right after all. There was treasure in the ruins…|No proszę, chłopaki z Faroe mieli jednak rację. W ruinach był skarb...
No Olve here. Maybe the fiend dragged him off…|Tu Olvego nie ma. Może bies gdzieś go zaciągnął...
A fiend.|Bies.
Came this way, toppling trees.|Przeszedł tędy, łamiąc drzewa.
Fang and claw wounds all over the body… but those indicate feeding. He died from a blow to the head.|Rany od kłów i pazurów na całym ciele... Ale to już ślady żerowania. Zginął od uderzenia w głowę.
Kaer Morhen's got a pretty rich library.|Kaer Morhen też ma całkiem zasobną bibliotekę.
I shall search that later. Besides… we really should report to the emperor.|Ją przejrzę w drugiej kolejności. Poza tym... Powinniśmy złożyć raport cesarzowi.
I shall scour the palace library for something, anything that might help us determine who… or what the creature Skjall saw is.|Spróbuję znaleźć w pałacowej bibliotece coś, co pomoże nam odgadnąć, kim... albo czym jest brzydal, którego widział Skjall.
We must report to the emperor, after all.|Musimy przecież złożyć raport cesarzowi.
Ciri's our concern, and only ours.|Ciri to nasza sprawa. I tylko nasza.
At heart, perhaps. But it's not what we agreed with Emhyr. We must see him.|Możliwe, ale nie tak się umawialiśmy z Emhyrem. Musimy się z nim spotkać.
Awfully loyal of you…|Bardzo jesteś lojalna...
Awfully loyal to your patron…|Bardzo jesteś lojalna wobec swojego mocodawcy.
He happens to be your patron as well, darling. You'd do well to remember that. Otherwise he might feel compelled to remind you.|Jest też twoim mocodawcą, mój drogi, nie zapominaj o tym. Bo może być, że sam ci wtedy o tym przypomni.
Don't have the slightest intention of doing that.|Nie mam zamiaru mu się meldować.
Well. I can't force you..|Cóż... Ja cię do tego nie zmuszę.
I refuse to report to him.|Nie będę mu się meldował.
So be it.|Niech będzie.
If we gotta, we gotta.|Jak trzeba, to trzeba.
We wouldn't have known Ciri had returned if not for the emperor and his agents. It's the least we can do.|Gdyby nie Emhyr i jego agenci, nie wiedzielibyśmy nawet, że Ciri wróciła... Jesteśmy mu to winni.
If you gotta go, go.|Jedź, jeśli musisz.
Fine… If you gotta go, go.|Cóż... Jedź, jeśli musisz.
Please, Geralt. There's nothing left to say.|Daj spokój, Geralt, nie ma o czym mówić.
I'm off. See you, witcher… Somewhere on the Path.|Jadę. Do zobaczenia... Gdzieś na szlaku.
I'm going to see the baron. Collect Uma from him, then we'll ride for Kaer Morhen.|Ja jadę po Umę do Barona i potem prosto do Kaer Morhen.
I shall join you as quickly as I can.|Dołączę do was najszybciej, jak będę mogła.
See you, Yen. Take care of yourself.|Do zobaczenia. Uważaj na siebie.
I'll see you again soon.|Niedługo się zobaczymy.
Take care of yourself.|Uważaj na siebie.
So long, Yen.|Bywaj.
I'm off.|Jadę.
Me too. I'll collect Uma from the baron, then we'll ride for Kaer Morhen.|Ja też. Najpierw po Umę do Barona, a potem prosto do Kaer Morhen.
I shall join you as quickly as I can. Farewell.|Dołączę do was jak tylko będę mogła. Bywaj.
It shan't take long.|To nie zajmie długo.
Better not.|Trzymam cię za słowo.
…was very nice. Let's not ruin it by hashing out the details.|...Było bardzo przyjemne. Więc nie psujmy tego roztrząsaniem szczegółów.
Yen, what happened back there…|Yen, to, co się stało...
Let's talk before you leave.|Pogadajmy zanim odjedziesz.
Next time we go on horseback.|Następnym razem jedziemy konno.
A horse would never make it down that mountain.|Stamtąd nie dało by się zjechać konno.
What now?|Co teraz?
Well, I'm due to appear in Vizima.|Cóż, ja jadę do Wyzimy.
Thanks, mate. Fayrlund - you know the place? I've me forge there. Come and visit, I'll have a reward for ye.|Dzięki, chłopie... Wiesz, gdzie jest Ferlund? Mam tam kuźnię. Wpadnij w odwiedziny, a dam ci coś w nagrodę.
Svalblod! Svalblod! We summon thy power!|Svalblod! Svalblod! Mocy twej wzywamy!
"I told him, I says, ""Don't enter the wood."""|A mówiłem mu, żeby nie szedł do lasu.
Why'd he want to, anyway?|Po co on tam w ogóle polazł?
Blackberries - wanted to pick some.|Chciał nazbierać jeżyn.
Oh, he went lookin' for death.|Sam się prosił o śmierć.
Why can't I play today, da?|Dlaczego nie mogę się bawić, ojcze?
We've got to go to the port, bid farewell to King Bran. It's not fittin' to play, Agnet.|Idziemy do portu żegnać króla Brana. To nie czas na zabawy, Agnet.
Who'll be king of Skellige now?|To kto teraz będzie królem Skellige.
None know that. But the gods'll make sure it'll be one worthy, one before who it'll be no shame to bow our heads.|Tego nie wie nikt. Bogowie sprawią, że będzie to ktoś, przed kim nie wstyd będzie pochylić czoło.
A king's passing - there's an occasion worthy of a new song!|Śmierć króla, to dopiero okazja do napisania pieśni!
A year now you've promised to write somethin' for me.|Od roku obiecujesz, że napiszesz piosnkę dla mnie.
Any old hack can write a song for a lass. Not so when you've to commemorate the death of a king!|Dla dziewczyny piosnkę może napisać byle kiep. Co innego śmierć króla!
Didn't write one lousy word for me while the king were alive.|Król żył i nie napisałeś dla mnie ani słowa.
This here's my chance, don't you see?! This one ballad could make me Clan Tuirseach's court skald.|Nie rozumiesz, że to dla mnie szansa? Dzięki tej pieśni mogę zostać nadwornym bardem klanu Tuirseach.
Wound on his back… He was running away.|Rana na plecach... Uciekał.
Almost managed to find cover. Almost.|Prawie mu się udało schronić. Prawie.
Ordinary specter… Killing it won't change a thing.|Zwyczajna zjawa... Jej śmierć niczego nie zmienia.
Hey! Anyone there?!|Hej! Jest tam kto?!
A penitent…? Good thing it hasn't appeared to me yet. Couldn't possibly kill it in this mist and darkness… Need that lighthouse working again.|Pokutnik..? Dobrze, że na razie mi się nie objawił. W tej mgle i ciemnościach nie da rady go zabić... Trzeba rozpalić w latarni.
A letter…|Jakieś pismo...
Well, well. Lighthouse has got a pretty dark secret.|No proszę. Najciemniej pod latarnią.
Ahh, no reward again. Gotta go to Arinbjorn. Could be a reward for the penitent there.|Znowu tyrałem za darmo... Może chociaż w Arinbjorn wyznaczyli za pokutnika jakąś nagrodę.
Walls're covered in ash… No other signs of a fire, though.|Ściany całe w popiele... Ale nie ma śladów spalenizny.
Hurry up! Don't know how long I can manage this!|Pospiesz się! Nie wiem, jak długo tu wytrzymam!
Light. Finally… Time to get this done.|Latarnia znów świeci. Wreszcie... Teraz możemy przejść do rzeczy.
Mhm. Not your average mist.|Mhm. To nie jest zwyczajna mgła.
Ye strayed from the path, witcher. Means you lost.|Wiedźminie, zboczyłeś ze ścieżki. To znaczy, że przegrałeś.
Froze me arse off for nothin'. Fuck this, let's go warm up with some mead.|Dupa zmarzła na próżno. Pieprzyć taki sport, chodźmy się rozgrzać miodem.
You Odhen?|To ty jesteś Odhen?
I am. Here about me sonny?|Ja. Wy w sprawie mojego syna?
Been to the ruins. Your son's band - a fiend attacked them. They're all dead. Sorry.|Byłem już tam. Na kompanię twojego syna napadł bies... Z tego, co widziałem, nikt nie przeżył. Przykro mi.
I told him, told him! Sonny, nothin' good can come of it, stay with your pa. Time for adventures'll come later!|A mówiłem. Mówiłem! Synku, nic dobrego z tego nie będzie, zostań przy ojcu. Przyjdzie jeszcze czas na przygody!
Take this… For avengin' him, at the least. And I'll pray… pray you never have to bury your own child.|Weź... Za to, że go choć pomściłeś. Obyś... Obyś nigdy nie musiał chować własnych dzieci.
How'll I recognize him? All I know's he doesn't listen to his father. Pretty typical for his age.|Po czym go poznam? To, że nie słucha się ojca, może nie wystarczyć. Dość typowe w tym wieku.
His name's Olve. Cheerful lad, bit of a lisp. Nothin' special 'bout his looks… 'Cept last I saw him he was wearin' a yellow tunic. Lovely, none other like it in the village. Got it from me a year back on his birthday.|Na imię ma Olve. Wesoły, trochę sepleni. Z wyglądu to się nie wyróżnia... Poza tym, że jak go ostatnio widziałem, miał na sobie żółtą koszulę. Piękna, nikt takiej we wsi nie ma. Dostał ode mnie przed rokiem na dzień rodzenia.
That oughta do it. I'll look around… No promises, though.|To powinno wystarczyć. Rozejrzę się za nim... Ale nic nie obiecuję.
Where should I look for your son?|Gdzie szukać twojego syna?
"East o' here, 'midst the ruins of the fortress. He went there with some rogues from Faroe, met 'em at the tavern. They filled his head with nonsense 'bout some treasure. I said, ""Sonny, Faroe folk are liars to a man, ye shouldn't fraternize with 'em""… But he knew better."|W ruinach twierdzy na wschód stąd. Poszedł tam z jakimiś łobuzami z Faroe, co ich w tawernie poznał. Nakładli mu do głowy, że tam jakieś skarby są. Mówiłem, synu, na Faroe żyją sami kłamcy, nie zadawaj ty się z nimi... Ale on wiedział lepiej.
Where should I search for your son?|Gdzie zacząć poszukiwania?
Sorry, can't take this on right now. Farewell.|Na razie nie mogę się tym zająć. Bywaj.
Sorry, busy at the moment.|Nie mogę na razie się tym zająć.
Let's talk about my reward.|Pogadajmy o nagrodzie.
Let's talk about my reward, first.|Najpierw porozmawiajmy o nagrodzie.
What? Master… Can't rightly believe Crach's got that in his coffers!|Ile? Panie... Tyle to chyba nawet Crach w skarbcu nie ma!
Have mercy on an old man. Drop your price a few crowns.|Miejcie litość dla starego człowieka, zejdźcie jeszcze parę koron z ceny.
It's a lot… I'll need to borrow from kin. But you have it. Won't spare no coin for me boy.|Dużo... Będę musiał pożyczyć od rodziny... Ale niech będzie. Nie będę przecież na synu oszczędzał.
I don't care to bargain. Take what I offer, or I'll find another to look for me lad.|Dość już mam tych targów. Bierzcie, co daję, albo u kogo innego pomocy poszukam.
What is it?|O co chodzi?
You're clearly a fightin' man with many journeys 'neath your belt… I'm in need of your help. You see, it's me sonny, I'm worried. Left home a fortnight back and hasn't returned… Will you see what's become of 'im, would you mind?|Widzę, żeście człowiek w boju i podróżach zaprawiony, a mnie pomocy trzeba. Widzicie... Niepokoję się o syna. Dom opuścił i drugi tydzień nie wraca... Zobaczycie, co z nim?
Greetings…|Witaj...
Shh…. Guards.|Ciii... Strażnicy.
Hide behind the tapestry.|Schowajmy się za gobelinem.
Sparrows chip, while starlings chirp.|Wróbel ćwierka, a szpak świszcze.
What do jackdaws do?|A kawka robi co?
Jackdaws caw.|Kawka plegocze.
Goldfinches warble and cranes whoop, whereas peacocks screech.|Czyżyk psyka, żuraw dzwoni, a paw wrzeszczy.
Hawks scream, larks trill, and doves, they coo. That's all of 'em.|...Jastrząb kwili, skowronek dziędzieje, zaś gołąb grucha. I to wszystko.
Hmm… What about nightingales?|A... a słowik robi co?
Ah, right. Nightingales croon.|A, prawda. Słowik kląska.
Let's look around.|No dobra. Rozejrzyjmy się.
Can't help wondering what that accomplished, if anything. Time to see Udalryk.|Zobaczymy, czy to coś dało. Czas wrócić do Udalryka.
Geralt! Come! Think I've got an idea!|Geralt! Chodź! Chyba mam pomysł!
Geralt!|Geralt!
Three years. Three fuckin' years, pickaxe in hand.|Trzy lata. Trzy pieprzone lata z kilofem w ręku...
Know why he's keepin' us so long? Wants to build a new tower. Needs a lotta stone for that.|Wiesz, czemu nas tyle trzyma? Nową wieżę chce pobudować. A do tego trzeba sporo kamienia.
Wonder if you'll be as deft with a pickaxe as y'are with a sword.|Ciekawe, czy z kilofem będzie ci szło tak dobrze jak z mieczem...
You, drifter. Where'd you get your scars?|Ty, obcy. Skąd te wszystkie blizny, co?
Hey ho, hey ho, to fuckin' work we go.|Hej, ho, hej ho, do pracy by się, kurwa, szło.
Tellin' you we'll hit a cave one of these days. Make our escape.|Mówię ci, w końcu dokopiemy się do jakiejś jaskini. Wtedy uciekniemy.
Well? Ready?|No jak, gotowy?
Use the Mask.|To użyj Maski.
Don the Mask.|Włóż Maskę.
Who might that be?|A ten to kto?
Ye blind? Plain to see it's a witcher.|Ślepy jesteś? Od razu widać, że wiedźmin.
A monster slayer, eh? What's it doin' here?|Zabójca potworów? A czego tu szuka?
It's a friend of the jarl's, maybe come to visit.|To przyjaciel jarla, może przyjechał w gościnę.
Pirate|Pirat
They say Lugos is fixin' for a fight. And not with the Black Ones, but with us.|Mówią, że Lugos się do wojny szykuje. I to nie z Czarnymi – tylko z nami.
If he breaks the truce, he'll prove himself the madman we all call him.|Jeśli złamie rozejm, udowodni, że słusznie wołają na niego Szalony.
And if that lad o' his crosses my path, he'll truly be a blue boy.|A jak jego synalek wejdzie mi w drogę, rzeczywiście będzie Siny.
Pardon, I'm looking…|Przepraszam, szukam...
Busy here, can't you see?|Zajęty jestem, nie widać?
Went well, I thought. Maybe ye'd consider workin' together for a spell? Seems you've a gift for this kind of work.|Nieźle nam poszło. Może przez jakiś czas popracujemy razem? Wydaje mi się, że masz talent do tej roboty.
Thanks, once is enough. So long.|Raz wystarczy. Bywaj.
Lotta loot to carry. Not sure I can do it without a boat…|Trzeba jakoś wynieść te łupy. Bez łodzi się nie obejdzie...
Damn, something's seriously wrong here…|Cholera, coś tu jest mocno nie tak...
Fine, I'll look around for them.|Rozejrzę się.
I'll help.|Pomogę.
We've all got problems, I'm no exception. Sorry, can't help you.|Każdy z nas ma swoje problemy, ja też. Wybacz, ale nie mogę ci pomóc.
I understand, should never 'ave bothered ye. I'll go meself.|Rozumiem, niepotrzebnie w ogóle cię zaczepiałem. Cóż, w takim razie wyruszam sam.
What about the wedding preparations?|A przygotowania do wesela?
Won't be any weddin' if I don't bring Agda here. I should go.|Jeśli nie sprowadzę tu Agdy, wesela i tak nie będzie. Ruszam.
Sorry, don't have time.|Nie mam czasu.
What's the matter?|O co chodzi?
Me betrothed and me brothers… Mikkel and Ulf sailed to Hindarsfjall. To fetch Agda, wedding's in but a few days. But they've yet to return.|O moją narzeczoną i braci. Mikkel i Ulf popłynęli na Hindarsfjall po Agdę. Ślub za parę dni, a ich ciągle nie ma.
