en_text|pl_text|bielik_prompt7_translation
Forgive me, I must go to him.|Wybacz, muszę do niego iść.|Wybacz mi, muszę do niego pójść.
And we're not like to ever stop.|I nigdy się nie skończy.|I nigdy nie przestaniemy.
Aaah! That explains it. Penile compensation, as I see it.|Aaa! No to wszystko jasne. Męskością nie grzeszy, to łodzią nadrabia...|Ach! To wszystko wyjaśnia. Kompensacja penisa, jak widzę.
Fool! Every man beats Ulle. It's Ulle's destiny to lose, always!|Głupiś! Z nim to każdy wygrywa. Takie już jego przeznaczenie.|Głupcze! Każdy bije Ullę. Przeznaczeniem Ulli jest zawsze przegrywać!
Not torn between Hjalmar and Cerys?|Nie jesteś rozdarty między Hjalmarem a Cerys?|Nie jesteś rozdarty między Hjalmarem a Cerys?
Wraaagghhh!|Wraaagghhh!|"Tłumaczenie:

""Wraaagghhh!""

(To słowo lub okrzyk jest trudny do dokładnego przetłumaczenia na język polski, ponieważ może oznaczać różne emocje, takie jak gniew, frustracja czy strach. W zależności od kontekstu, można to przetłumaczyć jako ""Wściekłość!"", ""Rozpacz!"" lub ""Przerażenie!"")"
Don't know yet.|Jeszcze nie wiem.|Nie wiem jeszcze.
The time'll come for that. But you gotta start with the fundamentals. So c'mere, look.|Na to jeszcze przyjdzie czas. A zacząć trzeba od podstaw. No, chodź, chodź, patrz.|Przyjdzie czas na to. Ale musisz zacząć od podstaw. Więc chodź, popatrz.
Where'd Hjalmar think the ice giant was?|Gdzie Hjalmar chciał szukać giganta?|Gdzie Hjalmar myślał, że jest olbrzym z lodu?
I'd sooner believe one of our own. Men who know what honor is.|Prędzej uwierzę swojemu. Człowiekowi, który wie, co to honor.|Prędzej uwierzę jednemu z naszych. Mężczyznom, którzy znają, co to honor.
She's always liked competin' with me.|Zawsze lubiła się ze mną ścigać.|Ona zawsze lubiła ze mną rywalizować.
Freya guided ye here…|To Freyja skierowała twe kroki do naszej wioski...|Freya doprowadziła cię tutaj...
Recovered your stolen horn.|Odzyskałem skradziony róg.|Odzyskałem twój skradziony róg.
No, not everything. The Vildkaarls conspired with someone. Found a letter on one of their corpses.|Nie, nie wszystko. Vildkaarlowie byli z kimś w zmowie. Przy jednym z nich znalazłem to pismo.|Nie, nie wszystko. Vildkaarls spiskowali z kimś. Znaleźli list na jednym z ich ciał.
He's come to kill ye.|Przyszedł cię zabić.|On przyszedł cię zabić.
I don't often raise such a hubbub. You must rarely get guests from the Continent.|Rzadko wzbudzam aż taką sensację... Chyba nieczęsto macie tu gości z kontynentu?|Rzadko robię takie zamieszanie. Prawdopodobnie rzadko masz gości z kontynentu.
You've not spent much time in the saddle, have ye? Your legs're too straight.|Dużo czasu w siodle chyba nie spędziłeś, co? Nogi masz za proste.|Nie spędziłeś dużo czasu w siodle, prawda? Twoje nogi są zbyt proste.
Her hand's all he'll get. Not a one don't know she's only got eyes for Hroker.|Rękę może mu da... Ale nic więcej. Wszyscy wiedzą przecie, że ona w Hrokrze się kocha.|Jego jedyna szansa to jej ręka. Żaden z nich nie wie, że ona ma oczy tylko dla Hroker.
[Place the infant in the oven.]|[Wsadź dziecko do pieca.]|Włóż niemowlę do piekarnika.
Ran into your brother. He's scouring all Skellige for you.|Spotkałem twojego brata. Szuka cię po całym Skellige.|Wpadłem na twojego brata. Przeszukuje całe Skellige w poszukiwaniu ciebie.
Not sure I follow…|Chyba nie bardzo nadążam...|Nie jestem pewien, czy rozumiem...
What do you think - who'll get the nod?|I jak myślisz – na kogo padnie?|Co myślisz - kto dostanie nominację?
Human bones… Guess they're all that's left of the lumberjacks.|Ludzkie kości... To chyba wszystko, co zostało z drwali.|Ludzkie kości... Pewnie to wszystko, co zostało po drwalach.
Close.|Prawie.|Zamknij to.
Shut it!|Cicho tam!|Zamknij to!
I must see it.|Muszę to zobaczyć.|Muszę to zobaczyć.
Girl… You was blue as a whale when we brought you in here! Your blood needs thawin'!|Dziewczyno... Byłaś sina z zimna, jak cię tu przynieśli! Musisz się porządnie wygrzać!|Dziewczyno... Byłaś tak sina jak wieloryb, kiedy cię tu przynieśli! Twoja krew musi odtajać!
Mind if we, uh, never mention this again?|Może oboje zapomnimy o tym incydencie?|Czy masz coś przeciwko temu, żebyśmy nigdy więcej o tym nie wspominali?
What do ya say to that, eh? Fat lot o' help they did you, them… mutations or what's it you call 'em. We Skelligers got our own ways. We live, eat, breathe, drink and fuck in the bracin' air of these isles. Strength follows naturally.|I co...? Na nic twoje mutacje czy jak to tam nazywacie. Na Skellige mamy swoje metody. Trzeba się tu urodzić, żreć i pić, co daje ta ziemia, i oddychać naszym powietrzem. Krzepa przychodzi sama.|Co masz na to powiedzenia, co? Tyle z nich pożytku, co kot napłakał... Te mutanty czy jak ich tam zwiesz. My Skellingersi mamy swoje sposoby. Żyjemy, jemy, oddychamy, pijemy i pieprzymy się w chłodnym powietrzu tych wysp. Siła przychodzi naturalnie.
Oh, and wenches. If we don't make proper use of 'em, who will?|No i kobiety, bo przecież ktoś musi robić z nich użytek.|Och, a dziewczyny. Jeśli my ich nie wykorzystamy prawidłowo, kto to zrobi?
Farewell.|Bywaj.|Żegnaj.
If we gotta, we gotta. So be it.|Jak trzeba, to trzeba.|Jeśli musimy, to musimy. Niech tak będzie.
I was afraid you'd never talk to each other again. After that contest for the crown?|Bałem się, że po tym całym wyścigu o koronę już nigdy się do siebie nie odezwiecie.|Bałem się, że już nigdy ze sobą nie porozmawiacie. Po tym konkursie o koronę?
Need to go.|Muszę już iść.|Muszę iść.
What?|Co?|Co?
Don't know yet. Gotta gather my thoughts.|Jeszcze nie wiem, też muszę ochłonąć.|Nie wiem jeszcze. Muszę zebrać myśli.
Go on.|Mów dalej.|Idź dalej.
Farewell.|Bywaj.|Żegnaj.
I'd rather his sister had donned the crown.|Wolałabym, żeby to jego siostra włożyła koronę.|Wolałbym, żeby to jego siostra założyła koronę.
Auuugggrrrr!|Auuugggrrrr!|"Tłumaczenie:

'Auuugggrrrr!'

Uwaga: To słowo lub dźwięk jest trudny do dokładnego przetłumaczenia na język polski, ponieważ może być używany w różnych kontekstach (np. jako okrzyk bólu, złości lub frustracji). W zależności od kontekstu, możliwe tłumaczenia mogłyby obejmować ""auu"", ""och"", ""jak to boli!"" itp. Jednak bez dodatkowego kontekstu, najbardziej dosłowne tłumaczenie brzmiałoby po prostu ""Auuugggrrrr!""."
Can't hurt to try.|Spróbować nie zaszkodzi.|Nie zaszkodzi spróbować.
Out of my sight.|Zejdź mi z oczu.|Poza moim zasięgiem.
Bran's son will not haggle for a crown that is his by right.|Syn Brana nie będzie targować się o koronę, która mu się należy.|Syn Brana nie będzie negocjował korony, która należy mu się z prawa.
How about that? You came here to fumble your way through an explanation, yet instead of enjoying the show, I went and did your job for you.|No i patrz, przyszedłeś się tu tłumaczyć i jąkać, a ja zamiast się tym nacieszyć, odwaliłam za ciebie całą robotę.|Co powiesz na to? Przyszedłeś tu, żeby bezradnie szukać wyjaśnienia, ale zamiast cieszyć się przedstawieniem, ja zrobiłem twoją robotę za ciebie.
Trail breaks off. Need to find another clue nearby, something else to follow.|Trop się urwał. Trzeba poszukać innych śladów w pobliżu.|Ścieżka się urywa. Muszę znaleźć inną wskazówkę w pobliżu, coś innego do śledzenia.
You stay here! I'll go and--!|Nie ruszaj się stąd. Ja...|Ty zostajesz tutaj! Ja pójdę i--!
So long.|Bywaj.|Do widzenia.
Outlanders're welcome to try, too! Glory and honor range every which where.|Cudzoziemców też dopuszczamy! Chwała i honor nie znają granic.|Obcy są też mile widziani! Chwała i honor czekają wszędzie.
Master?|Mistrzu?|Mistrzu?
Magic's gone, true, but that doesn't mean I don't like spending time with you.|To, że czar prysł, nie znaczy, że nie lubię już spędzać czasu w twoim towarzystwie.|Magia odeszła, ale to nie znaczy, że nie lubię spędzać z tobą czasu.
Got it in her head that Udalryk is not mad, but cursed…|Ubzdurała sobie, że Udalryk nie jest szalony, lecz przeklęty...|Miała w głowie, że Udalryk nie jest szalony, ale przeklęty...
In the vision he went flying in that direction.|Z wizji wynikało, że poleciał gdzieś tam.|W wizji poleciał w tym kierunku.
Came straight here. Haven't looked around yet.|Nie zdążyłem się jeszcze nigdzie rozejrzeć.|Przyjechałem prosto tutaj. Jeszcze się nie rozejrzałem.
It true what they say? You let a Black One go free on the last raid?|Prawda, co mówią? Żeś na ostatniej wyprawie Czarnego puścił wolno?|Czy to prawda, co mówią? Pozwoliłeś czarnemu uciec podczas ostatniej akcji?
Stepped out a while ago. Said he needed to find a boat.|Wyszedł jakiś czas temu. Mówił, łódź musi znaleźć.|Wyszedłem jakiś czas temu. Powiedział, że musi znaleźć łódź.
The spirit!|Spirytus!|Duch!
I like this man. Ply your trade, witcher. I believe we will agree terms.|Podoba mi się ten człowiek. Rób swoje, wiedźminie, może się dogadamy.|Lubię tego człowieka. Rób swoje, wiedźminie. Wierzę, że dogadamy warunki.
There's a witch at Kaer Trolde - Crach's guest. Could be the one you're meetin'.|W Kaer Trolde, u Cracha, gości jakaś czarownica. Może to ta twoja umówiona.|Jest czarodziejka w Kaer Trolde - gość Crasha. Może to być ta, z którą się spotykasz.
Get in there! Ye wanna crack, do it with the boss.|Właź, niech szef się z tobą użera.|Wejdź tam! Chcesz coś złamać, zrób to z szefem.
I'll make sure that madman don't run at the giant all alone.|A ja się upewnię, że ten wariat nie porwie się sam na giganta.|Upewnię się, że ten szaleniec nie będzie gonił olbrzyma całkiem sam.
Old castle's haunted, methinks…|A w zamku to chyba straszy...|Stary zamek jest nawiedzony, myślę...
I shall scour the palace library for something, anything that might help us determine who… or what the creature Skjall saw is.|Spróbuję znaleźć w pałacowej bibliotece coś, co pomoże nam odgadnąć, kim... albo czym jest brzydal, którego widział Skjall.|Przeszukam bibliotekę pałacową w poszukiwaniu czegoś, co mogłoby nam pomóc ustalić, kim... lub czym jest stworzenie, które widział Skjall.
Appreciate it if you didn't tell everybody in the Isles. They'll think I enjoy being dominated…|Tylko teraz nie rozpowiadaj o tym po Wyspach. Bo wyjdę na pantoflarza.|Doceniam, że nie powiedziałeś wszystkim na Wyspach. Pomyślą, że lubię być dominowany...
Jarl was cock sure he'd win, so he mocked Ulle, ridiculed him till all in the stands were cryin' with laughter. Finally, he raised his arms in triumph. And that's when Ulle, who couldn't take it no more, stuck a dagger in his back.|Jarl był pewny wygranej, więc kpił z Ulle, wyśmiewał go tak, że cała publiczność ryczała ze śmiechu. Kiedy wreszcie podniósł ręce w triumfie, Ulle nie wytrzymał i wbił mu sztylet w plecy.|Jarl był pewny jak cholera, że wygra, więc zadrwił z Ullego, wyśmiał go tak, że wszyscy na trybunach płakali ze śmiechu. Wreszcie podniósł ręce w geście triumfu. A wtedy Ulle, który już nie mógł tego znieść, wbił mu nóż w plecy.
What do you have on offer?|Pokaż mi swoje towary.|Co masz do zaoferowania?
Yeah, a whole lot.|Tak... Sporo przeszłam.|Tak, całkiem sporo.
I'm a witcher. Could go with you and help.|Jestem wiedźminem, mogę pójść tam z wami.|Jestem wiedźminem. Mogę pójść z tobą i pomóc.
Thank you once more.|Dziękuję wam raz jeszcze.|Dziękuję jeszcze raz.
You said the creature wants revenge. Why? For what?|Dlaczego powiedzieliście, że ta istota mści się na was?|Powiedziałeś, że stworzenie chce zemsty. Dlaczego? Za co?
He's safe where he is, with the baron - least I think so. I'll get him once I know why Ciri went to Novigrad, what she did there… Still a chance I might find her there.|U Barona jest bezpieczny. Wrócę po niego, kiedy ustalę, co Ciri robiła w Novigradzie. I czy przypadkiem jeszcze jej tam nie ma.|On jest bezpieczny tam, gdzie jest, z baronem - przynajmniej tak sądzę. Dostanę go, kiedy dowiem się, dlaczego Ciri pojechała do Novigradu i co tam robiła... Wciąż jest szansa, że znajdę ją tam.
Geralt?|Geralt?|Geralt?
Head through the door and you'll see the pier. Be careful, it's slippery.|Za tymi drzwiami jest wyjście na pomost. Uważaj tylko, bo śliski.|Przejdź przez drzwi, a zobaczysz molo. Uważaj, jest śliskie.
Mean there've been those who've tried to defeat him?|Znaczy, że byli już tacy, którzy próbowali go pokonać?|Czy chodzi o to, że byli tacy, którzy próbowali go pokonać?
The very devil we speak of. Never thought we'd meet so soon.|Oto i wilk, o którym mowa. Nie myślałem, że tak szybko cię poznam.|Diabeł we własnej osobie. Nigdy nie sądziłem, że spotkamy się tak szybko.
Thought you might object…|Myślałem, że będziesz protestować...|Myślałem, że może zaprotestujesz...
Ughh. One more knee-slapper like that and you're goin' for a swim with 'em.|Mhm. Jeszcze jeden taki suchar i pójdziesz pływać z nimi.|Ach. Jeszcze jeden taki cios kolanem i pójdziesz z nimi popływać.
You're alive?! And in one piece?!|Żyjesz?! Cały jesteś?!|Żyjesz?! I w jednym kawałku?!
Why the theatrics? If you wanted to hire a witcher, should've just said so. Would've been cheaper.|Po co ten teatr? Jak chciałeś wynająć wiedźmina, trzeba było powiedzieć od razu. Wyszłoby taniej.|Po co te przedstawienie? Gdybyś chciał wynająć wiedźmina, powinieneś po prostu powiedzieć. Byłoby taniej.
I must say, he's rather handsome…|Muszę przyznać, że jest niczego sobie.|Muszę powiedzieć, że on jest raczej przystojny...
Svanrige's not vying for support?|Svanrige nie zamierza walczyć o poparcie?|Czy Svanrige nie stara się o wsparcie?
The truth. I may be a woman, but I've got me honor!|Prawdę. Jestem kobietą, ale mam swój honor!|Prawda. Mogę być kobietą, ale mam swój honor!
Hahahahaha!|Hahahaha!|"Tłumaczenie:

'Hahahahaha!'

Ha ha ha ha!"
Follow me, Geralt!|Za mną, Geralt!|Chodź za mną, Geralcie!
Not interested.|Nie jestem zainteresowany.|Nie interesuje mnie to.
What's the problem? Tell me.|Mów, o co chodzi.|Co jest problemem? Powiedz mi.
Whoo-eey, that's some thunderin'. Think he's still alive?|Ło, ale gruchnął. Myślicie, że żyje?|O rany, ale grzmi. Myślisz, że on jeszcze żyje?
So long.|Bywaj.|Do widzenia.
Take care.|Bywaj.|Dbaj o siebie.
Tell me about this… dragon. What it looks like, for instance.|Powiedz coś o tym... Smoku. Jak wygląda, na przykład.|Powiedz mi o tym... smoku. Na przykład, jak wygląda.
What's your name?|Jak się nazywasz?|Jakie jest twoje imię?
Not interested.|Nie jestem zainteresowany.|Nie interesuje mnie to.
What now?|To co teraz?|Co teraz?
All right. Let me pack.|Już, już. Daj mi się spakować.|Dobrze. Pozwól mi spakować się.
I see the way out! Follow me!|Widzę wyjście! Za mną!|Widzę drogę ucieczki! Za mną!
How dare ye?! My lads--|Jak śmiesz. Moi synowie...|Jak śmiesz! Moje chłopaki -
Quite the adventure… Got a home to go back to? Or will you stay here?|Niezła przygoda... Masz dokąd wrócić? Czy chcesz tu zostać?|Całkiem niezła przygoda... Masz dom, do którego możesz wrócić? Czy zostaniesz tutaj?
Hornets' nest… Known to have therapeutic uses. In shock therapy, for instance.|Gniazdo os... Może dałoby się je wykorzystać do jakiejś kuracji. Szokowej, na przykład.|Gniazdo szerszeni... Znane z terapeutycznego zastosowania. Na przykład w terapii szokowej.
You land rats are all the same - afeard o' your wenches.|Szczury lądowe są wszystkie takie same. Boją się swoich bab.|Wy szczury lądowe jesteście wszyscy takie same - boicie się swoich kobiet.
They say the Wild Hunt destroyed this village…|Mówią, że tę wioskę zniszczył Dziki Gon...|Mówią, że Dziki Łów zniszczył tę wieś...
If you're lookin' for someone to cheer ye up, you've chosen badly.|Jak chcesz, żeby cię ktoś pocieszył, to źle wybrałeś.|Jeśli szukasz kogoś, kto cię rozweseli, dokonałeś złego wyboru.
I could suck on it, at least… You could still toss it in a soup afterwards.|Chociaż bym sobie possał... A potem do zupy by się wrzuciło.|Mogłabym ssać to przynajmniej... Mógłbyś to potem wrzucić do zupy.
It's a friend of the jarl's, maybe come to visit.|To przyjaciel jarla, może przyjechał w gościnę.|To jest przyjaciel jarla, może przyjdzie z wizytą.
Listen, if I lose on purpose, we'll both regret it, believe me.|Jak się podłożę, obaj będziemy żałowali nieuczciwej walki.|Słuchaj, jeśli specjalnie przegramy, oboje tego pożałujemy, uwierz mi.
He was but a young lad. Younger than my Eric. As I raised my sword, he broke out sobbin'… I just couldn't!|To młody chłopak był. Młodszy niż mój Erik. Jak uniosłem miecz, rozpłakał się... Nie mogłem, no!|Był tylko młodym chłopcem. Młodszym niż mój Eric. Gdy podniosłem miecz, on zaczął płakać... Nie mogłem!
Ye back? Come to see how we unburden the world o' ghouls?|A ty co? Przyszedłeś popatrzeć, jak rozprawiamy się z ghulami?|Czy wróciłeś zobaczyć, jak uwalniamy świat od upiorów?
But… but I lied to Yorg. Uncle did nothin' to me. He stank, and I didn't like 'im, that's it! And now… now Yorg'll die, 'cause o' me.|Ale... Ale ja okłamałam Yorga. Wujek nic mi nie robił. Tylko śmierdział i go nie lubiłam... A teraz Yorg przez to umrze.|Ale... ale okłamałem Yorga. Wujek nic mi nie zrobił. Śmierdział, i nie lubiłem go, to wszystko! A teraz... teraz Yorg umrze przeze mnie.
Wait here a moment. I'll fetch some torches.|Poczekaj chwilę, przyniosę pochodnie.|Poczekaj tu chwilę. Przyniosę kilka pochodni.
Damn. I tore a hole in my dress. Wait a minute, I must mend it.|Psiakrew, rozdarłam suknię. Zaczekaj chwilę, muszę to zszyć.|Cholera. Rozdarłam sukienkę. Poczekaj chwilę, muszę ją zaszyć.
Your time with the Hunt - what do you remember?|Co pamiętasz z okresu w Dzikim Gonie?|Twoje wspomnienia z czasów polowania - co pamiętasz?
Words aren't enough. Gotta find the mark my way.|Twoje słowa nie wystarczą. Muszę sam odnaleźć naznaczonego.|Słowa nie wystarczą. Muszę znaleźć swój ślad.
They've seated us here.|Tutaj nas posadzono.|Usiadli nas tutaj.
Relax. Storm's died down, you've clearly got things under control.|Spokojnie, burza ucichła, macie sytuację pod kontrolą.|Odetchnij. Burza ucichła, jasne jest, że masz wszystko pod kontrolą.
That is true… Though few believe us. You don't either, I'm sure.|To prawda... Choć niewielu nam wierzy. I wy pewnie też nie.|To prawda... Choć niewielu nam wierzy. Ty też nie, jestem pewien.
Farewell, witcher. Wind fill your sails, always.|Bywaj, wiedźminie. Niechaj wiatr ci zawsze wieje w żagle.|Żegnaj, wiedźminie. Niech wiatr wypełnia twoje żagle zawsze.
Know where to go? Got any clues?|Masz jakiś trop?|Wiesz dokąd iść? Masz jakieś wskazówki?
Why the theatrics?|Po co ten teatr?|Po co te teatralne gesty?
Heeey theeere!|Czee-eeść!|"Tłumaczenie:

'Hey there!'
Cześć!"
Willing to leave, not willing to pay.|Wyjdę bez płacenia.|Chętny odejść, niechętny płacić.
No.|Nie.|Nie.
Look. We must search the area.|Zobacz. Trzeba się tu rozejrzeć.|Popatrz. Musimy przeszukać teren.
Your beard. Why'd you decide to grow it out?|Twoja broda. Skąd ten pomysł?|Twoja broda. Dlaczego zdecydowałeś się ją zapuścić?
Listen, witcher… Got us some muire d'yaeblen, you know, drowners. Real problem. The kind your silver sword could most certainly solve.|Słuchaj, wiedźminie... Mamy tu problem z Muire D’yaeble, z utopcami. Problem, który twoim srebrnym mieczem można by pewnie rozwiązać.|Słuchaj, wiedźminie... Mamy tu jakiegoś muire d'yaeblen, wiesz, topielca. Prawdziwy problem. Taki, który twój srebrny miecz mógłby z pewnością rozwiązać.
We should get back to the wake.|Wracajmy na ucztę.|Powinniśmy wrócić na czuwanie.
Dunno. It happened fast, and we were a few horns in…|Nie wiem. To się wydarzyło szybko, a myśmy już parę rogów osuszyli...|Nie wiem. To stało się szybko, i byliśmy kilka rogów w...
What do you offer?|Pokaż mi swoje towary.|Co masz na ofertę?
Not what I meant. He's dead.|Nie to miałem na myśli. On nie żyje.|Nie to co miałem na myśli. On jest martwy.
And my son?! Does he?!|A mój syn?! Zasłużył?|A co z moim synem?! Czy on?!
The haunted house, you mean? It's hardly cozy, but I wager you've slept in worse conditions.|Znaczy w nawiedzonym domu? Przyjemnie to tam nie jest, ale chyba nocowałeś już w gorszych warunkach...|Nawiedzony dom? Raczej nie jest zbyt przytulny, ale zakładam, że spałeś w gorszych warunkach.
Told ye, he's a witcher, a cunning man. He knows these things!|Mówiłem ci, że to wiedźmin. Czarownik. Wie takie rzeczy.|Powiedziałem ci, on jest wiedźminem, chytrym człowiekiem. On to wie!
Why you whoreson…!|Oż ty sukinsynu...!|Dlaczego ty sukinsynu...!
Tell me, lads, where you sailin' this time?|Powiedzcie no, chłopcy, gdzie tym razem płyniecie?|Powiedzcie mi, chłopaki, dokąd płyniecie tym razem?
Seems early to me. What would I do with him? Cart him around while I searched for Ciri and hunted monsters?|Tylko wydaje mi się, że jeszcze na to za wcześnie. Bo co niby zrobię z tym Brzydalem? Będziemy jeździć razem po świecie, szukać Ciri i polować na potwory?|Wydaje mi się za wcześnie. Co miałbym z nim zrobić? Wozić go ze sobą podczas poszukiwań Ciri i polowania na potwory?
Hey, White One! Help!|Hej, Białowłosy! Pomóż!|Hej, Biały! Pomocy!
Got a trail to follow. Wonder where it leads.|Trop. Ciekawe gdzie mnie zaprowadzi.|Mam trop do śledzenia. Ciekawe, dokąd prowadzi.
We should get back.|Powinniśmy wracać.|Powinniśmy wracać.
They're all very understandin', they seem to believe in me. Besides Lugos, o' course.|Wszyscy są bardzo wyrozumiali i wierzą we mnie. Poza Lugosem, oczywiście.|Oni wszyscy są bardzo zrozumiali, wydają się we mnie wierzyć. Oprócz Lugosa, oczywiście.
In that case, I'd appreciate it if you didn't wish I'd disappear from your life.|W takim razie nie życz sobie, żebym zniknął z twojego życia, dobra?|W takim razie doceniłbym, gdybyś nie życzyła sobie, żebym zniknął z twojego życia.
Boo hoo hoo! My deepest sympathies! Now get out of my sight, you imbecile!|Bu hu hu! Wyrazy współczucia! A teraz zejdź mi z oczu, baranie!|Ach, och, och! Moje najgłębsze kondolencje! Teraz zejdź mi z oczu, ty głupku!
I'll take the job.|Biorę zlecenie.|Wezmę tę pracę.
Nils…|Nils...|"Nils...

(To słowo jest imieniem i pozostaje bez zmian w tłumaczeniu z języka angielskiego na polski.)"
I'll look into it.|Przyjrzę się tej sprawie.|Przyjrzę się temu.
Hjalmar! Hjalmar! Hjalmar! Hjalmar!|HJALMAR! HJALMAR! HJALMAR! HJALMAR!|"Hjalmar! Hjalmar! Hjalmar! Hjalmar!

(To słowo jest imieniem i nie ma bezpośredniego tłumaczenia na język polski.)"
I should hope so. Found it a ruin when I came here from Undvik. Gulls shittin' into the tankards through the gaps in the thatch. I bought the hut, rolled up my sleeves and made a proper alehouse out of it.|No chyba. Gdy przybyłem z Undvik, stała tu ruina. Mewy srały do kufli przez dziury w strzesze. Kupiłem tę budę, zakasałem rękawy i zrobiłem z niej porządny lokal.|Mam nadzieję, że tak. Znalazłem to w ruinie, kiedy tu przybyłem z Undvik. Mewy srały do kufelków przez szpary w strzesze. Kupiłem chatę, zakasałem rękawy i zrobiłem z tego porządną karczmę.
Keep your distance, drifter!|Trzymaj się ode mnie z daleka, przybłędo!|Trzymaj się z daleka, włóczęgo!
Leave me be, woman. I agreed to come back to ye, not to love ye.|Zgodziłem się do ciebie wrócić. Ale to nie znaczy, że będę cię kochać.|Zostaw mnie w spokoju, kobieto. Zgodziłem się wrócić do ciebie, nie żeby cię kochać.
No… Nay, don't go, please! Don't leave me! I beg ye, please don't leave me!|Nie... Nie, nie odchodź, proszę... Nie zostawiaj mnie tu! Błagam, nie zostawiaj mnie!|Nie... Nie, nie idź, proszę! Nie odchodź ode mnie! Błagam cię, proszę nie odchodź ode mnie!
I'm ready.|Chcę walczyć.|Jestem gotowy.
I hear Olaf's been off meat for two days.|Ponoć Olaf od dwóch dni mięsa nie żarł.|Słyszałem, że Olaf od dwóch dni jest bez mięsa.
What now?|To co teraz?|Co teraz?
That's everything for now. Thanks for your help… and I promise to avenge them.|To wszystko. Dziękuję za pomoc... I obiecuję, że ich pomszczę.|To wszystko na teraz. Dziękuję za pomoc... i obiecuję zemścić się na nich.
Mhm. I handle creatures like that, I know how. I can kill him for you, provided you have the coin.|Tak. Wiem jak sobie radzić z takimi stworzeniami. Jeśli macie pieniądze, mogę go dla was zabić.|Mmm. Ja zajmuję się takimi stworzeniami, wiem jak. Mogę go dla ciebie zabić, pod warunkiem, że masz pieniądze.
Means the djinn granted your wish…|Że dżinn spełnił twoje życzenie...|Oznacza to, że dżin spełnił twoje życzenie...
Extortin' protection coin, eh? Take it, take all I got. And choke on it, you bugger.|Więc wymuszasz haracze? Masz, weź wszystko, co mam. I udław się.|Wymuszać ochronny pieniądz, co? Weź go, weź wszystko, co mam. I zadław się nim, ty sukinsynu.
A toast, to honor King Bran's memory.|Wznieśmy toast i uczcijmy pamięć króla Brana.|Toast za pamięć króla Brana.
So be it… One time only, though.|Niech będzie... Byle jednorazowo.|Niech tak będzie... Tylko ten jeden raz.
A troll, of course.|Troll, rzecz jasna.|Oczywiście troll.
You spied a dragon?!|Smoka żeście dojrzeli?|Ty widziałeś smoka?!
They make friends?|Pogodzili się?|Oni się zaprzyjaźniają?
Only that pleases them, so they ask for more and more.|Tylko ono jest im miłe... Dlatego chcą go coraz więcej.|Tylko to ich zadowala, więc proszą o coraz więcej.
Second part's harder still. Ye'll enter a flooded cavern, have to swim its passages, all beneath water. Only men of these isles're capable of the feat.|Druga część jest jeszcze trudniejsza. Musisz się dostać do podwodnej jaski, nurkując pod wodą. Tylko człowiek stąd może tego dokonać.|Druga część jest jeszcze trudniejsza. Wejdziesz do zalanej jaskini, będziesz musiał płynąć jej korytarzami, cały czas pod wodą. Tylko mężczyźni z tych wysp są zdolni do tego wyczynu.
Sword at the ready, witcher.|Miej miecz w pogotowiu.|Miecz w pogotowiu, wiedźminie.
Celandine would dull the pain.|Jaskółcze ziele uśmierzyłoby ból.|Cytrynka złagodzi ból.
Sure, I'll knock one back with you, Lugos.|Dobrze. Chętnie się z tobą napiję, Lugosie.|Pewnie, wypiję z tobą jednego, Lugos.
Er…well…|No...|Eee... no cóż...
Know me?|Znasz mnie?|Czy mnie znasz?
What herbs are these?|Co to za zioła?|Jakie to zioła?
Shit…!|Zaraza...!|Kurwa...!
Just wanna get some air.|Chciałem tylko zaczerpnąć powietrza.|Chcę zaczerpnąć trochę powietrza.
Me wife's mum marchin' at their head!|To na ich czele pójdzie moja teściowa!|Moja teściowa maszeruje na ich czele!
Farewell.|Bywaj.|Żegnaj.
Key to finding Ciri is that ugly… thing Skjall saw on the beach. That's what I think.|Wygląda na to, że kluczem do odnalezienia Ciri jest ten... Brzydal, którego Skjall widział na plaży.|Kluczem do znalezienia Ciri jest to brzydkie... coś, które Skjall zobaczył na plaży. Tak sądzę.
Wouldn't mind a look at your wares, gramps.|Obejrzę twoje towary, dziadku.|Nie miałbym nic przeciwko rzuceniu okiem na twoje towary, dziadku.
Didn't write one lousy word for me while the king were alive.|Król żył i nie napisałeś dla mnie ani słowa.|Nie napisałeś ani jednego złego słowa o mnie, kiedy król żył.
Did ye hear the lift got stuck yesterday? Kjeld hung there half a day 'fore they got 'im down.|Słyszałeś, że winda się wczoraj zacięła? Kjeld pół dnia wisiał, nim go zdjęli.|Słyszałeś, że winda utknęła wczoraj? Kjeld wisiał tam pół dnia zanim go zdjęli.
What do you druids deal in these days?|Pokaż mi swoje towary.|Czym zajmujecie się teraz druidzi?
Clan Tuirseach Guard|Strażnik z klanu Tuirseach|Straż Klanu Tuirseach
Remember summer, three years back?|Pamiętacie lato trzy lata temu?|Pamiętasz lato, trzy lata temu?
You're a vision! A specter!|Jesteś tylko widziadłem. Zjawą.|"Jesteś wizją! Widmem!

(Uwaga: To tłumaczenie może być niedosłowne, ponieważ ""vision"" i ""specter"" mają podobne znaczenia, ale mogą być użyte w różnych kontekstach.)"
Wha? But I asked her… Besides, it's not… O' course, y'are very… But…|Co? A prosiłem... Zresztą, wcale nie... Bo oczywiście, jesteś bardzo, ale...|Co? Ale ja zapytałem ją... Poza tym to nie... Oczywiście, jesteś bardzo... Ale...
